iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-7.1;-5.3;-3.5;1.0;1.0;0.9;70.8
1980-01-02;-7.3;-6.2;-5.1;2.4;0.7;1.6;66.5
1980-01-03;-6.1;-5.5;-4.9;2.2;0.4;1.7;67.7
1980-01-04;-10.1;-8.45;-6.8;0.4;0.8;0.6;64.3
1980-01-05;-15.3;-11.9;-8.5;0.0;1.1;1.1;60.1
1980-01-06;-7.5;-5.95;-4.4;0.8;0.5;1.2;69.4
1980-01-07;-7.4;-5.8;-4.2;0.6;0.9;1.1;70.8
1980-01-08;-11.6;-7.8;-4.0;2.0;0.9;1.0;70.9
1980-01-09;-11.1;-8.85;-6.6;0.5;1.0;0.6;63.4
1980-01-10;-18.0;-13.9;-9.8;0.0;1.2;0.4;54.7
1980-01-11;-11.9;-6.9;-1.9;0.0;0.9;1.0;74.4
1980-01-12;-9.7;-7.3;-4.9;0.0;1.1;1.2;68.0
1980-01-13;-3.3;-1.65;0.0;0.0;1.3;1.8;79.4
1980-01-14;-1.1;-0.25;0.6;0.0;1.2;1.9;81.7
1980-01-15;-13.9;-7.85;-1.8;0.0;1.3;1.2;77.0
1980-01-16;-21.1;-14.5;-7.9;0.0;1.7;1.4;60.0
1980-01-17;-16.6;-8.25;0.1;0.8;1.1;1.6;79.8
1980-01-18;-11.7;-5.65;0.4;0.0;2.0;1.9;77.6
1980-01-19;-12.6;-9.8;-7.0;0.0;1.5;0.3;63.5
1980-01-20;-11.7;-7.9;-4.1;0.0;1.4;1.3;71.3
1980-01-21;-8.7;-7.3;-5.9;0.0;1.5;1.4;67.3
1980-01-22;-9.0;-7.95;-6.9;0.4;1.7;1.4;62.2
1980-01-23;-11.6;-10.15;-8.7;0.4;1.4;1.3;56.5
1980-01-24;-17.2;-14.05;-10.9;1.0;1.2;2.0;49.0
1980-01-25;-21.3;-18.55;-15.8;0.0;1.7;1.6;24.9
1980-01-26;-25.7;-22.15;-18.6;0.0;2.0;0.7;8.8
1980-01-27;-22.6;-17.15;-11.7;0.5;2.4;1.5;42.8
1980-01-28;-26.0;-18.45;-10.9;0.0;2.9;1.0;45.3
1980-01-29;-16.6;-10.1;-3.6;1.8;1.6;1.2;70.0
1980-01-30;-26.6;-18.85;-11.1;0.0;3.0;1.0;41.9
1980-01-31;-26.5;-20.15;-13.8;0.0;2.5;0.9;34.4
1980-02-01;-26.4;-22.35;-18.3;0.0;2.2;1.0;20.1
1980-02-02;-22.9;-15.15;-7.4;0.0;3.1;1.2;63.3
1980-02-03;-13.8;-8.45;-3.1;0.3;3.1;1.7;75.2
1980-02-04;-15.7;-12.45;-9.2;0.3;3.0;0.7;61.9
1980-02-05;-18.1;-13.95;-9.8;0.0;3.0;0.6;60.0
1980-02-06;-17.4;-14.9;-12.4;0.0;3.6;1.4;50.3
1980-02-07;-16.6;-14.7;-12.8;0.6;3.0;1.2;45.6
1980-02-08;-19.9;-17.15;-14.4;0.0;3.6;1.1;40.4
1980-02-09;-23.4;-20.35;-17.3;0.0;4.2;1.2;25.2
1980-02-10;-22.5;-19.0;-15.5;0.0;4.1;0.9;34.9
1980-02-11;-21.8;-18.5;-15.2;0.0;4.1;1.1;36.7
1980-02-12;-22.0;-18.35;-14.7;0.0;4.3;0.7;40.7
1980-02-13;-17.5;-10.95;-4.4;0.4;3.5;1.7;72.1
1980-02-14;-3.2;-2.65;-2.1;1.2;3.5;2.0;78.6
1980-02-15;-2.0;-0.95;0.1;1.6;2.4;1.9;84.2
1980-02-16;-6.2;-3.05;0.1;0.8;2.5;1.3;83.2
1980-02-17;-18.2;-11.75;-5.3;0.0;6.2;1.1;68.5
1980-02-18;-15.0;-8.4;-1.8;0.0;4.8;1.5;78.4
1980-02-19;-4.9;-3.55;-2.2;0.5;4.4;1.7;78.0
1980-02-20;-6.7;-3.45;-0.2;0.0;4.9;1.0;81.4
1980-02-21;-7.2;-5.0;-2.8;1.2;4.8;0.7;79.2
1980-02-22;-6.1;-3.35;-0.6;1.7;5.6;1.3;81.5
1980-02-23;-9.7;-5.45;-1.2;0.0;4.9;1.2;80.6
1980-02-24;-10.6;-5.75;-0.9;0.0;5.8;0.8;81.0
1980-02-25;-12.0;-6.85;-1.7;0.0;5.7;1.1;78.1
1980-02-26;-8.0;-6.0;-4.0;0.5;5.4;1.3;74.2
1980-02-27;-9.8;-5.9;-2.0;0.0;6.3;1.1;77.1
1980-02-28;-7.0;-4.25;-1.5;0.6;4.8;2.2;80.2
1980-02-29;-6.1;-3.0;0.1;0.3;4.5;1.5;82.7
1980-03-01;-11.7;-5.4;0.9;0.0;5.1;0.7;81.0
1980-03-02;-9.1;-6.05;-3.0;0.9;3.1;1.0;74.3
1980-03-03;-11.2;-8.9;-6.6;0.4;6.0;1.5;62.6
1980-03-04;-12.0;-8.75;-5.5;0.0;7.6;1.6;66.3
1980-03-05;-14.8;-10.4;-6.0;1.2;4.6;0.4;66.7
1980-03-06;-7.4;-3.2;1.0;0.5;6.6;1.7;82.4
1980-03-07;-4.8;-2.45;-0.1;0.0;10.5;2.1;73.8
1980-03-08;-6.1;-3.1;-0.1;0.0;8.6;2.2;77.1
1980-03-09;-13.7;-8.35;-3.0;0.0;11.0;1.8;70.8
1980-03-10;-16.4;-9.95;-3.5;0.0;10.6;1.6;67.4
1980-03-11;-13.5;-9.0;-4.5;0.0;7.2;1.7;67.5
1980-03-12;-8.0;-5.35;-2.7;0.0;9.4;1.7;71.5
1980-03-13;-10.2;-7.0;-3.8;0.0;11.8;1.8;68.1
1980-03-14;-14.2;-6.95;0.3;0.0;12.5;1.4;73.9
1980-03-15;-16.4;-7.65;1.1;0.0;12.9;0.6;73.9
1980-03-16;-15.6;-7.3;1.0;0.0;11.9;0.8;76.1
1980-03-17;-12.4;-7.7;-3.0;0.4;9.8;1.5;67.7
1980-03-18;-17.1;-10.9;-4.7;0.0;12.7;1.3;65.4
1980-03-19;-18.8;-11.75;-4.7;0.0;9.5;0.6;63.9
1980-03-20;-19.0;-11.9;-4.8;0.0;13.5;1.0;64.1
1980-03-21;-20.9;-12.65;-4.4;0.0;14.1;0.7;64.8
1980-03-22;-16.3;-9.8;-3.3;0.0;13.4;0.4;65.9
1980-03-23;-18.2;-10.3;-2.4;0.0;13.7;1.2;69.1
1980-03-24;-17.4;-9.5;-1.6;0.0;15.0;1.4;69.3
1980-03-25;-14.3;-7.3;-0.3;0.0;15.2;1.3;71.5
1980-03-26;-14.4;-7.05;0.3;0.4;14.5;1.3;74.4
