iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-5.77;-2.8;0.16;0.0;4.99;3.64;58.61
1980-01-02;-2.46;0.58;3.63;0.0;4.839;3.04;57.84
1980-01-03;0.4;3.51;6.62;0.0;4.327;6.11;67.44
1980-01-04;-0.34;3.34;7.02;0.88;5.156;4.42;75.94
1980-01-05;3.41;5.61;7.81;0.0;2.842;4.84;76.68
1980-01-06;3.61;7.6;11.6;2.09;6.172;5.03;58.02
1980-01-07;2.47;4.53;6.58;9.4;2.098;1.7;87.94
1980-01-08;4.2;6.95;9.69;4.09;5.601;2.96;69.18
1980-01-09;-2.7;0.26;3.22;6.03;4.0;2.38;56.86
1980-01-10;-3.04;-0.96;1.13;1.33;2.762;2.15;63.71
1980-01-11;-4.71;-3.09;-1.48;0.0;4.266;2.07;54.16
1980-01-12;-4.86;-2.81;-0.75;2.95;3.837;4.99;61.43
1980-01-13;-11.63;-7.79;-3.94;0.0;4.398;3.24;67.93
1980-01-14;-7.89;-3.98;-0.07;0.0;4.636;4.52;64.63
1980-01-15;-8.42;-5.11;-1.8;0.0;4.651;4.85;66.25
1980-01-16;-11.82;-7.57;-3.31;0.0;5.104;2.65;62.77
1980-01-17;-11.61;-7.96;-4.31;0.0;4.711;4.45;66.34
1980-01-18;-15.35;-11.77;-8.2;0.0;4.36;0.8;68.03
1980-01-19;-15.38;-7.56;0.27;0.0;6.53;1.61;38.92
1980-01-20;-11.61;-5.71;0.18;0.0;4.8;2.97;84.68
1980-01-21;-13.63;-10.9;-8.17;0.0;4.399;0.89;67.19
1980-01-22;-12.32;-9.34;-6.36;0.0;6.858;2.42;39.08
1980-01-23;-7.52;-2.93;1.65;3.57;2.964;4.92;68.75
1980-01-24;3.5;5.63;7.76;1.5;4.457;2.94;88.34
1980-01-25;-0.94;3.54;8.02;1.7;2.552;3.96;89.17
1980-01-26;-1.06;2.55;6.17;1.64;3.042;1.59;76.97
1980-01-27;5.9;9.36;12.81;3.31;5.953;5.3;61.97
1980-01-28;2.52;4.38;6.23;1.22;4.743;1.73;85.54
1980-01-29;2.02;5.45;8.88;0.0;8.077;1.48;63.67
1980-01-30;0.96;3.9;6.84;0.85;3.514;2.09;72.49
1980-01-31;2.95;5.43;7.91;4.71;3.502;2.14;81.01
1980-02-01;4.5;8.14;11.79;9.14;3.609;5.36;73.6
1980-02-02;-1.98;1.58;5.14;1.19;3.514;3.26;48.61
1980-02-03;-7.75;-5.34;-2.93;6.01;2.494;2.29;63.42
1980-02-04;-8.37;-3.94;0.49;0.0;8.691;2.09;38.42
1980-02-05;-4.87;-1.22;2.43;0.0;7.81;1.77;51.66
1980-02-06;-2.71;0.25;3.21;0.0;5.213;3.14;59.45
1980-02-07;-3.47;-0.88;1.72;0.0;5.296;2.95;58.87
1980-02-08;-8.51;-4.63;-0.74;0.98;6.834;4.28;46.73
1980-02-09;-12.25;-9.81;-7.38;0.0;10.266;6.39;35.41
1980-02-10;-9.44;-4.84;-0.24;4.87;6.442;3.57;65.9
1980-02-11;-3.37;-1.0;1.38;1.77;5.272;3.73;70.96
1980-02-12;-5.04;-2.09;0.86;0.0;7.876;4.21;53.68
1980-02-13;-6.6;-5.07;-3.54;8.12;7.088;0.73;57.33
1980-02-14;-16.78;-12.31;-7.84;0.0;9.824;3.46;64.89
1980-02-15;-16.58;-12.15;-7.72;0.39;10.254;2.29;67.11
1980-02-16;-16.89;-10.0;-3.1;0.0;7.673;4.08;64.03
1980-02-17;-3.11;-1.44;0.22;0.0;11.514;4.09;65.85
1980-02-18;-0.13;1.81;3.75;1.76;5.21;4.08;62.77
1980-02-19;3.25;6.29;9.33;0.0;5.247;2.87;45.75
1980-02-20;6.04;11.2;16.36;0.0;9.304;3.03;37.3
1980-02-21;1.46;3.83;6.2;0.79;5.575;2.78;70.1
1980-02-22;0.45;3.97;7.48;0.0;11.258;1.73;52.89
1980-02-23;1.73;6.32;10.91;2.11;8.775;2.17;56.16
1980-02-24;1.18;4.28;7.37;13.66;2.208;1.97;81.81
1980-02-25;1.96;3.69;5.42;1.3;4.339;3.29;67.06
1980-02-26;-1.21;-0.63;-0.04;1.19;5.207;2.77;75.04
1980-02-27;-3.61;-1.2;1.21;0.0;5.056;3.09;61.02
1980-02-28;-5.4;-2.94;-0.47;0.0;11.158;1.92;47.66
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-5.73;-1.76;2.22;0.0;9.66;2.35;49.28
1980-03-02;0.38;3.72;7.06;0.0;5.56;2.77;50.67
1980-03-03;-4.56;-0.02;4.52;0.0;4.546;3.16;53.07
1980-03-04;-6.9;-3.31;0.28;0.0;13.745;7.02;22.1
1980-03-05;-4.96;-2.58;-0.21;0.0;11.394;5.05;32.5
1980-03-06;-5.07;-1.73;1.62;0.0;12.178;1.92;36.84
1980-03-07;-8.34;-5.68;-3.02;0.0;3.701;1.43;66.6
1980-03-08;-5.8;-2.08;1.65;0.0;11.782;1.62;46.13
1980-03-09;-1.62;0.99;3.61;12.92;5.004;3.41;56.79
1980-03-10;2.75;4.69;6.62;2.5;6.585;3.02;66.37
1980-03-11;0.37;3.02;5.66;0.0;7.479;1.2;60.82
1980-03-12;-1.73;1.05;3.83;14.93;4.577;2.05;78.63
1980-03-13;-2.27;1.24;4.75;9.17;3.895;2.54;69.15
1980-03-14;-16.0;-10.63;-5.25;1.89;19.546;7.17;55.99
1980-03-15;-18.93;-13.38;-7.83;2.33;14.376;2.73;72.54
1980-03-16;-16.98;-10.29;-3.59;5.29;8.797;6.56;71.78
1980-03-17;-1.99;1.09;4.18;7.21;4.866;5.53;80.91
1980-03-18;-2.91;3.3;9.51;27.86;3.815;3.77;59.92
1980-03-19;-12.45;-8.74;-5.03;1.0;14.66;3.38;50.44
1980-03-20;-13.12;-9.27;-5.43;0.0;15.71;3.49;41.86
1980-03-21;-13.96;-8.69;-3.42;6.26;3.25;5.21;68.67
1980-03-22;-11.18;-6.83;-2.49;0.0;10.179;3.2;60.09
1980-03-23;-1.77;0.13;2.03;8.8;9.787;2.75;61.26
1980-03-24;-5.68;-1.71;2.26;0.0;8.651;4.71;62.48
1980-03-25;-4.16;-0.89;2.38;0.0;11.778;5.78;54.52
1980-03-26;-3.37;0.69;4.76;8.68;7.444;5.19;67.26
1980-03-27;-2.86;-1.04;0.77;6.69;10.68;1.77;62.47
1980-03-28;-14.68;-9.23;-3.78;5.34;5.302;3.99;63.47
1980-03-29;-8.14;-0.47;7.2;3.01;12.609;7.66;54.23
1980-03-30;6.82;10.8;14.79;0.0;15.148;6.96;47.02
1980-03-31;8.44;12.77;17.1;0.0;17.15;6.98;43.5
1980-04-01;-1.91;4.33;10.57;1.02;5.157;5.85;48.29
1980-04-02;-2.7;-1.34;0.02;0.0;9.023;5.37;45.29
1980-04-03;-3.25;0.13;3.51;1.16;14.841;2.71;42.46
1980-04-04;-0.68;1.29;3.26;1.96;6.934;4.04;54.22
1980-04-05;-3.7;-0.45;2.8;3.42;13.488;2.6;49.05
1980-04-06;-6.03;-1.53;2.97;1.36;20.179;0.94;35.49
1980-04-07;-2.71;1.67;6.05;0.0;19.479;4.5;41.56
1980-04-08;-2.07;-0.4;1.26;0.0;11.028;5.62;45.23
1980-04-09;-3.11;1.86;6.83;0.0;19.097;3.82;43.47
1980-04-10;-3.87;-3.12;-2.36;1.49;14.328;2.86;33.49
1980-04-11;-2.53;-0.69;1.14;1.57;21.942;2.2;27.35
1980-04-12;-1.05;2.73;6.51;0.0;14.857;6.55;30.72
1980-04-13;-1.61;3.99;9.59;0.0;24.416;3.01;38.16
1980-04-14;-0.51;3.42;7.34;3.28;10.81;2.63;59.04
1980-04-15;2.66;5.47;8.29;0.0;15.656;1.9;38.75
1980-04-16;-0.28;4.5;9.28;0.0;23.973;2.71;36.25
1980-04-17;-1.92;5.55;13.03;0.0;26.406;1.28;21.14
1980-04-18;1.32;6.73;12.14;0.0;18.121;2.09;35.84
1980-04-19;3.57;7.06;10.55;1.72;9.024;2.32;66.56
1980-04-20;7.18;7.63;8.09;4.16;7.433;0.5;87.54
1980-04-21;7.6;8.87;10.14;2.92;6.237;0.46;83.95
1980-04-22;8.22;9.93;11.63;5.33;5.289;1.11;67.9
1980-04-23;6.33;9.16;11.99;0.0;17.194;1.88;37.41
1980-04-24;4.32;8.16;12.0;0.0;16.38;4.52;39.09
1980-04-25;5.27;6.34;7.42;3.94;6.865;2.49;59.9
1980-04-26;4.58;4.96;5.33;3.61;8.678;2.81;45.64
1980-04-27;3.37;6.07;8.77;2.25;8.469;1.71;61.58
1980-04-28;1.14;6.58;12.02;0.0;17.564;2.49;35.51
1980-04-29;4.16;9.09;14.03;0.0;17.725;2.11;33.94
1980-04-30;2.48;8.95;15.42;0.0;25.161;4.44;33.71
1980-05-01;7.72;12.25;16.78;0.0;18.322;2.72;38.82
1980-05-02;7.84;11.99;16.15;0.0;15.375;3.0;42.36
1980-05-03;8.26;9.28;10.3;7.02;7.118;3.76;65.73
1980-05-04;8.72;13.74;18.76;0.0;23.426;1.4;49.28
1980-05-05;10.86;16.98;23.1;0.0;26.518;3.3;39.34
1980-05-06;13.45;18.45;23.46;0.0;24.014;2.15;43.85
1980-05-07;11.89;16.44;20.98;0.0;19.798;3.48;50.87
1980-05-08;11.39;15.82;20.25;2.23;19.67;2.9;48.57
1980-05-09;11.46;16.58;21.69;0.0;16.578;1.21;45.84
1980-05-10;10.11;12.82;15.53;4.73;5.32;3.51;76.19
1980-05-11;10.07;13.85;17.62;0.0;9.933;3.68;62.34
1980-05-12;8.83;14.95;21.06;0.0;24.553;3.42;48.02
1980-05-13;9.42;15.11;20.81;0.0;27.206;0.78;35.65
1980-05-14;10.66;16.48;22.31;0.0;27.183;3.93;41.62
1980-05-15;13.2;17.05;20.89;0.0;21.412;2.54;44.89
1980-05-16;12.14;15.9;19.66;0.0;19.196;1.58;41.87
1980-05-17;11.31;17.32;23.34;0.0;11.803;1.3;41.54
1980-05-18;16.29;19.21;22.13;0.0;13.977;0.91;59.85
1980-05-19;11.27;16.16;21.06;0.0;26.097;3.88;34.43
1980-05-20;9.7;16.34;22.97;0.0;28.977;5.3;34.53
1980-05-21;13.54;18.43;23.33;0.0;28.982;2.64;45.48
1980-05-22;12.89;18.12;23.34;0.0;28.745;3.12;42.68
1980-05-23;13.27;17.02;20.77;1.91;24.028;1.06;47.32
1980-05-24;11.77;13.88;15.99;4.18;6.675;1.58;69.99
1980-05-25;11.76;14.56;17.36;0.0;14.05;2.29;57.73
1980-05-26;8.6;14.34;20.09;0.0;29.898;4.35;44.8
1980-05-27;12.25;16.8;21.35;1.5;24.251;1.53;36.54
1980-05-28;13.07;16.34;19.62;0.0;18.09;2.67;59.34
1980-05-29;11.75;15.51;19.26;9.46;7.69;2.76;63.52
1980-05-30;14.04;19.17;24.3;0.0;25.581;1.1;53.76
1980-05-31;13.09;17.51;21.93;2.37;9.481;1.43;67.85
1980-06-01;16.11;19.49;22.88;0.0;18.455;1.68;61.36
1980-06-02;16.53;19.08;21.63;0.0;20.036;0.79;58.17
1980-06-03;13.26;19.11;24.95;0.0;23.0;3.2;43.85
1980-06-04;20.81;23.89;26.98;0.0;30.859;0.7;67.33
1980-06-05;17.34;19.87;22.39;26.8;16.972;1.38;67.26
1980-06-06;18.22;20.47;22.72;0.0;19.142;1.89;71.4
1980-06-07;16.6;19.54;22.48;0.0;24.522;2.78;53.08
1980-06-08;14.89;18.8;22.71;0.0;28.947;3.49;43.79
1980-06-09;14.38;19.96;25.53;0.0;27.1;4.15;39.09
1980-06-10;15.47;21.69;27.91;0.0;29.993;3.2;37.12
1980-06-11;18.29;21.37;24.44;0.0;24.761;0.49;45.89
1980-06-12;17.32;20.66;24.01;6.91;20.569;1.48;63.76
1980-06-13;17.28;20.13;22.98;0.0;16.932;1.76;54.5
1980-06-14;14.42;17.43;20.44;1.17;19.474;2.07;35.54
1980-06-15;13.64;18.11;22.58;6.9;19.739;0.4;59.77
1980-06-16;14.57;17.09;19.6;34.2;11.45;4.48;41.94
1980-06-17;15.79;18.53;21.27;0.0;28.229;3.41;58.84
1980-06-18;16.44;18.72;21.0;2.7;18.379;1.82;47.32
1980-06-19;16.31;18.99;21.67;0.0;18.216;0.26;61.3
1980-06-20;18.81;20.7;22.59;1.14;15.356;0.88;61.45
1980-06-21;17.38;20.67;23.96;0.0;20.771;0.78;58.32
1980-06-22;16.54;21.16;25.79;0.0;26.273;0.88;41.09
1980-06-23;17.04;22.45;27.87;0.0;26.726;0.88;40.67
1980-06-24;16.87;22.0;27.13;0.0;22.998;0.98;38.13
1980-06-25;20.47;23.79;27.1;0.0;22.497;0.68;48.31
1980-06-26;19.97;23.62;27.26;9.1;18.874;0.52;41.95
1980-06-27;17.28;19.91;22.54;40.47;7.308;2.19;70.67
1980-06-28;15.34;17.46;19.59;23.16;8.614;3.3;65.88
1980-06-29;14.8;20.16;25.53;0.0;18.87;3.71;65.91
1980-06-30;18.92;22.12;25.31;0.0;21.578;2.4;75.74
1980-07-01;17.29;20.89;24.5;0.0;23.776;1.19;57.77
1980-07-02;16.51;20.42;24.33;0.0;25.107;1.09;47.14
1980-07-03;16.08;21.41;26.73;0.0;24.429;2.19;37.8
1980-07-04;16.92;22.93;28.94;0.0;27.733;3.0;32.84
1980-07-05;18.7;24.7;30.7;0.0;28.752;2.9;36.49
1980-07-06;19.85;24.52;29.19;0.0;26.775;0.5;34.41
1980-07-07;19.49;25.44;31.39;0.0;28.871;0.14;40.88
1980-07-08;18.83;22.14;25.45;8.24;5.634;1.41;57.7
1980-07-09;19.04;22.52;25.99;11.23;17.717;2.0;64.1
1980-07-10;21.32;24.31;27.31;0.0;24.601;0.7;65.51
1980-07-11;17.94;24.01;30.07;0.0;18.0;0.8;35.12
1980-07-12;22.17;26.94;31.7;7.09;21.626;1.5;33.92
1980-07-13;21.75;26.13;30.5;1.42;20.903;0.14;55.32
1980-07-14;20.26;25.41;30.56;0.0;24.734;0.91;41.66
1980-07-15;21.04;24.49;27.94;0.0;19.236;1.59;63.73
1980-07-16;18.55;23.79;29.03;0.0;21.613;2.18;31.63
1980-07-17;18.71;20.54;22.36;0.0;16.165;3.11;50.13
1980-07-18;17.92;20.86;23.79;0.0;19.609;2.46;45.3
1980-07-19;17.15;19.78;22.41;2.02;14.492;2.41;44.41
1980-07-20;16.55;21.73;26.9;0.0;24.084;0.83;34.21
1980-07-21;17.42;23.39;29.35;0.0;21.971;1.19;25.43
1980-07-22;19.08;24.52;29.95;0.0;22.256;2.49;28.09
1980-07-23;17.92;23.0;28.08;0.0;21.876;1.92;36.13
1980-07-24;17.63;23.07;28.51;0.0;23.346;0.81;25.32
1980-07-25;17.62;24.02;30.42;5.26;27.191;3.34;27.96
1980-07-26;19.19;22.62;26.05;1.39;22.241;2.7;49.37
1980-07-27;17.7;22.09;26.49;0.0;22.047;2.21;33.49
1980-07-28;16.39;23.23;30.07;0.0;26.135;2.97;21.29
1980-07-29;17.12;24.01;30.9;0.0;25.707;2.95;24.81
1980-07-30;17.13;21.9;26.67;0.0;23.425;3.21;40.47
1980-07-31;17.31;21.83;26.35;0.0;23.477;1.11;23.32
1980-08-01;18.31;23.2;28.09;0.0;20.56;2.74;39.35
1980-08-02;17.34;21.91;26.48;0.0;22.997;2.74;25.07
1980-08-03;16.76;23.41;30.06;1.35;23.684;4.47;24.17
1980-08-04;18.56;25.81;33.07;0.0;23.215;3.92;23.6
1980-08-05;17.51;22.76;28.01;1.11;11.751;4.09;60.65
1980-08-06;15.49;17.8;20.12;1.97;15.708;3.8;43.49
1980-08-07;16.82;21.28;25.74;0.0;20.891;1.3;34.99
1980-08-08;15.28;21.68;28.09;0.0;23.049;3.28;42.83
1980-08-09;17.65;22.71;27.77;0.0;23.114;2.81;30.08
1980-08-10;17.66;23.98;30.31;0.0;22.755;3.09;20.76
1980-08-11;18.53;25.44;32.35;0.0;23.141;3.11;19.41
1980-08-12;20.07;26.65;33.23;0.0;23.649;4.75;19.53
1980-08-13;21.46;27.63;33.79;0.0;23.298;3.85;19.11
1980-08-14;22.04;27.22;32.4;0.0;22.549;2.21;20.43
1980-08-15;21.21;26.89;32.57;0.0;22.353;2.2;20.97
1980-08-16;21.63;27.18;32.73;0.0;22.077;1.66;22.54
1980-08-17;20.19;25.84;31.5;0.0;20.625;0.68;20.28
1980-08-18;17.77;25.92;34.07;0.0;22.208;1.29;19.78
1980-08-19;16.5;25.15;33.8;0.0;21.889;1.37;21.5
1980-08-20;18.82;23.98;29.15;2.07;21.9;3.63;29.7
1980-08-21;18.75;23.27;27.78;0.0;19.904;2.4;30.45
1980-08-22;18.35;23.63;28.9;0.0;20.003;2.28;26.58
1980-08-23;17.54;24.87;32.2;0.0;20.863;2.6;19.54
1980-08-24;20.23;27.01;33.79;0.0;21.795;2.34;12.27
1980-08-25;22.26;27.38;32.49;2.01;20.759;0.8;19.54
1980-08-26;17.57;24.46;31.35;0.0;20.576;1.77;19.25
1980-08-27;21.2;27.26;33.32;0.0;19.207;1.04;22.6
1980-08-28;17.58;24.03;30.49;0.0;15.766;2.29;31.16
1980-08-29;15.04;19.7;24.36;0.0;17.757;3.71;42.96
1980-08-30;14.48;18.18;21.88;0.0;19.875;2.5;29.94
1980-08-31;14.17;21.15;28.13;0.0;20.392;3.56;23.54
1980-09-01;18.91;22.98;27.04;0.0;18.56;2.55;27.0
1980-09-02;18.51;23.65;28.79;0.0;18.553;2.25;21.79
1980-09-03;17.0;23.05;29.11;0.0;19.742;1.51;19.66
1980-09-04;15.66;22.31;28.96;2.55;18.682;2.34;25.91
1980-09-05;17.34;20.8;24.25;0.0;17.524;2.2;34.7
1980-09-06;13.08;16.16;19.24;0.0;8.895;2.01;30.87
1980-09-07;13.06;16.75;20.44;5.75;13.865;2.21;33.45
1980-09-08;15.13;19.59;24.06;0.87;9.261;2.5;49.41
1980-09-09;16.36;20.98;25.6;0.0;16.515;1.22;45.63
1980-09-10;13.15;20.02;26.9;0.0;17.506;1.92;35.93
1980-09-11;10.99;15.47;19.95;12.58;5.537;3.24;74.52
1980-09-12;12.13;15.28;18.43;1.61;11.009;3.76;50.37
1980-09-13;11.53;12.78;14.03;12.17;7.975;2.68;42.42
1980-09-14;9.79;14.47;19.15;0.0;16.442;2.34;38.18
1980-09-15;13.12;17.7;22.28;0.0;15.116;1.22;44.19
1980-09-16;15.31;20.46;25.6;0.0;16.695;2.11;35.28
1980-09-17;12.66;17.45;22.25;0.0;15.193;1.87;44.04
1980-09-18;11.59;16.48;21.37;0.0;15.259;1.53;27.24
1980-09-19;12.32;19.17;26.02;0.0;15.584;0.71;18.61
1980-09-20;14.91;20.3;25.69;0.0;16.158;3.04;41.95
1980-09-21;14.31;19.87;25.43;0.0;15.785;1.34;42.51
1980-09-22;11.6;20.0;28.4;0.0;16.144;2.69;34.3
1980-09-23;11.29;17.68;24.07;0.0;13.899;2.34;39.82
1980-09-24;11.1;16.61;22.12;0.0;15.91;1.96;25.14
1980-09-25;10.17;14.66;19.14;0.0;15.701;1.96;25.36
1980-09-26;10.63;16.5;22.38;0.0;15.704;1.74;20.34
1980-09-27;10.37;17.96;25.56;0.0;15.581;0.63;21.58
1980-09-28;11.82;19.54;27.26;0.0;15.466;1.12;18.91
1980-09-29;13.14;22.21;31.29;0.0;14.58;0.27;18.7
1980-09-30;13.21;19.13;25.05;3.35;4.582;0.61;31.17
1980-10-01;12.48;16.56;20.64;3.79;6.263;3.49;34.77
1980-10-02;11.37;17.45;23.52;0.0;14.069;1.87;40.74
1980-10-03;13.24;20.9;28.56;0.0;10.725;3.99;33.61
1980-10-04;9.99;15.8;21.6;0.0;8.249;3.35;42.1
1980-10-05;9.92;15.78;21.64;0.0;14.826;1.97;34.52
1980-10-06;8.19;13.06;17.93;5.05;11.561;2.98;37.8
1980-10-07;6.27;10.28;14.29;0.0;4.412;2.57;44.83
1980-10-08;6.43;10.96;15.48;0.0;5.342;2.8;54.28
1980-10-09;12.77;15.63;18.49;0.0;7.886;1.42;51.51
1980-10-10;13.24;16.95;20.66;0.0;11.159;1.62;34.9
1980-10-11;10.42;17.19;23.96;0.0;14.031;3.53;30.82
1980-10-12;13.63;19.32;25.02;5.45;9.621;2.59;38.79
1980-10-13;14.93;20.65;26.37;0.0;13.382;2.61;33.76
1980-10-14;11.79;17.28;22.77;0.0;7.773;3.94;27.93
1980-10-15;13.21;15.85;18.49;6.82;6.172;2.68;43.8
1980-10-16;9.77;14.44;19.11;0.0;9.081;1.4;59.05
1980-10-17;8.5;14.4;20.3;6.71;5.724;0.25;48.82
1980-10-18;10.23;13.93;17.63;0.0;6.297;2.59;62.4
1980-10-19;2.08;6.22;10.37;0.0;4.331;3.17;46.72
1980-10-20;3.28;7.31;11.35;0.0;9.828;1.06;32.63
1980-10-21;4.97;9.46;13.96;2.87;3.402;1.99;46.84
1980-10-22;7.67;11.0;14.32;0.0;10.066;2.1;32.68
1980-10-23;6.06;9.63;13.2;4.36;2.899;3.34;39.31
1980-10-24;12.91;17.36;21.8;0.0;9.862;4.09;47.13
1980-10-25;14.96;15.62;16.27;24.03;2.612;0.34;75.1
1980-10-26;12.28;15.32;18.35;0.0;5.914;4.16;63.38
1980-10-27;9.45;14.67;19.89;10.54;10.263;2.5;41.77
1980-10-28;9.4;12.13;14.86;9.26;3.554;2.36;68.04
1980-10-29;7.33;8.49;9.65;1.57;5.687;2.82;57.07
1980-10-30;6.13;6.77;7.41;1.83;8.019;3.63;52.56
1980-10-31;1.39;4.33;7.28;0.0;9.391;2.45;60.68
1980-11-01;1.47;4.97;8.46;1.77;2.83;1.94;71.01
1980-11-02;0.97;3.43;5.89;0.0;8.4;2.63;49.28
1980-11-03;-1.05;2.96;6.96;0.0;6.718;1.82;37.84
1980-11-04;-0.32;5.73;11.79;0.0;9.437;1.67;38.85
1980-11-05;2.32;8.32;14.33;0.0;10.168;2.09;40.56
1980-11-06;4.13;9.46;14.79;2.45;9.287;2.76;44.88
1980-11-07;1.92;5.43;8.94;0.0;7.386;3.27;51.14
1980-11-08;0.25;3.71;7.17;0.0;7.385;1.98;40.76
1980-11-09;-1.03;1.9;4.84;0.0;7.39;2.85;29.94
1980-11-10;-4.14;2.33;8.8;1.61;0.862;2.17;63.66
1980-11-11;7.01;10.17;13.33;4.12;3.96;3.36;65.34
1980-11-12;2.7;5.33;7.96;0.0;7.498;3.77;45.28
1980-11-13;5.05;9.02;12.98;1.61;2.485;5.68;68.15
1980-11-14;11.09;13.39;15.69;5.5;2.629;3.31;80.59
1980-11-15;9.63;11.03;12.43;3.58;2.854;2.86;72.24
1980-11-16;-0.13;2.85;5.84;7.26;2.1;6.21;54.82
1980-11-17;-0.8;1.98;4.76;0.0;7.354;3.17;44.64
1980-11-18;-2.28;-0.73;0.82;0.0;9.541;3.06;29.41
1980-11-19;-3.57;-1.34;0.89;0.0;8.647;2.96;40.93
1980-11-20;-1.74;1.18;4.1;0.0;4.023;2.44;53.44
1980-11-21;-0.85;3.21;7.26;3.84;2.335;3.25;49.01
1980-11-22;5.74;8.56;11.38;0.0;3.091;4.14;79.03
1980-11-23;6.14;9.93;13.71;0.0;6.483;2.38;61.77
1980-11-24;6.37;8.95;11.53;6.99;2.641;1.84;79.36
1980-11-25;1.3;5.89;10.47;2.77;1.238;3.76;65.09
1980-11-26;3.96;9.21;14.46;0.0;6.828;2.6;50.46
1980-11-27;7.0;10.52;14.03;3.29;3.112;2.5;75.87
1980-11-28;5.52;8.66;11.8;7.21;2.978;2.26;80.15
1980-11-29;2.96;7.1;11.24;5.67;1.701;4.47;73.84
1980-11-30;3.68;5.13;6.58;0.3;3.048;2.81;64.8
1980-12-01;2.32;4.46;6.59;3.78;1.994;6.2;59.26
1980-12-02;1.51;2.6;3.7;1.58;5.355;4.38;52.39
