iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;5.09;7.92;10.74;7.79;1.272;5.28;72.75
1980-01-02;4.75;6.52;8.29;0.0;2.307;6.78;53.98
1980-01-03;2.01;4.18;6.35;0.0;3.174;4.1;70.48
1980-01-04;1.76;6.22;10.69;0.0;4.262;4.01;50.1
1980-01-05;5.41;7.81;10.21;0.0;3.698;4.91;74.59
1980-01-06;6.44;8.86;11.27;0.65;3.519;5.16;61.41
1980-01-07;3.3;6.89;10.49;0.0;4.151;3.91;63.47
1980-01-08;3.53;6.03;8.53;0.0;3.118;2.08;72.55
1980-01-09;2.51;4.67;6.83;0.0;3.517;2.71;77.42
1980-01-10;4.54;6.15;7.76;0.3;2.444;2.38;83.91
1980-01-11;5.13;7.03;8.93;9.54;0.897;2.71;87.04
1980-01-12;4.47;7.42;10.37;0.0;3.079;6.44;79.14
1980-01-13;4.38;6.35;8.31;5.74;2.494;5.61;78.24
1980-01-14;0.62;1.72;2.81;0.0;2.388;6.04;57.59
1980-01-15;-0.09;2.27;4.63;0.0;2.792;2.16;63.74
1980-01-16;-1.09;1.27;3.64;0.0;4.253;5.24;56.53
1980-01-17;4.79;8.31;11.84;0.42;1.764;6.38;82.24
1980-01-18;10.2;11.56;12.93;1.65;1.47;8.62;80.47
1980-01-19;7.99;9.3;10.62;8.89;1.291;6.5;84.02
1980-01-20;8.11;9.15;10.19;1.9;4.289;6.61;73.22
1980-01-21;4.2;6.68;9.16;10.32;1.258;6.31;86.79
1980-01-22;0.12;1.24;2.35;0.0;1.899;5.56;74.04
1980-01-23;-0.91;1.41;3.73;0.0;3.492;5.05;72.63
1980-01-24;-0.47;1.27;3.02;0.34;4.186;4.12;56.37
1980-01-25;3.83;5.35;6.87;6.46;1.86;6.13;74.36
1980-01-26;-0.63;1.99;4.61;1.75;2.888;5.22;68.79
1980-01-27;-1.06;2.21;5.48;2.86;3.08;5.37;57.43
1980-01-28;3.83;5.02;6.2;2.67;3.973;6.52;70.95
1980-01-29;2.75;4.68;6.61;2.63;1.684;5.91;81.21
1980-01-30;0.7;3.35;5.99;0.0;3.61;4.22;79.34
1980-01-31;0.51;3.78;7.06;2.64;5.581;4.42;54.91
1980-02-01;2.03;4.15;6.27;5.79;2.551;5.68;85.92
1980-02-02;1.38;3.46;5.55;3.44;2.8;5.98;86.93
1980-02-03;2.1;3.56;5.02;3.02;2.779;5.43;82.81
1980-02-04;1.99;4.87;7.75;9.66;1.977;2.12;86.5
1980-02-05;3.58;5.63;7.69;3.03;4.819;4.83;65.7
1980-02-06;5.67;8.06;10.45;8.0;3.252;7.16;82.51
1980-02-07;2.73;5.55;8.37;4.87;3.377;5.95;83.67
1980-02-08;-0.7;3.19;7.07;0.0;6.044;4.86;47.26
1980-02-09;0.51;4.05;7.6;0.39;6.422;4.07;59.5
1980-02-10;2.57;5.36;8.15;0.0;4.25;3.34;63.23
1980-02-11;1.51;5.63;9.74;0.0;7.111;3.67;52.7
1980-02-12;1.11;4.96;8.82;2.81;6.552;4.14;55.62
1980-02-13;-0.07;2.37;4.81;1.17;2.512;5.18;72.57
1980-02-14;-0.02;3.0;6.01;0.0;4.132;3.01;57.38
1980-02-15;-1.13;7.29;15.7;15.67;1.623;6.1;73.61
1980-02-16;10.55;12.1;13.64;6.24;3.424;8.33;77.93
1980-02-17;4.68;8.5;12.33;0.0;4.819;4.26;77.23
1980-02-18;4.71;11.36;18.01;0.0;6.576;6.03;57.14
1980-02-19;7.68;10.46;13.25;0.0;8.492;4.81;64.63
1980-02-20;5.41;9.45;13.48;0.0;4.522;3.91;69.46
1980-02-21;3.82;8.79;13.77;0.0;7.425;1.24;56.45
1980-02-22;5.25;8.56;11.87;0.0;4.114;2.36;67.92
1980-02-23;1.02;3.83;6.65;3.96;5.759;5.71;64.3
1980-02-24;-4.14;-0.97;2.2;0.0;7.383;5.21;52.8
1980-02-25;-2.48;0.77;4.02;5.51;5.99;4.39;58.24
1980-02-26;1.38;2.92;4.45;2.61;7.36;3.35;66.64
1980-02-27;3.35;9.35;15.35;8.59;4.107;5.56;64.3
1980-02-28;9.43;13.37;17.3;6.62;5.065;7.35;73.13
1980-02-29;8.43;12.55;16.68;2.11;4.314;6.81;71.11
1980-03-01;7.73;9.92;12.11;5.09;4.921;5.66;59.92
1980-03-02;2.14;4.76;7.39;0.0;7.09;4.43;57.0
1980-03-03;1.7;5.64;9.58;3.95;3.769;6.05;62.93
1980-03-04;8.23;11.27;14.3;1.53;5.617;4.97;80.95
1980-03-05;4.98;7.75;10.52;1.53;7.044;3.03;74.35
1980-03-06;2.22;6.15;10.08;4.55;9.304;1.99;57.5
1980-03-07;2.33;4.49;6.65;1.72;6.443;4.22;70.11
1980-03-08;0.37;4.58;8.8;0.0;10.281;2.94;46.49
1980-03-09;0.55;4.48;8.4;1.08;11.502;4.68;43.44
1980-03-10;-0.07;4.34;8.76;0.0;7.509;5.85;45.62
1980-03-11;1.59;5.45;9.3;0.0;9.914;4.84;50.96
1980-03-12;5.12;7.51;9.9;0.54;9.891;2.24;49.02
1980-03-13;0.41;4.71;9.02;0.31;10.873;3.78;42.52
1980-03-14;-2.65;1.51;5.67;0.0;12.385;1.02;38.88
1980-03-15;-0.44;4.17;8.79;0.0;14.426;3.26;31.59
1980-03-16;3.87;9.88;15.89;6.76;4.342;3.17;52.34
1980-03-17;7.75;10.62;13.48;19.24;3.193;5.93;85.54
1980-03-18;3.48;6.68;9.88;0.0;10.015;2.15;59.43
1980-03-19;4.73;7.96;11.18;6.74;4.527;6.57;56.47
1980-03-20;6.94;9.93;12.91;6.15;4.48;5.87;65.58
1980-03-21;10.56;14.91;19.27;0.0;13.316;6.01;44.55
1980-03-22;8.0;12.12;16.23;5.12;11.583;5.63;52.18
1980-03-23;5.32;8.81;12.3;0.0;8.995;4.18;43.47
1980-03-24;4.77;8.79;12.8;0.0;15.269;2.17;46.65
1980-03-25;2.07;8.5;14.94;0.0;16.927;2.41;33.09
1980-03-26;5.06;12.65;20.24;0.0;17.348;2.41;36.75
1980-03-27;6.09;13.9;21.71;0.0;14.685;3.0;35.79
1980-03-28;7.47;12.72;17.98;0.0;8.771;1.82;49.74
1980-03-29;6.84;9.36;11.88;12.66;6.105;2.81;79.07
1980-03-30;3.16;6.69;10.22;3.21;4.913;4.32;82.66
1980-03-31;3.78;8.38;12.97;0.0;14.177;1.32;42.57
1980-04-01;4.26;6.76;9.27;4.6;7.335;3.14;63.19
1980-04-02;4.54;6.3;8.06;2.98;11.306;3.32;73.64
1980-04-03;5.0;7.87;10.73;0.7;12.211;3.66;63.99
1980-04-04;4.73;7.74;10.75;0.0;8.452;3.67;60.49
1980-04-05;4.55;6.08;7.62;2.15;9.977;3.72;74.06
1980-04-06;4.36;6.88;9.4;1.33;5.342;3.33;65.65
1980-04-07;4.34;6.59;8.84;0.26;6.66;3.82;66.23
1980-04-08;5.11;8.54;11.97;0.34;12.676;3.67;52.84
1980-04-09;5.06;9.14;13.22;0.0;9.586;4.6;48.76
1980-04-10;6.83;11.46;16.09;0.0;17.503;5.5;49.32
1980-04-11;4.67;11.87;19.07;0.0;19.398;4.7;33.45
1980-04-12;6.57;12.8;19.04;0.0;20.269;4.91;37.9
1980-04-13;7.16;12.88;18.6;0.0;15.549;4.21;46.0
1980-04-14;5.22;10.71;16.19;0.0;15.454;3.11;46.84
1980-04-15;3.46;7.4;11.34;0.0;8.754;2.71;53.26
1980-04-16;4.0;6.72;9.45;0.0;10.283;1.66;58.66
1980-04-17;1.38;7.25;13.12;0.0;20.597;1.69;32.41
1980-04-18;0.78;7.19;13.61;0.0;22.499;0.94;29.95
1980-04-19;0.42;8.1;15.77;2.58;17.696;3.49;33.74
1980-04-20;4.87;8.89;12.91;6.33;9.615;4.98;65.77
1980-04-21;4.53;8.09;11.64;4.04;10.507;3.7;63.19
1980-04-22;3.29;6.18;9.07;6.3;13.624;3.52;60.28
1980-04-23;7.32;10.09;12.86;3.82;12.396;5.62;70.3
1980-04-24;5.02;9.22;13.43;0.3;10.779;1.92;55.02
1980-04-25;4.18;8.76;13.34;0.51;13.06;1.81;57.43
1980-04-26;5.58;9.23;12.89;0.25;9.959;1.84;62.01
1980-04-27;3.71;7.87;12.03;0.27;9.597;2.83;59.21
