iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.05;7.93;12.81;7.76;2.734;3.76;54.06
1980-01-02;1.19;6.35;11.52;2.43;6.955;4.31;43.55
1980-01-03;0.11;3.24;6.36;4.54;1.678;3.96;74.09
1980-01-04;6.53;8.21;9.9;16.44;6.107;5.66;70.74
1980-01-05;2.62;6.63;10.64;0.0;8.102;4.36;56.86
1980-01-06;5.78;9.43;13.07;8.46;5.214;5.83;78.82
1980-01-07;3.32;7.57;11.82;0.0;7.357;5.67;49.01
1980-01-08;-0.32;6.66;13.63;0.0;11.7;2.62;35.85
1980-01-09;5.17;10.7;16.24;0.4;8.691;3.6;53.38
1980-01-10;5.91;9.52;13.13;1.94;6.105;4.08;60.89
1980-01-11;3.84;8.01;12.18;0.51;6.61;2.41;63.82
1980-01-12;1.87;8.62;15.37;0.0;10.082;2.38;39.17
1980-01-13;5.36;9.92;14.48;4.1;8.585;1.51;60.13
1980-01-14;3.69;8.47;13.25;0.0;10.9;2.19;52.58
1980-01-15;2.46;7.91;13.37;0.0;11.108;1.78;40.6
1980-01-16;2.0;8.33;14.66;0.0;11.495;1.0;35.48
1980-01-17;1.95;8.12;14.28;0.49;7.424;2.92;62.0
1980-01-18;7.16;9.45;11.74;6.57;4.107;3.03;83.24
1980-01-19;2.69;7.85;13.02;11.49;3.983;5.28;65.12
1980-01-20;3.53;7.4;11.28;0.0;9.704;2.56;46.37
1980-01-21;0.57;5.87;11.16;0.0;10.73;2.66;32.42
1980-01-22;1.5;7.3;13.11;0.0;11.161;2.66;41.0
1980-01-23;2.72;9.36;16.0;0.0;10.79;2.15;39.15
1980-01-24;5.63;10.25;14.87;0.23;10.418;0.7;39.78
1980-01-25;5.87;10.86;15.85;0.0;10.8;0.66;45.83
1980-01-26;7.04;11.22;15.4;0.0;10.644;0.7;44.55
1980-01-27;5.31;10.26;15.21;0.0;10.355;0.7;43.37
1980-01-28;3.07;8.98;14.9;0.0;12.111;0.85;42.15
1980-01-29;3.7;9.74;15.78;0.0;11.454;2.18;36.19
1980-01-30;2.7;7.72;12.75;0.0;10.816;1.99;42.19
1980-01-31;1.97;7.34;12.71;0.0;11.485;1.72;44.31
1980-02-01;1.42;7.08;12.73;0.0;11.967;2.32;35.02
1980-02-02;1.9;8.52;15.13;0.0;12.8;3.26;23.94
1980-02-03;4.51;9.82;15.14;0.0;12.02;2.69;38.44
1980-02-04;3.92;9.32;14.72;0.0;11.597;2.16;40.73
1980-02-05;3.05;8.43;13.81;0.38;8.522;2.1;44.91
1980-02-06;4.65;8.98;13.3;0.0;9.634;2.91;42.22
1980-02-07;5.77;10.18;14.58;0.0;11.527;3.89;38.19
1980-02-08;4.47;9.29;14.1;0.0;11.624;3.95;28.73
1980-02-09;3.94;9.43;14.92;0.0;12.68;3.66;31.98
1980-02-10;3.65;9.89;16.14;0.0;15.255;2.82;31.19
1980-02-11;4.92;10.7;16.49;0.0;14.544;2.6;32.07
1980-02-12;5.57;11.38;17.19;0.26;13.722;2.32;31.8
1980-02-13;4.95;11.63;18.3;0.0;14.589;1.47;28.23
1980-02-14;5.55;11.81;18.08;0.0;14.141;1.38;29.16
1980-02-15;4.54;11.89;19.25;0.0;13.658;2.8;26.99
1980-02-16;6.55;11.3;16.05;0.0;13.895;0.96;46.25
1980-02-17;6.54;10.84;15.14;0.37;12.207;1.89;42.94
1980-02-18;5.47;10.79;16.1;0.0;14.083;3.58;33.28
1980-02-19;2.94;9.17;15.4;0.0;16.694;1.58;25.71
1980-02-20;2.31;9.19;16.07;0.0;10.169;2.37;31.74
1980-02-21;2.19;8.38;14.58;0.0;16.185;2.56;21.08
1980-02-22;0.59;6.38;12.17;0.09;11.942;3.61;34.71
1980-02-23;-1.26;5.13;11.52;0.0;16.856;3.7;18.39
1980-02-24;-1.54;5.11;11.76;0.0;16.709;2.65;18.46
1980-02-25;-1.69;4.67;11.03;0.0;18.523;2.07;23.91
1980-02-26;-2.89;4.97;12.84;0.0;18.359;2.43;30.26
1980-02-27;-1.01;4.77;10.55;0.3;16.5;2.71;28.56
1980-02-28;-4.0;4.42;12.85;0.0;19.322;0.39;14.57
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-2.15;5.79;13.72;0.0;18.702;0.78;24.3
1980-03-02;2.94;9.42;15.89;0.71;15.938;1.47;28.45
1980-03-03;6.47;11.41;16.36;0.0;11.51;0.61;46.0
1980-03-04;5.48;12.81;20.15;0.0;16.927;2.92;28.35
1980-03-05;7.18;13.52;19.85;0.0;17.324;1.76;28.46
1980-03-06;7.22;13.84;20.47;0.0;17.362;2.24;33.75
1980-03-07;7.73;13.96;20.18;0.86;16.457;3.34;41.23
1980-03-08;4.5;10.76;17.02;0.72;16.211;2.98;29.19
1980-03-09;4.17;11.15;18.13;0.0;16.883;0.79;26.87
1980-03-10;5.27;13.09;20.91;0.0;19.066;1.18;25.0
1980-03-11;10.39;17.18;23.97;0.0;18.892;1.08;26.67
1980-03-12;10.03;17.2;24.38;0.0;18.192;0.84;22.32
1980-03-13;6.44;14.79;23.15;0.0;20.268;2.48;26.82
1980-03-14;6.72;13.17;19.63;0.0;18.885;3.02;28.63
1980-03-15;6.76;14.53;22.3;0.0;20.307;0.79;14.99
1980-03-16;7.67;14.99;22.31;0.0;19.505;1.88;17.68
1980-03-17;6.52;12.93;19.34;0.0;11.451;2.18;34.28
1980-03-18;5.27;12.34;19.41;0.0;18.977;1.7;23.35
1980-03-19;7.88;14.54;21.19;0.0;19.007;0.7;25.21
1980-03-20;8.47;15.93;23.38;0.0;19.216;1.7;23.81
1980-03-21;10.3;15.98;21.66;0.0;19.989;1.81;31.4
1980-03-22;6.42;14.36;22.31;0.0;19.634;2.01;27.31
1980-03-23;5.66;13.46;21.26;0.0;19.497;2.03;21.38
1980-03-24;8.2;15.07;21.95;0.0;20.861;0.81;22.55
1980-03-25;8.34;15.35;22.36;0.0;19.251;0.4;23.5
1980-03-26;9.58;16.75;23.91;0.0;20.683;1.42;27.15
1980-03-27;11.64;18.52;25.39;0.0;22.084;2.3;28.46
1980-03-28;10.39;15.79;21.19;0.0;20.705;2.38;32.26
1980-03-29;8.19;14.86;21.52;0.0;20.337;1.33;33.12
1980-03-30;10.49;15.86;21.24;0.0;19.36;1.43;29.49
1980-03-31;6.54;14.24;21.94;0.0;20.656;1.31;30.91
1980-04-01;7.15;14.53;21.91;0.0;21.044;2.36;31.99
1980-04-02;6.22;13.2;20.18;0.0;23.326;3.26;23.81
1980-04-03;6.76;13.91;21.06;0.0;21.561;1.11;16.02
1980-04-04;8.8;15.2;21.59;0.0;18.842;2.35;34.35
1980-04-05;7.37;13.57;19.77;0.0;20.93;1.31;24.61
1980-04-06;8.21;14.51;20.81;0.0;21.379;1.93;38.29
1980-04-07;7.37;13.68;19.98;4.58;17.486;3.61;34.64
1980-04-08;7.38;13.03;18.67;0.0;21.279;4.48;30.92
1980-04-09;5.03;12.02;19.01;0.0;21.527;2.76;27.3
1980-04-10;6.64;14.41;22.17;0.0;23.071;2.67;17.42
1980-04-11;9.94;15.98;22.01;0.0;21.811;3.43;27.82
1980-04-12;6.53;14.27;22.01;0.0;21.548;2.17;32.93
1980-04-13;8.28;13.48;18.69;3.97;11.464;2.45;55.66
1980-04-14;10.19;14.43;18.68;3.49;11.836;3.41;61.06
1980-04-15;10.3;13.61;16.92;3.36;10.276;2.56;61.26
1980-04-16;7.63;14.37;21.1;0.0;23.038;0.6;36.87
1980-04-17;10.23;17.23;24.22;0.0;22.407;1.83;35.46
1980-04-18;10.61;13.71;16.81;15.87;8.15;2.02;68.71
1980-04-19;9.97;14.5;19.03;0.0;12.085;3.43;40.52
1980-04-20;6.25;12.76;19.27;0.0;20.729;2.93;31.72
1980-04-21;5.87;13.16;20.44;0.0;23.729;2.04;19.69
1980-04-22;6.65;14.46;22.28;0.0;25.481;1.94;18.82
1980-04-23;6.11;12.27;18.42;11.83;14.357;2.04;33.62
1980-04-24;10.26;12.16;14.07;18.24;0.42;1.31;87.98
1980-04-25;9.05;14.47;19.9;3.52;14.121;2.43;49.91
1980-04-26;8.36;12.94;17.51;0.0;20.675;2.97;40.59
1980-04-27;5.05;12.47;19.9;0.0;24.504;2.54;25.02
1980-04-28;6.79;12.84;18.89;0.0;24.535;1.83;27.34
1980-04-29;6.28;12.84;19.4;0.0;23.832;3.14;40.22
1980-04-30;8.74;15.32;21.89;0.0;22.733;3.11;30.68
1980-05-01;9.72;15.89;22.05;0.0;26.651;1.72;38.76
1980-05-02;10.15;13.91;17.67;17.78;8.092;2.2;72.86
1980-05-03;10.53;16.79;23.05;2.32;14.437;2.3;45.09
1980-05-04;12.02;15.37;18.71;0.0;7.503;1.82;64.81
1980-05-05;9.77;14.28;18.78;66.18;12.981;2.56;63.38
1980-05-06;10.01;10.21;10.41;75.7;4.906;3.3;87.98
1980-05-07;10.32;13.98;17.64;38.81;15.59;2.11;67.52
1980-05-08;10.8;13.94;17.07;39.98;13.318;1.92;77.61
1980-05-09;10.09;13.28;16.46;1.54;7.224;1.75;69.2
1980-05-10;12.36;14.34;16.32;5.34;13.155;0.91;65.69
1980-05-11;9.11;14.47;19.83;7.1;17.851;1.62;54.47
1980-05-12;11.08;16.74;22.4;0.89;21.74;1.4;57.33
1980-05-13;10.19;14.55;18.92;0.0;17.414;2.35;61.04
1980-05-14;8.09;11.7;15.31;4.33;13.543;2.3;44.35
1980-05-15;8.01;11.95;15.88;2.65;24.95;1.71;38.87
1980-05-16;9.34;13.24;17.14;2.85;27.526;0.81;47.68
1980-05-17;10.41;14.03;17.65;2.95;27.222;0.6;48.15
1980-05-18;7.74;13.37;19.0;0.0;23.145;2.09;42.12
1980-05-19;11.02;14.32;17.62;0.57;24.213;1.51;59.34
1980-05-20;10.51;15.73;20.95;0.11;20.46;1.88;48.79
1980-05-21;7.96;14.88;21.79;0.0;25.695;2.51;39.27
