iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-2.35;0.89;4.14;3.78;1.143;2.98;82.66
1980-01-02;-2.9;-0.56;1.77;0.0;3.167;4.03;63.83
1980-01-03;0.22;2.84;5.47;10.76;0.599;0.95;84.17
1980-01-04;3.66;7.58;11.49;0.0;1.803;5.04;85.51
1980-01-05;8.9;10.16;11.43;0.0;2.173;4.91;82.84
1980-01-06;8.39;8.77;9.14;0.0;2.745;3.38;85.81
1980-01-07;8.1;10.22;12.34;0.0;2.65;5.18;83.51
1980-01-08;10.1;11.0;11.91;0.0;1.967;6.01;82.06
1980-01-09;9.19;10.89;12.59;2.85;0.685;6.0;88.57
1980-01-10;4.92;7.27;9.62;4.47;2.441;3.04;85.23
1980-01-11;7.37;9.38;11.39;3.52;1.95;4.24;87.67
1980-01-12;7.53;9.38;11.22;1.16;0.945;4.27;84.63
1980-01-13;6.65;8.54;10.44;1.9;1.508;4.55;85.15
1980-01-14;5.91;7.71;9.5;0.0;2.898;2.27;84.85
1980-01-15;6.62;7.64;8.66;3.56;0.997;3.86;83.59
1980-01-16;6.36;8.36;10.36;0.0;3.524;2.55;85.19
1980-01-17;4.41;7.67;10.93;0.0;2.409;5.16;85.1
1980-01-18;1.55;4.25;6.96;0.0;3.923;3.66;86.58
1980-01-19;-1.41;1.32;4.06;0.0;2.276;3.39;64.26
1980-01-20;-0.87;0.38;1.62;0.0;1.294;1.39;56.89
1980-01-21;-1.81;-0.1;1.6;0.0;2.096;3.19;70.75
1980-01-22;-2.34;-1.46;-0.59;0.0;2.768;2.62;61.29
1980-01-23;-4.75;-2.32;0.11;0.0;3.423;2.36;58.84
1980-01-24;-4.66;-1.64;1.39;0.0;3.824;1.71;76.46
1980-01-25;-4.29;-2.96;-1.63;0.0;1.272;1.17;62.12
1980-01-26;-4.43;-2.09;0.25;0.0;3.328;1.59;68.97
1980-01-27;0.12;1.27;2.42;0.9;2.924;1.85;83.23
1980-01-28;-3.21;-0.81;1.58;3.17;2.32;2.54;81.28
1980-01-29;-2.48;0.12;2.72;0.0;4.383;3.3;70.16
1980-01-30;-1.95;1.38;4.7;1.16;3.81;2.45;76.98
1980-01-31;0.51;3.68;6.85;0.0;4.957;2.33;76.26
1980-02-01;1.77;4.18;6.6;3.42;1.905;4.1;85.42
1980-02-02;1.7;3.93;6.16;2.9;1.688;0.74;86.98
1980-02-03;2.14;4.77;7.4;0.18;5.269;1.75;82.44
1980-02-04;3.87;6.26;8.65;0.7;3.676;5.8;86.66
1980-02-05;1.53;3.22;4.9;0.0;4.023;2.16;77.8
1980-02-06;3.38;6.83;10.28;2.88;5.478;5.67;80.55
1980-02-07;5.32;7.31;9.3;6.76;4.147;5.4;83.54
