iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.88;2.94;6.77;0.0;4.84;2.23;52.46
1980-01-02;1.11;4.06;7.01;1.28;3.994;5.56;66.11
1980-01-03;-4.26;-1.21;1.84;0.0;2.455;4.81;49.31
1980-01-04;-6.21;-3.15;-0.09;0.0;4.482;0.38;61.47
1980-01-05;-4.78;-2.13;0.52;0.0;1.946;1.11;77.52
1980-01-06;-4.59;-1.11;2.36;0.31;4.36;0.39;62.84
1980-01-07;0.88;2.59;4.3;0.49;2.865;3.41;86.64
1980-01-08;0.56;2.38;4.21;0.0;3.47;2.04;77.24
1980-01-09;-2.97;0.33;3.63;3.39;2.516;1.17;75.21
1980-01-10;-1.93;0.35;2.62;1.99;1.256;4.22;73.62
1980-01-11;-6.72;-2.74;1.24;0.0;4.742;2.81;63.68
1980-01-12;-7.24;-3.67;-0.09;0.0;3.505;2.0;69.33
1980-01-13;-8.4;-4.45;-0.49;0.0;4.214;3.86;67.92
1980-01-14;-8.88;-5.66;-2.44;0.0;4.378;3.87;42.67
1980-01-15;-10.53;-7.57;-4.62;0.0;5.662;3.52;40.63
1980-01-16;-11.9;-7.74;-3.57;0.0;5.66;4.17;48.31
1980-01-17;-8.05;-5.49;-2.93;0.0;4.918;3.83;69.14
1980-01-18;-9.54;-6.9;-4.27;0.0;6.382;3.66;53.82
1980-01-19;-11.25;-8.53;-5.8;0.0;5.411;4.0;47.74
1980-01-20;-12.56;-9.63;-6.71;0.0;4.569;2.77;43.94
1980-01-21;-11.91;-8.04;-4.18;0.0;5.304;3.09;63.11
1980-01-22;-9.67;-6.95;-4.22;0.0;6.121;3.16;62.21
1980-01-23;-8.72;-5.4;-2.07;0.0;6.304;2.21;67.11
1980-01-24;-9.46;-4.76;-0.06;0.0;6.46;2.12;70.48
1980-01-25;-8.61;-4.75;-0.89;0.65;4.56;2.49;76.08
1980-01-26;-8.15;-5.42;-2.69;0.0;4.261;2.36;64.17
1980-01-27;-9.7;-4.26;1.18;0.0;8.4;3.29;63.58
1980-01-28;-4.15;-2.29;-0.43;7.59;4.136;6.17;70.93
1980-01-29;-1.53;0.52;2.56;1.73;2.881;5.61;78.59
1980-01-30;-6.15;-2.06;2.04;0.0;7.158;5.0;64.32
1980-01-31;-7.28;-4.21;-1.13;0.0;8.822;2.93;58.84
1980-02-01;-8.67;-5.14;-1.61;0.0;6.978;2.21;55.86
1980-02-02;-10.67;-6.72;-2.78;0.0;8.391;1.11;50.77
1980-02-03;-15.47;-8.37;-1.26;0.0;8.429;1.23;43.21
1980-02-04;-12.16;-5.86;0.44;0.8;7.315;2.81;37.79
1980-02-05;-9.01;-2.19;4.63;0.0;7.24;2.1;52.22
1980-02-06;-9.26;-3.41;2.44;0.0;9.471;2.11;66.59
1980-02-07;-7.94;-2.78;2.38;0.0;10.101;2.59;71.86
1980-02-08;-8.64;-3.4;1.84;0.0;8.661;2.58;73.55
1980-02-09;-8.37;-3.1;2.16;0.0;8.012;2.78;73.35
1980-02-10;-4.62;0.29;5.19;0.0;7.202;3.37;70.18
1980-02-11;-0.68;0.61;1.91;5.85;2.277;3.1;79.68
1980-02-12;-5.69;-0.13;5.43;0.0;8.23;2.2;58.17
1980-02-13;0.92;3.15;5.38;10.86;7.881;1.19;46.72
1980-02-14;-3.48;0.33;4.14;0.0;6.927;2.29;53.75
1980-02-15;-2.48;2.28;7.04;0.33;6.146;3.66;47.54
1980-02-16;-0.06;1.49;3.05;6.85;2.529;1.9;80.48
1980-02-17;0.77;6.69;12.61;1.79;1.9;3.99;52.61
1980-02-18;0.37;3.54;6.7;0.0;8.661;1.89;51.89
1980-02-19;-2.51;1.25;5.0;0.0;8.754;2.04;47.06
1980-02-20;-6.8;-2.19;2.41;0.0;11.196;2.79;64.78
1980-02-21;-1.8;0.61;3.02;0.0;4.476;1.97;68.34
1980-02-22;-4.61;1.01;6.63;0.14;12.02;1.14;56.6
1980-02-23;-1.52;3.43;8.38;0.0;12.703;1.36;50.89
1980-02-24;1.71;4.75;7.79;0.0;7.049;3.12;58.19
1980-02-25;-3.06;-0.42;2.23;0.0;7.54;1.15;65.79
1980-02-26;-5.4;-1.46;2.49;0.0;11.283;0.9;78.15
1980-02-27;-0.92;3.28;7.48;0.0;11.477;2.66;53.75
1980-02-28;0.46;6.48;12.49;0.39;5.943;0.68;49.73
1980-02-29;0.42;6.75;13.07;0.0;12.097;1.28;45.58
1980-03-01;5.05;9.84;14.63;0.0;11.575;4.37;45.99
1980-03-02;3.1;8.41;13.71;0.0;7.795;2.6;48.11
1980-03-03;1.32;6.42;11.52;0.0;8.065;3.16;62.93
1980-03-04;3.96;8.64;13.32;0.0;8.639;3.87;64.32
1980-03-05;1.23;6.74;12.24;0.0;11.609;0.9;53.59
1980-03-06;2.69;6.76;10.84;1.69;6.468;1.27;53.06
1980-03-07;0.38;6.61;12.84;0.0;14.436;0.63;38.09
1980-03-08;-0.85;4.99;10.82;0.0;11.12;1.67;50.69
1980-03-09;2.66;6.29;9.91;2.39;8.689;1.97;64.57
1980-03-10;-4.38;-0.14;4.1;3.41;6.447;2.16;66.76
1980-03-11;-4.71;-1.56;1.58;6.89;6.775;1.55;80.83
1980-03-12;-1.95;1.77;5.48;0.0;7.198;5.0;33.15
1980-03-13;-2.69;2.0;6.7;0.0;13.361;4.07;26.91
1980-03-14;-5.99;-0.54;4.9;0.56;15.065;3.88;32.43
1980-03-15;-3.74;1.77;7.28;0.0;14.942;3.57;34.46
1980-03-16;-2.24;3.95;10.13;0.0;15.497;2.69;32.4
1980-03-17;1.87;4.1;6.32;4.61;5.496;1.42;59.82
1980-03-18;0.44;4.22;8.0;3.17;3.072;0.48;71.81
1980-03-19;0.83;6.62;12.41;0.0;14.057;1.69;39.2
1980-03-20;0.69;7.38;14.06;0.0;13.649;3.21;36.7
1980-03-21;-2.03;2.85;7.73;0.0;14.431;2.7;42.18
1980-03-22;-0.65;3.63;7.92;0.0;9.781;4.42;36.26
1980-03-23;-2.17;2.85;7.86;0.0;13.032;4.06;28.64
1980-03-24;6.27;10.02;13.76;0.0;8.104;3.83;37.49
1980-03-25;7.17;11.35;15.53;0.0;6.915;4.41;48.43
1980-03-26;6.97;13.29;19.6;8.17;7.729;2.71;44.02
1980-03-27;4.68;10.17;15.66;0.38;14.138;3.63;54.04
1980-03-28;3.38;10.76;18.14;8.49;15.924;1.98;40.77
1980-03-29;5.61;9.96;14.31;1.94;12.683;2.51;54.75
1980-03-30;3.94;7.98;12.03;1.45;7.08;1.2;69.29
1980-03-31;1.99;5.67;9.34;0.96;10.348;3.74;54.06
1980-04-01;1.88;8.4;14.93;0.47;18.84;2.21;43.79
1980-04-02;5.04;8.59;12.13;0.0;11.671;1.99;54.06
1980-04-03;5.39;10.44;15.49;0.57;14.25;1.43;50.09
1980-04-04;2.04;8.42;14.8;1.07;12.787;5.03;42.88
1980-04-05;1.36;7.65;13.94;0.0;19.509;2.74;26.98
1980-04-06;0.96;7.63;14.3;0.0;14.92;1.44;41.87
1980-04-07;6.18;12.33;18.48;0.84;17.626;2.0;42.08
1980-04-08;1.42;5.25;9.09;9.29;8.347;5.67;53.61
1980-04-09;0.29;5.99;11.69;0.0;18.489;4.01;29.17
1980-04-10;0.91;7.75;14.6;0.0;19.646;3.51;27.91
