iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;10.0;16.47;22.94;0.0;14.997;2.81;25.0
1980-01-02;10.47;17.16;23.84;0.0;13.963;1.69;25.64
1980-01-03;11.52;17.31;23.1;0.0;14.086;0.95;27.4
1980-01-04;9.69;15.75;21.8;0.0;15.285;3.38;27.12
1980-01-05;7.28;13.01;18.73;0.0;13.41;3.86;27.55
1980-01-06;8.72;13.72;18.72;0.0;10.127;3.55;24.72
1980-01-07;8.24;13.57;18.91;0.0;10.364;3.2;22.76
1980-01-08;8.29;13.17;18.05;0.0;10.947;3.19;21.92
1980-01-09;6.57;13.12;19.66;0.0;15.098;2.85;16.84
1980-01-10;7.25;13.93;20.61;0.0;14.925;2.61;15.43
1980-01-11;8.84;15.56;22.29;0.0;14.587;1.1;13.17
1980-01-12;10.23;16.52;22.82;0.0;14.996;0.79;8.87
1980-01-13;10.13;17.51;24.89;0.0;15.192;1.54;13.51
1980-01-14;9.57;16.41;23.24;0.0;15.398;2.69;13.67
1980-01-15;8.38;14.91;21.44;0.0;15.602;2.78;12.5
1980-01-16;8.12;13.61;19.1;0.0;16.281;1.32;9.99
1980-01-17;7.18;13.13;19.08;0.0;13.814;0.94;8.85
1980-01-18;8.01;14.23;20.45;0.0;15.384;2.4;9.79
1980-01-19;8.21;14.98;21.75;0.0;15.601;3.09;10.86
1980-01-20;7.73;14.61;21.48;0.0;16.391;3.27;8.22
1980-01-21;7.32;13.94;20.55;0.0;16.597;3.46;8.01
1980-01-22;5.45;12.75;20.06;0.0;16.381;3.45;13.81
1980-01-23;7.8;14.31;20.82;0.0;16.941;2.63;17.69
1980-01-24;6.8;14.12;21.43;0.0;17.288;2.12;11.17
1980-01-25;6.59;13.71;20.84;0.0;16.281;3.68;11.67
1980-01-26;6.88;14.79;22.71;0.0;16.273;2.88;12.28
1980-01-27;8.64;15.92;23.19;0.0;16.119;3.09;10.08
1980-01-28;8.83;16.81;24.79;0.0;17.245;3.31;18.19
1980-01-29;11.25;18.51;25.76;0.0;16.468;3.75;19.96
1980-01-30;10.1;17.32;24.55;0.0;17.728;4.3;17.1
