iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-5.75;-2.65;0.46;0.0;2.934;1.98;70.74
1980-01-02;-2.1;-0.3;1.5;0.0;2.544;1.65;76.53
1980-01-03;-0.52;0.69;1.91;0.0;2.857;0.53;78.91
1980-01-04;1.0;2.13;3.26;0.0;3.466;2.57;85.39
1980-01-05;3.02;4.18;5.35;0.0;2.98;1.97;79.7
1980-01-06;1.14;6.49;11.84;0.0;6.135;2.63;71.05
1980-01-07;1.94;6.63;11.33;0.0;5.441;2.68;68.16
1980-01-08;1.48;4.72;7.96;0.0;4.987;1.04;68.66
1980-01-09;-0.22;4.21;8.64;0.0;5.737;1.43;67.68
1980-01-10;2.58;4.5;6.41;0.38;3.007;1.88;82.71
1980-01-11;2.71;4.71;6.72;0.62;2.774;0.7;83.81
1980-01-12;1.67;3.63;5.59;0.0;2.406;1.13;79.26
1980-01-13;-3.04;0.69;4.42;0.0;4.695;3.56;70.7
1980-01-14;-5.17;-2.0;1.18;0.0;4.313;0.4;59.73
1980-01-15;-5.44;-1.72;2.0;0.0;5.356;1.57;52.48
1980-01-16;-4.52;-0.45;3.62;0.0;6.572;3.21;50.49
1980-01-17;-3.04;-0.37;2.3;7.85;1.688;2.72;74.6
1980-01-18;-4.65;-1.09;2.48;0.77;5.233;1.16;69.68
1980-01-19;-2.14;1.97;6.07;0.82;5.599;4.3;66.14
1980-01-20;3.33;8.07;12.82;0.0;6.235;3.4;62.28
1980-01-21;2.94;7.67;12.4;0.0;3.401;2.74;60.0
1980-01-22;3.42;7.18;10.95;0.0;5.926;2.0;66.69
1980-01-23;1.08;5.13;9.17;0.0;5.817;2.25;59.77
1980-01-24;0.81;5.9;10.99;0.91;3.643;5.09;66.35
1980-01-25;1.99;4.38;6.77;1.73;3.638;3.89;78.62
1980-01-26;-0.47;1.79;4.05;0.0;6.337;5.68;37.05
1980-01-27;-2.73;0.27;3.28;0.0;5.929;4.17;36.16
1980-01-28;-4.76;-1.49;1.78;0.0;5.5;3.61;45.44
1980-01-29;-4.33;-0.25;3.83;1.59;3.469;4.4;54.67
1980-01-30;-0.58;2.75;6.08;1.08;6.64;3.75;53.82
1980-01-31;-2.15;2.01;6.18;0.0;6.909;3.8;56.26
1980-02-01;-5.17;-1.48;2.21;0.0;6.388;3.38;35.77
1980-02-02;-6.69;-4.04;-1.38;0.0;7.667;3.8;32.19
1980-02-03;-7.75;-3.71;0.32;1.23;2.748;1.58;60.25
1980-02-04;-1.44;-0.15;1.14;2.32;3.671;2.19;79.4
1980-02-05;0.56;4.26;7.97;1.93;2.895;5.24;65.68
1980-02-06;-1.45;1.0;3.46;0.0;5.664;5.04;55.0
