iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;6.34;9.84;13.35;7.64;8.372;3.41;51.64
1980-01-02;6.91;10.71;14.52;7.45;6.514;7.44;57.66
1980-01-03;6.41;9.35;12.29;0.0;8.578;5.75;48.51
1980-01-04;7.63;12.31;17.0;0.0;9.246;3.26;41.34
1980-01-05;5.29;8.09;10.89;5.53;4.355;2.75;81.65
1980-01-06;6.17;7.54;8.92;10.84;4.43;6.24;73.53
1980-01-07;4.79;8.75;12.71;1.83;6.297;6.05;54.91
1980-01-08;7.64;9.93;12.21;10.07;7.392;3.01;80.1
1980-01-09;7.68;10.61;13.53;0.0;9.353;2.46;53.35
1980-01-10;7.34;11.7;16.05;0.0;10.808;3.25;26.63
1980-01-11;5.83;9.96;14.1;0.0;10.012;3.19;40.09
1980-01-12;4.91;8.07;11.22;5.65;5.867;4.75;67.36
1980-01-13;3.66;7.94;12.22;1.29;6.922;5.26;45.67
1980-01-14;6.63;10.91;15.2;0.0;7.173;4.09;46.11
1980-01-15;4.45;9.12;13.78;0.0;9.106;3.14;52.73
1980-01-16;7.53;10.87;14.2;2.61;6.947;3.69;56.23
1980-01-17;7.02;10.88;14.73;0.0;7.506;3.68;55.56
1980-01-18;7.67;10.48;13.29;0.0;5.141;5.5;63.34
1980-01-19;6.55;10.13;13.71;2.39;9.525;3.39;55.69
1980-01-20;6.74;10.35;13.96;6.2;2.88;3.96;77.76
1980-01-21;10.6;11.3;12.01;0.0;2.487;4.72;82.2
1980-01-22;7.15;11.48;15.8;0.0;7.597;1.84;60.59
1980-01-23;6.57;10.62;14.66;0.0;7.733;4.63;64.22
1980-01-24;6.54;10.41;14.29;0.0;11.64;4.85;53.91
1980-01-25;9.03;11.59;14.16;0.0;1.5;6.14;76.33
1980-01-26;8.77;11.74;14.71;0.0;9.457;4.99;62.76
1980-01-27;7.48;11.08;14.68;0.0;8.917;6.23;64.29
1980-01-28;4.47;9.82;15.17;0.0;5.521;7.52;45.66
1980-01-29;4.94;8.04;11.15;4.8;6.614;4.99;59.94
1980-01-30;1.79;5.23;8.68;4.21;9.388;6.12;64.4
1980-01-31;2.34;6.18;10.02;0.0;9.812;6.2;55.97
1980-02-01;4.66;8.69;12.71;0.0;7.722;3.6;46.0
1980-02-02;6.01;9.5;12.98;1.45;8.022;4.32;56.51
1980-02-03;4.53;8.21;11.89;4.64;6.733;6.68;57.53
1980-02-04;3.45;7.24;11.03;6.03;6.627;6.15;66.87
1980-02-05;6.22;10.13;14.04;0.0;5.487;6.75;58.03
1980-02-06;8.18;10.71;13.24;0.0;3.308;3.91;59.96
1980-02-07;5.98;8.46;10.95;9.22;3.587;2.56;79.81
1980-02-08;4.34;8.37;12.39;0.0;10.872;3.19;43.08
1980-02-09;2.47;7.53;12.58;0.0;12.3;3.73;46.1
1980-02-10;5.0;9.26;13.52;0.0;11.049;3.79;43.28
1980-02-11;6.94;10.2;13.46;0.0;11.712;4.05;52.19
1980-02-12;7.86;10.71;13.57;0.0;4.273;3.33;57.8
1980-02-13;5.3;10.79;16.29;11.81;12.041;2.1;53.38
1980-02-14;6.15;10.61;15.07;5.73;11.519;2.05;46.13
1980-02-15;4.92;9.32;13.73;0.0;13.762;5.13;46.57
1980-02-16;4.05;7.11;10.16;4.74;6.844;4.44;73.97
1980-02-17;2.17;6.75;11.33;0.0;12.195;5.85;49.46
1980-02-18;1.31;5.57;9.82;1.35;7.597;5.38;48.09
1980-02-19;1.02;5.56;10.11;4.2;10.46;4.34;38.94
1980-02-20;2.84;7.17;11.51;3.43;13.497;3.93;31.58
1980-02-21;4.25;9.81;15.37;0.0;14.827;3.41;29.87
1980-02-22;5.57;11.87;18.16;0.0;15.126;4.09;35.36
1980-02-23;5.55;10.81;16.08;0.0;15.214;3.54;43.74
1980-02-24;3.12;8.05;12.98;6.34;9.122;5.03;54.98
1980-02-25;3.85;8.27;12.68;7.37;10.582;4.93;40.96
1980-02-26;4.0;7.38;10.75;13.73;11.3;3.06;48.18
1980-02-27;3.73;7.76;11.79;5.68;11.612;5.15;47.79
1980-02-28;4.87;8.92;12.97;0.0;11.14;4.29;53.74
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;7.13;11.76;16.39;4.85;15.052;3.65;47.32
1980-03-02;5.54;8.36;11.18;13.45;6.4;4.93;73.9
1980-03-03;5.47;9.27;13.07;0.0;12.36;3.99;49.77
1980-03-04;5.15;10.22;15.29;0.0;15.38;2.8;45.79
1980-03-05;5.5;9.2;12.89;0.0;10.536;7.02;62.42
1980-03-06;4.43;8.94;13.45;9.34;10.321;6.08;43.77
1980-03-07;5.49;7.94;10.38;53.05;2.609;7.2;86.43
1980-03-08;5.21;9.32;13.44;17.45;13.973;8.8;62.9
1980-03-09;6.77;10.68;14.58;0.0;17.109;5.61;36.89
1980-03-10;6.12;11.03;15.93;0.0;16.667;3.78;51.85
1980-03-11;6.66;12.19;17.72;0.0;16.668;3.67;48.42
1980-03-12;7.31;12.39;17.48;0.0;11.725;2.42;46.16
1980-03-13;8.67;13.93;19.2;0.0;17.261;1.47;44.44
1980-03-14;6.77;12.44;18.1;0.0;17.314;3.1;50.12
1980-03-15;9.49;15.34;21.19;0.0;18.246;3.65;41.28
1980-03-16;9.35;14.68;20.02;0.0;17.802;4.51;47.21
1980-03-17;10.28;15.43;20.57;0.0;17.013;6.09;52.32
1980-03-18;10.1;16.34;22.59;0.0;16.44;4.85;37.63
1980-03-19;9.71;14.0;18.28;0.0;17.184;4.51;44.87
1980-03-20;9.36;13.53;17.7;0.0;13.205;3.48;44.03
1980-03-21;8.35;13.07;17.8;0.0;18.955;2.77;48.47
1980-03-22;6.71;10.32;13.94;2.25;18.689;1.61;47.07
1980-03-23;5.51;12.5;19.48;0.0;19.436;3.87;35.44
1980-03-24;10.4;16.32;22.25;0.0;20.783;1.87;32.43
1980-03-25;10.28;15.26;20.24;0.0;20.01;1.94;41.05
1980-03-26;9.19;14.4;19.61;0.0;13.189;2.48;48.73
1980-03-27;10.24;14.46;18.67;2.01;5.108;2.57;54.3
1980-03-28;8.96;13.67;18.38;0.0;17.205;5.01;34.86
1980-03-29;8.5;12.37;16.23;0.0;11.383;4.21;41.72
1980-03-30;7.0;12.93;18.86;0.0;21.234;2.16;31.08
1980-03-31;10.09;15.38;20.66;0.0;19.872;2.25;35.31
1980-04-01;10.62;15.96;21.3;0.0;19.673;2.09;35.81
1980-04-02;10.8;14.35;17.89;9.11;9.151;3.86;47.0
1980-04-03;9.41;14.73;20.05;0.0;21.602;5.08;34.35
1980-04-04;10.06;13.93;17.79;5.4;20.683;2.36;34.99
1980-04-05;9.38;14.43;19.49;0.0;19.942;2.52;37.62
1980-04-06;9.84;17.3;24.75;0.0;22.694;5.35;25.25
1980-04-07;10.47;14.8;19.12;0.0;12.754;3.16;48.04
1980-04-08;8.88;12.88;16.87;0.0;17.574;5.33;44.25
1980-04-09;7.7;13.63;19.57;0.0;21.07;4.82;29.35
1980-04-10;7.39;14.78;22.16;0.0;21.997;2.95;22.48
1980-04-11;10.53;14.74;18.95;18.74;18.922;5.45;33.01
1980-04-12;9.13;12.16;15.19;4.33;11.327;5.82;59.05
1980-04-13;11.04;14.4;17.77;0.0;23.425;6.42;44.42
1980-04-14;10.66;14.46;18.27;0.0;18.89;6.73;44.93
1980-04-15;10.79;15.17;19.55;0.0;20.595;4.4;39.96
1980-04-16;10.23;16.75;23.26;0.0;24.823;1.22;26.67
1980-04-17;9.31;14.31;19.31;0.0;17.428;4.35;45.63
1980-04-18;9.26;17.38;25.5;1.57;18.884;4.0;25.47
1980-04-19;10.18;16.95;23.73;0.0;21.266;3.2;22.47
1980-04-20;9.83;15.84;21.86;0.0;22.806;4.16;26.8
1980-04-21;9.71;16.41;23.1;0.0;25.484;1.86;15.33
1980-04-22;11.08;15.77;20.47;0.0;19.438;1.06;28.97
1980-04-23;8.89;13.92;18.95;0.0;22.036;3.2;36.67
1980-04-24;10.77;16.44;22.1;0.0;15.926;5.21;44.0
1980-04-25;16.41;18.96;21.52;24.9;3.7;5.19;84.92
1980-04-26;10.68;15.16;19.65;0.08;21.768;5.2;49.59
1980-04-27;11.48;16.98;22.47;0.0;24.002;1.62;28.48
1980-04-28;13.68;22.31;30.94;0.0;24.983;2.71;18.76
1980-04-29;11.79;16.91;22.03;0.0;23.736;3.45;41.1
1980-04-30;11.94;17.75;23.56;0.0;18.566;3.13;34.09
1980-05-01;11.27;17.86;24.45;0.0;25.394;3.58;30.59
1980-05-02;11.27;14.15;17.03;0.0;8.879;1.97;60.44
1980-05-03;11.88;16.89;21.91;0.0;21.605;1.99;40.64
1980-05-04;11.35;17.05;22.76;0.0;26.167;3.14;35.9
1980-05-05;11.63;17.48;23.33;0.0;25.848;3.14;32.67
1980-05-06;12.33;17.23;22.14;0.0;19.624;2.77;36.29
1980-05-07;11.74;16.39;21.04;0.0;20.22;2.02;37.45
1980-05-08;11.28;17.18;23.08;0.0;23.234;2.43;33.86
1980-05-09;11.26;17.16;23.07;0.0;24.422;3.14;35.91
1980-05-10;13.34;18.29;23.24;0.0;26.455;1.98;35.0
1980-05-11;11.64;18.35;25.06;0.0;24.582;3.69;32.02
1980-05-12;12.29;18.41;24.54;0.0;23.086;2.68;35.93
1980-05-13;12.1;19.32;26.55;0.0;25.696;3.61;27.21
1980-05-14;16.61;22.11;27.6;0.0;23.299;1.42;33.2
1980-05-15;15.95;20.27;24.6;0.0;23.001;3.21;50.22
1980-05-16;13.71;19.35;24.99;0.0;23.602;2.39;33.9
1980-05-17;13.49;19.98;26.48;0.0;27.167;0.7;24.77
1980-05-18;11.83;16.95;22.07;4.27;6.241;1.82;44.97
1980-05-19;13.04;18.86;24.68;0.0;21.673;4.5;31.65
1980-05-20;13.74;19.98;26.21;0.0;23.077;5.23;27.07
1980-05-21;16.48;24.76;33.04;0.0;26.031;0.62;15.19
1980-05-22;16.59;22.6;28.61;3.14;13.732;0.54;28.12
