iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;6.44;9.4;12.37;1.05;4.939;5.3;66.11
1980-01-02;8.99;10.77;12.55;1.55;4.127;6.2;66.44
1980-01-03;6.77;9.84;12.92;6.56;2.15;4.86;72.12
1980-01-04;10.84;13.97;17.11;0.36;6.096;5.94;53.09
1980-01-05;7.12;9.93;12.73;1.53;5.424;3.29;58.56
1980-01-06;6.07;8.61;11.14;0.0;8.006;1.87;43.18
1980-01-07;5.31;7.65;10.0;0.95;6.63;2.99;57.34
1980-01-08;3.79;6.91;10.03;0.0;8.158;2.28;41.58
1980-01-09;3.48;7.33;11.19;0.0;8.417;3.75;38.88
1980-01-10;3.55;7.34;11.13;0.0;8.361;2.39;45.5
1980-01-11;3.09;7.58;12.08;0.0;8.428;2.88;41.74
1980-01-12;6.24;9.11;11.98;0.0;6.153;3.16;48.43
1980-01-13;3.33;7.47;11.61;0.0;8.184;2.17;41.84
1980-01-14;6.25;9.81;13.37;27.9;5.903;3.12;58.66
1980-01-15;9.9;11.38;12.87;33.92;0.909;3.61;86.46
1980-01-16;5.06;7.02;8.97;2.22;3.624;4.4;80.22
1980-01-17;4.32;7.29;10.25;0.0;8.59;1.81;50.44
1980-01-18;3.53;7.99;12.45;0.0;8.704;2.08;46.65
1980-01-19;7.61;10.86;14.1;0.0;4.54;4.38;69.09
1980-01-20;10.11;13.15;16.2;0.0;5.004;4.38;64.43
1980-01-21;9.21;12.64;16.07;0.0;7.576;3.03;67.36
1980-01-22;11.44;14.64;17.84;0.0;7.641;4.28;52.53
1980-01-23;9.7;13.73;17.77;0.0;8.537;5.13;59.48
1980-01-24;8.15;11.79;15.42;0.0;7.603;2.65;59.42
1980-01-25;8.38;12.27;16.15;0.0;6.026;4.47;54.61
1980-01-26;9.49;12.73;15.98;1.14;4.582;4.16;61.57
1980-01-27;8.1;12.24;16.38;1.42;9.546;3.26;52.46
1980-01-28;8.72;12.46;16.19;0.0;8.878;2.65;55.24
1980-01-29;7.91;10.43;12.95;11.1;1.794;4.72;81.53
1980-01-30;9.73;12.45;15.17;16.19;2.904;3.14;82.34
1980-01-31;9.26;12.09;14.91;0.0;9.44;4.32;62.67
1980-02-01;8.12;10.13;12.15;4.76;2.593;4.17;66.88
1980-02-02;6.0;8.42;10.84;0.0;11.272;3.27;36.99
1980-02-03;6.07;9.05;12.04;0.0;9.829;3.15;32.68
1980-02-04;6.46;9.13;11.8;0.0;11.44;4.66;30.76
1980-02-05;8.14;10.69;13.23;0.0;11.256;1.71;35.13
1980-02-06;4.13;6.21;8.29;0.0;6.949;6.14;45.68
1980-02-07;5.81;8.98;12.16;0.0;12.003;3.75;29.68
1980-02-08;5.41;8.5;11.58;0.0;10.534;2.9;46.64
1980-02-09;3.15;7.3;11.45;0.0;10.458;1.87;48.38
1980-02-10;3.71;8.54;13.38;0.0;11.515;2.82;39.61
1980-02-11;6.4;10.42;14.44;0.0;11.152;2.72;44.38
1980-02-12;4.03;8.14;12.25;0.0;10.655;2.42;53.09
1980-02-13;6.06;9.73;13.41;1.81;8.013;2.63;62.63
1980-02-14;5.99;8.52;11.05;0.0;11.436;1.33;40.68
1980-02-15;3.7;8.57;13.44;0.0;12.697;2.86;34.87
1980-02-16;6.59;9.68;12.78;5.56;4.399;4.53;73.03
1980-02-17;7.29;10.88;14.46;0.0;7.131;2.31;64.62
1980-02-18;3.69;6.59;9.49;2.71;3.935;1.94;78.42
1980-02-19;5.77;8.15;10.54;0.0;6.593;3.28;69.91
1980-02-20;4.55;9.1;13.64;2.65;9.904;2.75;50.03
1980-02-21;9.29;13.07;16.85;0.0;12.057;4.54;57.37
1980-02-22;9.28;13.05;16.83;0.0;11.643;1.95;55.37
1980-02-23;7.83;13.2;18.58;0.0;13.224;1.09;41.3
1980-02-24;6.17;11.4;16.63;0.0;13.468;2.88;42.52
1980-02-25;7.2;11.98;16.76;0.0;6.435;4.4;51.57
1980-02-26;9.62;13.67;17.72;0.0;11.943;4.14;56.2
1980-02-27;9.77;13.67;17.57;0.0;8.783;2.89;51.77
1980-02-28;8.46;12.16;15.87;0.0;11.277;3.66;60.07
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;7.89;11.64;15.39;0.0;12.601;1.9;56.33
1980-03-02;7.27;12.4;17.53;0.0;15.77;1.57;40.11
1980-03-03;7.86;13.28;18.69;0.0;14.2;2.27;39.62
1980-03-04;7.48;12.54;17.59;0.0;15.123;2.37;42.13
1980-03-05;6.64;12.33;18.01;0.0;15.307;2.25;35.37
