iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;0.38;1.94;3.5;0.92;3.155;4.94;75.31
1980-01-02;-1.11;0.52;2.15;0.0;4.221;3.24;70.09
1980-01-03;-0.73;1.75;4.23;0.0;3.554;2.34;80.35
1980-01-04;-0.4;1.09;2.58;2.37;1.693;3.05;78.55
1980-01-05;-3.79;-1.49;0.82;0.0;4.469;2.82;74.71
1980-01-06;-4.61;-1.05;2.52;0.0;3.847;3.25;73.59
1980-01-07;-4.89;-1.93;1.03;0.0;1.775;4.37;67.52
1980-01-08;-5.71;-3.64;-1.57;0.67;1.471;2.43;68.82
1980-01-09;-7.83;-7.35;-6.86;0.0;4.319;4.47;43.16
1980-01-10;-7.2;-5.57;-3.94;0.0;4.04;2.12;65.07
1980-01-11;-5.04;-1.77;1.51;0.41;2.078;2.33;83.45
1980-01-12;-0.81;1.32;3.45;0.9;3.71;5.24;78.74
1980-01-13;0.05;0.83;1.61;0.0;3.713;6.01;66.98
1980-01-14;-7.64;-4.37;-1.09;0.77;2.938;7.27;51.69
1980-01-15;-7.23;-6.69;-6.15;0.0;4.215;2.5;46.96
1980-01-16;-7.38;-7.18;-6.98;0.0;4.565;3.0;47.88
1980-01-17;-13.95;-8.16;-2.37;1.83;5.213;4.28;42.85
1980-01-18;-0.58;1.62;3.82;0.58;5.022;5.89;78.68
1980-01-19;1.97;3.62;5.27;0.0;3.098;5.23;82.57
1980-01-20;0.57;1.93;3.29;0.0;4.754;4.23;65.73
1980-01-21;0.24;1.55;2.86;0.0;5.232;3.35;61.37
1980-01-22;-0.38;1.19;2.76;0.0;5.162;3.14;59.29
1980-01-23;-1.48;1.08;3.64;0.0;4.807;5.16;63.43
1980-01-24;-4.56;-1.8;0.96;2.15;4.116;3.37;61.26
1980-01-25;-5.45;-3.61;-1.77;0.0;5.124;2.31;50.16
1980-01-26;-5.97;-3.46;-0.96;0.0;5.641;4.61;47.12
1980-01-27;-2.72;0.19;3.11;0.0;3.177;6.48;62.26
1980-01-28;-3.57;-0.62;2.33;5.87;2.684;4.16;71.44
1980-01-29;-2.29;-0.22;1.84;0.0;4.59;4.74;65.81
1980-01-30;-1.71;0.06;1.83;0.0;5.244;4.22;63.65
1980-01-31;-7.53;-4.43;-1.33;0.73;2.992;3.49;59.01
1980-02-01;-13.44;-12.38;-11.33;0.96;6.457;1.82;20.93
1980-02-02;-14.37;-9.3;-4.23;3.04;2.69;3.46;46.78
1980-02-03;-5.08;-1.23;2.63;1.0;4.188;5.45;76.3
1980-02-04;-7.36;-4.14;-0.92;0.0;5.191;6.4;54.79
1980-02-05;-6.34;-2.71;0.93;0.62;6.108;3.91;61.54
1980-02-06;-3.58;-0.05;3.47;2.85;7.603;3.21;78.66
1980-02-07;0.92;4.08;7.24;1.43;3.554;6.41;67.98
1980-02-08;-2.41;2.91;8.22;1.62;2.881;7.25;48.97
1980-02-09;-1.2;1.25;3.69;0.0;7.052;3.29;56.97
1980-02-10;-0.98;1.84;4.65;1.1;2.64;4.44;70.75
1980-02-11;2.26;6.91;11.56;0.0;3.137;5.22;72.26
1980-02-12;2.01;4.65;7.3;3.38;3.298;0.6;81.56
1980-02-13;-3.26;-0.96;1.33;9.71;7.374;1.0;61.55
1980-02-14;4.04;9.05;14.06;6.31;6.09;3.86;60.57
1980-02-15;0.56;3.66;6.75;1.89;6.955;3.16;58.62
1980-02-16;-0.95;1.98;4.9;1.59;6.834;4.1;63.68
1980-02-17;3.29;5.8;8.32;4.28;3.986;5.62;73.69
1980-02-18;-0.31;0.98;2.28;0.0;7.831;3.85;42.58
1980-02-19;-0.83;2.36;5.56;2.64;3.105;4.73;69.51
1980-02-20;3.08;7.31;11.54;0.0;6.942;5.27;63.1
1980-02-21;3.42;7.0;10.58;0.0;4.532;5.27;65.53
1980-02-22;1.22;3.48;5.73;2.91;3.37;2.89;60.83
1980-02-23;0.27;1.38;2.48;1.16;4.513;2.51;65.54
1980-02-24;0.31;6.06;11.81;1.14;3.87;6.39;56.92
1980-02-25;6.07;9.62;13.17;6.79;3.293;5.14;71.17
1980-02-26;-0.73;3.62;7.97;2.45;5.149;4.59;53.3
1980-02-27;-2.94;-0.64;1.66;0.0;8.322;3.97;32.18
1980-02-28;-2.92;2.23;7.38;0.0;7.337;5.6;43.14
1980-02-29;4.91;9.96;15.02;0.87;3.994;6.25;59.47
1980-03-01;4.98;11.78;18.57;0.0;9.911;5.75;54.56
1980-03-02;7.01;13.38;19.74;0.0;11.162;6.04;52.61
1980-03-03;5.82;12.52;19.21;0.0;7.701;5.89;50.16
1980-03-04;1.3;5.68;10.06;0.0;9.866;3.17;42.36
1980-03-05;-1.83;4.53;10.88;0.0;10.278;2.32;41.16
1980-03-06;1.57;9.63;17.68;0.0;10.849;4.84;40.44
1980-03-07;5.4;11.59;17.77;0.0;9.666;3.87;48.19
1980-03-08;5.74;12.38;19.01;0.0;10.475;3.56;47.76
1980-03-09;5.5;12.9;20.3;0.0;10.739;1.97;44.78
1980-03-10;3.9;8.45;13.0;0.0;12.603;3.87;58.33
1980-03-11;-0.53;2.71;5.95;0.45;6.169;1.85;71.76
1980-03-12;1.32;6.16;11.0;0.0;11.459;3.67;40.29
1980-03-13;1.39;4.21;7.02;0.0;7.899;4.02;51.05
1980-03-14;-1.37;1.98;5.33;0.0;11.652;3.51;39.93
1980-03-15;-0.83;1.15;3.12;1.81;11.409;2.7;24.79
1980-03-16;-1.34;2.62;6.58;0.96;11.776;3.1;31.16
1980-03-17;2.66;6.91;11.15;1.42;2.355;6.32;44.21
1980-03-18;5.67;12.61;19.56;0.75;12.15;3.9;44.67
1980-03-19;3.11;8.67;14.22;0.0;7.981;5.95;58.06
1980-03-20;2.11;6.88;11.65;0.0;13.104;0.89;34.62
1980-03-21;2.12;7.46;12.8;0.0;11.615;3.42;45.62
1980-03-22;-0.72;3.83;8.38;0.0;6.066;2.55;69.51
1980-03-23;7.33;12.13;16.92;0.0;7.288;2.51;54.78
1980-03-24;5.83;10.86;15.89;0.0;9.511;3.1;48.89
1980-03-25;4.99;8.31;11.63;0.0;15.667;2.1;38.52
1980-03-26;4.62;8.09;11.55;0.0;10.854;3.58;45.34
1980-03-27;2.05;4.74;7.43;1.93;3.777;4.9;62.14
1980-03-28;0.89;4.35;7.81;0.0;7.809;5.07;42.18
1980-03-29;0.13;6.54;12.94;0.0;10.096;4.0;32.04
1980-03-30;6.74;13.14;19.53;0.0;13.189;4.1;36.16
1980-03-31;2.23;7.18;12.13;0.0;6.454;5.21;51.75
1980-04-01;0.8;5.53;10.26;0.53;17.021;1.42;27.09
1980-04-02;0.52;6.52;12.52;0.57;16.925;2.3;27.01
1980-04-03;1.52;7.35;13.19;1.67;12.919;4.82;33.87
1980-04-04;5.09;10.02;14.95;3.26;4.317;4.3;56.15
1980-04-05;7.12;12.28;17.43;0.0;14.071;4.09;48.72
1980-04-06;4.93;10.69;16.44;1.41;15.764;2.39;51.73
1980-04-07;5.09;10.94;16.78;2.45;12.29;3.64;54.46
1980-04-08;7.64;9.68;11.71;0.0;7.537;3.81;72.4
1980-04-09;8.7;13.71;18.71;0.0;13.549;1.99;51.31
1980-04-10;7.51;13.24;18.97;0.91;17.829;2.11;44.02
1980-04-11;6.1;11.73;17.37;0.0;16.533;4.15;52.29
1980-04-12;3.3;6.83;10.37;0.0;9.424;3.3;39.71
1980-04-13;2.79;7.3;11.81;0.0;18.941;2.0;34.24
1980-04-14;3.85;8.34;12.82;0.0;12.428;1.99;42.17
1980-04-15;6.19;10.82;15.45;0.91;12.889;5.23;45.17
1980-04-16;7.36;9.46;11.57;9.07;4.669;4.74;67.11
1980-04-17;6.6;10.56;14.53;0.0;7.841;3.77;58.93
1980-04-18;4.88;9.19;13.5;0.0;17.447;2.3;42.42
1980-04-19;3.44;9.98;16.52;0.0;20.787;1.86;36.53
1980-04-20;8.65;13.73;18.81;4.29;15.53;3.39;42.51
1980-04-21;11.1;16.7;22.3;0.0;19.379;4.52;35.69
1980-04-22;12.58;16.7;20.82;14.5;5.51;4.18;38.75
1980-04-23;11.51;16.83;22.15;0.0;20.79;3.6;47.28
1980-04-24;7.96;13.02;18.07;0.0;13.39;2.76;55.35
1980-04-25;9.51;15.14;20.76;0.0;23.228;2.67;35.48
1980-04-26;9.31;15.07;20.82;0.0;23.2;2.77;34.92
1980-04-27;9.25;15.46;21.68;0.0;22.073;1.97;40.12
1980-04-28;9.46;15.64;21.82;0.0;19.596;1.79;39.85
1980-04-29;6.84;13.35;19.85;0.0;21.084;1.88;36.34
1980-04-30;5.67;12.44;19.21;0.0;19.114;1.69;31.76
1980-05-01;5.38;12.54;19.71;0.0;20.539;2.53;36.69
1980-05-02;6.37;13.85;21.33;0.0;21.299;2.75;35.62
1980-05-03;9.45;15.19;20.93;0.0;11.667;2.94;36.2
1980-05-04;10.2;17.8;25.4;0.0;20.02;5.38;35.57
1980-05-05;13.7;20.59;27.47;2.71;19.672;4.2;32.85
