iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;2.57;6.16;9.74;0.0;7.713;1.44;52.6
1980-01-02;2.55;5.97;9.4;0.0;7.089;1.18;49.39
1980-01-03;3.2;6.07;8.94;0.0;6.544;1.37;51.27
1980-01-04;0.51;4.45;8.39;1.43;5.178;2.13;58.46
1980-01-05;0.42;4.28;8.14;0.0;5.098;3.83;59.32
1980-01-06;-1.04;2.57;6.18;0.0;4.827;3.92;62.64
1980-01-07;-2.27;-1.5;-0.72;0.0;3.883;3.56;63.65
1980-01-08;-0.58;1.77;4.13;0.0;4.769;1.38;58.1
1980-01-09;-2.4;0.67;3.73;0.0;4.597;0.96;66.34
1980-01-10;-1.86;0.93;3.72;0.55;4.012;2.66;72.26
1980-01-11;-4.1;-0.98;2.14;3.29;3.15;1.75;77.86
1980-01-12;1.67;4.92;8.18;11.35;2.904;4.21;62.46
1980-01-13;-0.07;3.84;7.75;2.48;5.291;4.24;57.69
1980-01-14;-4.42;0.02;4.46;2.24;4.724;3.85;65.51
1980-01-15;-5.78;-5.28;-4.77;0.0;4.755;4.53;63.03
1980-01-16;-3.26;-2.19;-1.12;1.19;6.093;2.5;59.12
1980-01-17;-1.5;-0.49;0.51;11.41;4.634;2.08;74.67
1980-01-18;-4.61;-1.54;1.53;0.95;6.585;0.65;75.71
1980-01-19;-6.8;-0.97;4.86;0.0;8.669;2.79;69.71
1980-01-20;-8.4;-2.94;2.52;0.61;5.643;4.28;72.89
1980-01-21;-12.96;-9.35;-5.73;0.0;6.196;3.77;53.58
1980-01-22;-11.18;-6.79;-2.41;0.0;9.164;2.69;48.12
1980-01-23;-12.28;-7.8;-3.32;0.0;8.781;3.2;56.78
1980-01-24;-12.86;-6.83;-0.81;3.59;9.145;2.07;50.03
1980-01-25;-3.8;-0.99;1.82;11.54;5.101;3.99;71.78
1980-01-26;-8.87;-1.9;5.07;0.0;10.416;0.9;70.85
1980-01-27;-9.8;-4.69;0.43;0.0;10.206;1.98;45.15
1980-01-28;-10.87;-5.33;0.2;0.0;10.983;0.91;36.88
1980-01-29;-8.23;-4.17;-0.12;0.0;10.639;1.87;34.01
1980-01-30;-5.24;-2.21;0.82;0.0;10.539;3.0;34.57
1980-01-31;-6.73;-2.98;0.77;0.0;11.334;3.0;45.3
1980-02-01;-8.23;-4.59;-0.95;0.0;8.796;2.05;47.09
1980-02-02;-5.46;-2.33;0.8;0.0;9.53;1.97;44.99
1980-02-03;-5.7;-2.38;0.94;0.0;8.846;0.53;50.31
1980-02-04;-7.22;-2.02;3.17;0.0;10.091;0.44;54.68
1980-02-05;-6.16;-1.71;2.75;0.0;11.447;1.4;50.37
1980-02-06;-7.23;-2.14;2.96;0.0;6.202;0.4;70.31
1980-02-07;0.26;5.4;10.54;0.0;11.945;0.8;66.4
1980-02-08;1.77;5.0;8.22;0.0;8.286;0.36;70.14
1980-02-09;-0.85;2.23;5.31;0.0;4.944;0.95;68.89
1980-02-10;-0.76;3.96;8.68;0.0;9.361;1.22;65.82
1980-02-11;-1.58;4.5;10.59;0.0;11.248;0.69;45.29
1980-02-12;0.98;5.89;10.8;0.0;11.243;0.9;42.36
1980-02-13;2.05;6.7;11.34;0.0;11.645;2.26;43.27
1980-02-14;-6.63;-2.17;2.28;1.62;5.636;3.64;55.14
1980-02-15;-6.2;-1.86;2.48;6.85;9.071;2.98;60.47
1980-02-16;-5.68;-0.93;3.82;0.0;14.482;2.17;45.99
1980-02-17;-2.65;1.83;6.31;2.28;7.493;0.79;75.88
1980-02-18;0.8;4.13;7.47;0.0;7.779;1.99;68.31
1980-02-19;3.03;8.43;13.83;0.0;14.241;1.56;58.12
1980-02-20;1.26;7.74;14.21;0.0;12.056;2.76;42.0
1980-02-21;1.37;7.87;14.37;0.0;12.138;2.76;40.36
1980-02-22;-0.21;4.46;9.14;0.0;7.09;2.27;57.1
1980-02-23;-0.39;4.37;9.13;0.0;11.436;3.5;44.64
1980-02-24;-1.38;2.29;5.97;0.5;9.677;3.16;46.27
1980-02-25;-3.99;0.47;4.93;0.0;6.973;3.18;55.48
1980-02-26;-6.8;-4.4;-2.0;0.0;8.216;4.41;50.1
1980-02-27;-6.82;-3.45;-0.07;0.0;11.769;4.03;40.77
1980-02-28;-6.3;-2.84;0.62;0.0;8.915;4.82;46.98
1980-02-29;-6.83;0.44;7.7;0.0;15.894;3.57;36.48
1980-03-01;-5.52;2.67;10.86;0.0;16.098;1.01;30.38
1980-03-02;-1.1;6.15;13.39;0.0;16.711;1.59;32.43
1980-03-03;0.13;7.27;14.4;0.0;16.902;1.69;31.24
1980-03-04;-1.11;6.04;13.18;0.0;13.173;3.0;35.32
1980-03-05;0.3;4.35;8.39;2.26;8.4;3.17;52.48
1980-03-06;0.2;7.28;14.36;0.0;15.682;1.39;37.01
1980-03-07;-0.21;7.42;15.05;0.0;16.776;2.92;39.36
1980-03-08;0.93;5.63;10.33;3.93;8.614;3.67;47.87
1980-03-09;0.94;4.88;8.81;2.06;7.157;3.13;48.24
1980-03-10;0.73;5.5;10.26;0.85;8.595;1.3;50.24
1980-03-11;1.78;6.14;10.5;12.36;5.336;1.26;54.76
1980-03-12;-0.67;3.97;8.61;0.67;9.144;1.59;53.31
1980-03-13;-1.9;3.21;8.33;0.0;12.261;1.54;46.26
1980-03-14;0.73;4.81;8.89;7.54;9.336;3.05;55.84
1980-03-15;-0.17;3.73;7.62;4.2;10.258;2.77;59.15
1980-03-16;-2.22;3.28;8.79;0.0;13.236;2.73;45.21
1980-03-17;-0.85;6.49;13.83;0.0;18.967;0.82;37.39
1980-03-18;0.63;5.03;9.42;1.73;10.45;0.36;48.31
1980-03-19;-2.81;1.85;6.51;2.61;9.878;2.09;55.68
1980-03-20;-2.55;3.64;9.82;0.0;15.644;2.09;48.95
1980-03-21;-1.14;5.73;12.6;0.0;20.422;1.27;38.93
1980-03-22;-1.74;5.71;13.16;0.0;17.788;1.99;40.15
1980-03-23;1.21;5.58;9.95;13.12;7.898;3.55;62.59
1980-03-24;-0.55;3.35;7.24;0.0;17.526;3.52;51.41
1980-03-25;-1.96;5.38;12.73;0.0;21.247;1.27;36.88
1980-03-26;2.42;9.91;17.4;0.0;21.766;0.79;38.0
1980-03-27;4.18;12.12;20.05;0.0;20.888;1.08;36.76
1980-03-28;5.96;12.58;19.2;0.0;18.775;1.48;34.02
1980-03-29;3.27;8.52;13.76;0.0;10.428;2.06;36.99
1980-03-30;3.73;10.47;17.21;0.0;17.906;2.0;35.77
1980-03-31;5.01;12.0;18.99;0.0;19.717;0.79;35.69
1980-04-01;7.13;14.98;22.84;0.0;20.978;2.19;30.53
1980-04-02;5.72;14.0;22.28;0.0;15.82;3.08;27.99
1980-04-03;6.77;14.34;21.91;0.7;17.153;3.48;22.79
1980-04-04;7.11;14.21;21.3;0.71;18.716;2.27;22.78
1980-04-05;4.05;11.63;19.22;3.08;11.182;1.79;35.77
1980-04-06;3.68;8.7;13.71;5.22;11.319;2.77;48.2
1980-04-07;3.69;10.04;16.39;0.0;20.717;1.39;40.8
1980-04-08;4.01;11.76;19.51;0.0;23.258;2.38;36.09
1980-04-09;5.51;10.37;15.22;4.01;10.497;1.19;51.05
1980-04-10;5.01;10.66;16.31;4.01;12.443;1.19;53.19
1980-04-11;4.37;10.96;17.54;4.01;17.806;0.4;44.72
1980-04-12;3.02;8.62;14.21;3.56;11.127;1.97;55.72
1980-04-13;-1.67;0.91;3.49;2.33;14.915;4.85;48.53
1980-04-14;-1.96;3.34;8.63;7.21;13.332;3.64;52.26
1980-04-15;-1.59;1.64;4.87;0.0;14.969;2.37;50.94
1980-04-16;-1.24;6.55;14.34;0.0;24.945;0.33;37.65
1980-04-17;3.54;11.28;19.01;0.0;24.234;0.79;34.11
1980-04-18;4.22;12.81;21.4;0.0;24.168;2.27;32.6
1980-04-19;4.02;13.15;22.29;0.0;24.317;0.82;30.48
