iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;8.6;11.95;15.29;3.21;8.598;1.24;49.11
1980-01-02;8.27;11.64;15.02;0.0;9.785;0.94;46.77
1980-01-03;8.06;13.02;17.97;0.0;4.321;4.04;53.93
1980-01-04;7.73;11.6;15.46;0.0;8.948;2.26;50.57
1980-01-05;10.03;13.34;16.66;0.0;4.322;2.88;63.42
1980-01-06;8.99;11.77;14.54;0.0;4.448;4.66;63.5
1980-01-07;9.16;12.41;15.65;0.0;9.494;2.36;42.07
1980-01-08;10.0;12.52;15.03;0.0;8.601;3.45;60.17
1980-01-09;10.36;13.14;15.93;0.0;9.016;5.15;61.37
1980-01-10;10.32;13.09;15.85;0.0;8.941;4.93;59.06
1980-01-11;10.19;14.34;18.49;2.5;9.225;1.77;28.59
1980-01-12;7.12;10.96;14.79;7.3;5.744;4.75;60.77
1980-01-13;8.34;11.34;14.34;3.04;6.636;4.75;60.52
1980-01-14;7.15;10.28;13.4;15.43;5.759;1.56;64.81
1980-01-15;6.72;10.56;14.41;0.0;10.629;0.74;30.03
1980-01-16;5.13;10.15;15.17;9.2;4.069;7.88;52.86
1980-01-17;5.13;9.27;13.4;0.0;8.432;6.29;29.37
1980-01-18;5.63;10.3;14.97;12.14;5.058;5.8;55.26
1980-01-19;2.33;4.23;6.14;13.77;5.538;3.17;84.37
1980-01-20;5.31;8.63;11.96;13.26;9.48;1.23;58.94
1980-01-21;5.89;8.46;11.02;13.63;6.623;2.66;74.62
1980-01-22;6.29;9.79;13.3;1.83;9.159;3.88;53.5
1980-01-23;4.73;7.03;9.32;2.58;6.855;6.45;55.78
1980-01-24;4.46;8.63;12.81;1.35;8.006;5.41;53.02
1980-01-25;7.28;10.72;14.17;4.58;8.322;1.62;52.88
1980-01-26;7.9;12.27;16.63;1.35;10.837;2.14;60.29
1980-01-27;8.61;13.38;18.14;3.54;4.482;4.68;63.35
1980-01-28;7.82;13.26;18.69;2.67;4.438;2.51;63.19
1980-01-29;7.65;10.34;13.04;108.51;8.597;1.19;85.01
1980-01-30;4.26;6.12;7.98;1.06;8.369;3.1;76.79
