iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;10.33;16.68;23.04;0.0;14.997;2.74;25.77
1980-01-02;10.32;17.41;24.49;0.0;14.382;1.8;24.29
1980-01-03;10.5;17.52;24.55;0.0;14.487;0.88;21.59
1980-01-04;10.33;16.2;22.08;0.0;15.296;2.65;28.71
1980-01-05;7.9;14.2;20.49;0.0;13.963;3.19;31.75
1980-01-06;6.52;12.14;17.77;0.0;10.56;3.86;26.56
1980-01-07;6.19;12.02;17.85;0.0;11.45;2.98;26.55
1980-01-08;7.15;12.6;18.05;0.0;11.909;2.68;25.11
1980-01-09;6.57;13.31;20.06;0.0;15.392;2.88;17.15
1980-01-10;5.75;11.77;17.78;0.26;13.878;3.86;15.19
1980-01-11;7.7;14.82;21.95;0.0;14.997;0.45;11.5
1980-01-12;8.94;15.82;22.7;0.0;14.2;0.99;8.43
1980-01-13;8.94;16.45;23.96;0.0;14.898;1.47;12.19
1980-01-14;9.04;16.3;23.55;0.0;15.093;2.59;14.37
1980-01-15;8.24;14.71;21.19;0.0;15.451;2.59;13.05
1980-01-16;6.06;11.89;17.72;0.0;15.372;1.47;8.82
1980-01-17;5.88;12.14;18.4;0.0;15.082;1.58;7.73
1980-01-18;6.18;12.92;19.66;0.0;15.191;2.7;8.85
1980-01-19;7.25;14.02;20.78;0.0;15.492;3.36;11.02
1980-01-20;7.32;13.97;20.63;0.0;15.583;3.4;8.22
1980-01-21;6.61;13.32;20.04;0.0;15.574;3.72;8.25
1980-01-22;6.28;13.38;20.49;0.0;16.241;3.78;13.01
1980-01-23;6.71;13.64;20.58;0.0;16.67;2.4;17.13
1980-01-24;5.53;12.7;19.87;0.0;16.328;2.03;11.13
1980-01-25;6.98;13.92;20.85;0.0;16.375;3.59;11.94
1980-01-26;6.6;14.25;21.89;0.0;16.464;3.28;12.14
1980-01-27;8.42;15.72;23.02;0.0;16.463;3.39;9.92
1980-01-28;9.01;17.25;25.5;0.0;16.744;3.38;17.26
1980-01-29;12.33;20.19;28.05;0.0;16.897;3.28;18.68
1980-01-30;11.15;18.8;26.46;0.0;17.446;4.1;16.64
1980-01-31;11.13;17.52;23.9;0.0;17.756;4.42;16.99
1980-02-01;9.97;16.89;23.8;0.0;18.02;4.5;17.39
1980-02-02;9.51;16.87;24.23;0.0;18.263;3.0;18.04
1980-02-03;8.13;15.92;23.71;0.0;17.661;2.82;20.0
1980-02-04;8.04;14.88;21.72;0.0;18.298;3.15;17.55
1980-02-05;7.13;14.49;21.86;0.0;18.451;2.82;19.0
1980-02-06;8.27;16.63;24.99;0.0;18.253;2.83;19.19
1980-02-07;9.92;18.45;26.97;0.0;18.54;2.55;17.06
1980-02-08;10.29;18.53;26.77;0.0;18.553;1.8;15.75
1980-02-09;9.76;17.57;25.37;0.0;18.706;2.1;12.66
1980-02-10;9.85;17.21;24.58;0.0;18.775;2.82;10.97
1980-02-11;9.83;17.03;24.23;0.0;18.852;3.19;12.7
1980-02-12;9.49;16.64;23.79;0.0;19.44;3.49;14.06
