iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;5.94;9.68;13.42;0.0;9.387;2.61;62.23
1980-01-02;5.92;8.51;11.1;7.47;3.087;4.58;81.28
1980-01-03;5.18;9.92;14.66;0.0;8.544;2.9;47.34
1980-01-04;3.82;8.48;13.14;0.0;10.853;3.03;52.68
1980-01-05;5.18;10.32;15.46;0.0;10.834;3.43;48.56
1980-01-06;9.86;13.11;16.35;0.0;9.172;3.22;57.64
1980-01-07;10.2;13.59;16.99;0.0;10.125;2.41;52.37
1980-01-08;10.2;13.58;16.96;0.0;10.516;2.92;52.46
1980-01-09;9.04;12.38;15.72;0.0;9.828;2.88;58.25
1980-01-10;7.31;10.67;14.03;0.0;9.799;2.93;63.13
1980-01-11;4.82;9.14;13.46;0.0;8.543;2.58;61.96
1980-01-12;6.32;9.76;13.2;15.98;4.069;3.7;72.59
1980-01-13;7.31;10.8;14.29;0.0;5.141;1.51;55.86
1980-01-14;4.95;8.01;11.06;0.0;5.946;2.64;70.45
1980-01-15;5.98;8.96;11.93;10.48;3.522;2.63;72.91
1980-01-16;6.83;10.61;14.38;0.0;6.649;1.68;49.84
1980-01-17;6.64;9.83;13.03;6.79;11.108;1.69;54.58
1980-01-18;7.08;10.44;13.8;8.83;6.312;4.69;57.39
1980-01-19;7.37;10.69;14.01;3.78;5.877;6.49;63.48
1980-01-20;8.42;11.67;14.92;0.0;9.798;3.92;58.46
1980-01-21;5.46;9.3;13.14;0.0;10.625;4.61;65.06
1980-01-22;3.11;7.96;12.81;0.0;10.7;2.82;56.97
1980-01-23;3.85;9.04;14.24;0.0;6.693;4.37;57.25
1980-01-24;5.54;8.6;11.66;2.08;4.121;2.83;69.19
1980-01-25;6.75;10.66;14.58;0.0;6.333;4.61;63.83
1980-01-26;7.46;10.59;13.72;0.0;6.037;4.96;68.71
1980-01-27;8.25;11.46;14.67;0.0;11.149;1.93;40.76
1980-01-28;7.54;11.53;15.51;0.0;8.887;3.42;32.42
1980-01-29;7.26;10.71;14.17;0.0;8.614;2.0;40.41
1980-01-30;7.08;10.28;13.47;0.93;4.927;6.81;63.92
1980-01-31;8.51;11.34;14.17;1.05;8.483;2.85;57.44
1980-02-01;6.75;10.39;14.03;0.5;6.678;6.29;44.91
1980-02-02;6.26;10.32;14.38;0.0;8.743;3.36;30.08
1980-02-03;6.08;10.8;15.52;0.0;11.816;0.77;29.93
1980-02-04;4.83;8.66;12.49;0.0;12.065;2.9;44.59
1980-02-05;7.16;10.09;13.03;0.0;2.692;5.93;67.05
1980-02-06;7.63;11.31;15.0;5.96;4.999;6.92;64.63
1980-02-07;7.78;11.8;15.82;0.0;9.282;2.62;49.8
1980-02-08;7.94;10.54;13.15;0.0;7.034;4.68;66.87
1980-02-09;7.04;10.79;14.53;6.02;7.853;6.25;54.84
1980-02-10;7.22;10.66;14.1;0.0;7.911;5.97;44.9
1980-02-11;6.42;10.29;14.15;0.54;9.403;6.86;45.72
1980-02-12;6.87;11.28;15.69;0.0;10.162;2.45;32.82
1980-02-13;5.56;8.8;12.05;7.2;9.45;3.73;50.06
1980-02-14;2.69;5.75;8.81;5.66;1.985;4.17;73.36
1980-02-15;5.66;10.44;15.22;0.99;10.502;1.69;52.78
1980-02-16;7.26;12.65;18.04;0.0;12.865;4.51;47.21
1980-02-17;8.13;12.54;16.95;0.0;8.488;6.1;48.28
1980-02-18;8.05;12.69;17.32;0.0;15.791;3.63;30.79
1980-02-19;6.84;11.36;15.87;0.0;15.384;2.5;34.63
1980-02-20;4.84;9.79;14.73;0.0;9.908;2.51;52.59
1980-02-21;3.91;7.84;11.78;3.5;5.072;5.39;68.99
1980-02-22;6.93;11.64;16.36;0.0;8.919;4.01;59.64
1980-02-23;6.08;9.12;12.15;0.0;7.275;2.29;68.48
1980-02-24;5.56;7.68;9.8;18.69;7.739;3.29;79.94
1980-02-25;3.79;6.2;8.6;102.87;10.08;1.81;89.5
1980-02-26;4.85;6.75;8.66;112.48;21.228;1.47;74.41
1980-02-27;6.64;8.0;9.37;51.72;7.904;4.46;80.23
1980-02-28;7.99;10.93;13.86;0.0;5.192;5.63;60.76
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;4.6;8.95;13.29;0.0;14.85;3.14;45.13
1980-03-02;3.3;8.92;14.54;0.0;16.4;5.17;41.28
1980-03-03;7.07;11.36;15.64;0.0;14.713;2.69;52.34
1980-03-04;5.19;8.38;11.56;3.01;13.528;2.14;64.79
1980-03-05;5.82;9.38;12.93;0.0;11.144;2.61;52.33
1980-03-06;3.06;8.02;12.98;0.0;16.509;3.58;36.21
1980-03-07;7.51;11.12;14.72;0.0;8.902;3.94;43.03
1980-03-08;7.51;11.37;15.22;6.79;8.993;4.03;53.19
1980-03-09;4.59;7.82;11.05;21.93;7.317;4.25;70.06
1980-03-10;6.95;10.56;14.18;4.1;17.102;1.91;36.68
1980-03-11;9.68;17.34;25.0;0.0;17.721;5.04;17.32
1980-03-12;9.84;16.91;23.97;4.04;16.702;3.8;26.97
1980-03-13;7.46;11.91;16.36;0.0;18.419;0.8;36.28
1980-03-14;6.86;11.89;16.92;12.37;18.473;3.69;39.99
1980-03-15;7.9;11.38;14.87;5.9;14.17;5.25;40.04
1980-03-16;7.91;11.45;14.98;0.0;11.375;7.75;33.73
1980-03-17;8.74;12.74;16.74;0.0;19.31;4.65;30.82
1980-03-18;8.99;13.07;17.15;0.0;17.588;3.9;34.22
1980-03-19;8.51;13.25;18.0;0.0;14.812;1.52;29.89
1980-03-20;5.13;9.04;12.95;5.43;12.385;2.57;47.86
1980-03-21;9.25;11.75;14.24;7.03;14.968;4.8;52.82
1980-03-22;9.54;14.06;18.59;0.0;17.996;5.4;36.32
1980-03-23;7.63;14.8;21.97;0.0;19.694;3.69;32.74
1980-03-24;7.4;13.95;20.49;0.0;18.268;5.12;34.64
1980-03-25;9.16;14.89;20.62;0.0;20.016;4.28;34.69
1980-03-26;8.6;12.77;16.95;0.0;19.103;1.6;40.14
1980-03-27;10.81;16.97;23.13;0.0;20.356;3.23;36.45
1980-03-28;10.61;14.96;19.3;0.0;18.701;4.62;45.77
1980-03-29;9.72;13.21;16.71;0.0;16.234;4.8;38.06
1980-03-30;8.34;12.13;15.91;0.0;20.476;1.72;26.49
1980-03-31;8.58;11.95;15.32;0.0;16.411;3.59;33.26
1980-04-01;10.09;13.28;16.46;0.0;14.34;4.67;40.62
1980-04-02;9.2;11.9;14.6;0.0;19.225;3.22;48.62
1980-04-03;10.22;17.01;23.8;0.0;20.848;4.52;29.97
1980-04-04;9.34;13.29;17.23;0.0;19.306;2.54;51.53
1980-04-05;8.66;15.29;21.92;0.0;21.965;4.24;32.61
1980-04-06;9.27;12.91;16.56;25.82;13.101;2.45;57.68
1980-04-07;6.4;9.58;12.76;52.98;11.165;6.9;82.34
1980-04-08;7.59;11.09;14.58;0.0;20.328;6.92;38.94
1980-04-09;7.61;14.96;22.31;1.21;14.216;6.14;30.22
1980-04-10;7.77;10.25;12.72;6.72;10.443;7.7;53.94
1980-04-11;8.99;11.13;13.27;2.64;5.892;7.49;58.5
1980-04-12;10.08;12.23;14.39;0.49;5.225;6.87;57.28
1980-04-13;10.73;13.58;16.42;0.0;19.996;6.56;42.54
