iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;1.18;2.36;3.55;4.93;0.935;3.89;82.79
1980-01-02;-0.29;1.94;4.18;1.4;1.641;1.29;84.76
1980-01-03;-3.3;-2.22;-1.15;0.0;2.518;2.13;50.3
1980-01-04;-4.26;-3.5;-2.73;0.0;2.783;0.2;64.37
1980-01-05;-7.28;-5.29;-3.31;0.0;2.522;1.04;54.91
1980-01-06;-2.47;-1.32;-0.17;0.0;3.447;0.46;59.53
1980-01-07;-4.49;-2.0;0.49;0.0;3.484;0.29;48.92
1980-01-08;-1.57;2.51;6.59;7.79;2.026;6.19;81.14
1980-01-09;4.01;5.31;6.62;0.0;1.565;3.37;81.54
1980-01-10;3.76;5.71;7.65;7.36;1.473;6.25;84.24
1980-01-11;4.72;6.54;8.36;2.53;0.805;3.38;90.16
1980-01-12;1.8;5.32;8.84;0.0;0.919;2.65;83.14
1980-01-13;1.23;4.87;8.5;0.0;3.535;2.74;83.19
1980-01-14;0.27;3.72;7.18;0.0;2.694;2.68;78.33
1980-01-15;1.31;3.56;5.81;0.0;3.209;3.26;80.76
1980-01-16;1.11;2.85;4.6;0.0;3.154;2.03;71.13
1980-01-17;0.81;3.5;6.18;8.75;3.783;2.56;76.21
1980-01-18;1.39;4.74;8.09;0.59;3.745;2.77;84.73
1980-01-19;0.34;3.03;5.72;0.0;3.657;1.79;77.26
1980-01-20;-0.37;1.98;4.32;0.0;3.125;1.22;73.35
1980-01-21;-1.87;0.59;3.06;0.0;3.548;1.06;51.3
1980-01-22;-0.26;1.66;3.58;0.0;3.836;4.2;46.35
1980-01-23;-0.06;1.34;2.74;0.0;3.986;3.36;55.13
1980-01-24;-1.82;0.36;2.55;0.0;4.369;0.47;57.5
1980-01-25;-2.61;0.1;2.82;0.0;3.586;0.9;54.52
1980-01-26;-2.45;0.39;3.22;0.0;5.276;1.95;48.33
1980-01-27;0.01;1.41;2.81;11.39;2.357;4.6;75.85
1980-01-28;0.09;2.28;4.47;2.7;2.42;4.04;84.72
1980-01-29;-10.31;-3.57;3.18;0.0;4.085;0.89;64.16
1980-01-30;-8.18;-2.68;2.82;0.0;5.82;1.16;54.74
1980-01-31;-8.46;-3.03;2.41;0.0;4.365;0.88;62.2
1980-02-01;-1.44;2.08;5.59;0.0;4.454;4.04;58.94
1980-02-02;1.7;3.44;5.17;8.95;2.66;6.8;84.32
1980-02-03;-6.94;0.57;8.09;13.24;7.258;4.91;55.12
1980-02-04;4.99;6.58;8.17;1.82;3.358;8.03;78.63
1980-02-05;3.32;5.94;8.56;0.0;3.586;5.39;56.72
1980-02-06;2.14;5.27;8.4;0.0;4.002;4.39;69.72
1980-02-07;4.99;6.91;8.83;0.27;4.161;5.02;72.09
1980-02-08;3.76;6.12;8.48;2.55;1.915;4.17;84.81
1980-02-09;6.03;8.78;11.52;0.0;2.584;4.54;82.11
1980-02-10;4.98;8.34;11.69;0.0;4.426;5.84;74.16
1980-02-11;5.92;8.21;10.49;0.0;1.671;2.15;80.32
1980-02-12;3.78;6.56;9.34;0.0;4.08;4.61;66.67
1980-02-13;1.81;4.62;7.42;0.0;5.647;4.9;37.88
1980-02-14;0.05;3.63;7.21;0.0;5.537;2.12;29.98
1980-02-15;-1.26;3.77;8.8;0.0;5.645;1.35;50.89
1980-02-16;3.07;6.93;10.79;0.36;3.796;1.98;67.32
1980-02-17;0.35;5.04;9.72;0.0;6.769;4.03;55.92
1980-02-18;-0.59;2.58;5.74;0.0;6.52;0.27;36.71
1980-02-19;-0.23;3.08;6.4;0.0;6.312;1.04;42.4
1980-02-20;-1.56;2.18;5.93;0.0;6.187;4.24;40.22
1980-02-21;-1.85;0.36;2.57;0.0;7.137;5.56;29.49
1980-02-22;-3.04;0.47;3.97;0.0;7.102;3.52;19.71
1980-02-23;-2.17;1.13;4.42;0.0;7.204;4.01;20.66
1980-02-24;-1.42;3.69;8.8;0.0;7.608;6.45;20.4
1980-02-25;2.27;5.93;9.6;3.08;5.804;4.22;59.26
1980-02-26;7.82;12.22;16.63;0.0;8.763;4.23;40.72
1980-02-27;5.92;9.84;13.76;0.29;4.476;4.92;61.85
1980-02-28;9.07;12.7;16.33;3.03;9.326;4.25;55.37
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;5.69;10.03;14.36;0.26;5.237;1.99;67.56
1980-03-02;6.24;12.05;17.85;0.0;8.875;2.44;48.63
1980-03-03;7.16;12.35;17.53;0.0;8.509;4.65;51.36
1980-03-04;5.09;10.2;15.3;0.0;7.559;3.03;57.29
1980-03-05;7.48;11.38;15.28;0.0;6.876;2.22;56.21
1980-03-06;8.27;13.56;18.86;0.0;10.763;2.23;48.89
1980-03-07;7.51;11.18;14.86;0.66;2.86;2.86;81.06
1980-03-08;9.33;14.58;19.83;0.0;7.35;1.11;51.65
1980-03-09;9.06;13.42;17.78;0.0;7.883;2.47;56.65
1980-03-10;6.58;9.3;12.02;11.09;4.103;1.09;86.21
1980-03-11;5.01;8.77;12.52;1.82;3.045;1.78;82.44
1980-03-12;1.17;5.33;9.5;0.0;11.728;7.26;43.64
1980-03-13;0.58;5.0;9.43;0.0;11.635;4.28;20.01
1980-03-14;0.71;6.62;12.52;0.0;12.061;1.6;22.43
1980-03-15;0.81;7.21;13.6;0.0;7.672;2.49;46.93
1980-03-16;3.9;11.88;19.87;0.0;11.875;2.55;46.1
1980-03-17;4.58;9.1;13.62;0.0;12.022;3.78;38.26
1980-03-18;0.61;7.03;13.45;0.0;13.206;2.77;25.04
1980-03-19;0.57;6.41;12.25;0.0;13.148;2.29;29.97
1980-03-20;1.59;6.74;11.88;0.0;8.722;1.91;47.28
1980-03-21;0.55;7.15;13.75;0.0;12.631;1.16;43.1
1980-03-22;2.36;7.79;13.22;0.0;7.762;2.14;47.49
1980-03-23;1.25;8.18;15.12;0.0;14.005;1.07;38.31
1980-03-24;2.41;9.01;15.61;0.0;9.998;2.56;39.14
1980-03-25;3.07;9.64;16.22;0.0;13.867;3.57;44.06
1980-03-26;5.62;9.04;12.47;0.32;7.195;4.15;63.86
1980-03-27;8.34;10.68;13.02;0.57;10.047;4.58;64.75
1980-03-28;5.38;8.03;10.67;6.64;5.434;6.54;79.32
1980-03-29;1.47;5.58;9.68;0.0;9.744;3.42;46.91
1980-03-30;-0.63;3.43;7.48;0.3;13.582;1.94;44.09
1980-03-31;-1.85;3.45;8.74;1.05;17.003;0.78;33.61
1980-04-01;4.54;9.34;14.14;0.99;11.375;5.25;51.71
1980-04-02;7.34;10.72;14.11;0.0;4.444;2.65;62.24
1980-04-03;4.56;9.78;14.99;6.0;15.943;3.13;44.11
1980-04-04;1.87;6.21;10.55;1.3;8.887;4.46;54.8
1980-04-05;-1.64;4.83;11.3;1.8;19.841;1.51;36.56
1980-04-06;5.08;8.56;12.04;1.8;14.177;2.63;49.6
1980-04-07;4.63;9.31;14.0;0.0;13.929;2.02;34.55
1980-04-08;1.76;6.39;11.02;0.0;16.344;4.3;23.52
1980-04-09;-2.28;3.36;9.0;0.0;17.935;5.16;13.3
1980-04-10;-2.43;3.26;8.95;0.0;17.978;4.76;14.55
1980-04-11;-2.07;3.81;9.69;0.0;18.239;4.26;15.94
1980-04-12;-0.84;4.88;10.61;0.0;19.577;3.27;19.85
1980-04-13;0.99;4.75;8.5;0.68;11.767;2.13;45.92
1980-04-14;3.98;7.37;10.76;2.86;6.839;4.7;63.37
1980-04-15;3.99;7.84;11.7;0.39;17.933;5.18;49.53
1980-04-16;1.29;5.18;9.06;0.59;10.518;3.29;45.14
1980-04-17;1.93;7.65;13.37;0.09;19.686;4.19;34.38
1980-04-18;5.98;13.7;21.42;0.0;18.19;4.63;25.53
1980-04-19;8.0;12.2;16.39;0.0;8.594;2.88;53.29
1980-04-20;8.04;17.02;26.0;0.0;21.176;1.93;31.73
1980-04-21;9.39;17.39;25.39;0.0;22.177;2.22;31.79
1980-04-22;9.05;16.3;23.55;0.0;22.537;3.19;32.34
1980-04-23;8.38;15.85;23.32;0.0;20.73;3.68;30.4
1980-04-24;9.32;15.84;22.36;2.38;22.587;3.25;32.68
1980-04-25;7.24;13.86;20.48;4.37;18.408;1.05;40.5
1980-04-26;6.42;13.23;20.03;0.0;16.489;2.14;47.4
1980-04-27;8.57;15.0;21.42;0.0;19.117;1.96;47.05
1980-04-28;7.08;10.11;13.14;0.0;8.728;2.65;73.6
1980-04-29;7.33;12.72;18.11;0.0;15.939;4.11;51.64
1980-04-30;6.16;13.09;20.01;0.0;23.065;4.23;37.32
1980-05-01;8.22;13.29;18.36;0.0;14.52;1.78;48.7
1980-05-02;6.41;10.28;14.14;0.0;9.104;2.61;48.79
1980-05-03;7.36;11.61;15.86;5.59;15.399;4.79;44.9
1980-05-04;7.82;10.54;13.26;0.0;8.962;4.23;54.01
1980-05-05;6.79;10.73;14.68;0.0;16.78;1.98;50.49
1980-05-06;4.75;10.67;16.59;0.0;18.341;2.61;43.91
1980-05-07;6.94;11.13;15.32;0.0;15.035;1.9;54.96
1980-05-08;9.16;14.07;18.98;0.0;9.771;1.89;55.45
1980-05-09;9.45;15.0;20.55;0.0;17.262;1.55;54.88
1980-05-10;9.72;14.51;19.3;0.0;14.451;0.81;50.01
1980-05-11;6.46;12.46;18.46;9.93;7.15;0.85;39.08
1980-05-12;4.81;12.23;19.65;5.98;21.604;2.61;38.02
1980-05-13;9.95;14.43;18.91;1.94;20.269;2.93;51.8
1980-05-14;9.5;12.52;15.53;1.14;13.785;3.1;72.66
1980-05-15;6.8;11.79;16.79;3.74;13.402;1.8;47.16
1980-05-16;6.56;11.3;16.04;4.54;10.778;1.49;53.77
1980-05-17;7.46;11.49;15.53;2.54;11.783;2.77;57.72
1980-05-18;7.54;12.93;18.33;0.0;24.695;3.11;44.12
1980-05-19;6.58;11.05;15.53;1.15;14.357;2.3;55.87
1980-05-20;6.29;9.1;11.91;3.35;10.897;3.86;68.78
1980-05-21;8.29;11.47;14.66;0.06;8.542;0.61;65.5
1980-05-22;7.28;12.91;18.53;2.46;18.637;2.86;46.93
1980-05-23;8.43;13.47;18.52;0.0;17.004;2.61;56.38
1980-05-24;11.35;17.0;22.66;0.0;21.297;5.14;51.95
1980-05-25;14.91;18.43;21.94;1.1;17.575;4.5;55.88
1980-05-26;13.05;16.26;19.47;0.0;9.145;3.0;56.8
1980-05-27;11.44;15.25;19.07;0.82;8.585;1.14;68.85
1980-05-28;10.74;14.46;18.19;1.18;20.618;2.29;49.54
1980-05-29;11.59;15.21;18.83;1.92;21.364;3.9;59.91
1980-05-30;9.22;11.63;14.04;5.05;10.168;3.75;50.51
1980-05-31;9.05;11.86;14.66;2.02;15.252;4.3;53.7
1980-06-01;9.74;11.59;13.45;14.5;11.007;4.25;74.05
1980-06-02;10.42;13.54;16.66;12.12;19.795;4.4;61.82
1980-06-03;8.35;12.79;17.24;0.29;18.195;2.94;49.46
1980-06-04;7.94;13.05;18.16;1.12;22.867;2.5;44.09
1980-06-05;11.5;17.09;22.67;1.73;8.624;2.29;49.08
1980-06-06;11.61;17.06;22.51;8.03;11.718;2.0;60.74
1980-06-07;10.74;17.84;24.94;0.0;31.1;2.51;50.18
1980-06-08;8.71;14.47;20.23;0.0;16.468;2.01;44.31
1980-06-09;6.88;13.91;20.95;0.0;27.139;2.0;36.88
1980-06-10;9.28;17.05;24.83;0.0;24.615;3.03;37.73
1980-06-11;12.14;20.27;28.4;0.0;23.71;2.89;42.27
1980-06-12;13.77;19.61;25.44;0.0;25.108;1.9;38.43
1980-06-13;12.95;18.32;23.69;2.78;20.872;2.27;40.68
1980-06-14;19.4;25.4;31.4;0.0;29.793;0.53;46.75
1980-06-15;14.31;20.52;26.73;0.0;18.161;1.81;41.64
1980-06-16;13.8;20.55;27.29;0.0;18.605;2.09;42.22
1980-06-17;13.74;21.35;28.96;0.0;23.712;1.41;42.0
1980-06-18;14.25;19.75;25.25;2.04;27.346;2.91;41.3
1980-06-19;12.96;19.02;25.09;3.56;19.412;3.19;52.93
1980-06-20;10.35;15.89;21.44;8.43;11.105;1.06;55.75
1980-06-21;11.61;15.6;19.59;12.38;18.435;4.61;63.3
1980-06-22;10.33;14.55;18.78;0.0;16.653;4.8;54.56
1980-06-23;7.56;14.02;20.48;31.8;29.527;2.0;38.95
1980-06-24;12.72;15.26;17.8;15.41;11.936;3.33;82.09
1980-06-25;12.73;18.31;23.89;0.8;16.973;2.93;56.56
1980-06-26;13.84;19.48;25.11;1.84;18.941;1.96;44.37
1980-06-27;14.03;19.55;25.07;8.36;18.761;3.79;52.74
1980-06-28;11.2;14.27;17.34;4.48;6.731;5.15;60.95
1980-06-29;11.76;15.09;18.43;1.32;20.244;3.2;45.08
1980-06-30;11.68;15.23;18.79;4.16;10.667;3.61;68.18
1980-07-01;9.58;14.4;19.22;3.61;22.214;4.27;48.44
1980-07-02;9.58;12.53;15.47;3.42;11.734;5.35;69.22
1980-07-03;11.59;14.98;18.37;0.0;16.376;4.08;50.2
1980-07-04;10.91;14.32;17.73;2.57;17.642;2.81;53.57
1980-07-05;11.28;16.36;21.44;1.1;16.648;2.58;55.42
1980-07-06;10.91;16.39;21.87;0.0;13.797;5.53;48.11
1980-07-07;12.96;16.27;19.59;6.38;7.174;4.48;63.14
1980-07-08;12.78;15.88;18.97;1.41;12.984;4.02;68.01
1980-07-09;12.03;15.38;18.74;0.7;14.741;3.3;65.3
1980-07-10;9.67;13.66;17.65;0.0;14.215;2.36;51.11
1980-07-11;9.9;16.23;22.56;0.0;19.595;2.33;45.54
1980-07-12;12.47;19.01;25.55;0.0;29.201;2.68;40.51
1980-07-13;14.33;18.25;22.18;7.1;9.341;1.48;67.16
1980-07-14;13.54;16.61;19.68;7.13;11.682;3.61;65.74
1980-07-15;10.03;15.23;20.44;0.0;18.753;3.07;49.69
1980-07-16;4.99;12.34;19.7;8.61;19.723;2.99;42.02
1980-07-17;14.57;19.88;25.2;3.48;12.547;1.1;60.67
1980-07-18;14.82;20.3;25.78;8.88;12.834;0.92;65.7
1980-07-19;13.78;16.41;19.04;9.68;8.803;3.59;77.82
1980-07-20;13.78;17.18;20.59;4.34;11.985;3.56;71.92
1980-07-21;13.25;18.29;23.32;0.0;17.103;1.01;57.93
1980-07-22;12.91;18.93;24.95;0.0;18.854;0.71;50.35
1980-07-23;11.73;16.83;21.93;5.28;18.856;2.33;53.07
1980-07-24;9.58;15.69;21.8;0.21;17.658;1.46;53.01
1980-07-25;14.65;19.21;23.78;2.84;12.898;2.48;61.07
1980-07-26;12.14;18.68;25.21;0.0;21.826;2.26;49.41
1980-07-27;11.17;15.82;20.48;0.0;17.91;2.98;50.96
