iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;4.8;7.89;10.98;6.9;2.131;6.41;76.34
1980-01-02;1.2;2.11;3.03;0.0;1.913;3.2;61.93
1980-01-03;0.35;2.38;4.41;0.0;3.8;2.78;57.22
1980-01-04;5.12;8.31;11.5;0.0;6.131;6.11;44.76
1980-01-05;4.43;7.54;10.64;0.0;4.701;5.32;50.54
1980-01-06;5.17;7.88;10.59;0.0;4.545;4.66;42.81
1980-01-07;4.11;7.46;10.8;0.0;4.532;3.95;46.83
1980-01-08;4.06;7.16;10.27;0.0;4.127;3.45;52.06
1980-01-09;1.76;5.55;9.35;0.0;3.9;2.67;63.24
1980-01-10;0.97;5.04;9.11;0.0;5.021;3.02;66.63
1980-01-11;7.53;9.16;10.79;1.47;2.726;1.35;85.09
1980-01-12;6.71;8.37;10.02;0.0;1.152;3.94;89.46
1980-01-13;7.79;9.37;10.94;0.0;2.547;4.16;85.08
1980-01-14;-1.51;2.95;7.41;0.0;4.669;2.85;55.97
1980-01-15;-5.74;-1.73;2.28;0.0;4.444;1.13;65.57
1980-01-16;-7.11;-3.1;0.9;0.0;4.736;1.42;54.74
1980-01-17;-1.95;3.02;7.99;0.74;1.661;5.79;76.55
1980-01-18;6.08;8.45;10.82;0.0;1.721;6.04;80.57
1980-01-19;7.23;9.53;11.82;0.0;3.149;5.29;76.27
1980-01-20;5.44;7.3;9.17;0.0;4.919;5.01;62.69
1980-01-21;-0.32;2.55;5.43;1.63;3.303;4.51;55.35
1980-01-22;0.26;2.9;5.55;0.0;4.606;4.35;64.55
1980-01-23;2.93;5.01;7.1;1.33;3.958;2.05;87.65
1980-01-24;-0.3;3.66;7.61;0.84;5.962;3.1;72.72
1980-01-25;5.2;7.32;9.45;8.67;4.148;4.26;71.73
1980-01-26;1.73;3.59;5.45;0.0;3.417;3.42;72.58
1980-01-27;1.49;5.74;9.99;2.2;2.612;5.86;74.71
1980-01-28;4.81;6.38;7.95;0.0;4.12;4.44;57.32
1980-01-29;2.62;4.94;7.26;0.0;3.429;4.07;61.4
1980-01-30;0.47;4.19;7.9;0.0;4.117;2.85;62.92
1980-01-31;-0.73;3.29;7.31;4.99;3.123;3.61;57.76
1980-02-01;0.94;3.25;5.57;1.21;4.729;5.91;65.9
1980-02-02;-0.3;2.44;5.18;0.65;4.816;3.7;61.61
1980-02-03;2.62;6.59;10.55;4.0;3.849;4.37;65.44
1980-02-04;6.15;9.23;12.3;4.74;3.167;8.14;81.27
1980-02-05;6.75;9.71;12.67;6.97;3.617;3.89;82.38
1980-02-06;7.31;9.38;11.45;2.33;4.318;6.52;72.72
1980-02-07;0.34;2.94;5.54;0.0;4.056;6.91;45.56
1980-02-08;-1.42;3.06;7.55;1.72;8.698;4.95;54.58
1980-02-09;4.02;7.15;10.28;0.0;4.847;4.68;69.85
1980-02-10;4.28;7.27;10.25;0.0;4.806;4.37;71.54
1980-02-11;-0.13;4.63;9.39;0.0;7.821;4.24;46.18
1980-02-12;2.27;5.4;8.53;0.44;4.287;4.69;55.29
1980-02-13;1.83;4.99;8.15;0.0;6.845;3.59;60.82
1980-02-14;3.02;6.83;10.64;2.79;5.209;4.1;80.03
1980-02-15;8.31;10.41;12.51;2.12;3.794;6.34;78.22
1980-02-16;8.98;12.8;16.62;1.09;9.145;4.27;53.4
1980-02-17;6.52;9.91;13.31;0.0;3.615;3.29;77.21
1980-02-18;3.6;9.35;15.09;0.0;8.162;2.88;49.95
1980-02-19;2.16;8.27;14.38;0.0;8.183;3.43;46.36
1980-02-20;1.27;7.48;13.7;0.0;8.329;2.13;48.96
1980-02-21;1.65;8.08;14.51;0.0;7.144;1.69;50.56
1980-02-22;4.86;8.4;11.94;1.93;4.151;3.14;77.75
1980-02-23;3.44;7.71;11.98;9.88;3.72;3.06;63.21
1980-02-24;-1.16;3.4;7.95;1.11;3.824;8.18;58.46
1980-02-25;-2.75;0.69;4.12;0.0;8.675;2.79;36.13
1980-02-26;-1.36;4.2;9.75;17.48;4.47;2.41;38.46
1980-02-27;8.71;13.37;18.02;0.0;9.647;4.75;52.03
1980-02-28;8.52;12.11;15.7;5.3;4.283;4.75;79.81
1980-02-29;7.44;11.42;15.4;0.0;4.551;6.43;66.11
1980-03-01;6.72;10.28;13.84;4.39;4.921;5.36;74.88
1980-03-02;5.1;8.5;11.9;4.55;11.985;2.19;53.88
