iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-1.83;1.07;3.98;1.27;1.877;3.99;76.81
1980-01-02;-4.6;-3.11;-1.62;1.17;3.921;0.72;64.66
1980-01-03;-4.74;-2.54;-0.34;0.0;3.438;0.95;69.63
1980-01-04;-1.02;1.82;4.66;8.35;1.871;2.75;88.5
1980-01-05;-2.32;0.67;3.66;0.0;2.163;3.27;84.55
1980-01-06;-2.26;0.42;3.1;0.0;3.29;3.39;81.99
1980-01-07;-1.77;1.1;3.97;0.0;2.8;5.76;84.55
1980-01-08;-4.82;-1.85;1.13;0.0;3.621;0.91;70.4
1980-01-09;1.88;4.55;7.22;12.58;1.544;6.52;85.06
1980-01-10;6.66;8.51;10.36;0.56;2.986;6.52;83.96
1980-01-11;2.6;6.04;9.48;0.0;2.801;4.98;83.94
1980-01-12;-7.92;-0.67;6.58;4.96;1.803;3.27;62.35
1980-01-13;9.54;11.07;12.61;4.76;2.583;5.81;87.33
1980-01-14;6.1;8.11;10.12;0.46;2.182;4.53;84.33
1980-01-15;7.53;9.77;12.01;5.57;1.359;6.42;88.46
1980-01-16;6.01;8.45;10.88;0.17;1.373;5.35;85.19
1980-01-17;4.6;5.38;6.16;7.92;2.282;4.25;78.52
1980-01-18;-0.07;2.06;4.2;0.0;2.567;4.22;59.14
1980-01-19;0.14;4.11;8.07;0.0;3.192;3.46;84.88
1980-01-20;-2.68;1.78;6.25;1.14;3.002;3.96;66.81
1980-01-21;7.44;8.86;10.28;2.6;1.354;4.98;88.02
1980-01-22;4.77;7.7;10.63;7.38;1.426;1.83;86.3
1980-01-23;6.55;9.18;11.81;0.97;1.212;4.42;84.68
1980-01-24;5.39;8.23;11.07;0.0;2.804;3.82;79.19
1980-01-25;5.5;8.37;11.24;0.0;1.044;6.18;86.05
1980-01-26;-0.7;0.92;2.54;0.0;3.249;4.19;44.94
1980-01-27;0.24;4.06;7.89;2.46;5.335;3.69;53.99
1980-01-28;4.47;7.05;9.64;0.0;2.623;6.42;75.93
1980-01-29;4.4;5.2;5.99;0.0;3.373;4.23;67.08
1980-01-30;1.89;4.66;7.43;0.0;3.577;1.49;75.55
1980-01-31;0.43;5.29;10.14;0.0;2.276;4.7;79.72
1980-02-01;3.62;7.22;10.82;1.28;1.407;6.22;86.45
1980-02-02;-2.37;2.25;6.86;0.0;4.028;1.28;64.33
1980-02-03;-0.85;3.08;7.01;0.0;4.374;2.45;68.42
1980-02-04;3.8;7.66;11.53;0.0;3.293;2.53;73.27
1980-02-05;7.07;9.38;11.7;0.0;1.852;2.37;85.97
1980-02-06;8.3;10.64;12.98;0.0;2.822;2.14;82.57
1980-02-07;2.91;7.34;11.77;0.0;3.148;1.48;68.74
1980-02-08;1.82;5.9;9.97;0.0;1.954;0.57;68.6
1980-02-09;3.32;6.77;10.21;0.0;2.43;0.98;76.01
1980-02-10;-0.81;3.76;8.33;0.0;3.781;0.58;60.72
1980-02-11;-2.29;2.81;7.9;0.0;4.56;1.25;53.2
1980-02-12;-0.14;5.17;10.49;3.6;4.399;6.26;65.05
1980-02-13;6.05;8.85;11.65;1.28;1.537;7.36;82.73
1980-02-14;-1.58;1.9;5.38;0.0;4.372;5.98;35.49
1980-02-15;-1.61;0.68;2.98;0.0;5.948;5.86;36.67
1980-02-16;-2.44;-0.39;1.66;0.0;6.963;2.7;32.34
1980-02-17;-1.82;3.96;9.75;0.57;4.324;4.39;61.9
1980-02-18;2.19;5.68;9.18;2.43;3.2;8.9;71.22
1980-02-19;-0.97;1.08;3.12;0.0;5.871;5.66;44.27
1980-02-20;-1.46;1.23;3.91;0.0;6.236;3.9;49.94
1980-02-21;0.22;2.9;5.59;14.8;8.359;4.03;69.55
1980-02-22;-2.01;0.51;3.03;0.0;6.261;6.19;51.28
1980-02-23;-1.35;1.35;4.05;0.0;7.004;5.87;52.63
1980-02-24;-2.36;-0.07;2.21;0.33;7.679;4.53;50.65
1980-02-25;-3.19;-0.45;2.29;0.0;6.851;2.7;40.17
1980-02-26;-1.9;1.3;4.51;0.0;6.963;3.07;54.39
1980-02-27;-0.76;2.96;6.67;0.0;6.023;3.32;72.67
1980-02-28;-0.33;3.65;7.62;0.68;5.516;3.07;82.43
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;3.65;5.67;7.68;0.0;5.266;2.43;82.43
1980-03-02;2.27;5.96;9.64;0.0;9.055;2.35;62.8
1980-03-03;-0.36;3.64;7.64;0.0;4.861;2.43;75.59
1980-03-04;6.02;8.95;11.88;0.0;3.481;5.31;80.69
1980-03-05;5.95;8.8;11.65;1.44;4.12;4.3;68.03
1980-03-06;7.72;9.63;11.53;5.3;3.24;6.45;87.5
1980-03-07;4.8;7.8;10.81;2.2;5.402;4.81;79.2
1980-03-08;4.18;8.07;11.96;0.0;8.621;3.19;53.33
1980-03-09;3.85;7.71;11.58;0.0;8.402;3.75;52.63
1980-03-10;5.06;8.96;12.86;3.04;6.572;2.2;61.18
1980-03-11;5.33;9.93;14.53;5.33;10.346;5.06;56.63
1980-03-12;9.37;11.82;14.28;1.71;7.298;3.29;79.98
1980-03-13;9.86;13.86;17.86;0.0;11.214;4.16;59.33
1980-03-14;5.17;9.25;13.32;0.0;7.43;6.2;54.91
1980-03-15;3.06;7.0;10.93;5.3;4.876;4.01;59.64
1980-03-16;4.95;8.18;11.41;7.0;4.806;1.05;69.79
1980-03-17;4.19;8.04;11.88;0.0;9.37;3.76;38.57
1980-03-18;1.89;6.95;12.0;0.0;9.496;2.97;43.8
1980-03-19;2.32;6.71;11.1;1.51;4.561;5.12;63.86
1980-03-20;8.26;10.96;13.66;0.89;5.533;6.15;79.74
1980-03-21;6.27;9.22;12.18;0.0;7.595;5.41;57.56
1980-03-22;5.13;7.71;10.3;0.35;5.884;4.41;62.95
1980-03-23;3.64;7.16;10.67;0.0;8.934;2.55;43.82
1980-03-24;1.86;4.66;7.46;0.41;5.72;2.59;64.75
1980-03-25;-1.08;5.27;11.62;0.0;8.401;2.35;48.98
1980-03-26;0.98;8.41;15.84;0.0;12.543;1.76;37.86
1980-03-27;1.04;5.61;10.18;0.0;2.6;1.17;47.48
1980-03-28;0.79;6.48;12.18;0.0;14.044;3.97;38.06
