iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;9.77;12.72;15.68;0.0;7.15;2.88;42.5
1980-01-02;6.93;12.34;17.75;0.0;8.653;2.05;32.11
1980-01-03;8.24;12.65;17.06;0.0;3.063;5.87;47.38
1980-01-04;7.66;12.43;17.19;0.0;3.697;4.69;48.65
1980-01-05;6.35;10.55;14.75;0.0;8.382;3.52;56.45
1980-01-06;6.81;10.57;14.33;0.0;9.012;5.3;60.51
1980-01-07;9.04;13.45;17.86;0.0;9.914;3.28;44.11
1980-01-08;5.16;9.23;13.31;0.0;2.757;7.47;64.85
1980-01-09;5.89;9.04;12.2;0.0;6.413;8.15;81.06
1980-01-10;9.2;12.32;15.44;8.5;6.755;6.87;67.63
1980-01-11;8.68;13.38;18.07;0.0;11.661;3.09;35.24
1980-01-12;8.01;13.82;19.64;0.0;12.336;1.93;23.25
1980-01-13;8.76;11.47;14.18;3.46;4.685;6.27;57.2
1980-01-14;8.11;10.04;11.97;17.7;4.559;6.53;67.52
1980-01-15;4.81;10.21;15.62;7.19;6.725;5.75;47.71
1980-01-16;4.81;8.69;12.56;10.73;8.085;4.56;49.45
1980-01-17;5.03;9.69;14.34;0.0;9.967;4.28;37.82
1980-01-18;5.23;8.54;11.86;11.58;6.712;6.64;56.53
1980-01-19;3.34;8.38;13.41;8.28;11.965;2.45;47.95
1980-01-20;2.67;6.86;11.05;9.48;6.706;1.27;55.13
1980-01-21;3.59;8.91;14.23;0.0;11.879;3.36;38.45
1980-01-22;5.84;10.44;15.04;0.0;11.19;1.94;32.87
1980-01-23;2.52;8.99;15.46;0.0;10.238;3.17;42.5
1980-01-24;6.5;10.41;14.32;4.29;10.126;4.35;47.83
1980-01-25;5.4;9.86;14.32;0.0;7.783;2.96;43.4
1980-01-26;6.68;12.02;17.36;0.65;8.783;2.12;55.61
1980-01-27;9.21;13.4;17.59;0.0;7.647;4.87;54.49
1980-01-28;8.85;14.09;19.32;2.52;8.253;2.19;49.7
1980-01-29;3.69;8.13;12.57;14.14;5.52;3.83;63.85
1980-01-30;6.8;10.78;14.76;2.25;11.007;1.81;43.08
1980-01-31;6.8;11.08;15.37;3.14;12.683;0.61;42.78
1980-02-01;3.88;9.93;15.98;9.77;5.2;4.07;57.53
1980-02-02;7.55;9.36;11.16;0.0;2.589;4.16;70.32
1980-02-03;7.2;11.7;16.19;10.8;4.607;3.33;65.52
1980-02-04;8.66;11.73;14.81;27.41;4.938;3.79;79.16
1980-02-05;5.72;10.91;16.1;3.9;4.374;4.34;58.16
1980-02-06;7.95;11.74;15.53;0.0;10.986;3.47;47.61
1980-02-07;8.76;12.64;16.51;0.0;3.828;2.66;53.61
1980-02-08;1.26;9.08;16.9;14.69;7.174;5.39;54.67
1980-02-09;8.17;13.34;18.51;0.0;12.175;4.38;42.29
1980-02-10;7.1;11.68;16.27;0.5;7.914;3.6;60.21
1980-02-11;7.66;14.72;21.78;0.0;15.428;3.78;37.46
1980-02-12;5.32;10.73;16.14;0.0;9.192;3.74;58.38
1980-02-13;5.96;10.32;14.68;0.0;9.386;4.33;58.8
1980-02-14;8.46;13.81;19.16;0.0;13.297;2.05;35.47
1980-02-15;8.79;16.5;24.22;0.0;13.273;3.44;32.33
1980-02-16;10.2;15.37;20.54;0.0;11.348;1.44;44.22
1980-02-17;8.61;14.63;20.65;0.0;11.191;3.19;38.19
1980-02-18;7.8;14.36;20.92;0.0;11.319;3.06;39.64
1980-02-19;4.16;9.88;15.61;3.93;11.334;4.03;44.67
1980-02-20;7.21;12.71;18.21;0.0;13.384;4.05;25.96
1980-02-21;7.17;14.53;21.89;0.0;15.256;1.26;24.38
1980-02-22;5.53;10.31;15.1;0.94;11.102;6.13;46.62
1980-02-23;3.71;9.64;15.58;0.0;12.944;3.06;39.0
1980-02-24;2.6;8.54;14.47;0.0;12.051;3.76;49.02
1980-02-25;5.26;11.3;17.34;0.0;15.241;3.52;29.18
1980-02-26;2.74;9.46;16.19;0.0;14.23;2.67;34.84
1980-02-27;4.8;11.5;18.2;0.0;14.768;2.78;34.56
1980-02-28;5.52;9.89;14.26;0.0;10.994;4.13;49.68
1980-02-29;4.19;8.67;13.14;0.0;10.401;3.89;54.3
1980-03-01;8.78;12.3;15.83;0.0;11.094;5.58;44.96
1980-03-02;5.43;11.06;16.69;6.45;10.179;2.58;45.55
1980-03-03;3.47;9.16;14.85;6.01;17.005;3.52;40.89
1980-03-04;7.37;15.04;22.72;0.84;18.376;1.55;26.74
1980-03-05;9.11;14.13;19.14;4.02;14.155;0.84;38.65
1980-03-06;1.01;6.18;11.35;18.69;8.793;5.57;52.46
1980-03-07;9.32;14.17;19.01;4.88;21.523;4.72;34.74
1980-03-08;8.1;12.06;16.02;0.0;15.381;5.96;40.49
1980-03-09;7.41;11.91;16.41;0.0;14.084;5.38;35.64
1980-03-10;10.07;14.06;18.06;0.0;19.089;4.67;36.24
1980-03-11;10.54;16.01;21.48;0.0;10.611;3.29;35.84
1980-03-12;5.66;10.82;15.98;2.1;16.945;3.05;49.62
1980-03-13;4.75;9.59;14.44;3.94;12.836;4.16;40.35
1980-03-14;7.37;11.97;16.58;0.0;9.723;1.25;33.5
1980-03-15;8.68;12.07;15.46;0.0;12.536;2.6;40.28
1980-03-16;9.42;13.36;17.3;0.0;15.752;1.96;36.71
1980-03-17;8.72;13.43;18.14;0.0;15.341;1.1;31.0
1980-03-18;10.17;15.23;20.29;0.0;21.599;0.9;30.53
1980-03-19;9.62;13.7;17.79;2.16;18.973;2.69;36.6
1980-03-20;8.26;13.09;17.93;0.0;16.159;1.65;35.22
1980-03-21;10.93;17.16;23.38;0.0;16.709;1.81;33.4
