iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;4.82;10.05;15.28;0.0;11.221;2.29;39.69
1980-01-02;3.71;10.12;16.52;0.0;12.357;1.79;25.99
1980-01-03;3.7;10.38;17.05;0.0;13.069;1.0;28.21
1980-01-04;4.09;10.54;16.99;0.0;13.027;0.99;28.71
1980-01-05;3.5;10.14;16.79;0.0;12.278;0.99;27.17
1980-01-06;3.97;10.95;17.92;0.0;11.685;1.49;30.37
1980-01-07;4.2;11.06;17.92;0.0;11.806;1.19;29.29
1980-01-08;3.57;10.58;17.59;0.0;11.918;1.58;29.82
1980-01-09;5.33;12.89;20.45;0.0;11.642;2.87;33.23
1980-01-10;5.77;13.75;21.74;0.0;12.175;2.3;29.14
1980-01-11;4.48;11.43;18.38;0.0;12.442;1.39;30.01
1980-01-12;3.11;10.54;17.97;0.0;11.573;2.54;25.61
1980-01-13;3.0;9.96;16.93;0.0;12.089;1.5;24.23
1980-01-14;3.0;9.71;16.41;0.0;12.152;1.09;33.83
1980-01-15;2.82;9.5;16.17;0.0;12.54;1.49;31.18
1980-01-16;2.56;9.25;15.94;0.0;12.434;0.98;25.41
1980-01-17;3.43;10.04;16.64;0.0;12.42;1.75;23.57
1980-01-18;3.47;9.33;15.2;0.0;13.395;1.57;30.61
1980-01-19;2.9;8.49;14.08;0.0;13.076;1.32;30.55
1980-01-20;3.0;10.24;17.48;0.0;13.884;2.53;17.75
1980-01-21;4.91;11.46;18.02;0.0;13.068;1.87;20.93
1980-01-22;3.56;10.8;18.05;0.0;13.189;1.97;23.04
1980-01-23;4.07;11.59;19.1;0.0;11.775;2.08;23.9
1980-01-24;3.77;11.14;18.51;0.0;12.673;2.33;28.57
1980-01-25;4.04;11.37;18.69;0.0;15.435;1.0;29.36
1980-01-26;4.68;9.36;14.03;2.09;8.376;3.77;70.58
1980-01-27;0.62;4.78;8.94;2.59;7.188;5.85;80.79
1980-01-28;1.67;4.54;7.42;0.91;13.441;2.23;37.98
1980-01-29;2.77;8.1;13.43;0.0;7.56;3.49;43.67
1980-01-30;7.46;11.44;15.41;0.0;4.215;0.4;77.57
1980-01-31;12.49;16.0;19.5;0.0;15.161;1.79;40.67
1980-02-01;4.89;11.61;18.32;0.0;14.417;2.07;36.05
1980-02-02;5.21;12.6;19.99;0.0;15.004;1.3;31.68
1980-02-03;6.29;13.38;20.47;5.35;16.198;0.8;32.63
1980-02-04;8.51;13.52;18.53;6.35;10.514;2.85;62.82
1980-02-05;9.86;13.98;18.1;0.0;3.559;5.3;45.68
1980-02-06;6.96;13.71;20.45;0.0;16.922;2.46;30.93
1980-02-07;6.56;11.22;15.89;0.0;11.394;2.74;61.09
1980-02-08;5.84;11.91;17.99;0.0;17.05;1.1;36.56
1980-02-09;3.96;11.45;18.94;0.0;16.266;1.11;29.72
1980-02-10;6.26;13.32;20.39;0.0;16.387;1.11;36.24
1980-02-11;8.44;18.11;27.78;0.0;16.963;0.6;26.91
1980-02-12;8.31;15.85;23.39;0.0;16.891;1.2;33.12
1980-02-13;7.81;16.69;25.57;0.0;16.89;2.06;28.61
1980-02-14;13.56;20.71;27.85;0.0;17.131;2.25;18.21
1980-02-15;10.61;15.77;20.93;0.0;17.427;2.25;26.42
1980-02-16;9.91;15.37;20.83;0.0;15.964;1.49;39.51
1980-02-17;5.26;12.25;19.23;0.0;17.435;2.32;29.96
1980-02-18;2.29;8.63;14.97;0.0;12.547;2.24;44.42
1980-02-19;4.54;10.22;15.9;0.0;17.126;1.12;28.58
1980-02-20;4.65;11.59;18.54;0.0;15.161;1.78;26.21
1980-02-21;7.65;10.94;14.22;1.89;8.025;1.67;75.14
1980-02-22;6.16;9.63;13.1;0.0;8.188;1.48;62.94
1980-02-23;7.01;10.66;14.3;0.0;7.278;0.6;59.55
1980-02-24;6.33;12.72;19.11;0.0;12.156;2.67;39.96
1980-02-25;10.81;16.48;22.16;0.0;16.803;3.25;30.4
1980-02-26;7.66;14.57;21.49;0.0;17.033;2.32;16.93
1980-02-27;6.65;13.14;19.62;0.0;17.16;0.9;15.4
1980-02-28;5.4;10.66;15.93;3.25;19.185;1.67;19.31
1980-02-29;4.77;10.56;16.35;0.46;16.979;1.1;35.06
1980-03-01;3.2;8.55;13.91;1.41;11.426;1.48;46.83
1980-03-02;1.65;7.13;12.6;0.0;16.61;3.99;44.79
1980-03-03;4.75;10.62;16.48;0.0;18.595;0.9;28.31
1980-03-04;0.96;6.0;11.04;4.26;8.116;2.15;45.48
1980-03-05;6.15;9.51;12.87;0.0;10.584;0.49;70.46
1980-03-06;7.33;12.82;18.3;0.0;5.646;0.8;44.18
1980-03-07;4.97;12.09;19.21;0.0;18.137;1.29;26.46
1980-03-08;6.89;13.98;21.07;0.0;19.367;1.68;20.18
1980-03-09;6.58;14.82;23.05;0.0;18.63;1.39;19.54
1980-03-10;9.52;17.44;25.35;0.0;19.599;1.59;16.19
1980-03-11;15.25;19.98;24.7;0.0;17.318;1.88;11.43
1980-03-12;14.62;19.64;24.66;0.0;19.617;1.35;12.83
1980-03-13;10.94;18.07;25.19;0.0;20.313;0.66;15.12
1980-03-14;8.75;14.81;20.88;3.53;17.353;0.35;32.39
