iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;8.45;12.49;16.54;1.97;8.218;2.68;47.62
1980-01-02;10.58;15.98;21.38;0.0;8.713;1.6;39.23
1980-01-03;9.94;13.73;17.53;0.0;8.516;3.94;52.6
1980-01-04;9.98;13.13;16.27;0.0;3.546;4.67;51.18
1980-01-05;8.38;11.38;14.37;0.0;9.482;2.98;47.93
1980-01-06;8.12;10.93;13.73;0.0;9.417;4.82;62.41
1980-01-07;9.87;12.32;14.78;0.0;6.185;5.19;54.53
1980-01-08;8.43;11.09;13.74;0.0;6.747;5.95;69.8
1980-01-09;8.42;11.44;14.46;0.0;8.12;6.9;69.44
1980-01-10;9.04;12.34;15.63;0.0;7.811;6.52;60.93
1980-01-11;9.33;14.27;19.21;0.0;11.523;1.82;25.28
1980-01-12;7.99;13.04;18.09;0.0;12.126;0.48;29.14
1980-01-13;8.37;12.04;15.72;4.81;8.459;4.67;57.0
1980-01-14;6.42;12.0;17.58;6.83;6.533;3.54;43.93
1980-01-15;5.45;10.52;15.59;3.4;9.892;3.14;33.25
1980-01-16;5.83;10.85;15.87;0.0;11.919;3.06;23.3
1980-01-17;5.2;10.92;16.65;3.08;8.205;5.3;36.61
1980-01-18;3.62;9.1;14.58;9.48;9.392;4.1;45.61
1980-01-19;4.29;8.12;11.94;7.52;9.362;2.73;50.36
1980-01-20;5.46;9.61;13.75;5.2;9.584;5.68;46.96
1980-01-21;6.55;10.9;15.25;0.0;8.999;4.85;28.69
1980-01-22;5.85;11.89;17.93;0.0;12.857;1.45;25.47
1980-01-23;8.29;13.54;18.78;0.68;9.484;2.79;45.69
1980-01-24;6.57;11.88;17.19;3.71;7.61;3.28;49.28
1980-01-25;4.72;7.62;10.51;6.92;5.525;2.58;60.72
1980-01-26;5.56;8.4;11.25;1.93;3.378;2.27;77.86
1980-01-27;8.89;12.41;15.93;0.0;7.477;4.63;54.73
1980-01-28;9.83;15.91;21.99;0.0;12.559;1.41;29.45
1980-01-29;6.18;10.23;14.28;0.0;4.46;2.51;33.86
1980-01-30;6.27;11.04;15.82;4.29;9.674;3.39;39.93
