iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;16.66;23.18;29.69;0.0;15.1;2.52;10.66
1980-01-02;17.36;24.32;31.28;0.0;15.658;1.33;12.95
1980-01-03;14.46;22.46;30.46;0.0;14.559;0.77;23.4
1980-01-04;17.97;24.34;30.7;0.0;15.421;2.36;8.95
1980-01-05;16.3;23.07;29.84;0.0;15.288;2.2;13.37
1980-01-06;14.52;23.04;31.56;0.0;15.727;2.02;14.37
1980-01-07;16.74;25.29;33.84;0.0;16.63;1.03;15.63
1980-01-08;15.79;23.73;31.67;0.0;15.449;1.44;14.32
1980-01-09;17.52;24.99;32.46;0.0;17.963;1.67;14.78
1980-01-10;13.81;20.98;28.14;0.0;15.721;2.62;17.8
1980-01-11;11.68;19.53;27.38;0.0;15.318;2.61;16.59
1980-01-12;9.49;17.49;25.49;0.0;15.014;2.52;14.69
1980-01-13;9.23;17.44;25.65;0.0;15.028;2.25;13.92
1980-01-14;11.36;17.42;23.49;0.0;15.11;2.62;10.62
1980-01-15;8.6;15.7;22.79;0.0;15.776;3.33;20.31
1980-01-16;9.04;16.49;23.95;0.0;15.808;3.79;21.23
1980-01-17;8.57;16.38;24.19;0.0;16.12;3.21;19.34
1980-01-18;8.91;16.94;24.96;0.0;16.181;3.11;18.03
1980-01-19;8.48;16.44;24.4;0.0;16.331;2.61;15.3
1980-01-20;9.04;17.13;25.22;0.0;16.34;1.9;15.75
1980-01-21;8.49;16.21;23.94;0.0;16.042;2.41;13.08
1980-01-22;8.85;16.12;23.39;0.0;16.417;2.29;14.17
1980-01-23;9.06;15.27;21.49;0.0;16.6;4.01;23.46
1980-01-24;6.88;14.16;21.45;0.0;16.606;3.8;21.08
1980-01-25;6.8;14.36;21.91;0.0;16.692;2.6;21.18
1980-01-26;5.94;13.96;21.99;0.0;16.385;2.8;16.43
1980-01-27;8.3;15.86;23.41;0.0;17.074;3.8;23.91
1980-01-28;8.39;15.14;21.89;0.0;17.074;2.01;18.32
1980-01-29;6.6;14.82;23.05;0.0;16.68;2.6;17.48
1980-01-30;8.75;16.69;24.63;0.0;16.389;2.51;14.79
1980-01-31;10.45;18.64;26.84;0.0;16.946;1.23;15.61
1980-02-01;16.18;23.2;30.23;0.0;16.387;2.04;12.91
1980-02-02;12.69;19.85;27.01;0.0;16.238;2.34;7.98
1980-02-03;6.89;14.26;21.63;0.0;17.898;2.46;8.2
1980-02-04;6.55;14.79;23.02;0.0;18.99;3.65;8.39
1980-02-05;4.82;13.17;21.52;0.0;20.635;3.34;11.95
1980-02-06;4.91;13.19;21.46;0.0;20.043;2.11;11.08
1980-02-07;5.47;14.19;22.91;0.0;19.647;2.35;10.38
1980-02-08;5.31;14.46;23.62;0.0;21.824;2.21;8.92
1980-02-09;7.5;16.14;24.78;0.0;19.503;2.3;8.14
1980-02-10;7.42;16.82;26.22;0.0;18.575;2.92;8.73
1980-02-11;11.24;17.88;24.51;0.0;18.649;2.71;10.43
1980-02-12;9.27;17.57;25.87;0.0;20.303;2.81;12.36
1980-02-13;10.12;19.63;29.15;0.0;22.3;0.92;12.5
1980-02-14;14.03;23.19;32.34;0.0;18.902;1.08;7.47
1980-02-15;15.01;24.02;33.03;0.0;18.518;1.24;6.21
1980-02-16;11.92;20.07;28.21;0.0;18.923;2.84;16.24
1980-02-17;11.09;18.11;25.12;0.0;19.699;3.2;14.04
1980-02-18;10.58;17.96;25.35;0.0;19.615;2.31;12.59
1980-02-19;10.67;19.21;27.75;0.0;21.394;1.75;11.68
1980-02-20;12.71;21.82;30.92;0.0;21.524;1.24;11.96
1980-02-21;17.9;26.25;34.59;0.0;19.372;3.4;7.63
1980-02-22;14.02;21.18;28.34;0.0;19.6;2.1;8.93
1980-02-23;10.43;18.03;25.63;0.0;19.982;1.23;9.91
1980-02-24;10.9;19.23;27.57;0.0;20.144;0.78;10.71
1980-02-25;15.05;23.62;32.18;0.0;20.124;1.35;10.64
1980-02-26;20.1;29.48;38.87;0.0;20.129;1.54;8.14
1980-02-27;19.75;30.05;40.34;0.0;20.146;0.46;6.02
1980-02-28;21.97;31.54;41.1;0.0;20.316;3.13;4.35
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;19.74;27.84;35.93;0.0;22.648;2.51;1.03
1980-03-02;14.64;23.42;32.2;0.0;20.691;0.59;4.18
