iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.2;1.83;3.86;1.96;1.224;4.55;81.19
1980-01-02;-2.35;-0.75;0.86;0.0;1.803;4.83;59.74
1980-01-03;-3.07;-2.77;-2.48;0.0;2.297;4.56;69.53
1980-01-04;-3.11;-1.65;-0.19;4.48;1.903;5.52;71.62
1980-01-05;-4.78;-2.75;-0.71;0.66;2.411;6.62;66.22
1980-01-06;-5.26;-5.25;-5.24;0.0;2.78;5.5;75.05
1980-01-07;-5.71;-1.47;2.77;5.74;2.397;3.25;39.37
1980-01-08;0.72;2.77;4.83;5.85;1.306;4.39;85.97
1980-01-09;-0.54;1.08;2.71;0.0;2.296;4.61;77.54
1980-01-10;-0.45;2.35;5.16;8.83;1.16;3.83;84.57
1980-01-11;0.58;2.92;5.27;0.0;1.704;2.01;86.62
1980-01-12;2.86;4.57;6.28;0.0;2.003;3.83;87.41
1980-01-13;2.31;4.26;6.22;0.39;2.058;4.27;83.63
1980-01-14;1.64;3.09;4.54;0.0;2.195;1.67;87.39
1980-01-15;1.96;3.54;5.13;2.54;1.452;2.26;86.48
1980-01-16;1.3;2.93;4.56;0.0;1.964;2.19;78.53
1980-01-17;2.88;4.22;5.56;1.18;1.344;2.29;88.21
1980-01-18;1.44;2.88;4.31;0.0;2.553;2.06;78.45
1980-01-19;-0.01;1.63;3.27;0.0;2.64;3.33;65.63
1980-01-20;-2.44;-0.39;1.67;0.0;2.647;2.45;59.79
1980-01-21;-0.77;1.99;4.75;4.68;1.421;4.05;82.3
1980-01-22;-1.47;0.57;2.6;0.0;3.257;3.24;69.22
1980-01-23;-3.49;-1.1;1.3;0.0;3.048;2.06;55.41
1980-01-24;-0.59;0.87;2.33;0.0;2.726;1.62;66.84
1980-01-25;-1.81;-0.18;1.46;0.0;2.915;2.07;73.68
1980-01-26;-2.25;-0.73;0.78;0.0;3.071;2.09;73.03
1980-01-27;-1.17;0.82;2.82;7.32;2.244;5.71;66.08
1980-01-28;0.95;2.27;3.58;15.08;1.723;6.94;85.25
1980-01-29;-12.04;-5.11;1.82;0.0;3.674;3.75;67.33
1980-01-30;-12.22;-5.9;0.43;0.0;3.661;2.43;66.85
1980-01-31;-6.73;-1.88;2.98;0.0;3.972;3.56;55.47
1980-02-01;0.81;3.03;5.25;2.84;4.031;6.86;67.99
1980-02-02;-1.3;2.19;5.67;2.78;1.835;8.39;77.11
1980-02-03;-6.84;0.08;6.99;11.74;4.851;5.53;39.73
1980-02-04;3.92;5.41;6.9;2.17;2.15;8.35;81.67
1980-02-05;0.0;2.29;4.57;0.0;3.894;4.05;62.76
1980-02-06;1.66;4.75;7.85;2.8;2.031;6.37;81.1
