iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.21;6.98;10.76;9.29;1.279;5.74;55.68
1980-01-02;3.88;6.22;8.56;0.3;2.107;6.95;43.24
1980-01-03;2.36;3.96;5.55;0.0;3.02;4.44;67.72
1980-01-04;1.8;6.08;10.36;0.0;3.923;4.37;41.75
1980-01-05;5.59;7.63;9.67;0.0;3.61;4.25;72.51
1980-01-06;7.27;9.34;11.4;0.0;3.489;5.12;49.71
1980-01-07;4.15;7.08;10.01;0.0;4.086;3.69;62.02
1980-01-08;2.97;5.73;8.48;0.0;3.269;2.18;75.32
1980-01-09;1.92;4.69;7.45;0.0;3.507;2.02;77.8
1980-01-10;3.77;6.15;8.54;0.0;2.417;2.47;82.05
1980-01-11;5.7;6.91;8.12;9.57;1.286;3.22;88.12
1980-01-12;5.62;7.53;9.44;0.32;2.616;5.97;77.25
1980-01-13;4.15;6.18;8.21;6.21;2.388;6.13;71.61
1980-01-14;0.87;2.61;4.35;0.95;2.477;6.44;55.4
1980-01-15;0.87;2.97;5.07;0.0;2.698;3.34;65.77
1980-01-16;-0.05;2.34;4.73;0.0;3.837;5.15;60.71
1980-01-17;4.35;7.42;10.48;0.52;1.552;5.89;82.44
1980-01-18;8.4;9.96;11.52;0.33;1.385;8.39;78.24
1980-01-19;8.59;9.77;10.95;9.0;1.04;5.97;86.75
1980-01-20;7.46;9.07;10.68;0.0;4.202;6.75;64.25
1980-01-21;2.79;5.21;7.63;10.32;1.614;5.92;81.57
1980-01-22;-0.09;1.72;3.52;0.92;1.816;5.65;74.18
1980-01-23;0.61;2.19;3.77;0.45;3.551;4.75;75.82
1980-01-24;0.24;2.16;4.07;1.07;4.012;4.12;58.25
1980-01-25;2.73;4.76;6.79;6.6;1.858;6.13;67.33
1980-01-26;0.7;3.13;5.55;2.63;2.859;5.16;71.42
1980-01-27;-0.32;3.06;6.45;3.17;2.8;6.0;53.2
1980-01-28;3.32;4.65;5.98;2.41;3.598;6.63;67.08
1980-01-29;2.53;4.29;6.04;2.85;1.79;5.69;77.54
1980-01-30;1.08;3.56;6.04;0.28;3.288;4.35;78.39
1980-01-31;0.98;4.28;7.57;2.9;5.249;4.95;53.79
1980-02-01;2.76;4.09;5.42;6.33;2.47;5.67;81.55
1980-02-02;1.49;2.68;3.87;3.09;2.801;5.62;86.27
1980-02-03;2.76;4.12;5.47;2.98;2.881;5.51;81.66
1980-02-04;2.48;5.24;8.0;9.51;2.509;2.31;83.41
1980-02-05;3.86;6.0;8.14;2.73;4.156;4.93;63.03
