iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;7.81;14.9;22.0;0.08;13.613;2.71;32.4
1980-01-02;8.51;16.06;23.61;0.0;13.897;2.7;25.3
1980-01-03;7.81;17.11;26.4;0.0;14.198;2.31;19.31
1980-01-04;11.26;19.87;28.48;0.0;13.896;3.4;19.63
1980-01-05;11.23;19.25;27.27;0.0;14.162;3.51;20.93
1980-01-06;9.76;18.04;26.32;0.0;14.556;2.43;21.41
1980-01-07;9.9;17.93;25.97;0.0;14.482;1.43;22.84
1980-01-08;7.3;16.91;26.53;0.0;14.553;0.54;14.8
1980-01-09;10.35;16.34;22.33;0.0;14.774;3.2;11.93
1980-01-10;6.19;12.72;19.25;0.0;14.656;3.2;21.85
1980-01-11;5.77;12.08;18.4;0.0;15.068;2.7;21.96
1980-01-12;4.69;12.09;19.49;0.0;14.44;2.33;19.42
1980-01-13;5.49;13.62;21.75;0.0;15.902;1.46;19.76
1980-01-14;5.06;14.0;22.95;0.0;14.564;1.75;13.67
1980-01-15;8.26;14.14;20.03;0.0;14.776;3.22;20.77
1980-01-16;5.38;12.86;20.34;0.0;15.303;2.14;19.62
1980-01-17;4.44;13.27;22.09;0.0;16.784;1.37;19.38
1980-01-18;5.73;14.07;22.41;0.0;17.596;2.67;11.97
1980-01-19;7.91;15.31;22.71;0.3;16.878;3.13;19.67
1980-01-20;8.05;15.34;22.62;0.0;15.301;2.83;20.93
1980-01-21;5.79;14.23;22.67;0.0;15.725;2.12;17.62
1980-01-22;4.81;14.15;23.49;0.0;15.987;1.72;13.61
1980-01-23;6.08;14.9;23.72;0.0;15.599;2.02;14.69
1980-01-24;7.07;16.06;25.05;0.0;15.987;2.43;12.09
1980-01-25;8.39;18.04;27.68;0.0;17.051;2.51;8.05
1980-01-26;10.32;18.09;25.85;0.0;15.78;3.21;10.55
1980-01-27;9.26;16.55;23.84;0.0;15.83;2.53;16.28
1980-01-28;7.65;16.7;25.75;0.0;16.424;0.84;17.3
1980-01-29;9.46;19.75;30.04;0.0;18.587;2.35;6.91
1980-01-30;15.74;21.16;26.58;0.0;18.586;3.49;8.66
1980-01-31;14.9;22.75;30.59;0.0;16.687;3.03;15.9
1980-02-01;15.7;24.42;33.14;0.0;16.2;2.61;12.13
1980-02-02;16.47;24.72;32.97;0.0;16.092;2.08;13.83
1980-02-03;15.04;23.23;31.42;0.0;15.231;1.83;21.51
1980-02-04;16.84;22.32;27.81;0.0;16.241;3.9;11.18
1980-02-05;11.17;17.85;24.53;0.0;17.313;3.02;6.37
1980-02-06;8.6;16.34;24.07;0.0;19.309;2.63;8.81
1980-02-07;8.44;15.73;23.02;0.0;17.715;2.81;11.38
1980-02-08;8.11;14.99;21.88;0.0;18.913;3.41;13.27
1980-02-09;7.63;14.14;20.66;0.0;17.849;3.9;18.44
1980-02-10;5.49;12.54;19.58;0.0;18.16;3.5;19.07
1980-02-11;7.84;12.14;16.45;0.0;17.978;4.4;26.02
1980-02-12;6.33;11.82;17.31;0.0;18.465;4.1;19.17
1980-02-13;6.68;13.11;19.54;0.0;18.45;4.3;20.45
1980-02-14;6.94;13.38;19.83;0.0;20.0;3.8;20.26
1980-02-15;4.75;12.81;20.87;0.0;20.333;2.71;15.45
1980-02-16;4.75;13.46;22.17;0.0;19.367;1.21;14.24
1980-02-17;4.74;14.41;24.09;0.0;19.44;1.5;9.17
1980-02-18;6.99;15.37;23.75;0.0;19.329;3.41;10.51
1980-02-19;10.79;15.7;20.6;0.0;19.013;4.67;19.62
1980-02-20;8.52;14.74;20.96;0.0;19.356;3.8;16.9
1980-02-21;5.35;13.9;22.45;0.0;19.7;2.31;13.24
1980-02-22;5.84;14.83;23.83;0.0;19.939;2.53;8.73
1980-02-23;5.44;15.24;25.04;0.0;19.986;2.32;7.51
1980-02-24;7.13;16.88;26.62;0.0;20.096;2.31;9.41
1980-02-25;9.45;19.44;29.42;0.0;21.5;2.84;7.84
