iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;1.69;3.9;6.11;0.0;1.641;4.71;79.27
1980-01-02;-0.91;1.07;3.05;0.0;3.092;1.57;68.53
1980-01-03;-1.12;0.91;2.93;0.0;2.265;0.91;79.1
1980-01-04;-1.27;0.8;2.88;0.0;3.256;2.95;77.91
1980-01-05;-4.26;-1.95;0.35;0.0;3.561;5.07;75.4
1980-01-06;-9.01;-6.55;-4.1;0.0;4.872;3.83;64.08
1980-01-07;-9.06;-4.96;-0.86;1.51;3.731;1.27;46.24
1980-01-08;-13.73;-7.36;-0.99;0.0;4.294;5.27;29.41
1980-01-09;-14.2;-11.81;-9.42;0.0;4.182;2.12;56.12
1980-01-10;-14.55;-12.07;-9.58;0.0;5.42;0.78;49.3
1980-01-11;-14.44;-11.93;-9.41;0.0;5.575;1.98;47.05
1980-01-12;-14.18;-7.17;-0.15;0.97;3.878;4.14;27.66
1980-01-13;-0.51;0.38;1.26;9.88;2.038;4.05;96.69
1980-01-14;-2.23;-0.48;1.27;0.0;2.857;5.07;88.79
1980-01-15;-7.96;-5.11;-2.25;0.97;2.671;5.99;78.1
1980-01-16;-11.14;-8.88;-6.62;0.0;4.984;2.54;65.59
1980-01-17;-10.63;-8.83;-7.03;0.4;4.693;2.14;78.8
1980-01-18;-14.25;-10.61;-6.97;0.8;4.596;2.64;72.79
1980-01-19;-14.68;-10.94;-7.19;0.0;5.574;2.2;34.99
1980-01-20;-7.84;-3.01;1.81;2.85;1.557;5.68;76.28
1980-01-21;-1.43;-0.56;0.3;2.3;2.861;5.26;87.61
1980-01-22;-9.89;-4.93;0.03;0.74;6.134;2.46;42.46
1980-01-23;-9.07;-6.26;-3.45;0.78;4.461;3.52;74.42
1980-01-24;-6.08;-4.77;-3.45;0.0;5.225;4.81;85.78
1980-01-25;-11.69;-8.25;-4.81;0.0;5.121;7.26;77.96
1980-01-26;-12.04;-9.61;-7.17;1.35;4.552;8.41;67.67
1980-01-27;-14.87;-11.86;-8.84;0.14;5.617;6.4;71.94
1980-01-28;-16.15;-13.41;-10.68;0.0;7.423;3.77;52.4
1980-01-29;-15.68;-12.61;-9.54;0.0;7.081;4.4;61.22
1980-01-30;-12.06;-9.01;-5.95;0.0;5.238;5.71;69.42
1980-01-31;-8.11;-5.63;-3.15;0.0;5.257;4.82;70.12
1980-02-01;-6.59;-2.34;1.91;0.7;5.213;4.15;70.9
1980-02-02;-6.43;-2.4;1.63;2.74;3.557;2.1;82.53
1980-02-03;-7.13;-3.57;-0.01;1.0;6.102;2.8;64.38
1980-02-04;-1.18;0.58;2.34;1.1;4.216;3.08;84.6
1980-02-05;0.4;1.75;3.1;0.0;4.356;4.65;82.66
1980-02-06;1.02;2.59;4.17;5.68;1.211;4.65;83.82
1980-02-07;1.04;3.21;5.39;0.91;3.073;2.8;80.19
1980-02-08;-2.88;0.31;3.51;0.0;3.161;3.16;75.28
1980-02-09;-8.61;-4.96;-1.32;0.0;8.065;4.75;30.56
1980-02-10;-8.99;-5.56;-2.13;0.0;7.998;3.45;31.83
1980-02-11;-9.41;-5.61;-1.8;0.0;8.087;3.7;26.57
1980-02-12;-10.25;-5.96;-1.66;0.0;7.942;3.84;25.4
