iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-3.02;-1.1;0.81;0.0;2.419;3.41;83.63
1980-01-02;-3.01;-1.18;0.64;7.57;1.299;3.81;85.42
1980-01-03;-3.54;-0.98;1.58;0.0;2.175;2.63;82.8
1980-01-04;-3.31;1.05;5.4;5.96;2.426;2.82;64.59
1980-01-05;5.58;6.79;8.01;2.71;0.99;4.68;89.62
1980-01-06;5.49;6.82;8.14;7.11;2.094;5.93;86.23
1980-01-07;5.29;7.57;9.86;7.31;1.225;5.73;87.35
1980-01-08;7.05;7.77;8.48;16.89;1.338;3.26;90.2
1980-01-09;4.07;5.83;7.58;4.13;1.562;5.27;85.78
1980-01-10;1.55;3.29;5.03;2.73;1.334;4.83;85.73
1980-01-11;-1.87;0.97;3.82;4.6;2.65;2.88;79.4
1980-01-12;1.95;3.17;4.39;9.58;1.564;5.45;84.03
1980-01-13;-5.2;-1.92;1.37;0.0;2.678;2.66;66.0
1980-01-14;-7.55;-3.92;-0.3;0.0;3.298;0.39;74.97
1980-01-15;-4.36;-3.89;-3.41;0.0;2.765;3.46;67.68
1980-01-16;-4.76;-3.33;-1.91;0.0;2.293;2.92;67.06
1980-01-17;-7.61;-4.71;-1.8;0.0;2.481;2.17;75.86
1980-01-18;-7.25;-4.29;-1.34;0.0;2.887;2.86;84.29
1980-01-19;-7.33;-5.05;-2.77;0.0;2.321;2.46;63.62
1980-01-20;-4.7;-3.47;-2.24;0.0;2.537;4.09;70.79
1980-01-21;-1.9;-0.96;-0.02;0.5;1.723;4.24;84.53
1980-01-22;-4.18;-3.32;-2.46;0.0;2.983;3.04;83.69
1980-01-23;-2.58;-1.07;0.43;0.43;1.95;4.14;82.66
1980-01-24;-2.95;-1.12;0.71;0.0;2.184;3.01;83.6
1980-01-25;-2.06;-0.81;0.44;0.0;3.717;3.02;87.16
1980-01-26;-2.17;-0.55;1.06;0.0;3.714;3.41;83.81
1980-01-27;-2.32;-1.31;-0.31;0.0;3.974;6.8;74.11
1980-01-28;-2.28;-0.24;1.8;6.65;1.935;8.51;71.59
1980-01-29;2.14;3.61;5.07;0.84;2.044;5.85;85.23
1980-01-30;0.1;3.15;6.19;0.0;2.351;2.21;82.88
1980-01-31;0.02;2.38;4.75;0.59;1.725;5.84;79.99
1980-02-01;3.86;5.24;6.61;0.0;4.276;5.49;84.74
1980-02-02;3.4;5.64;7.89;0.0;4.501;5.78;72.68
1980-02-03;3.96;5.51;7.06;3.57;1.692;5.97;79.29
1980-02-04;3.96;6.06;8.16;0.0;4.431;5.36;67.46
1980-02-05;4.01;5.98;7.96;1.23;1.856;6.37;81.93
1980-02-06;3.28;5.28;7.28;0.0;3.604;5.74;67.37
1980-02-07;6.45;8.93;11.41;0.0;5.632;5.89;61.78
1980-02-08;5.29;7.72;10.16;0.56;4.628;4.38;72.77
1980-02-09;5.19;7.46;9.73;5.93;3.11;5.25;77.69
1980-02-10;3.05;5.25;7.44;1.25;5.973;5.38;76.79
1980-02-11;2.99;4.36;5.73;0.0;5.253;6.79;65.78
1980-02-12;2.52;5.62;8.72;9.16;3.94;6.93;61.51
1980-02-13;2.24;3.76;5.28;6.73;3.083;6.31;74.36
1980-02-14;2.22;4.48;6.73;1.37;4.484;5.26;71.58
1980-02-15;3.5;5.4;7.3;24.69;1.77;6.44;80.13
1980-02-16;1.11;3.54;5.96;3.78;4.247;9.31;63.67
1980-02-17;-0.29;2.08;4.45;3.64;2.365;2.78;75.71
