iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-1.15;0.38;1.9;0.72;0.603;0.97;84.43
1980-01-02;-2.99;-1.24;0.52;0.38;0.702;0.69;83.41
1980-01-03;-4.98;-2.88;-0.78;0.38;0.705;0.52;83.5
1980-01-04;-6.56;-4.92;-3.28;0.0;1.188;0.88;82.71
1980-01-05;-6.12;-3.35;-0.58;4.82;0.5;1.65;84.61
1980-01-06;-3.67;-1.57;0.53;6.65;0.402;1.17;80.67
1980-01-07;-9.67;-4.53;0.61;0.56;0.898;1.66;53.9
1980-01-08;-18.35;-13.68;-9.0;0.0;1.168;1.17;65.83
1980-01-09;-31.07;-27.55;-24.02;0.0;1.337;0.51;49.17
1980-01-10;-31.1;-19.39;-7.68;0.0;0.797;0.7;19.95
1980-01-11;-9.84;-6.9;-3.96;0.0;1.282;1.67;80.47
1980-01-12;-20.59;-15.02;-9.45;0.0;1.582;1.21;50.87
1980-01-13;-17.75;-14.9;-12.05;0.0;1.087;1.29;65.66
1980-01-14;-26.88;-20.83;-14.78;0.0;1.184;0.3;21.0
1980-01-15;-16.79;-14.3;-11.82;0.0;1.645;1.2;69.84
1980-01-16;-12.36;-8.29;-4.22;1.03;0.986;1.77;71.58
1980-01-17;-12.02;-8.63;-5.23;0.0;1.68;1.48;58.16
1980-01-18;-10.54;-7.01;-3.49;0.73;0.976;1.68;74.04
1980-01-19;-15.76;-10.68;-5.6;0.0;0.985;1.1;57.43
1980-01-20;-16.69;-12.09;-7.49;0.0;1.811;1.59;55.32
1980-01-21;-22.16;-13.11;-4.06;0.61;0.785;0.89;29.36
1980-01-22;-5.8;-3.22;-0.64;0.0;1.583;1.49;80.69
1980-01-23;-5.45;-3.46;-1.47;0.37;0.97;2.1;81.2
1980-01-24;-5.46;-3.02;-0.58;0.52;1.542;2.1;81.61
1980-01-25;-3.96;-2.06;-0.17;1.51;0.973;2.1;81.57
1980-01-26;-6.46;-4.85;-3.24;0.58;1.918;1.98;78.93
1980-01-27;-10.43;-7.12;-3.8;0.0;2.342;1.7;75.57
1980-01-28;-11.49;-8.95;-6.4;0.0;1.82;1.6;75.54
1980-01-29;-9.77;-7.21;-4.66;0.49;2.395;2.56;78.76
1980-01-30;-5.4;-2.85;-0.3;3.42;1.262;2.61;75.54
1980-01-31;-6.5;-3.42;-0.34;0.58;1.989;1.8;74.37
1980-02-01;-5.25;-1.72;1.81;3.65;0.98;2.18;79.51
1980-02-02;-8.1;-3.13;1.83;0.88;2.807;1.8;62.45
1980-02-03;-15.67;-8.25;-0.83;0.0;3.921;1.55;44.05
1980-02-04;-14.54;-7.14;0.26;0.0;3.013;0.91;51.11
1980-02-05;-11.33;-7.54;-3.74;0.0;2.864;1.41;62.05
1980-02-06;-4.41;-2.04;0.34;0.58;1.274;1.78;81.83
1980-02-07;-1.18;-0.38;0.42;1.97;1.324;1.66;84.9
1980-02-08;-1.18;0.07;1.31;8.3;2.187;2.21;81.3
1980-02-09;-0.53;0.48;1.5;1.2;2.104;1.22;81.91
1980-02-10;-0.33;0.53;1.4;2.03;1.171;2.1;81.83
1980-02-11;-1.21;0.08;1.36;5.54;1.556;1.94;82.14
1980-02-12;-2.26;-0.64;0.97;6.41;1.003;2.29;81.34
1980-02-13;-6.29;-3.85;-1.42;1.31;1.829;2.38;80.11
1980-02-14;-7.63;-6.88;-6.13;0.77;3.402;2.37;85.05
1980-02-15;-8.77;-8.45;-8.13;2.25;2.055;2.3;86.9
1980-02-16;-7.71;-5.67;-3.63;1.05;3.84;2.41;78.85
1980-02-17;-8.63;-7.45;-6.27;3.15;1.866;2.24;84.26
1980-02-18;-8.35;-5.78;-3.2;0.98;2.922;1.39;83.15
1980-02-19;-4.54;-2.99;-1.44;0.0;3.835;0.94;83.16
1980-02-20;-14.47;-8.83;-3.18;0.0;4.177;1.33;76.89
1980-02-21;-15.63;-9.63;-3.62;2.24;2.768;1.53;71.67
1980-02-22;-6.45;-4.96;-3.47;0.69;3.311;1.76;84.99
1980-02-23;-4.01;-1.24;1.52;0.0;6.621;2.3;70.55
1980-02-24;-5.02;-2.5;0.01;0.0;6.254;2.15;75.92
1980-02-25;-5.74;-2.46;0.83;0.56;4.412;2.58;75.08
1980-02-26;-0.57;0.3;1.18;3.21;3.232;2.19;85.29
1980-02-27;-0.57;0.99;2.55;5.35;3.33;2.1;85.94
1980-02-28;0.2;0.92;1.64;2.03;4.361;2.31;87.24
1980-02-29;0.29;1.24;2.19;1.74;2.9;1.82;86.42
1980-03-01;0.49;1.31;2.13;0.9;3.238;1.71;86.69
1980-03-02;-2.15;-0.34;1.47;0.65;4.498;1.82;79.85
1980-03-03;-1.67;0.31;2.3;0.0;8.715;1.73;79.67
1980-03-04;-4.86;-1.79;1.28;0.0;5.59;0.92;78.81
1980-03-05;-4.27;-1.48;1.3;0.0;5.863;1.31;78.99
