iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;13.24;19.18;25.13;0.0;14.502;3.97;13.14
1980-01-02;11.14;15.81;20.48;0.0;15.754;4.19;18.42
1980-01-03;8.37;14.75;21.13;0.0;14.742;3.23;20.84
1980-01-04;8.52;14.83;21.14;0.0;13.838;2.85;27.91
1980-01-05;9.5;14.71;19.91;0.0;14.022;3.87;22.76
1980-01-06;9.08;14.3;19.51;0.0;14.337;3.66;18.73
1980-01-07;9.02;13.68;18.34;0.0;14.75;4.29;16.05
1980-01-08;7.75;12.49;17.24;0.0;14.742;4.28;22.11
1980-01-09;6.61;12.04;17.48;0.0;14.576;3.97;24.16
1980-01-10;5.69;11.79;17.88;0.0;14.667;4.0;24.07
1980-01-11;6.19;11.93;17.67;0.0;15.038;4.08;18.17
1980-01-12;5.67;11.8;17.93;0.0;15.244;3.62;19.45
1980-01-13;4.89;13.38;21.88;0.0;16.402;3.63;14.44
1980-01-14;5.24;14.43;23.63;0.0;15.01;1.81;13.65
1980-01-15;5.35;14.91;24.48;0.0;14.92;1.52;15.04
1980-01-16;7.79;16.51;25.23;0.0;14.25;2.59;18.54
1980-01-17;9.74;17.23;24.73;0.0;15.537;3.1;10.32
1980-01-18;9.53;16.41;23.29;0.0;15.346;3.1;12.81
1980-01-19;7.88;15.99;24.11;0.0;15.346;2.01;19.26
1980-01-20;7.76;16.47;25.18;0.0;15.666;2.27;12.88
1980-01-21;8.13;16.43;24.74;0.0;15.535;3.2;11.23
1980-01-22;7.81;15.69;23.57;0.0;15.736;3.63;16.8
1980-01-23;8.93;16.23;23.54;0.0;15.342;3.49;25.54
1980-01-24;9.49;16.29;23.08;0.0;15.682;3.69;23.67
1980-01-25;10.41;16.25;22.09;0.0;15.632;4.24;26.22
1980-01-26;10.62;16.24;21.86;0.0;15.751;3.92;29.99
1980-01-27;8.01;15.45;22.88;0.0;18.379;2.46;19.26
1980-01-28;7.39;15.6;23.81;0.0;17.625;1.9;14.23
1980-01-29;8.03;16.33;24.63;0.0;17.488;2.77;14.02
1980-01-30;12.42;17.88;23.33;0.0;17.495;4.69;15.91
1980-01-31;10.39;16.22;22.05;0.0;17.625;4.66;13.09
1980-02-01;8.62;15.97;23.33;0.0;16.389;3.58;19.76
1980-02-02;8.64;16.33;24.02;0.0;16.887;3.6;14.8
1980-02-03;10.69;17.24;23.79;0.0;18.713;4.52;10.74
1980-02-04;10.6;15.16;19.72;0.0;18.943;5.04;18.01
1980-02-05;8.32;12.66;17.0;0.0;19.561;4.34;17.04
1980-02-06;5.74;12.61;19.48;0.0;18.198;2.2;18.15
1980-02-07;4.32;13.31;22.3;0.0;19.443;1.15;14.33
1980-02-08;5.18;14.21;23.25;0.0;17.889;2.0;11.28
1980-02-09;5.02;14.17;23.33;0.0;19.573;2.1;11.3
1980-02-10;6.59;15.3;24.02;0.0;19.443;0.72;13.53
1980-02-11;7.94;16.94;25.94;0.0;20.19;0.95;9.83
1980-02-12;8.87;18.21;27.55;0.0;19.443;0.87;9.05
1980-02-13;11.17;20.96;30.76;0.0;20.272;1.4;7.56
1980-02-14;13.27;23.09;32.9;0.0;18.034;3.28;6.33
1980-02-15;12.46;20.18;27.9;0.0;18.517;4.11;9.06
1980-02-16;12.9;18.41;23.93;0.0;19.078;4.57;6.1
1980-02-17;9.68;17.46;25.25;0.0;19.056;3.19;10.9
1980-02-18;8.58;17.95;27.31;0.0;20.95;1.63;8.23
1980-02-19;10.21;19.31;28.41;0.0;18.942;1.72;9.01
1980-02-20;11.09;18.77;26.44;0.0;19.507;3.61;7.4
1980-02-21;11.19;18.07;24.95;0.0;19.547;3.71;10.09
1980-02-22;9.0;17.2;25.4;0.0;20.596;2.89;11.21
1980-02-23;9.07;18.04;27.01;0.0;20.968;2.18;10.16
1980-02-24;12.0;21.84;31.69;0.0;21.509;2.59;7.0
1980-02-25;14.04;24.4;34.76;0.0;21.469;3.42;4.48
1980-02-26;15.17;25.62;36.07;0.0;20.429;3.62;4.65
1980-02-27;17.54;27.38;37.21;0.0;20.442;3.84;6.1
1980-02-28;20.32;29.86;39.39;0.0;21.098;4.73;8.13
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;20.56;30.31;40.06;0.0;20.662;4.61;7.83
1980-03-02;17.4;26.91;36.43;0.0;21.953;3.22;3.51
1980-03-03;18.4;24.7;31.01;0.0;21.793;4.46;4.99
1980-03-04;14.66;20.51;26.35;0.0;20.642;4.24;12.56
1980-03-05;11.07;17.01;22.94;0.0;21.182;3.84;11.64
1980-03-06;8.03;16.63;25.23;0.0;23.189;2.49;9.05
1980-03-07;11.9;20.14;28.39;0.0;21.985;2.1;9.18
1980-03-08;16.84;25.77;34.69;0.0;22.61;4.14;6.37
