iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-12.69;-7.58;-2.48;0.0;5.362;0.72;76.36
1980-01-02;-2.86;-2.1;-1.35;10.85;7.529;2.89;87.23
1980-01-03;-9.87;-6.27;-2.68;0.43;5.055;1.58;74.16
1980-01-04;-10.36;-5.99;-1.62;0.0;7.806;2.28;46.4
1980-01-05;-1.22;0.31;1.84;0.0;5.918;3.42;79.49
1980-01-06;-0.27;1.44;3.15;2.99;3.204;3.86;78.67
1980-01-07;-7.59;-3.38;0.83;5.02;7.789;2.85;49.44
1980-01-08;-6.95;-4.05;-1.15;0.0;4.6;1.65;52.39
1980-01-09;-5.5;-2.54;0.42;0.0;9.107;1.02;70.03
1980-01-10;-5.49;-2.0;1.5;0.0;3.626;2.06;74.02
1980-01-11;-2.53;0.43;3.38;0.0;7.022;2.86;64.13
1980-01-12;-3.52;-1.06;1.39;7.08;2.449;1.68;79.78
1980-01-13;-6.22;-3.65;-1.08;0.0;5.405;1.81;76.52
1980-01-14;-6.24;-3.79;-1.35;0.0;6.967;1.09;55.71
1980-01-15;-9.6;-6.17;-2.73;0.0;9.202;0.73;60.36
1980-01-16;-9.92;-6.04;-2.16;0.0;9.273;0.81;52.8
1980-01-17;-4.01;-3.08;-2.16;0.91;2.113;2.26;98.3
1980-01-18;-4.95;-2.38;0.19;0.0;3.47;0.54;83.72
1980-01-19;-5.19;-2.26;0.67;0.0;9.469;0.58;75.86
1980-01-20;-5.56;-2.71;0.13;0.0;7.936;0.78;75.24
1980-01-21;-6.8;-4.09;-1.38;0.0;5.594;2.86;74.14
1980-01-22;-7.88;-4.45;-1.01;0.0;9.857;1.52;49.76
1980-01-23;-3.73;-1.52;0.68;3.76;6.558;1.16;79.37
1980-01-24;-5.99;-2.94;0.11;0.0;9.602;1.71;50.23
1980-01-25;-3.43;-1.02;1.4;0.0;9.183;2.48;66.13
1980-01-26;-5.45;-2.92;-0.39;0.0;9.95;2.22;56.66
1980-01-27;-4.11;0.54;5.19;0.0;9.838;3.22;56.75
1980-01-28;-10.47;-5.08;0.32;0.0;7.309;3.62;48.41
1980-01-29;-11.56;-8.21;-4.85;0.0;11.236;1.28;32.81
1980-01-30;-11.58;-8.28;-4.97;0.0;11.356;2.18;57.61
1980-01-31;-11.39;-8.27;-5.15;0.0;11.232;2.96;55.74
1980-02-01;-12.4;-9.35;-6.29;0.0;11.219;1.87;60.43
1980-02-02;-12.46;-9.17;-5.88;0.0;11.906;1.49;55.41
1980-02-03;-13.51;-9.49;-5.47;6.9;11.205;2.58;56.53
1980-02-04;-18.18;-13.43;-8.68;0.0;11.189;4.96;56.97
1980-02-05;-17.49;-10.54;-3.59;0.28;11.903;1.86;36.16
1980-02-06;-15.34;-11.05;-6.76;0.0;11.232;3.6;62.47
1980-02-07;-18.17;-13.16;-8.14;0.0;12.322;2.83;48.57
1980-02-08;-18.17;-12.99;-7.81;0.0;11.108;2.49;55.49
1980-02-09;-16.86;-13.17;-9.48;0.0;11.228;2.4;53.4
1980-02-10;-16.28;-12.5;-8.71;0.0;12.182;1.88;53.6
1980-02-11;-18.17;-13.88;-9.59;0.0;12.328;1.16;53.73
1980-02-12;-17.19;-12.41;-7.62;0.0;14.009;1.36;41.15
1980-02-13;-16.72;-12.5;-8.29;0.0;12.69;0.76;52.33
1980-02-14;-18.27;-10.62;-2.96;3.93;10.62;1.71;47.91
1980-02-15;-7.77;-5.04;-2.32;26.2;6.337;2.6;93.85
1980-02-16;-14.14;-10.28;-6.42;8.61;8.495;3.0;72.47
1980-02-17;-18.23;-13.95;-9.66;2.0;12.641;3.55;69.28
1980-02-18;-18.12;-13.95;-9.77;0.0;14.09;3.98;60.02
1980-02-19;-21.04;-15.43;-9.81;0.0;14.898;1.67;44.5
1980-02-20;-18.68;-11.54;-4.4;0.0;13.608;2.46;41.34
1980-02-21;-5.08;-2.67;-0.27;0.0;13.131;3.13;75.86
1980-02-22;-7.25;-4.27;-1.29;0.0;14.294;1.62;80.1
1980-02-23;-6.37;-4.11;-1.84;0.0;8.352;0.82;87.32
1980-02-24;-1.58;-1.39;-1.2;0.46;4.75;2.61;93.92
1980-02-25;-1.07;-0.82;-0.57;20.34;3.033;3.82;90.7
1980-02-26;-4.31;-1.07;2.16;0.0;10.18;0.68;67.43
1980-02-27;-3.33;-2.07;-0.81;3.32;4.489;2.68;88.59
1980-02-28;-2.6;-0.45;1.71;0.0;10.717;0.91;72.52
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-4.5;-1.16;2.19;8.37;14.148;1.2;72.54
1980-03-02;-2.1;1.24;4.59;6.04;5.722;2.1;74.38
1980-03-03;-2.51;0.75;4.02;2.6;6.552;1.11;70.38
1980-03-04;-4.09;-0.63;2.84;2.14;11.311;1.2;62.42
1980-03-05;0.41;1.46;2.5;20.0;3.466;3.39;85.68
1980-03-06;-1.72;2.08;5.88;1.6;10.376;0.92;59.06
1980-03-07;-0.57;1.74;4.05;1.5;7.934;1.12;69.05
1980-03-08;-1.42;-0.26;0.89;3.54;3.443;2.09;80.85
1980-03-09;-3.59;-1.93;-0.27;5.35;9.334;1.57;79.26
1980-03-10;-5.28;-1.9;1.48;0.0;11.507;0.89;67.24
1980-03-11;-3.26;0.51;4.28;0.0;14.172;1.68;49.79
1980-03-12;-4.15;-0.68;2.8;0.58;7.906;1.61;64.67
1980-03-13;-4.14;0.64;5.42;0.0;11.083;2.28;48.26
1980-03-14;-0.48;4.73;9.94;0.0;17.29;2.68;42.45
1980-03-15;0.93;6.29;11.64;0.0;18.706;2.59;38.98
1980-03-16;1.32;7.34;13.37;0.0;17.666;1.78;44.6
1980-03-17;-0.4;6.92;14.24;0.0;16.931;1.02;49.27
1980-03-18;-0.53;6.87;14.27;0.0;12.565;0.88;47.65
1980-03-19;3.81;9.39;14.97;0.0;17.909;2.4;46.51
1980-03-20;1.39;7.72;14.05;0.0;18.804;1.26;41.1
1980-03-21;-1.85;3.53;8.91;0.0;18.215;1.9;43.59
1980-03-22;-3.93;3.29;10.51;0.0;18.152;0.29;39.03
1980-03-23;0.22;7.14;14.06;0.0;18.53;1.23;36.98
1980-03-24;1.68;8.3;14.93;0.0;18.541;1.07;39.15
1980-03-25;1.63;7.54;13.46;2.3;12.813;2.06;44.47
1980-03-26;-0.62;4.13;8.88;0.0;19.678;1.57;41.25
1980-03-27;1.07;6.88;12.7;0.0;11.446;1.9;45.77
1980-03-28;3.21;6.94;10.66;37.09;4.441;1.97;71.83
1980-03-29;1.5;5.57;9.63;0.96;12.198;1.38;51.97
1980-03-30;1.78;5.25;8.71;0.0;11.084;0.88;52.86
1980-03-31;-0.09;4.36;8.8;2.06;7.974;0.96;65.2
1980-04-01;3.25;6.39;9.53;3.52;7.759;1.69;65.59
1980-04-02;0.18;5.91;11.64;1.26;19.087;0.96;43.37
1980-04-03;4.42;8.02;11.62;8.01;12.445;2.07;60.35
1980-04-04;2.37;5.89;9.41;8.32;8.668;1.18;64.79
1980-04-05;3.46;7.03;10.59;1.43;12.256;0.59;60.43
1980-04-06;1.46;6.56;11.67;0.0;20.767;1.06;41.79
1980-04-07;-1.24;6.17;13.59;0.0;21.682;2.57;46.79
1980-04-08;5.2;7.79;10.37;3.06;6.528;3.24;67.58
1980-04-09;4.0;7.37;10.73;4.86;5.132;0.79;64.68
1980-04-10;2.26;6.21;10.15;1.35;15.326;1.5;47.77
1980-04-11;0.3;5.24;10.17;0.0;14.572;0.79;46.63
1980-04-12;-1.52;4.21;9.94;7.23;13.044;2.31;56.21
1980-04-13;4.97;7.1;9.22;16.8;5.911;2.08;70.56
1980-04-14;5.6;7.21;8.83;1.52;7.956;3.37;68.69
1980-04-15;5.35;6.64;7.94;3.26;6.399;3.85;71.5
1980-04-16;6.44;8.13;9.81;2.44;7.345;2.75;70.87
1980-04-17;4.08;8.55;13.02;0.0;14.046;0.52;58.78
1980-04-18;4.47;9.44;14.41;0.0;17.664;0.99;47.43
1980-04-19;3.6;7.24;10.88;6.19;9.708;1.69;65.56
1980-04-20;2.81;6.9;10.99;3.93;10.669;1.95;62.68
1980-04-21;5.13;8.54;11.94;0.0;11.632;2.69;56.05
1980-04-22;7.29;11.01;14.72;12.95;10.386;2.0;63.02
1980-04-23;6.22;10.55;14.88;3.86;7.145;0.89;68.31
1980-04-24;4.28;10.14;16.0;0.0;23.061;0.88;45.01
1980-04-25;2.6;9.73;16.86;0.0;22.98;0.97;47.75
1980-04-26;7.72;11.64;15.56;5.56;13.727;2.34;57.35
1980-04-27;8.75;9.96;11.18;15.06;5.489;2.36;77.04
1980-04-28;7.09;10.77;14.44;0.0;23.414;2.59;51.11
1980-04-29;7.22;12.92;18.63;0.0;23.096;1.9;43.01
1980-04-30;8.56;13.47;18.38;0.0;17.716;2.57;45.07
1980-05-01;7.03;10.25;13.46;5.32;5.991;1.51;69.81
1980-05-02;5.32;11.04;16.77;0.0;22.024;1.01;48.26
1980-05-03;6.56;12.04;17.52;0.0;22.076;0.56;49.67
1980-05-04;6.83;10.5;14.17;7.14;11.642;0.81;69.78
1980-05-05;9.8;12.78;15.75;7.04;6.228;0.6;69.86
1980-05-06;5.63;9.85;14.06;4.32;5.452;0.41;65.89
1980-05-07;5.63;10.53;15.42;1.16;10.824;0.6;62.85
1980-05-08;7.43;11.62;15.8;0.0;15.406;1.62;57.73
1980-05-09;10.53;10.96;11.39;7.13;7.646;3.52;77.46
1980-05-10;9.61;11.09;12.58;1.1;6.833;2.5;72.73
1980-05-11;9.64;12.29;14.95;1.07;6.984;2.12;67.26
1980-05-12;8.87;13.54;18.2;4.85;17.711;0.98;58.51
1980-05-13;10.14;12.93;15.72;12.88;5.637;0.59;68.77
1980-05-14;7.3;13.0;18.7;0.0;20.168;0.84;50.97
1980-05-15;5.22;12.57;19.93;1.28;20.318;1.49;53.67
1980-05-16;10.97;13.16;15.35;1.39;5.063;2.7;69.23
1980-05-17;11.01;15.77;20.54;0.0;21.386;0.88;51.07
1980-05-18;8.65;14.6;20.55;0.0;22.843;0.5;47.93
1980-05-19;12.13;14.95;17.77;16.14;10.843;1.68;64.36
1980-05-20;12.42;14.09;15.75;15.69;5.391;1.77;74.65
1980-05-21;12.22;13.77;15.32;3.42;5.681;2.91;70.7
1980-05-22;11.39;15.97;20.55;0.0;24.557;2.29;49.19
1980-05-23;9.93;15.9;21.88;0.0;23.96;1.0;47.27
