iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-5.18;-4.26;-3.35;0.0;3.65;3.9;58.89
1980-01-02;-3.44;-0.19;3.06;0.0;3.612;6.69;55.95
1980-01-03;1.21;2.63;4.04;0.0;4.186;3.9;75.92
1980-01-04;0.19;2.63;5.07;0.51;2.374;6.5;74.1
1980-01-05;-3.56;-1.2;1.16;0.0;3.88;2.69;61.48
1980-01-06;-2.91;0.24;3.4;0.0;2.31;5.31;68.83
1980-01-07;0.8;2.71;4.61;4.51;0.345;4.52;81.46
1980-01-08;0.8;2.23;3.66;7.15;1.761;4.01;82.49
1980-01-09;-2.42;0.56;3.55;1.93;3.37;3.61;75.23
1980-01-10;-3.06;-1.61;-0.17;0.0;3.459;3.71;73.59
1980-01-11;-4.88;-3.93;-2.98;0.0;4.25;1.72;64.25
1980-01-12;-4.96;-3.13;-1.31;0.95;2.552;2.51;78.43
1980-01-13;-0.53;0.55;1.62;0.58;1.915;0.86;90.97
1980-01-14;-2.95;-0.06;2.83;0.0;4.046;1.26;76.44
1980-01-15;-4.65;-1.27;2.11;0.58;5.373;2.84;74.45
1980-01-16;-1.81;-0.18;1.46;0.0;3.063;2.69;81.71
1980-01-17;-4.09;-1.69;0.7;0.44;4.952;2.13;65.54
1980-01-18;0.8;2.19;3.59;0.0;4.339;3.81;72.46
1980-01-19;-0.72;1.68;4.08;2.82;2.246;4.87;64.94
1980-01-20;-1.4;1.32;4.04;2.78;4.531;5.31;58.71
1980-01-21;0.8;2.19;3.59;0.0;2.31;5.92;55.86
1980-01-22;-0.83;1.36;3.55;0.0;4.186;6.69;50.58
1980-01-23;-3.25;-1.41;0.44;0.0;4.531;3.61;59.92
1980-01-24;-4.65;-3.93;-3.2;0.0;5.028;3.03;55.69
1980-01-25;-5.11;-4.04;-2.98;0.0;6.19;3.71;61.91
1980-01-26;-0.98;1.07;3.13;0.0;3.114;4.62;78.17
1980-01-27;-4.09;-0.5;3.09;0.0;6.509;2.31;62.43
1980-01-28;-6.77;-4.36;-1.95;0.0;6.19;1.26;56.98
1980-01-29;-6.85;-4.44;-2.03;0.0;4.952;1.0;54.74
1980-01-30;-6.43;-4.36;-2.29;0.95;4.531;2.4;71.51
1980-01-31;-3.33;-2.02;-0.7;1.73;2.374;1.63;83.36
1980-02-01;-6.24;-3.84;-1.44;0.0;4.03;2.3;76.65
1980-02-02;-10.25;-7.2;-4.14;0.0;5.607;1.48;61.06
1980-02-03;-9.22;-6.83;-4.43;0.0;5.757;4.2;58.53
1980-02-04;-9.72;-6.71;-3.7;0.0;6.183;4.16;54.45
1980-02-05;-10.93;-7.97;-5.01;0.0;5.757;2.68;59.35
1980-02-06;-11.14;-6.95;-2.75;0.0;5.842;1.51;52.99
1980-02-07;-10.54;-6.26;-1.99;0.51;5.714;3.41;56.41
1980-02-08;-8.08;-4.0;0.09;0.0;6.823;5.53;52.66
1980-02-09;-13.46;-9.49;-5.52;0.0;6.375;6.19;45.24
1980-02-10;-14.02;-11.97;-9.93;0.0;7.398;4.62;48.58
1980-02-11;-10.86;-5.95;-1.04;0.41;4.542;3.93;57.07
1980-02-12;-8.3;-5.57;-2.83;0.0;7.484;3.29;63.18
1980-02-13;-3.6;-0.85;1.91;0.0;6.929;4.16;72.57
1980-02-14;-1.83;0.04;1.91;4.76;4.222;7.3;79.5
1980-02-15;-2.61;-0.17;2.27;0.0;9.829;4.56;54.45
1980-02-16;-4.85;-1.47;1.91;0.0;8.444;2.6;54.13
1980-02-17;-7.34;-4.59;-1.84;0.0;8.55;2.6;53.8
1980-02-18;-7.59;-5.17;-2.75;0.0;8.294;3.73;43.03
1980-02-19;-7.59;-3.19;1.22;0.32;5.117;4.82;50.86
1980-02-20;-0.54;1.03;2.6;0.63;4.541;4.62;71.1
1980-02-21;-3.53;-0.32;2.89;5.58;3.752;2.6;79.58
1980-02-22;-7.16;-2.33;2.49;0.0;11.194;0.5;54.45
1980-02-23;-4.35;0.11;4.57;0.0;12.857;1.77;58.7
1980-02-24;-0.44;4.14;8.72;2.71;7.932;6.85;54.94
1980-02-25;-0.44;2.3;5.04;0.51;7.121;5.09;58.78
1980-02-26;-1.29;1.79;4.86;0.0;10.618;3.6;48.66
1980-02-27;-2.68;0.65;3.98;0.0;11.578;2.99;43.28
1980-02-28;-1.83;1.5;4.82;7.27;4.946;4.5;63.84
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;1.55;5.08;8.6;0.01;8.636;5.34;42.74
1980-03-02;0.82;3.77;6.71;0.01;5.821;3.63;66.69
1980-03-03;-0.98;1.88;4.74;0.01;7.324;1.96;65.67
1980-03-04;-1.74;1.9;5.53;0.01;6.332;1.34;68.45
1980-03-05;-0.77;2.79;6.35;0.01;8.412;1.73;54.13
1980-03-06;-2.63;0.11;2.85;0.0;8.636;2.5;61.22
1980-03-07;-2.93;2.83;8.6;0.0;10.586;2.63;45.15
1980-03-08;0.6;5.79;10.99;0.0;11.801;3.7;43.25
1980-03-09;1.03;6.31;11.6;0.0;11.61;4.5;39.45
1980-03-10;1.85;4.92;7.99;3.42;4.222;3.63;70.13
1980-03-11;-0.01;3.69;7.38;0.01;7.58;2.7;65.67
1980-03-12;1.12;4.79;8.45;0.01;8.155;3.7;64.87
1980-03-13;-0.83;2.17;5.17;0.55;5.245;2.15;69.83
1980-03-14;-2.78;-0.27;2.24;0.0;12.249;3.76;37.77
1980-03-15;-4.34;-1.19;1.96;0.0;13.624;2.33;41.43
1980-03-16;-5.77;-0.12;5.53;1.21;14.551;1.82;38.36
1980-03-17;1.03;4.88;8.74;0.55;6.172;3.12;59.39
1980-03-18;-2.11;1.99;6.1;0.01;6.909;2.33;52.31
