iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.88;7.39;10.9;0.0;4.621;2.77;48.84
1980-01-02;4.12;7.66;11.2;0.0;4.679;2.04;54.78
1980-01-03;1.33;5.54;9.76;0.0;4.533;0.94;55.2
1980-01-04;0.38;2.89;5.4;0.0;4.282;1.53;51.81
1980-01-05;-1.32;0.96;3.24;0.0;5.033;1.74;68.01
1980-01-06;-1.25;0.5;2.24;0.0;2.957;4.1;81.34
1980-01-07;-0.77;1.32;3.41;0.0;3.281;1.74;73.02
1980-01-08;1.3;2.57;3.84;1.34;2.884;0.39;76.84
1980-01-09;0.86;2.85;4.84;1.34;2.737;1.27;77.94
1980-01-10;0.86;3.38;5.9;6.41;2.811;2.65;67.76
1980-01-11;3.78;5.01;6.24;0.0;2.884;2.22;82.27
1980-01-12;3.07;5.6;8.13;0.0;4.032;3.58;59.36
1980-01-13;1.84;5.8;9.76;10.6;2.09;3.09;58.94
1980-01-14;1.33;2.6;3.87;0.0;2.384;4.98;89.31
1980-01-15;0.86;2.17;3.47;9.77;2.501;4.74;86.68
1980-01-16;0.86;2.67;4.47;2.64;2.384;0.82;77.69
1980-01-17;2.32;3.81;5.3;0.0;4.164;1.92;65.21
1980-01-18;1.03;3.19;5.34;1.21;3.046;1.82;68.78
1980-01-19;0.86;2.77;4.67;0.0;3.355;3.86;66.06
1980-01-20;0.86;4.58;8.3;1.69;3.87;2.88;58.6
1980-01-21;-1.79;1.67;5.14;16.57;2.252;3.86;61.14
1980-01-22;-2.23;-0.3;1.64;0.0;5.548;2.04;55.46
1980-01-23;-2.2;0.25;2.71;0.0;4.914;5.72;67.76
1980-01-24;-2.33;0.55;3.44;0.0;4.253;4.98;54.35
1980-01-25;-2.67;-0.84;0.98;0.0;6.975;6.74;77.69
1980-01-26;-3.39;-1.49;0.41;0.95;2.957;6.74;73.11
1980-01-27;-3.39;-1.44;0.51;1.34;3.046;5.36;77.69
1980-01-28;-6.65;-3.7;-0.75;0.0;4.106;6.65;70.56
1980-01-29;-7.87;-5.47;-3.08;0.0;9.123;7.48;54.18
1980-01-30;-9.37;-5.49;-1.62;0.0;9.418;5.45;46.04
1980-01-31;-7.46;-3.48;0.51;0.0;9.609;3.58;39.42
1980-02-01;-6.26;-1.81;2.63;0.0;7.169;1.9;38.39
1980-02-02;-1.07;2.56;6.2;0.0;5.586;1.39;46.72
1980-02-03;0.24;3.18;6.12;0.0;4.096;0.49;40.5
1980-02-04;-0.01;2.79;5.6;0.0;6.68;0.98;34.86
1980-02-05;-0.19;2.92;6.04;0.0;7.843;0.7;37.05
1980-02-06;0.38;4.62;8.85;0.58;8.657;1.9;41.59
1980-02-07;2.9;6.13;9.37;1.04;3.84;4.95;63.05
1980-02-08;4.5;8.64;12.78;9.12;4.724;2.48;54.38
1980-02-09;-5.26;-0.01;5.24;0.0;4.096;5.16;42.26
1980-02-10;-7.32;-4.13;-0.94;0.0;10.054;4.98;44.28
1980-02-11;-8.99;-4.96;-0.94;0.0;10.194;5.13;31.07
1980-02-12;-7.92;-4.43;-0.94;0.0;10.333;5.35;30.48
1980-02-13;-8.49;-4.58;-0.66;0.0;10.147;4.67;31.83
1980-02-14;-4.23;-0.27;3.7;4.13;4.399;3.72;46.89
1980-02-15;0.95;3.71;6.47;0.0;7.703;2.99;51.27
1980-02-16;-1.15;2.66;6.47;5.96;6.075;3.31;50.01
1980-02-17;-3.49;-0.59;2.31;0.58;8.961;4.09;62.21
1980-02-18;-4.23;-0.61;3.02;2.1;10.24;4.22;52.87
1980-02-19;-2.53;2.29;7.11;0.0;10.101;1.71;39.24
1980-02-20;-3.03;0.83;4.69;0.0;11.497;4.16;42.1
1980-02-21;-1.18;3.1;7.39;0.0;9.868;3.76;38.48
1980-02-22;-1.29;3.29;7.86;0.0;10.24;4.38;36.96
1980-02-23;-5.19;-0.73;3.74;0.0;10.054;6.31;39.07
1980-02-24;-7.36;-3.76;-0.15;0.0;12.195;9.06;24.17
1980-02-25;-8.46;-4.48;-0.5;1.69;15.5;9.06;17.95
1980-02-26;-7.32;-3.99;-0.66;2.6;6.959;7.03;37.3
1980-02-27;-7.43;-3.79;-0.15;0.0;14.011;6.24;36.97
1980-02-28;-7.0;-2.66;1.68;0.0;15.407;5.59;24.01
1980-02-29;-6.04;-1.77;2.51;0.0;9.403;1.99;39.24
1980-03-01;0.22;3.42;6.63;0.0;8.472;1.61;55.06
1980-03-02;0.92;5.97;11.02;0.0;10.346;4.13;44.5
1980-03-03;2.93;8.12;13.3;0.0;10.782;3.41;43.14
1980-03-04;3.19;8.37;13.55;0.0;10.212;1.9;39.47
1980-03-05;3.0;9.04;15.08;5.92;8.472;2.1;39.39
1980-03-06;4.22;7.65;11.09;3.67;6.797;2.68;61.77
1980-03-07;3.29;7.81;12.33;0.0;11.921;2.1;45.38
1980-03-08;0.22;4.83;9.45;0.0;8.136;5.83;53.3
1980-03-09;-2.52;-0.57;1.39;1.93;6.261;7.73;57.78
1980-03-10;-2.85;-1.08;0.68;0.0;12.858;7.92;40.03
1980-03-11;-3.08;-0.49;2.11;0.0;9.041;6.34;43.46
1980-03-12;-1.5;0.57;2.64;0.0;5.056;4.24;55.86
1980-03-13;-2.02;1.47;4.96;0.0;10.782;3.63;40.99
1980-03-14;-1.43;2.18;5.78;0.0;9.577;2.79;41.47
1980-03-15;-1.92;2.91;7.74;0.0;15.637;1.03;33.39
1980-03-16;-0.47;3.62;7.7;0.0;7.97;1.47;48.58
1980-03-17;1.18;6.13;11.09;0.0;14.297;0.39;37.23
1980-03-18;3.13;8.07;13.01;0.0;15.738;0.54;36.35
1980-03-19;3.0;7.38;11.76;1.13;10.079;2.21;44.26
1980-03-20;4.51;7.1;9.7;1.22;7.2;3.63;52.34
1980-03-21;-0.6;3.64;7.88;0.0;14.633;3.75;31.63
1980-03-22;-1.36;4.83;11.02;0.0;17.579;2.4;28.51
1980-03-23;1.81;7.13;12.44;0.0;10.079;4.02;43.38
1980-03-24;0.75;4.82;8.88;0.0;10.079;4.02;42.5
1980-03-25;0.78;5.65;10.52;0.0;14.197;4.85;37.15
1980-03-26;2.93;9.48;16.04;0.0;18.852;3.75;28.51
1980-03-27;4.35;11.78;19.21;0.0;18.952;1.8;21.56
1980-03-28;6.69;13.9;21.1;0.0;21.463;1.8;18.52
