iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-1.97;0.85;3.67;1.97;1.317;2.39;87.58
1980-01-02;0.23;2.85;5.47;0.59;1.979;3.8;83.51
1980-01-03;-0.04;3.98;7.99;11.3;1.317;3.38;77.91
1980-01-04;6.79;9.39;11.99;4.48;2.844;4.79;82.84
1980-01-05;7.81;9.98;12.16;0.0;3.229;5.04;80.04
1980-01-06;4.99;7.67;10.36;0.0;3.046;3.38;86.18
1980-01-07;7.73;10.07;12.4;0.0;3.325;5.46;75.11
1980-01-08;8.79;10.38;11.97;0.0;2.114;6.11;80.44
1980-01-09;8.05;9.88;11.7;0.95;1.115;5.53;87.84
1980-01-10;3.71;6.46;9.2;3.45;2.191;3.23;77.64
1980-01-11;5.96;8.06;10.17;0.0;2.335;4.52;80.04
1980-01-12;4.99;6.92;8.84;0.3;1.317;3.64;85.18
1980-01-13;6.65;8.98;11.3;4.71;1.711;3.8;81.91
1980-01-14;6.18;8.08;9.98;2.29;1.557;2.29;88.04
1980-01-15;8.3;10.14;11.97;9.2;0.807;3.75;90.11
1980-01-16;7.54;9.31;11.08;5.61;0.807;1.5;87.91
1980-01-17;6.65;8.5;10.36;6.62;1.317;4.43;86.64
1980-01-18;0.35;3.78;7.21;0.0;2.489;3.64;49.57
1980-01-19;-1.2;0.94;3.08;2.82;1.903;1.77;87.04
1980-01-20;-1.35;0.6;2.55;0.0;2.191;1.62;87.04
1980-01-21;-2.41;-0.3;1.81;0.0;3.325;1.62;85.11
1980-01-22;-1.57;0.88;3.33;0.0;2.748;1.13;86.98
1980-01-23;-1.57;0.96;3.5;0.0;2.422;0.7;86.84
1980-01-24;-3.77;-1.04;1.7;0.0;3.806;0.9;84.84
1980-01-25;-4.24;-1.45;1.34;0.0;2.951;1.27;84.44
1980-01-26;-2.61;-0.16;2.3;0.0;3.555;2.64;84.84
1980-01-27;-2.19;0.45;3.08;0.0;3.229;3.38;85.51
1980-01-28;-2.78;-0.18;2.42;0.0;2.422;1.87;87.91
1980-01-29;-4.39;-0.75;2.89;0.0;4.949;2.13;66.97
1980-01-30;-0.44;3.12;6.68;0.0;4.66;4.74;76.37
1980-01-31;6.45;9.01;11.57;1.55;1.979;6.04;86.18
1980-02-01;6.52;8.68;10.85;0.71;2.44;6.08;87.0
1980-02-02;10.57;11.19;11.8;9.45;1.503;7.25;88.6
1980-02-03;6.97;9.35;11.73;5.08;4.568;5.48;71.42
1980-02-04;9.07;10.05;11.04;2.9;1.503;6.59;89.63
1980-02-05;5.94;7.65;9.37;4.5;4.314;7.28;78.79
1980-02-06;7.6;9.0;10.41;4.08;3.103;6.21;82.77
1980-02-07;4.84;8.25;11.66;10.71;4.139;4.44;67.25
1980-02-08;4.73;7.52;10.3;2.96;3.885;7.43;71.04
1980-02-09;6.14;7.64;9.14;0.71;5.016;6.08;67.77
1980-02-10;4.52;6.2;7.87;4.5;4.509;8.2;55.26
1980-02-11;4.01;6.97;9.93;4.08;4.9;7.02;53.27
1980-02-12;3.62;6.45;9.28;0.27;5.095;9.08;50.77
1980-02-13;2.52;4.7;6.88;0.93;3.475;6.35;61.8
1980-02-14;3.8;5.35;6.9;7.9;4.568;3.47;83.8
1980-02-15;3.56;5.18;6.81;11.47;3.592;4.17;87.39
1980-02-16;1.1;4.54;7.97;0.02;4.021;3.33;69.62
1980-02-17;-0.97;2.56;6.1;0.02;6.207;3.62;60.71
1980-02-18;-1.62;2.06;5.75;0.02;7.301;1.87;51.67
1980-02-19;0.0;2.73;5.47;0.81;2.889;3.56;78.99
1980-02-20;1.31;4.46;7.6;0.02;7.944;4.44;48.21
1980-02-21;3.42;5.7;7.97;2.02;3.377;2.28;78.73
1980-02-22;3.33;6.87;10.41;0.02;5.543;5.04;51.67
1980-02-23;2.57;6.49;10.41;1.18;7.788;5.34;51.67
1980-02-24;10.06;10.82;11.59;6.72;2.908;7.83;86.62
1980-02-25;6.3;8.91;11.52;0.02;5.427;6.0;64.94
1980-02-26;3.56;8.0;12.44;1.62;3.885;6.08;57.12
1980-02-27;7.09;9.75;12.42;0.02;6.832;5.48;60.71
1980-02-28;5.94;7.77;9.6;0.02;3.767;4.93;75.27
1980-02-29;2.32;5.71;9.1;0.02;6.832;5.04;55.71
1980-03-01;-0.88;3.21;7.31;0.01;8.885;2.44;47.46
1980-03-02;1.55;4.95;8.34;0.01;8.535;2.36;49.9
1980-03-03;0.39;4.45;8.5;4.98;7.69;3.96;47.13
1980-03-04;1.81;5.65;9.49;1.64;8.098;1.3;69.99
1980-03-05;-0.3;4.4;9.11;0.01;8.651;1.5;50.35
1980-03-06;-1.05;3.93;8.91;0.01;9.409;0.5;46.55
1980-03-07;0.99;4.7;8.4;0.74;5.623;2.52;64.51
1980-03-08;5.13;8.31;11.5;7.72;4.165;3.25;80.54
1980-03-09;4.8;8.36;11.91;0.01;8.156;3.25;54.86
1980-03-10;6.06;10.38;14.69;1.64;8.885;2.24;58.08
1980-03-11;8.92;12.86;16.8;0.01;8.681;2.24;62.26
1980-03-12;8.27;12.84;17.41;0.41;8.273;2.44;58.08
1980-03-13;4.61;8.86;13.1;1.53;4.311;2.44;81.12
1980-03-14;0.99;5.48;9.97;0.0;12.496;2.24;37.86
