iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-2.2;1.44;5.08;4.04;1.634;5.66;54.11
1980-01-02;0.22;2.7;5.18;0.0;3.37;4.62;76.22
1980-01-03;-0.91;1.36;3.64;2.98;1.634;2.83;83.59
1980-01-04;0.74;5.55;10.36;0.43;2.349;3.61;80.57
1980-01-05;6.21;8.29;10.36;0.0;3.37;2.91;84.71
1980-01-06;4.43;7.13;9.84;0.0;3.37;2.3;82.39
1980-01-07;7.15;9.42;11.69;1.25;3.166;4.71;78.81
1980-01-08;7.59;10.28;12.97;0.0;3.472;5.66;71.02
1980-01-09;9.29;10.56;11.84;2.66;1.055;5.98;86.96
1980-01-10;5.41;7.94;10.46;0.0;2.996;2.91;59.23
1980-01-11;5.28;7.39;9.51;3.75;1.413;3.05;84.85
1980-01-12;7.2;8.36;9.51;0.64;2.639;4.21;84.71
1980-01-13;7.15;8.25;9.36;1.8;1.26;1.18;88.22
1980-01-14;1.24;4.72;8.2;0.29;4.204;2.21;76.36
1980-01-15;-0.58;1.57;3.72;0.64;2.281;3.41;65.9
1980-01-16;0.25;4.39;8.54;1.54;1.805;4.21;84.71
1980-01-17;6.21;7.34;8.46;1.86;1.941;5.68;84.36
1980-01-18;1.84;4.46;7.08;0.75;3.234;5.17;68.29
1980-01-19;0.36;2.44;4.51;0.0;3.268;1.18;83.8
1980-01-20;-2.37;0.64;3.64;0.0;5.498;1.69;71.51
1980-01-21;-2.81;0.32;3.46;0.0;5.004;2.14;80.92
1980-01-22;-2.42;0.52;3.46;0.0;5.583;1.34;84.29
1980-01-23;-4.79;-1.68;1.44;0.0;3.472;3.98;78.18
1980-01-24;-6.3;-3.92;-1.54;0.0;6.673;1.03;81.55
1980-01-25;-5.31;-3.27;-1.23;0.0;5.855;1.69;84.85
1980-01-26;-7.07;-4.87;-2.66;0.0;7.03;2.52;60.85
1980-01-27;-8.17;-6.97;-5.77;0.0;7.37;3.15;63.3
1980-01-28;-10.48;-8.63;-6.77;0.0;7.71;2.14;61.13
1980-01-29;-11.69;-9.54;-7.38;0.0;4.204;3.05;68.08
1980-01-30;-7.87;-4.49;-1.1;1.25;2.281;4.93;55.86
1980-01-31;-3.69;0.02;3.72;0.0;2.792;2.21;83.31
1980-02-01;-1.18;1.92;5.02;0.0;4.603;1.8;79.8
1980-02-02;-1.66;1.88;5.42;0.0;4.772;1.31;57.27
1980-02-03;-3.5;0.29;4.07;0.0;4.169;3.29;73.24
1980-02-04;-4.92;-0.63;3.67;0.0;6.025;4.12;63.04
1980-02-05;-5.29;-1.34;2.61;0.0;6.724;1.92;65.9
1980-02-06;-4.33;0.71;5.74;3.75;4.338;4.62;64.61
1980-02-07;1.94;4.18;6.43;0.69;3.109;3.29;82.58
1980-02-08;2.24;5.96;9.67;1.95;4.049;6.97;68.46
1980-02-09;6.21;7.94;9.67;0.0;6.483;6.69;58.62
1980-02-10;2.29;5.98;9.67;5.38;5.302;8.53;50.78
1980-02-11;4.27;7.23;10.2;4.5;6.362;6.61;52.56
1980-02-12;3.36;6.51;9.67;2.09;3.712;8.0;58.69
1980-02-13;3.14;5.05;6.96;2.23;2.795;7.89;67.96
1980-02-14;2.8;4.71;6.62;7.3;3.084;3.79;74.95
1980-02-15;2.88;5.73;8.58;7.11;2.796;7.89;70.46
1980-02-16;2.8;4.15;5.5;1.24;3.133;2.7;83.51
1980-02-17;-0.3;2.52;5.34;21.95;2.748;5.92;66.61
1980-02-18;-0.99;3.54;8.08;0.0;8.844;2.02;45.0
1980-02-19;-0.78;2.89;6.56;0.0;7.856;0.83;54.13
1980-02-20;-1.42;1.91;5.24;0.0;9.832;4.01;56.13
1980-02-21;-1.42;2.16;5.74;0.0;4.844;2.16;60.76
1980-02-22;2.0;5.29;8.58;2.8;2.482;4.92;70.6
1980-02-23;4.05;7.07;10.09;0.0;5.904;4.56;57.84
1980-02-24;6.59;9.84;13.09;0.0;5.326;6.45;61.97
1980-02-25;8.38;11.43;14.47;0.51;8.146;4.56;61.76
1980-02-26;8.51;11.43;14.36;0.0;4.965;4.19;71.6
1980-02-27;12.03;13.2;14.36;4.91;2.241;4.48;80.37
1980-02-28;10.33;12.96;15.59;2.09;6.965;3.29;58.41
1980-02-29;4.75;7.9;11.05;1.1;5.712;3.79;63.19
1980-03-01;3.21;5.2;7.19;0.52;5.529;4.65;69.63
1980-03-02;2.09;4.02;5.94;0.52;5.464;2.42;73.68
1980-03-03;1.02;5.71;10.39;0.0;8.424;1.41;54.69
1980-03-04;3.31;4.42;5.53;0.0;3.871;1.53;81.93
1980-03-05;4.26;5.13;5.99;0.67;4.098;1.8;88.05
1980-03-06;2.75;5.96;9.16;0.0;6.7;1.66;64.22
1980-03-07;1.62;5.72;9.83;0.0;7.058;2.33;54.55
1980-03-08;4.0;7.2;10.39;11.47;4.099;3.23;71.91
1980-03-09;6.93;9.3;11.67;0.75;7.416;3.04;65.93
1980-03-10;7.15;10.45;13.74;2.17;7.058;3.09;63.94
1980-03-11;5.95;8.04;10.14;0.0;4.684;0.75;82.93
1980-03-12;5.8;8.1;10.39;0.0;5.465;1.56;85.42
1980-03-13;-0.31;4.34;8.99;4.34;3.351;4.11;57.89
1980-03-14;-2.01;2.72;7.45;0.0;11.807;2.59;52.28
1980-03-15;2.25;5.82;9.39;0.0;9.464;1.41;55.9
1980-03-16;3.13;6.84;10.55;2.73;5.334;3.23;71.41
1980-03-17;3.21;7.84;12.46;0.52;10.181;4.39;55.55
1980-03-18;8.22;10.34;12.46;0.42;5.952;4.18;62.73
1980-03-19;6.79;9.59;12.39;1.82;8.164;2.89;64.65
1980-03-20;3.31;6.15;8.99;0.0;6.863;3.41;61.31
1980-03-21;6.35;8.32;10.29;0.21;6.863;4.11;62.66
1980-03-22;7.01;8.78;10.55;0.67;5.53;3.32;64.65
1980-03-23;6.93;9.23;11.54;13.0;4.781;3.9;82.36
1980-03-24;4.1;7.29;10.49;10.05;5.952;3.04;68.78
1980-03-25;1.08;3.31;5.53;1.73;5.009;4.57;71.48
1980-03-26;-0.65;1.51;3.66;10.78;6.603;2.23;85.35
1980-03-27;1.0;5.9;10.8;0.0;10.148;2.23;58.04
1980-03-28;2.75;5.87;8.99;0.0;9.692;3.52;64.3
1980-03-29;3.31;6.34;9.37;0.0;7.123;1.93;63.58
1980-03-30;4.58;8.29;12.0;0.0;8.489;1.53;57.11
1980-03-31;3.79;8.39;13.0;0.94;7.416;2.23;67.5
1980-04-01;3.93;8.79;13.65;0.0;13.249;1.27;58.74
1980-04-02;2.67;8.03;13.38;0.0;14.985;3.22;51.85
1980-04-03;2.32;7.14;11.96;0.0;15.147;2.97;50.42
1980-04-04;2.82;8.58;14.35;0.0;16.438;2.47;51.01
1980-04-05;5.26;10.43;15.6;0.0;14.339;2.76;49.58
1980-04-06;5.38;10.43;15.48;0.55;14.419;3.98;49.58
1980-04-07;1.35;5.58;9.8;9.52;11.188;4.59;58.74
1980-04-08;-1.07;4.1;9.27;0.95;14.904;2.37;43.95
1980-04-09;2.51;8.29;14.08;1.92;14.581;3.08;54.96
1980-04-10;7.97;11.93;15.88;0.7;11.673;3.36;60.59
1980-04-11;7.09;12.76;18.43;0.0;19.469;3.16;44.62
1980-04-12;7.37;13.16;18.94;0.0;17.207;2.47;42.77
1980-04-13;8.47;13.92;19.37;0.0;17.045;4.73;39.91
1980-04-14;8.77;14.07;19.37;0.0;14.339;3.98;47.39
1980-04-15;8.59;14.01;19.42;0.0;20.438;4.91;37.73
1980-04-16;7.09;10.88;14.68;0.0;14.824;5.05;47.65
1980-04-17;3.5;6.04;8.57;2.96;9.411;2.56;66.22
