iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;2.49;9.29;16.09;0.01;9.749;1.67;43.1
1980-01-02;7.1;12.48;17.86;0.01;10.492;3.32;43.97
1980-01-03;3.68;9.79;15.91;0.01;10.294;2.48;44.4
1980-01-04;4.27;8.59;12.92;3.08;8.582;4.25;58.11
1980-01-05;-1.55;4.32;10.19;0.01;10.988;4.13;6.31
1980-01-06;-3.81;1.66;7.13;0.01;10.988;1.54;6.31
1980-01-07;-1.91;4.25;10.42;4.34;3.795;2.31;39.28
1980-01-08;2.87;6.95;11.02;0.01;10.641;1.27;45.44
1980-01-09;2.49;7.09;11.69;7.13;8.582;2.48;56.37
1980-01-10;1.88;6.15;10.42;0.01;9.376;2.78;50.3
1980-01-11;-0.04;4.51;9.06;1.22;9.749;2.44;57.85
1980-01-12;-1.41;4.0;9.41;0.01;11.336;1.83;37.55
1980-01-13;3.31;8.29;13.28;7.69;4.663;3.72;65.05
1980-01-14;0.5;6.6;12.7;0.01;9.946;0.66;40.84
1980-01-15;2.87;7.37;11.87;4.33;7.913;3.32;68.43
1980-01-16;2.87;8.97;15.08;7.13;4.862;2.86;50.91
1980-01-17;8.71;12.57;16.43;1.33;7.665;1.95;73.12
1980-01-18;6.97;11.95;16.93;0.9;6.027;2.48;72.68
1980-01-19;3.48;10.71;17.94;0.01;11.906;1.18;39.2
1980-01-20;2.91;10.78;18.65;0.01;12.601;0.66;29.05
1980-01-21;2.58;11.03;19.48;0.01;12.551;0.89;6.31
1980-01-22;1.17;8.13;15.08;0.01;8.582;1.54;40.15
1980-01-23;2.49;8.66;14.84;0.01;11.782;1.47;29.22
1980-01-24;2.09;9.09;16.09;0.01;11.683;1.18;26.79
1980-01-25;3.31;11.07;18.83;0.01;12.03;1.35;6.4
1980-01-26;3.18;10.71;18.23;0.01;12.105;1.27;27.31
1980-01-27;1.99;10.05;18.12;0.01;12.55;1.54;6.4
1980-01-28;3.01;7.96;12.92;0.01;9.302;2.05;45.44
1980-01-29;1.84;6.6;11.37;0.01;9.872;1.95;42.58
1980-01-30;0.77;5.89;11.02;0.01;12.303;2.14;27.92
1980-01-31;1.05;6.3;11.55;0.01;13.022;2.31;26.88
1980-02-01;2.62;7.64;12.67;0.0;13.834;1.88;35.28
1980-02-02;2.05;7.4;12.76;0.0;13.77;1.37;36.94
1980-02-03;2.05;8.09;14.13;0.0;14.056;1.54;31.24
1980-02-04;3.65;8.97;14.29;0.0;13.738;1.69;36.69
1980-02-05;2.73;9.14;15.55;0.0;15.073;1.65;29.26
1980-02-06;4.96;10.44;15.91;0.0;14.056;1.65;39.16
1980-02-07;5.29;10.14;15.0;0.0;12.148;1.37;44.7
1980-02-08;5.29;10.77;16.25;0.0;13.802;2.34;35.94
1980-02-09;6.09;9.34;12.58;4.7;8.809;1.99;68.22
1980-02-10;6.0;10.1;14.2;2.87;9.095;1.37;53.53
1980-02-11;4.79;8.94;13.08;0.0;13.579;2.34;44.94
1980-02-12;4.79;8.48;12.17;1.2;10.685;3.14;51.71
1980-02-13;2.62;5.46;8.29;0.0;13.262;2.65;44.53
1980-02-14;0.1;3.4;6.71;0.0;11.703;2.06;47.67
1980-02-15;1.78;5.99;10.2;0.0;14.247;1.54;42.71
1980-02-16;2.13;6.42;10.71;0.09;9.89;0.3;52.7
1980-02-17;3.05;7.99;12.94;0.33;10.367;2.57;42.22
1980-02-18;2.23;6.96;11.69;0.0;15.36;3.37;31.24
1980-02-19;0.53;5.73;10.93;0.0;16.314;0.86;28.68
1980-02-20;1.15;7.4;13.65;0.0;16.218;0.69;31.9
1980-02-21;1.78;8.3;14.82;0.0;16.409;0.76;27.28
1980-02-22;-0.37;7.04;14.45;0.0;16.632;1.04;25.54
1980-02-23;1.95;5.53;9.11;0.0;13.103;4.81;43.29
1980-02-24;-1.66;3.09;7.85;3.37;13.77;3.54;40.65
1980-02-25;2.21;5.03;7.85;0.0;14.819;5.9;35.61
1980-02-26;0.39;4.12;7.85;0.0;15.932;5.35;22.98
1980-02-27;-0.18;5.86;11.89;5.04;8.809;2.65;39.99
1980-02-28;4.51;8.03;11.55;0.0;7.251;3.19;60.05
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;2.15;5.01;7.88;0.01;16.361;2.84;36.36
1980-03-02;-2.8;4.01;10.81;3.87;11.71;1.3;42.34
1980-03-03;4.85;8.1;11.35;0.01;10.879;2.65;45.36
1980-03-04;3.13;8.15;13.17;0.01;15.613;2.73;36.63
1980-03-05;3.98;9.72;15.46;0.01;7.101;2.99;39.48
1980-03-06;3.02;9.05;15.08;0.01;18.437;3.29;25.05
1980-03-07;2.42;9.32;16.23;0.01;18.105;1.72;27.28
1980-03-08;3.5;11.21;18.93;0.01;17.026;1.3;32.98
1980-03-09;5.66;12.96;20.27;0.01;18.561;0.63;32.53
1980-03-10;5.25;12.88;20.5;0.01;15.53;0.98;33.69
1980-03-11;4.37;12.21;20.06;0.01;19.143;1.3;32.0
1980-03-12;5.52;13.47;21.43;0.01;19.558;0.6;30.48
1980-03-13;8.28;15.61;22.94;0.01;19.6;1.68;26.92
1980-03-14;11.59;17.64;23.69;0.01;19.766;3.19;23.27
1980-03-15;12.09;18.45;24.82;0.01;17.732;4.38;19.26
1980-03-16;9.87;13.66;17.44;7.6;12.001;3.4;58.29
1980-03-17;9.01;12.68;16.34;0.01;10.008;3.29;50.0
1980-03-18;7.35;12.73;18.11;0.01;17.938;1.88;37.35
1980-03-19;6.23;12.49;18.75;0.01;12.374;0.6;44.83
1980-03-20;7.85;14.8;21.76;0.01;20.596;1.38;31.82
1980-03-21;8.49;15.96;23.43;0.01;21.012;1.81;21.84
1980-03-22;8.12;15.82;23.51;0.01;21.676;0.68;24.6
1980-03-23;6.62;15.16;23.69;0.01;21.676;0.98;23.27
1980-03-24;8.43;15.97;23.51;0.01;20.513;1.3;30.13
1980-03-25;7.85;15.9;23.95;0.01;23.669;1.17;27.81
1980-03-26;8.28;14.27;20.27;0.01;16.278;2.99;36.37
1980-03-27;5.17;11.41;17.65;0.01;24.334;2.99;24.51
1980-03-28;4.06;11.38;18.7;0.01;20.056;1.17;25.76
1980-03-29;7.76;13.31;18.86;7.99;8.762;1.3;45.54
1980-03-30;4.92;13.05;21.19;0.01;22.548;1.38;25.76
1980-03-31;5.66;12.38;19.09;3.07;12.79;1.72;44.03
1980-04-01;8.18;11.29;14.4;0.0;16.54;3.6;45.64
1980-04-02;7.0;11.56;16.13;0.87;12.637;2.27;41.87
1980-04-03;9.35;13.82;18.3;4.41;12.734;2.52;45.64
1980-04-04;8.09;11.61;15.13;0.0;16.638;4.24;38.4
1980-04-05;8.82;13.28;17.73;4.71;11.32;4.48;59.52
1980-04-06;7.2;9.93;12.66;1.95;13.906;3.54;46.25
1980-04-07;6.19;10.71;15.24;0.0;16.54;2.52;35.68
1980-04-08;3.48;8.74;14.0;0.0;24.836;1.92;20.9
1980-04-09;4.98;9.2;13.42;0.16;18.297;1.79;37.95
1980-04-10;4.8;9.96;15.13;0.12;21.224;2.41;31.99
1980-04-11;3.39;9.63;15.88;0.0;25.371;2.9;22.71
1980-04-12;2.82;10.34;17.86;1.84;9.807;1.79;40.06
1980-04-13;7.78;14.32;20.86;0.0;25.079;3.23;34.17
1980-04-14;3.91;12.86;21.81;0.0;25.421;0.8;24.74
1980-04-15;3.39;13.13;22.88;0.0;25.81;1.08;17.8
1980-04-16;8.18;14.4;20.63;0.0;18.249;2.27;36.97
1980-04-17;5.27;13.54;21.81;0.0;22.396;2.15;33.57
1980-04-18;9.02;14.75;20.48;0.0;25.957;3.74;31.76
1980-04-19;5.79;12.27;18.75;0.0;26.055;3.8;22.18
1980-04-20;5.1;9.26;13.42;0.0;22.445;3.96;27.69
1980-04-21;6.19;10.75;15.31;0.0;19.907;2.73;31.99
1980-04-22;6.02;10.32;14.62;0.0;16.686;2.1;37.95
1980-04-23;7.61;10.95;14.28;1.65;18.297;1.47;49.57
1980-04-24;5.1;11.39;17.68;0.0;22.785;1.16;35.53
1980-04-25;6.93;9.68;12.42;0.27;5.904;1.16;63.6
1980-04-26;8.4;12.71;17.01;0.16;14.101;2.81;44.21
1980-04-27;7.86;12.13;16.39;11.71;8.831;2.9;69.79
1980-04-28;9.12;12.45;15.77;4.56;14.443;2.1;65.79
1980-04-29;9.44;14.04;18.64;0.0;17.858;3.42;38.93
1980-04-30;8.82;14.39;19.97;4.84;21.078;2.41;42.25
1980-05-01;13.08;16.58;20.08;3.9;16.787;1.32;58.02
1980-05-02;13.83;16.91;20.0;4.34;11.775;2.75;55.51
1980-05-03;11.31;15.17;19.03;0.0;19.493;2.66;45.53
1980-05-04;12.65;15.59;18.53;4.91;12.076;1.32;71.3
1980-05-05;13.46;18.81;24.16;0.01;24.152;3.54;36.34
1980-05-06;11.0;18.45;25.9;0.0;25.756;1.14;34.3
1980-05-07;11.93;17.05;22.16;1.31;17.288;2.13;49.23
1980-05-08;10.38;17.0;23.61;0.0;27.209;1.22;30.53
1980-05-09;9.43;16.8;24.16;0.0;27.209;2.05;32.73
1980-05-10;11.78;14.89;18.0;2.8;9.42;2.44;61.4
1980-05-11;10.91;14.14;17.37;0.39;20.294;3.43;53.0
1980-05-12;12.36;15.21;18.05;5.01;11.876;2.96;61.64
1980-05-13;12.36;16.27;20.19;0.01;18.14;3.43;48.75
1980-05-14;11.84;16.19;20.53;0.47;24.303;2.75;37.99
1980-05-15;8.6;13.72;18.84;3.9;3.157;1.86;51.9
1980-05-16;11.93;14.65;17.37;0.2;17.988;3.23;51.9
1980-05-17;11.0;14.46;17.92;10.91;12.527;3.91;56.53
1980-05-18;12.13;15.64;19.16;0.01;16.837;4.31;43.02
1980-05-19;9.2;16.2;23.19;0.0;26.357;2.13;33.12
1980-05-20;10.71;16.77;22.82;1.82;20.545;2.23;50.48
1980-05-21;13.46;17.14;20.82;0.0;17.287;3.23;50.48
1980-05-22;10.71;15.5;20.29;0.0;17.639;2.54;46.01
1980-05-23;9.38;16.96;24.53;0.0;24.152;1.43;34.22
1980-05-24;13.17;19.72;26.27;0.0;24.252;0.68;36.97
1980-05-25;12.77;20.63;28.48;0.0;28.312;0.3;29.98
1980-05-26;14.59;21.22;27.85;0.0;27.56;1.54;31.87
1980-05-27;14.53;21.7;28.87;0.0;28.812;1.93;24.33
1980-05-28;15.38;22.37;29.35;0.0;29.313;2.66;25.04
1980-05-29;16.21;23.45;30.69;0.0;31.819;2.96;17.89
1980-05-30;14.24;21.05;27.87;0.47;24.353;1.93;35.56
1980-05-31;9.71;17.91;26.11;0.0;29.463;2.13;29.98
1980-06-01;8.18;17.6;27.02;0.01;29.354;2.1;24.02
1980-06-02;9.67;17.52;25.38;0.01;29.093;2.36;26.15
1980-06-03;8.61;16.45;24.28;0.01;29.93;2.47;24.36
1980-06-04;7.78;17.57;27.37;0.01;29.982;0.5;19.1
1980-06-05;12.64;21.02;29.41;0.01;29.824;2.27;19.18
1980-06-06;16.75;23.08;29.41;0.01;27.418;4.94;16.38
1980-06-07;16.63;22.3;27.96;0.01;27.679;2.95;19.18
1980-06-08;13.22;20.48;27.73;0.01;30.715;3.62;14.08
1980-06-09;14.86;21.61;28.36;0.01;29.563;3.69;17.57
1980-06-10;13.43;20.84;28.26;0.01;27.994;1.41;19.18
1980-06-11;15.49;21.3;27.12;0.01;25.535;1.11;27.76
1980-06-12;14.23;21.4;28.57;0.01;30.243;2.36;18.16
1980-06-13;15.66;22.66;29.65;0.01;30.505;3.87;14.08
1980-06-14;15.33;21.91;28.5;0.01;28.255;2.27;18.25
1980-06-15;14.48;22.23;29.98;0.01;31.29;2.2;19.61
1980-06-16;17.05;23.82;30.59;0.01;29.197;3.69;24.53
1980-06-17;14.41;22.65;30.89;0.01;29.982;2.2;20.2
1980-06-18;14.57;20.9;27.23;0.01;26.633;3.69;26.23
1980-06-19;16.39;19.8;23.2;0.51;15.697;4.94;40.17
1980-06-20;15.9;20.5;25.1;0.01;24.958;4.94;30.48
1980-06-21;13.9;20.51;27.12;0.01;23.703;3.27;30.06
1980-06-22;15.2;21.82;28.45;0.01;26.373;1.61;27.17
1980-06-23;10.33;20.77;31.22;0.01;30.61;1.02;17.14
1980-06-24;14.7;23.45;32.2;0.01;27.942;1.61;18.16
1980-06-25;15.2;22.89;30.59;0.01;27.418;1.21;25.04
1980-06-26;13.27;23.17;33.07;0.01;29.931;0.9;14.68
1980-06-27;18.89;25.42;31.95;0.01;26.633;0.82;17.57
1980-06-28;17.24;24.84;32.44;0.01;30.087;2.86;14.51
1980-06-29;17.7;23.67;29.65;0.01;23.703;2.86;18.16
1980-06-30;14.06;22.59;31.13;0.01;30.192;1.02;11.45
1980-07-01;13.18;23.69;34.2;0.01;30.982;0.97;9.86
1980-07-02;15.38;24.72;34.06;0.01;30.982;1.79;8.64
1980-07-03;16.74;24.66;32.59;0.01;30.931;2.82;9.93
1980-07-04;16.37;22.98;29.58;0.01;27.313;3.42;13.08
1980-07-05;15.25;19.74;24.23;0.68;19.873;3.04;40.85
1980-07-06;13.03;18.63;24.23;0.01;30.167;3.14;19.59
