iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-7.36;-2.31;2.74;0.8;4.094;3.87;62.63
1980-01-02;-7.67;-4.77;-1.87;0.0;6.933;1.2;68.0
1980-01-03;-2.44;0.08;2.61;1.02;1.852;1.83;77.74
1980-01-04;-3.38;-1.47;0.43;3.64;1.852;3.43;66.91
1980-01-05;-7.62;-2.42;2.78;0.0;4.662;3.57;55.16
1980-01-06;-14.64;-9.93;-5.22;0.0;5.378;1.49;68.0
1980-01-07;-7.67;-3.29;1.08;0.0;5.27;3.87;46.85
1980-01-08;-3.65;-0.76;2.13;0.0;6.973;3.01;46.52
1980-01-09;-1.68;2.27;6.22;0.0;4.73;1.94;58.1
1980-01-10;-6.42;-2.08;2.26;0.0;4.271;2.43;51.3
1980-01-11;-1.24;2.01;5.26;0.0;6.973;4.95;74.8
1980-01-12;-7.54;-2.88;1.78;0.0;6.892;3.11;77.82
1980-01-13;-6.02;-1.57;2.87;0.0;6.892;2.14;72.03
1980-01-14;-5.61;-1.37;2.87;0.0;7.379;2.03;56.25
1980-01-15;-3.25;0.26;3.78;0.0;7.163;1.49;44.16
1980-01-16;1.27;2.63;4.0;7.8;1.487;5.29;68.59
1980-01-17;-3.74;-0.7;2.35;0.0;4.23;0.49;64.48
1980-01-18;-1.64;1.38;4.39;0.0;3.0;4.23;63.47
1980-01-19;-1.82;0.27;2.35;0.45;1.852;2.27;78.92
1980-01-20;-5.3;-1.71;1.87;0.0;4.73;5.18;56.5
1980-01-21;-0.92;2.3;5.52;1.61;3.946;2.74;87.23
1980-01-22;-7.98;-3.06;1.87;0.0;6.379;2.03;73.38
1980-01-23;-11.11;-4.12;2.87;0.0;6.892;3.76;41.98
1980-01-24;-8.47;-5.54;-2.61;2.03;1.933;2.14;65.74
1980-01-25;-1.64;0.88;3.39;4.49;1.229;4.58;82.52
1980-01-26;-9.81;-3.97;1.87;0.0;6.554;3.99;69.01
1980-01-27;-8.61;-5.15;-1.7;0.0;6.298;2.52;75.39
1980-01-28;-3.2;1.48;6.17;2.01;3.946;3.99;71.61
1980-01-29;-7.62;-3.75;0.13;0.0;3.284;1.0;41.9
1980-01-30;-1.46;2.38;6.21;0.0;5.378;4.23;67.08
1980-01-31;-1.24;2.55;6.35;1.14;2.757;3.87;89.07
1980-02-01;-9.18;-6.08;-2.98;0.0;7.32;1.51;60.58
1980-02-02;-15.72;-9.83;-3.93;0.0;9.617;2.65;23.55
1980-02-03;-12.61;-6.61;-0.62;0.0;9.19;2.29;59.87
1980-02-04;-0.24;3.81;7.87;0.0;9.617;3.18;51.96
1980-02-05;-1.11;2.39;5.89;0.85;5.991;4.3;59.87
1980-02-06;-2.19;-0.16;1.86;0.0;6.532;4.17;60.5
1980-02-07;-5.21;-2.46;0.3;2.72;3.986;3.49;70.71
1980-02-08;-1.53;0.08;1.7;1.01;3.762;3.93;66.12
1980-02-09;-11.37;-5.04;1.29;1.67;8.717;4.17;70.95
1980-02-10;-6.62;-0.75;5.13;0.0;8.333;1.83;49.98
1980-02-11;3.4;6.96;10.53;0.0;6.937;5.3;41.83
1980-02-12;-8.68;-4.75;-0.81;0.94;6.689;2.17;38.66
1980-02-13;-5.99;-2.06;1.86;0.0;12.995;1.98;35.97
1980-02-14;-0.24;1.57;3.38;0.0;10.946;3.06;66.83
1980-02-15;5.13;9.77;14.41;0.0;10.653;0.91;47.45
1980-02-16;-10.42;-5.52;-0.62;0.0;9.73;2.17;73.87
1980-02-17;5.09;11.23;17.38;0.0;8.333;3.75;47.92
1980-02-18;0.67;3.38;6.08;0.0;6.532;0.88;71.26
1980-02-19;-12.32;-6.49;-0.65;0.0;11.284;2.47;33.2
1980-02-20;0.09;4.29;8.48;1.01;3.491;2.95;50.69
1980-02-21;-2.73;1.51;5.74;0.0;12.342;1.7;47.45
1980-02-22;-11.5;-7.24;-2.98;0.48;10.293;3.06;63.27
1980-02-23;-10.3;-6.15;-1.99;0.0;9.19;0.93;36.13
1980-02-24;1.08;7.44;13.8;0.0;14.076;1.88;43.02
1980-02-25;1.95;5.82;9.69;0.0;8.581;1.51;60.74
1980-02-26;4.76;10.61;16.47;0.0;8.378;5.39;52.12
1980-02-27;2.82;7.97;13.12;0.0;10.698;4.29;55.83
1980-02-28;1.87;9.17;16.47;0.0;12.995;2.95;42.7
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;5.37;10.8;16.23;0.01;9.208;3.59;57.86
1980-03-02;1.87;5.99;10.12;0.01;7.851;3.79;42.28
1980-03-03;3.95;8.43;12.91;0.0;17.468;4.05;30.87
1980-03-04;5.1;10.0;14.89;1.64;7.914;2.52;66.73
1980-03-05;6.73;14.06;21.39;0.0;15.702;2.23;43.98
1980-03-06;1.27;8.81;16.35;0.01;16.648;1.73;32.26
1980-03-07;0.43;6.1;11.78;1.92;7.505;2.64;45.45
