iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;7.5;8.51;9.52;6.07;4.4;1.0;73.82
1980-01-02;4.83;8.34;11.85;0.06;10.8;1.33;56.68
1980-01-03;7.11;9.62;12.12;4.77;5.378;1.0;69.84
1980-01-04;3.67;8.21;12.74;0.06;5.889;1.54;41.75
1980-01-05;8.25;10.59;12.92;10.53;3.244;3.12;69.68
1980-01-06;9.39;11.16;12.92;9.38;3.866;1.92;73.66
1980-01-07;5.75;10.48;15.21;12.4;5.378;3.75;34.48
1980-01-08;6.15;8.06;9.97;5.23;2.511;2.39;67.39
1980-01-09;3.6;8.38;13.15;0.06;11.756;2.81;24.54
1980-01-10;0.25;6.35;12.45;0.06;14.067;2.09;23.31
1980-01-11;3.3;6.85;10.39;0.06;8.511;0.55;47.19
1980-01-12;4.58;9.44;14.3;3.62;12.355;1.23;40.53
1980-01-13;6.15;7.71;9.27;6.17;3.245;3.25;69.69
1980-01-14;-0.51;5.71;11.93;0.06;14.156;1.43;20.17
1980-01-15;6.41;10.34;14.27;0.06;4.911;2.61;46.04
1980-01-16;3.19;7.34;11.49;0.88;8.356;1.66;41.52
1980-01-17;6.86;11.97;17.08;0.06;8.511;0.19;44.74
1980-01-18;5.55;9.35;13.15;0.06;4.6;2.81;51.63
1980-01-19;3.02;7.07;11.12;1.91;8.778;1.23;51.09
1980-01-20;2.92;8.28;13.63;0.06;13.067;2.29;33.03
1980-01-21;6.86;8.15;9.44;9.88;5.934;3.32;80.32
1980-01-22;-1.51;4.08;9.66;0.06;12.467;2.19;19.56
1980-01-23;5.75;7.92;10.08;7.61;5.045;1.54;60.96
1980-01-24;-1.21;0.75;2.71;2.61;4.689;3.55;51.86
1980-01-25;8.25;11.28;14.3;4.95;4.022;3.86;71.29
1980-01-26;6.64;11.22;15.81;4.77;4.911;1.73;47.19
1980-01-27;0.81;6.87;12.93;0.06;13.978;1.0;19.03
1980-01-28;5.75;9.65;13.55;0.06;11.911;1.11;51.63
1980-01-29;7.42;10.17;12.92;6.17;2.511;1.86;87.36
1980-01-30;-3.31;1.92;7.15;0.06;11.955;1.43;17.5
1980-01-31;-0.42;3.37;7.15;0.06;12.956;2.81;20.86
1980-02-01;3.85;8.97;14.09;0.05;18.167;0.8;30.88
1980-02-02;5.65;8.3;10.95;10.13;10.638;2.09;62.36
1980-02-03;6.68;9.81;12.95;5.56;6.335;1.96;62.61
1980-02-04;12.6;14.36;16.11;22.89;4.841;2.42;71.21
1980-02-05;6.39;10.01;13.63;2.02;6.634;0.71;50.19
1980-02-06;6.18;12.29;18.41;0.05;15.717;1.0;43.38
1980-02-07;7.9;10.91;13.91;5.15;7.321;1.59;55.06
1980-02-08;1.71;8.84;15.96;0.05;15.537;0.8;24.72
1980-02-09;-4.12;0.43;4.98;0.05;18.764;1.53;21.8
1980-02-10;3.68;9.25;14.82;0.74;14.881;1.39;33.72
1980-02-11;8.19;9.57;10.95;11.24;5.917;1.39;70.15
1980-02-12;0.87;4.43;7.99;4.01;13.386;1.09;63.25
1980-02-13;8.36;10.18;12.01;10.08;5.528;1.96;73.56
1980-02-14;4.14;9.48;14.82;2.22;6.962;1.49;49.79
1980-02-15;6.39;10.19;13.98;0.57;9.054;1.77;49.46
1980-02-16;7.0;11.46;15.91;0.74;10.279;0.2;58.06
1980-02-17;0.41;6.5;12.59;2.51;11.146;1.85;31.21
1980-02-18;3.22;9.03;14.84;0.05;12.998;0.8;32.99
1980-02-19;7.0;12.38;17.75;0.05;13.895;1.27;33.72
1980-02-20;5.15;11.35;17.55;0.05;17.092;1.27;32.34
1980-02-21;6.77;13.42;20.08;0.05;12.042;2.87;23.34
1980-02-22;2.02;8.05;14.09;0.05;17.36;1.96;25.37
1980-02-23;5.19;8.07;10.95;7.38;5.319;2.02;57.9
1980-02-24;-1.31;4.64;10.59;0.05;16.254;0.92;18.06
1980-02-25;9.99;13.76;17.53;0.05;10.906;1.66;57.25
1980-02-26;2.4;7.21;12.01;0.05;12.49;2.52;17.25
1980-02-27;0.64;7.78;14.92;0.05;17.748;1.09;25.04
1980-02-28;6.34;11.51;16.67;0.05;15.538;0.62;42.24
1980-02-29;1.71;8.31;14.92;0.05;16.076;1.39;24.8
1980-03-01;1.29;8.41;15.53;0.04;18.535;0.68;31.27
1980-03-02;10.11;15.17;20.24;0.04;22.158;1.39;41.1
1980-03-03;7.9;12.68;17.46;0.04;14.798;0.58;36.97
1980-03-04;5.83;11.64;17.46;0.04;23.226;1.71;33.03
1980-03-05;8.57;9.08;9.59;15.61;2.441;1.28;80.75
1980-03-06;7.23;10.61;13.98;7.83;6.559;0.2;50.92
1980-03-07;0.09;7.42;14.75;0.04;20.938;0.68;28.47
1980-03-08;13.23;15.76;18.29;0.04;8.81;2.13;52.85
1980-03-09;5.97;11.09;16.21;1.87;9.306;0.58;34.08
1980-03-10;5.73;10.29;14.85;1.87;10.984;1.59;55.84
1980-03-11;4.18;12.06;19.94;0.04;22.387;0.4;28.38
1980-03-12;8.18;13.31;18.44;0.04;13.997;0.99;40.48
1980-03-13;8.57;11.71;14.85;6.01;6.521;0.68;64.7
1980-03-14;0.29;6.05;11.82;0.04;17.849;2.56;23.29
1980-03-15;10.41;14.09;17.76;0.04;15.713;1.91;41.27
1980-03-16;5.4;8.53;11.65;9.67;7.36;1.91;58.82
1980-03-17;6.92;13.45;19.97;0.04;24.447;2.24;16.97
1980-03-18;11.99;19.95;27.91;0.04;17.772;0.68;23.03
1980-03-19;8.65;12.79;16.93;0.9;17.353;1.09;59.7
1980-03-20;9.56;16.74;23.92;0.04;17.086;0.4;34.43
1980-03-21;9.4;14.07;18.74;0.04;18.115;2.13;47.59
1980-03-22;4.98;9.91;14.85;5.1;13.044;1.46;50.57
1980-03-23;11.32;17.62;23.92;0.04;20.213;1.28;30.57
1980-03-24;-1.11;6.52;14.15;0.04;21.014;1.46;22.15
1980-03-25;6.92;11.8;16.68;0.04;16.743;0.3;35.75
1980-03-26;7.82;11.19;14.55;0.04;10.45;2.0;56.45
1980-03-27;10.03;13.89;17.76;5.84;4.31;1.09;45.84
1980-03-28;3.82;9.07;14.33;0.04;12.7;2.24;31.97
1980-03-29;10.0;15.11;20.22;0.04;14.378;1.09;42.06
1980-03-30;4.14;10.19;16.23;0.04;15.713;3.21;31.54
1980-03-31;8.18;10.66;13.13;18.1;8.123;3.01;66.37
1980-04-01;19.89;26.96;34.04;0.0;24.294;0.61;16.97
