iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;1.62;4.63;7.65;0.0;4.882;3.11;87.77
1980-01-02;7.77;8.59;9.4;1.97;2.086;3.7;88.02
1980-01-03;4.9;6.76;8.62;3.5;2.191;3.54;84.78
1980-01-04;1.07;3.81;6.55;0.0;3.883;5.14;65.36
1980-01-05;6.81;7.69;8.56;0.0;2.585;1.62;88.39
1980-01-06;8.82;10.98;13.13;0.0;2.874;5.42;80.55
1980-01-07;2.69;5.42;8.16;0.54;3.268;3.9;87.96
1980-01-08;4.08;7.33;10.57;13.86;1.615;3.11;87.59
1980-01-09;4.51;5.53;6.55;3.57;1.317;1.04;86.84
1980-01-10;8.96;10.6;12.24;0.0;3.268;5.74;77.88
1980-01-11;3.49;7.13;10.77;3.5;2.758;7.93;76.01
1980-01-12;3.96;6.29;8.62;17.4;1.865;4.74;83.73
1980-01-13;1.56;3.82;6.08;0.0;1.999;3.11;76.57
1980-01-14;-0.31;1.83;3.97;0.0;3.383;1.78;84.66
1980-01-15;-2.21;1.14;4.49;0.0;3.046;3.54;64.18
1980-01-16;-1.99;0.77;3.52;0.0;2.951;1.93;64.31
1980-01-17;1.39;4.13;6.87;0.0;1.692;3.18;79.68
1980-01-18;5.58;8.11;10.63;1.15;2.306;4.06;85.1
1980-01-19;-0.06;2.06;4.17;10.69;2.412;3.37;86.15
1980-01-20;-2.07;-0.22;1.63;0.0;3.046;4.35;70.09
1980-01-21;-4.55;-1.4;1.75;0.0;3.18;2.7;69.97
1980-01-22;-0.25;2.56;5.36;0.36;3.459;2.39;61.32
1980-01-23;-4.14;-2.02;0.1;0.0;3.18;2.7;57.77
1980-01-24;-5.6;-4.3;-3.0;1.9;1.528;6.3;59.39
1980-01-25;-4.47;-1.8;0.87;0.0;3.046;2.97;82.54
1980-01-26;-4.61;-2.78;-0.94;0.0;3.383;3.7;47.5
1980-01-27;-3.71;-2.15;-0.58;0.0;1.317;1.35;64.87
1980-01-28;-2.52;0.15;2.82;0.0;2.951;3.37;75.01
1980-01-29;-3.47;-1.34;0.79;0.0;2.681;3.8;55.78
1980-01-30;-3.22;0.74;4.71;0.0;4.574;1.0;37.35
1980-01-31;4.9;6.66;8.42;13.15;2.585;4.35;79.24
1980-02-01;6.54;8.55;10.57;6.22;4.88;7.51;55.55
1980-02-02;3.96;8.67;13.38;0.0;7.144;1.61;52.17
1980-02-03;7.7;9.71;11.71;0.57;3.514;5.95;79.09
1980-02-04;3.25;6.56;9.87;0.55;6.675;4.37;65.03
1980-02-05;0.2;4.07;7.94;1.13;4.334;2.6;63.91
1980-02-06;0.17;5.02;9.87;7.65;2.947;3.93;82.48
1980-02-07;0.55;3.5;6.44;0.0;2.128;3.16;56.41
1980-02-08;4.83;7.7;10.57;2.48;4.509;4.76;75.25
1980-02-09;0.2;5.59;10.98;0.0;6.09;3.93;48.58
1980-02-10;3.54;7.15;10.77;0.0;3.787;1.61;56.54
1980-02-11;4.1;6.98;9.87;0.0;2.401;4.45;79.16
1980-02-12;7.56;9.29;11.03;0.0;4.861;4.45;62.25
1980-02-13;0.43;3.65;6.87;0.0;4.587;6.04;51.17
1980-02-14;6.33;7.74;9.15;7.77;3.162;5.73;81.68
1980-02-15;1.25;5.47;9.7;2.61;4.509;5.08;81.62
1980-02-16;0.43;2.72;5.01;4.56;4.88;4.66;74.72
1980-02-17;0.31;2.75;5.2;6.86;4.119;3.23;82.61
1980-02-18;-4.25;-0.21;3.83;5.55;3.241;1.16;71.2
1980-02-19;-0.32;1.34;3.0;0.63;3.24;4.11;69.34
1980-02-20;-0.81;1.93;4.67;1.19;6.207;3.37;62.58
1980-02-21;7.39;10.53;13.67;0.0;4.704;3.97;60.99
1980-02-22;4.9;8.2;11.49;3.08;2.792;4.88;82.74
1980-02-23;3.06;6.73;10.4;1.53;3.162;4.83;85.2
1980-02-24;3.65;6.64;9.63;5.11;3.709;8.16;77.44
1980-02-25;11.27;13.02;14.78;1.13;3.241;6.79;72.66
1980-02-26;3.72;6.83;9.94;0.0;2.557;3.68;83.01
1980-02-27;6.36;10.13;13.91;0.0;5.739;3.93;65.03
1980-02-28;1.51;5.42;9.34;0.0;10.092;3.23;49.05
1980-02-29;2.99;6.7;10.4;0.0;4.392;4.66;64.83
1980-03-01;-0.3;6.17;12.64;0.21;11.856;1.01;28.65
1980-03-02;0.24;5.24;10.23;8.47;4.399;2.97;90.19
1980-03-03;0.76;1.85;2.93;2.57;3.233;5.49;64.25
1980-03-04;3.33;7.34;11.36;7.07;7.166;3.07;36.45
