iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.18;4.41;8.99;0.0;7.534;3.49;61.01
1980-01-02;0.22;5.15;10.08;0.0;11.635;1.3;35.41
1980-01-03;0.39;6.39;12.39;0.0;12.995;2.37;23.39
1980-01-04;8.47;10.07;11.67;3.73;3.732;1.3;75.63
1980-01-05;4.52;8.93;13.33;0.0;11.521;0.67;54.99
1980-01-06;5.86;9.89;13.92;3.93;5.115;0.67;53.45
1980-01-07;7.93;10.73;13.53;0.96;6.083;1.19;48.33
1980-01-08;8.59;10.73;12.87;13.32;3.087;3.06;71.08
1980-01-09;2.02;8.21;14.4;0.0;13.663;0.17;28.83
1980-01-10;7.62;10.24;12.87;9.97;7.396;1.69;72.95
1980-01-11;7.62;9.27;10.91;21.97;3.041;1.69;78.15
1980-01-12;9.19;11.87;14.55;3.66;7.396;0.4;64.09
1980-01-13;1.0;6.48;11.96;0.0;11.037;1.3;30.21
1980-01-14;4.32;8.55;12.79;21.85;3.64;1.59;50.77
1980-01-15;3.92;8.84;13.77;0.0;8.94;1.79;38.66
1980-01-16;-2.2;3.03;8.27;0.0;11.635;2.26;31.51
1980-01-17;2.1;7.83;13.55;0.0;10.253;1.69;35.17
1980-01-18;1.31;7.52;13.72;0.0;13.133;1.08;34.93
1980-01-19;4.45;6.12;7.79;21.81;2.143;0.98;73.68
1980-01-20;8.59;9.61;10.63;9.44;4.493;1.79;75.47
1980-01-21;5.58;9.97;14.36;0.0;5.207;2.08;40.94
1980-01-22;6.18;11.04;15.91;0.0;4.884;1.38;41.02
1980-01-23;5.08;8.79;12.5;2.7;9.631;2.54;39.88
1980-01-24;6.24;9.98;13.72;0.0;7.834;1.99;55.81
1980-01-25;4.4;9.45;14.49;0.0;8.433;0.27;54.67
1980-01-26;2.6;8.92;15.23;0.0;12.074;2.47;35.41
1980-01-27;1.39;7.23;13.07;0.0;8.041;2.08;36.71
1980-01-28;-0.35;5.89;12.13;0.0;12.234;1.59;28.83
1980-01-29;6.62;10.82;15.03;10.75;0.991;1.69;57.51
1980-01-30;4.9;9.46;14.01;3.74;6.866;1.79;70.75
1980-01-31;6.62;9.39;12.17;6.35;3.963;1.3;71.97
1980-02-01;5.96;9.93;13.89;2.69;6.066;1.42;56.86
1980-02-02;9.03;13.97;18.91;0.0;11.713;1.72;46.18
1980-02-03;2.01;6.15;10.29;2.54;11.743;1.12;55.27
1980-02-04;3.09;9.38;15.67;0.0;6.394;2.41;17.9
1980-02-05;5.94;12.44;18.94;0.0;17.629;0.34;35.34
1980-02-06;8.81;12.66;16.5;10.9;8.665;1.74;50.52
1980-02-07;7.73;8.71;9.7;22.97;3.735;2.41;81.63
1980-02-08;4.75;10.83;16.91;0.0;16.793;1.31;33.09
1980-02-09;7.73;13.07;18.41;1.11;10.996;0.72;41.93
1980-02-10;0.21;5.58;10.95;0.0;12.011;2.99;29.75
1980-02-11;3.37;7.09;10.81;2.54;9.203;1.31;54.69
1980-02-12;6.23;10.79;15.36;0.0;14.103;0.61;50.19
1980-02-13;4.35;10.34;16.33;0.0;14.791;2.02;25.25
1980-02-14;6.01;9.45;12.89;3.11;11.235;3.35;42.93
1980-02-15;3.24;8.21;13.17;1.45;8.068;1.31;47.43
1980-02-16;9.43;11.23;13.03;1.99;6.843;2.9;70.37
1980-02-17;8.88;12.16;15.44;17.7;1.703;2.17;57.44
1980-02-18;2.53;8.21;13.89;0.0;15.508;2.83;36.26
1980-02-19;3.71;10.21;16.72;0.0;14.791;1.42;38.09
1980-02-20;4.66;11.05;17.44;0.0;17.988;1.72;34.42
1980-02-21;6.98;12.96;18.94;0.0;13.924;1.79;34.92
1980-02-22;3.37;5.22;7.07;18.79;3.317;3.16;87.31
