iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-1.2;0.78;2.75;0.02;3.249;3.4;66.44
1980-01-02;0.77;3.21;5.64;0.02;2.855;0.85;76.91
1980-01-03;2.25;5.96;9.68;1.17;3.758;4.96;86.43
1980-01-04;1.26;5.01;8.76;4.56;1.797;5.62;83.87
1980-01-05;4.22;6.19;8.15;4.26;1.317;7.14;82.53
1980-01-06;5.26;7.1;8.95;2.06;3.758;4.83;88.66
1980-01-07;4.06;6.46;8.86;0.42;2.546;2.6;86.87
1980-01-08;5.83;7.54;9.25;0.65;3.758;5.94;83.23
1980-01-09;0.85;5.86;10.87;5.13;1.249;4.09;85.4
1980-01-10;1.84;5.27;8.7;1.73;2.114;5.68;87.7
1980-01-11;4.79;7.23;9.68;0.02;2.114;4.33;59.8
1980-01-12;-0.82;1.74;4.29;0.02;4.574;4.09;51.89
1980-01-13;-4.21;-0.52;3.16;0.02;3.853;1.06;57.06
1980-01-14;0.11;1.64;3.16;0.02;3.565;1.85;81.64
1980-01-15;-1.17;3.46;8.08;1.29;2.201;4.24;84.57
1980-01-16;0.36;2.02;3.67;0.02;1.797;1.11;87.7
1980-01-17;1.35;3.83;6.3;0.02;2.979;2.9;72.44
1980-01-18;1.48;4.88;8.29;0.02;1.49;5.68;79.28
1980-01-19;5.26;8.51;11.76;3.34;3.248;6.86;80.3
1980-01-20;5.83;8.86;11.88;2.06;1.855;5.62;85.6
1980-01-21;3.23;7.27;11.3;2.49;1.432;5.62;82.98
1980-01-22;8.35;9.97;11.59;0.02;1.384;3.66;82.08
1980-01-23;3.65;7.29;10.92;10.54;3.152;5.07;83.94
1980-01-24;6.22;7.49;8.76;11.24;1.153;3.02;88.02
1980-01-25;0.91;3.6;6.3;5.73;1.384;3.58;86.04
1980-01-26;-0.71;1.35;3.41;0.02;3.459;1.72;87.45
1980-01-27;-2.46;0.96;4.37;0.65;2.854;1.88;78.51
1980-01-28;-0.82;2.21;5.25;0.56;2.297;2.81;86.74
1980-01-29;1.84;3.34;4.84;0.02;2.297;6.61;62.1
1980-01-30;6.3;8.9;11.51;3.34;1.249;5.35;85.34
1980-01-31;1.48;2.97;4.47;0.02;3.853;3.19;84.57
1980-02-01;-4.84;-1.11;2.61;0.0;6.343;2.24;65.3
1980-02-02;-3.61;-0.51;2.59;0.0;9.037;5.39;52.75
1980-02-03;-0.42;2.15;4.72;3.79;3.982;3.4;87.51
1980-02-04;7.04;8.12;9.19;9.36;4.139;6.45;74.37
1980-02-05;3.62;6.71;9.79;1.08;4.489;4.37;71.67
1980-02-06;5.42;9.45;13.48;0.0;5.212;5.45;74.17
1980-02-07;3.07;6.66;10.25;0.6;7.144;6.07;90.4
