iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-10.03;-4.51;1.01;0.01;1.191;2.28;70.5
1980-01-02;-0.74;1.04;2.82;2.67;0.791;2.03;71.9
1980-01-03;-8.14;-3.18;1.78;0.97;1.792;1.52;82.72
1980-01-04;-14.93;-7.82;-0.71;0.01;1.392;1.73;74.23
1980-01-05;-23.37;-20.68;-17.98;0.01;0.698;0.2;18.33
1980-01-06;-16.2;-12.32;-8.44;0.78;1.392;1.43;54.45
1980-01-07;-0.27;1.21;2.68;0.01;2.299;1.22;84.03
1980-01-08;-0.74;0.39;1.51;6.25;0.899;1.62;80.02
1980-01-09;-13.52;-6.5;0.51;6.22;0.489;0.3;78.43
1980-01-10;-13.61;-9.27;-4.92;0.01;1.694;0.8;67.14
1980-01-11;-17.76;-14.08;-10.39;0.45;1.48;0.8;43.62
1980-01-12;-6.49;-3.6;-0.71;0.01;1.591;1.12;75.54
1980-01-13;-19.08;-17.81;-16.54;2.29;0.568;0.2;26.73
1980-01-14;1.47;1.9;2.32;1.35;1.96;1.73;80.11
1980-01-15;-0.74;0.86;2.46;0.01;0.899;1.43;82.16
1980-01-16;-4.98;-1.81;1.37;0.69;1.392;1.62;77.5
1980-01-17;0.34;2.62;4.9;0.45;2.63;2.8;77.03
1980-01-18;-7.77;-5.35;-2.93;1.6;2.086;1.22;71.9
1980-01-19;1.76;2.0;2.23;0.45;1.48;1.12;80.95
1980-01-20;-2.53;-0.1;2.32;0.01;1.592;0.7;81.14
1980-01-21;-5.69;-2.39;0.92;0.01;0.569;1.02;78.43
1980-01-22;0.44;1.63;2.82;3.12;1.592;2.1;79.46
1980-01-23;-7.95;-4.15;-0.35;0.01;1.48;1.73;76.28
1980-01-24;-6.02;-2.34;1.33;0.01;0.568;1.52;80.11
1980-01-25;-8.57;-6.29;-4.01;0.01;1.592;0.7;63.03
1980-01-26;1.47;2.28;3.09;2.92;0.698;1.52;84.96
1980-01-27;1.94;2.31;2.68;1.2;1.392;1.83;82.72
1980-01-28;-6.12;-1.81;2.5;0.01;2.299;0.2;84.03
1980-01-29;0.81;2.06;3.32;2.29;0.372;1.02;84.96
1980-01-30;-8.38;-5.27;-2.16;6.25;1.392;1.02;72.74
1980-01-31;-0.74;0.88;2.5;5.6;0.489;2.1;81.14
1980-02-01;-1.51;-0.56;0.38;0.0;5.753;2.19;80.47
1980-02-02;-7.84;-6.06;-4.28;2.85;4.397;1.78;75.86
1980-02-03;-12.38;-9.25;-6.12;0.0;5.141;1.87;70.98
1980-02-04;-8.16;-4.46;-0.76;0.19;3.964;1.67;83.26
1980-02-05;-1.35;-0.51;0.34;0.86;2.054;0.86;84.91
1980-02-06;-25.45;-19.24;-13.03;0.0;5.333;1.29;46.96
1980-02-07;-1.15;0.11;1.36;0.0;4.264;2.39;79.86
1980-02-08;-3.66;-2.4;-1.13;1.44;6.63;1.78;81.34
1980-02-09;-1.15;0.11;1.36;0.0;1.382;2.61;72.9
1980-02-10;-20.43;-16.0;-11.56;1.34;4.397;1.67;55.84
1980-02-11;-8.52;-4.15;0.22;0.0;3.664;2.08;79.34
1980-02-12;-1.35;-0.49;0.38;3.07;3.388;2.19;83.35
1980-02-13;-9.16;-6.13;-3.09;0.0;3.508;2.19;78.56
1980-02-14;-2.03;-0.58;0.87;0.0;4.817;1.29;75.6
1980-02-15;-26.12;-20.59;-15.07;0.0;5.502;0.2;37.12
1980-02-16;-24.77;-18.81;-12.86;0.0;5.501;1.56;50.44
1980-02-17;-18.28;-11.69;-5.1;6.11;1.357;1.78;75.08
1980-02-18;-19.91;-13.05;-6.2;2.19;3.195;0.68;74.9
1980-02-19;-12.9;-9.0;-5.1;0.35;3.015;1.18;73.16
1980-02-20;-20.39;-16.38;-12.37;0.25;5.333;2.19;51.05
1980-02-21;-15.85;-9.08;-2.32;1.44;5.429;0.96;75.86
1980-02-22;-8.72;-6.4;-4.07;0.0;2.426;1.67;63.76
1980-02-23;-13.7;-7.51;-1.33;0.19;5.429;1.56;80.04
1980-02-24;-3.78;-2.27;-0.76;0.0;1.382;1.18;78.12
1980-02-25;-19.67;-15.04;-10.41;1.44;3.508;0.47;60.97
1980-02-26;-1.83;-1.09;-0.35;4.38;3.015;1.56;81.43
1980-02-27;-19.31;-16.34;-13.36;0.0;3.015;1.06;48.09
1980-02-28;-14.89;-11.86;-8.82;0.0;6.186;1.18;63.24
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-3.54;-0.31;2.91;0.0;11.074;0.76;39.02
1980-03-02;-3.9;-1.35;1.2;0.39;9.99;1.9;64.37
1980-03-03;-14.73;-9.12;-3.51;0.0;8.526;0.94;69.68
1980-03-04;-13.05;-7.67;-2.28;0.0;7.996;1.9;74.5
1980-03-05;-2.69;-0.86;0.96;0.0;3.582;2.29;81.99
1980-03-06;-8.51;-4.78;-1.05;0.0;13.521;2.29;77.32
1980-03-07;-2.94;-1.19;0.55;1.18;5.953;1.82;81.99
1980-03-08;-17.31;-11.35;-5.39;0.0;8.804;0.63;55.76
1980-03-09;-4.01;-1.47;1.06;0.0;3.154;1.82;86.17
1980-03-10;-7.15;-3.23;0.69;0.95;7.921;0.85;65.81
1980-03-11;0.74;2.97;5.19;1.18;7.921;1.51;74.91
1980-03-12;-19.45;-12.83;-6.21;0.0;8.879;1.51;63.0
1980-03-13;-0.51;0.4;1.3;0.0;9.031;1.51;83.76
1980-03-14;-15.63;-8.99;-2.35;0.0;7.997;1.3;71.61
1980-03-15;-2.08;3.57;9.22;0.0;13.521;1.72;43.85
1980-03-16;-4.9;0.45;5.81;0.0;15.337;1.21;26.22
1980-03-17;-13.77;-7.96;-2.15;0.0;10.873;1.41;71.45
1980-03-18;-9.48;-5.18;-0.88;2.03;11.831;0.85;39.26
1980-03-19;-13.7;-8.57;-3.44;0.0;7.568;1.3;71.45
1980-03-20;-13.95;-6.44;1.06;0.0;8.173;1.41;75.63
1980-03-21;-0.26;0.51;1.27;3.4;1.64;1.61;84.0
1980-03-22;-0.26;3.27;6.8;0.0;9.434;2.01;53.58
1980-03-23;-9.59;-6.67;-3.75;4.82;8.451;1.41;52.78
1980-03-24;-5.55;-2.94;-0.34;2.39;5.979;1.13;83.76
1980-03-25;-3.72;-0.53;2.67;0.0;13.016;1.51;71.45
1980-03-26;-7.91;-4.19;-0.47;1.18;3.986;0.53;77.08
1980-03-27;-1.79;-0.67;0.45;4.82;9.283;0.53;83.19
1980-03-28;-10.94;-8.16;-5.39;0.0;6.736;0.1;27.83
1980-03-29;-10.87;-5.52;-0.17;0.0;11.074;1.13;77.8
1980-03-30;-13.84;-7.09;-0.34;0.0;7.719;2.2;79.17
1980-03-31;-12.8;-7.2;-1.6;0.74;13.597;1.21;31.05
1980-04-01;-1.77;1.7;5.17;0.01;7.086;0.78;64.48
1980-04-02;1.26;6.72;12.18;0.01;18.882;1.08;32.36
1980-04-03;-3.25;1.62;6.48;2.04;11.57;0.88;46.17
1980-04-04;0.54;2.58;4.61;5.54;5.728;2.09;72.15
1980-04-05;-1.97;2.86;7.69;0.01;8.103;1.46;49.57
1980-04-06;-2.39;2.42;7.23;0.01;17.223;1.56;36.2
1980-04-07;-2.87;1.04;4.95;0.01;16.168;2.16;55.96
1980-04-08;2.06;4.12;6.17;0.84;7.048;1.9;61.42
1980-04-09;7.36;11.0;14.64;2.52;7.689;0.97;57.07
1980-04-10;6.05;9.54;13.02;0.46;14.774;1.28;63.97
1980-04-11;-0.53;1.96;4.46;4.0;4.41;0.42;84.93
1980-04-12;-1.39;2.75;6.88;0.01;9.497;0.69;44.97
1980-04-13;-5.46;-1.5;2.46;0.01;18.128;0.78;52.47
1980-04-14;-0.84;2.17;5.17;4.0;9.498;0.78;74.2
1980-04-15;-3.53;0.9;5.33;0.01;19.334;0.42;16.86
1980-04-16;0.44;2.62;4.8;8.7;4.598;0.5;83.57
1980-04-17;0.54;5.47;10.4;5.42;14.17;1.16;55.96
1980-04-18;-3.42;0.64;4.7;0.01;17.865;1.28;38.41
1980-04-19;-1.35;1.76;4.86;5.42;7.311;1.38;70.11
1980-04-20;3.47;8.03;12.58;0.01;10.968;0.2;55.96
1980-04-21;-3.28;-0.19;2.9;0.01;18.317;1.08;24.18
1980-04-22;-4.66;0.58;5.83;0.01;20.766;0.78;54.86
1980-04-23;-0.67;4.51;9.69;0.01;9.234;0.69;50.17
1980-04-24;-0.84;3.71;8.25;0.01;6.633;0.78;62.1
1980-04-25;1.47;4.35;7.23;2.04;5.955;1.08;74.54
1980-04-26;-4.97;-1.75;1.47;0.01;15.716;1.38;55.11
1980-04-27;-2.29;2.47;7.23;1.27;10.968;1.16;61.5
1980-04-28;5.92;13.5;21.08;0.01;22.198;0.69;36.37
1980-04-29;-1.35;3.34;8.04;1.71;11.381;0.88;64.48
