iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;5.32;8.4;11.48;2.33;5.587;4.78;66.15
1980-01-02;7.76;9.87;11.97;2.92;4.476;7.0;66.16
1980-01-03;5.17;8.98;12.8;7.55;2.079;4.48;71.9
1980-01-04;8.94;12.54;16.13;1.5;6.775;6.56;54.46
1980-01-05;5.08;8.21;11.34;2.9;6.101;4.81;58.94
1980-01-06;4.15;6.62;9.08;0.0;7.91;3.86;42.65
1980-01-07;4.53;6.77;9.0;2.15;6.807;5.01;57.38
1980-01-08;3.59;5.81;8.04;0.0;7.928;2.61;41.12
1980-01-09;3.41;6.36;9.3;0.0;8.112;2.68;38.29
1980-01-10;3.61;6.85;10.09;0.0;7.967;2.85;45.68
1980-01-11;3.48;7.21;10.93;0.0;7.955;1.46;41.76
1980-01-12;5.33;8.16;11.0;0.0;6.661;3.0;48.92
1980-01-13;3.89;6.99;10.09;0.0;8.338;0.76;41.69
1980-01-14;4.32;8.01;11.7;23.5;7.11;2.67;59.41
1980-01-15;9.32;11.38;13.45;27.03;0.132;3.64;88.9
1980-01-16;7.43;9.54;11.65;3.02;3.617;4.76;80.52
1980-01-17;4.62;7.42;10.22;0.0;8.86;3.16;51.01
1980-01-18;3.97;7.91;11.84;0.0;8.826;1.32;46.78
1980-01-19;8.43;11.66;14.9;0.0;4.84;3.45;68.91
1980-01-20;9.92;13.02;16.13;0.0;5.341;3.52;63.76
1980-01-21;9.98;13.31;16.65;0.0;7.453;2.43;66.82
1980-01-22;10.44;13.79;17.14;0.0;7.203;5.57;52.27
1980-01-23;10.58;14.09;17.6;0.0;9.467;3.89;61.03
1980-01-24;8.65;12.14;15.64;0.0;8.559;3.45;60.53
1980-01-25;8.47;12.03;15.59;0.0;6.708;3.77;55.63
1980-01-26;9.37;12.68;15.98;2.02;4.782;4.23;61.69
1980-01-27;8.45;12.14;15.84;3.07;9.6;2.59;53.15
1980-01-28;9.21;12.64;16.08;0.0;9.221;2.77;55.03
1980-01-29;9.19;12.03;14.87;8.66;0.738;3.73;81.92
1980-01-30;10.17;13.29;16.4;10.99;3.215;2.92;82.11
1980-01-31;10.08;13.01;15.94;0.0;9.539;5.76;61.85
1980-02-01;7.48;10.03;12.58;5.42;0.797;5.21;65.72
1980-02-02;4.65;6.71;8.76;0.0;10.152;5.29;35.81
1980-02-03;4.17;7.02;9.87;0.0;8.682;3.69;34.58
1980-02-04;4.12;6.8;9.48;0.0;10.211;5.58;32.2
1980-02-05;6.19;8.8;11.41;0.0;10.323;4.27;35.91
1980-02-06;4.19;5.77;7.35;0.0;6.721;6.23;46.61
1980-02-07;3.93;6.81;9.7;0.0;10.392;3.92;29.8
1980-02-08;5.52;8.52;11.51;0.0;10.177;2.66;47.1
1980-02-09;3.93;7.81;11.7;0.0;10.043;1.0;48.42
1980-02-10;3.58;7.91;12.24;0.0;10.615;1.27;39.5
1980-02-11;6.02;9.63;13.23;0.0;10.746;2.03;43.13
1980-02-12;5.15;8.97;12.79;0.0;10.858;1.26;50.82
1980-02-13;6.62;10.47;14.33;2.16;8.07;1.75;60.41
1980-02-14;3.74;6.86;9.98;0.0;11.557;3.16;42.12
1980-02-15;2.77;7.2;11.63;0.0;12.265;1.86;35.95
1980-02-16;7.52;11.14;14.77;6.29;5.964;3.33;72.95
1980-02-17;7.29;11.41;15.53;0.0;7.938;2.41;64.32
1980-02-18;6.73;9.94;13.14;3.49;3.529;0.62;77.59
1980-02-19;6.65;9.75;12.86;0.0;7.616;3.43;69.25
1980-02-20;4.07;8.73;13.38;3.59;10.214;2.09;50.24
1980-02-21;9.73;13.67;17.61;0.0;12.703;4.61;58.17
1980-02-22;9.26;13.34;17.41;0.0;11.993;3.56;55.98
