iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.67;9.3;14.94;0.0;8.08;0.53;51.12
1980-01-02;3.2;8.63;14.07;0.09;6.909;0.41;51.61
1980-01-03;3.54;9.22;14.91;0.0;8.36;1.44;41.19
1980-01-04;4.25;8.32;12.4;0.0;9.341;2.67;33.57
1980-01-05;3.54;7.77;12.0;0.0;10.732;2.2;33.32
1980-01-06;3.79;8.36;12.92;0.0;10.472;2.37;26.92
1980-01-07;3.18;6.96;10.75;0.0;10.148;1.65;30.15
1980-01-08;1.18;6.53;11.88;0.0;9.603;0.61;45.04
1980-01-09;2.17;7.2;12.22;0.0;9.332;0.75;45.25
1980-01-10;2.22;7.71;13.2;0.0;9.422;0.68;46.41
1980-01-11;1.09;7.21;13.33;0.0;9.479;0.13;46.21
1980-01-12;2.44;7.38;12.32;0.0;10.123;1.44;43.68
1980-01-13;3.24;8.07;12.9;1.3;5.791;1.49;61.02
1980-01-14;3.75;8.02;12.29;0.0;10.325;0.89;52.0
1980-01-15;3.85;8.93;14.01;13.29;4.882;3.33;65.58
1980-01-16;4.05;8.06;12.08;2.66;6.632;3.78;41.18
1980-01-17;2.64;4.11;5.57;0.0;10.77;3.55;26.9
1980-01-18;3.65;7.25;10.85;0.0;9.736;2.0;44.23
1980-01-19;1.83;6.38;10.93;0.0;9.937;0.82;43.67
1980-01-20;1.04;6.39;11.75;0.0;9.793;0.48;43.38
1980-01-21;1.8;7.34;12.88;0.0;10.11;0.9;42.87
1980-01-22;3.09;7.85;12.62;0.0;10.371;2.14;41.08
1980-01-23;2.9;7.72;12.54;0.0;11.142;2.4;33.72
1980-01-24;2.96;7.71;12.47;0.0;10.909;2.91;25.76
1980-01-25;2.19;7.76;13.34;0.0;12.383;1.7;31.95
1980-01-26;1.47;7.21;12.95;0.0;11.472;0.59;45.39
1980-01-27;3.76;8.66;13.55;0.79;4.666;1.64;55.61
1980-01-28;5.11;9.63;14.14;0.0;5.152;0.72;63.38
1980-01-29;3.89;10.0;16.11;0.0;12.137;1.33;34.74
1980-01-30;4.41;10.91;17.41;0.0;11.667;1.15;33.83
1980-01-31;3.58;9.96;16.35;0.13;11.792;1.13;47.84
1980-02-01;6.31;9.88;13.46;15.48;3.01;2.78;72.93
1980-02-02;2.51;7.07;11.63;0.0;12.711;0.73;37.54
1980-02-03;2.3;7.8;13.3;3.22;12.169;1.64;43.0
1980-02-04;3.27;7.6;11.94;3.28;12.252;2.81;47.42
1980-02-05;2.02;5.4;8.78;13.54;4.322;1.06;67.32
1980-02-06;-0.38;6.22;12.82;0.0;12.057;0.88;43.59
1980-02-07;2.53;8.7;14.86;0.0;9.106;0.93;50.86
1980-02-08;2.11;8.33;14.55;0.64;11.388;0.5;50.06
1980-02-09;2.97;9.06;15.15;0.0;12.95;1.11;41.77
1980-02-10;2.62;9.29;15.96;0.0;12.745;0.96;39.24
1980-02-11;3.66;10.03;16.4;0.0;12.855;0.82;43.39
1980-02-12;4.21;11.04;17.88;0.0;13.122;0.85;38.72
1980-02-13;5.42;11.32;17.21;0.0;13.663;1.62;34.52
1980-02-14;5.09;11.33;17.57;0.0;13.708;2.17;28.62
1980-02-15;5.68;11.98;18.29;0.0;15.204;2.01;24.73
1980-02-16;4.31;10.91;17.52;0.0;14.259;1.48;26.96
1980-02-17;4.78;11.23;17.67;0.0;14.227;2.01;23.0
1980-02-18;3.45;10.26;17.08;3.01;15.288;1.45;33.36
1980-02-19;7.14;9.14;11.15;5.66;1.914;1.66;76.17
1980-02-20;7.2;10.89;14.59;4.9;4.919;1.79;48.89
1980-02-21;6.93;11.07;15.22;4.83;8.544;1.21;62.15
1980-02-22;5.16;10.93;16.69;0.0;14.424;1.11;46.29
1980-02-23;8.36;11.54;14.72;4.81;8.699;1.71;69.53
1980-02-24;6.32;10.16;13.99;6.18;4.004;0.86;68.84
1980-02-25;5.34;12.02;18.7;0.0;15.572;1.51;31.59
1980-02-26;6.99;13.09;19.18;4.91;8.148;1.76;35.01
1980-02-27;6.72;11.84;16.96;2.9;9.221;1.0;53.8
1980-02-28;5.68;9.59;13.51;2.37;6.459;0.86;58.08
1980-02-29;2.79;9.49;16.19;0.0;16.322;1.65;37.18
1980-03-01;6.6;11.84;17.08;0.0;14.316;2.12;35.26
1980-03-02;7.71;12.63;17.56;0.23;16.87;2.13;28.19
1980-03-03;8.65;11.86;15.06;8.81;8.65;1.7;58.87
1980-03-04;6.74;10.89;15.04;13.94;9.253;0.57;64.45
1980-03-05;8.97;12.25;15.52;5.77;6.409;1.08;62.47
1980-03-06;9.36;13.69;18.01;3.66;10.532;1.62;44.1
1980-03-07;9.43;13.59;17.75;0.0;18.027;2.26;34.47
1980-03-08;9.65;12.86;16.08;4.01;9.885;2.03;47.33
1980-03-09;9.14;11.93;14.72;1.79;15.766;2.22;57.11
1980-03-10;7.2;11.36;15.51;3.19;9.297;0.8;62.14
1980-03-11;6.46;10.67;14.88;2.89;6.737;1.25;60.03
1980-03-12;7.56;11.47;15.39;9.51;9.031;1.71;62.45
1980-03-13;11.33;14.66;17.98;0.0;14.926;1.5;50.64
1980-03-14;10.42;14.37;18.32;2.68;9.939;1.92;50.62
1980-03-15;10.04;12.76;15.48;0.4;10.194;1.74;59.77
1980-03-16;8.44;12.91;17.38;0.0;13.535;0.47;50.47
1980-03-17;7.93;14.84;21.75;0.0;20.656;0.59;34.24
1980-03-18;10.54;16.29;22.03;0.0;18.919;1.01;36.25
1980-03-19;7.12;13.67;20.22;0.0;19.897;1.64;23.61
1980-03-20;5.73;14.44;23.14;0.0;21.87;1.18;20.33
1980-03-21;12.69;15.52;18.36;7.36;9.78;0.66;53.01
1980-03-22;11.88;15.13;18.37;8.59;10.678;0.49;60.44
1980-03-23;8.98;13.81;18.64;0.0;19.201;2.34;24.95
1980-03-24;5.97;10.94;15.9;0.35;17.695;1.65;31.36
1980-03-25;9.77;14.77;19.76;0.0;19.59;1.1;36.17
1980-03-26;6.92;13.56;20.2;0.0;19.985;0.6;35.54
1980-03-27;6.71;13.29;19.88;0.0;19.723;1.16;43.63
1980-03-28;9.08;14.75;20.42;0.0;19.954;0.91;45.65
1980-03-29;8.18;14.23;20.28;0.0;20.088;0.59;35.87
1980-03-30;7.1;15.12;23.14;0.0;20.257;0.45;31.1
1980-03-31;9.18;16.38;23.58;0.0;20.234;0.8;31.22
1980-04-01;9.61;16.87;24.12;0.0;20.128;0.67;31.43
1980-04-02;9.16;17.44;25.72;0.0;20.979;1.03;27.16
1980-04-03;13.73;20.88;28.03;2.87;13.865;2.39;22.14
1980-04-04;10.68;15.85;21.02;0.0;22.404;2.1;52.6
1980-04-05;10.61;16.7;22.8;0.0;22.169;0.55;37.01
1980-04-06;9.85;18.59;27.34;5.94;13.888;1.28;31.39
1980-04-07;12.77;14.89;17.01;6.82;12.951;2.25;61.01
1980-04-08;12.45;14.91;17.37;15.17;12.892;2.11;62.53
1980-04-09;10.06;14.91;19.76;0.95;15.516;0.9;49.35
1980-04-10;8.51;15.21;21.91;1.69;16.578;0.42;38.14
1980-04-11;9.34;14.24;19.15;1.67;16.15;1.25;50.58
1980-04-12;12.9;16.47;20.04;0.75;19.864;2.32;51.83
1980-04-13;9.59;12.6;15.61;5.49;9.547;1.75;59.2
1980-04-14;9.4;15.43;21.47;0.0;20.079;1.86;29.43
1980-04-15;11.47;17.52;23.58;0.0;22.28;1.69;24.55
1980-04-16;10.48;16.77;23.07;0.0;22.874;1.17;31.11
1980-04-17;12.43;17.11;21.78;0.0;24.351;1.87;42.82
1980-04-18;11.13;17.34;23.54;0.0;21.38;1.09;40.08
1980-04-19;10.0;18.12;26.23;0.0;23.701;0.81;24.01
1980-04-20;14.55;22.52;30.48;0.0;19.937;2.29;16.41
1980-04-21;19.96;27.13;34.3;0.0;23.8;2.74;12.66
1980-04-22;14.72;17.65;20.58;36.99;4.802;1.7;67.31
1980-04-23;11.16;16.6;22.04;0.0;21.951;0.37;41.15
1980-04-24;10.85;17.13;23.41;9.22;13.011;0.36;38.71
1980-04-25;14.38;17.61;20.83;0.0;25.187;2.27;47.19
1980-04-26;13.34;16.82;20.3;0.0;23.635;1.96;48.26
1980-04-27;15.24;18.87;22.5;0.0;21.684;1.81;46.51
1980-04-28;14.53;18.32;22.12;0.0;22.839;2.07;44.11
1980-04-29;13.76;16.59;19.42;0.0;23.736;2.4;42.81
1980-04-30;13.56;16.8;20.04;0.0;20.056;2.29;45.35
1980-05-01;12.16;18.34;24.51;0.0;25.059;1.1;36.02
1980-05-02;12.29;17.36;22.43;0.0;20.454;1.51;44.0
1980-05-03;12.16;18.82;25.48;0.0;23.795;1.02;36.03
1980-05-04;10.73;19.95;29.16;0.0;25.378;0.49;21.17
1980-05-05;13.18;22.23;31.29;0.0;25.205;0.77;18.34
1980-05-06;14.35;23.79;33.23;0.0;21.224;0.59;19.81
1980-05-07;19.5;26.49;33.48;0.0;28.153;1.7;13.7
1980-05-08;19.6;27.32;35.05;0.0;21.69;1.58;12.5
1980-05-09;15.09;24.35;33.61;2.81;13.803;0.97;19.88
1980-05-10;13.24;22.05;30.86;0.0;26.074;1.08;27.24
1980-05-11;17.04;24.13;31.22;0.0;27.109;1.5;25.87
1980-05-12;18.12;19.36;20.59;7.51;5.257;0.81;60.39
1980-05-13;16.63;19.19;21.75;4.89;13.381;1.32;50.74
1980-05-14;14.68;17.61;20.54;1.7;16.591;1.37;40.19
1980-05-15;13.77;15.63;17.49;14.85;8.687;1.41;60.83
1980-05-16;14.75;17.43;20.11;17.97;14.698;1.18;58.21
1980-05-17;15.65;18.38;21.11;1.61;15.128;1.46;61.62
1980-05-18;16.38;20.41;24.45;0.0;26.245;1.41;50.01
1980-05-19;14.51;20.27;26.04;0.0;27.147;0.67;41.34
1980-05-20;12.61;18.93;25.25;0.0;26.53;0.9;36.02
1980-05-21;14.77;19.95;25.12;0.0;26.8;1.66;42.26
1980-05-22;13.8;19.93;26.05;0.0;27.671;1.12;24.15
1980-05-23;14.28;19.98;25.68;0.0;28.046;1.5;18.18
1980-05-24;13.75;20.62;27.48;0.0;28.298;0.92;16.12
1980-05-25;13.91;22.6;31.29;0.0;27.773;1.1;12.48
