iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-2.73;0.88;4.48;0.0;6.626;1.97;40.13
1980-01-02;3.27;5.79;8.32;0.0;7.074;4.59;63.99
1980-01-03;7.17;9.21;11.25;0.0;7.179;5.01;67.53
1980-01-04;-1.96;4.13;10.21;1.57;4.881;3.87;59.96
1980-01-05;-3.96;1.62;7.2;0.74;6.14;2.18;61.65
1980-01-06;4.54;7.61;10.67;10.01;3.25;4.39;77.21
1980-01-07;1.41;4.24;7.07;3.17;5.39;3.75;68.24
1980-01-08;-2.81;1.58;5.97;1.08;5.779;1.97;67.16
1980-01-09;-6.09;-3.14;-0.19;0.0;4.432;4.09;69.67
1980-01-10;-7.62;-3.89;-0.15;0.0;6.757;2.56;60.64
1980-01-11;-7.23;-1.75;3.73;0.0;3.47;1.49;43.52
1980-01-12;-1.5;2.51;6.52;0.98;3.415;2.43;63.73
1980-01-13;-3.37;-0.95;1.47;0.0;5.251;2.96;72.74
1980-01-14;-4.97;-1.23;2.51;0.0;7.265;1.05;60.51
1980-01-15;-2.94;1.59;6.12;4.3;6.165;1.63;67.26
1980-01-16;-1.94;-0.2;1.53;7.34;1.911;3.11;91.35
1980-01-17;-3.59;1.35;6.28;0.0;6.72;1.13;57.99
1980-01-18;0.14;5.29;10.43;0.0;5.265;2.47;56.91
1980-01-19;1.72;6.46;11.19;0.0;6.782;1.81;57.15
1980-01-20;2.04;7.38;12.71;0.0;8.227;3.67;54.88
1980-01-21;2.4;6.16;9.92;0.0;7.58;3.64;40.76
1980-01-22;1.29;4.53;7.77;0.0;4.904;3.01;46.88
1980-01-23;-1.32;1.97;5.26;5.47;4.891;1.28;78.69
1980-01-24;-2.06;1.04;4.14;0.0;7.302;1.35;61.18
1980-01-25;-2.23;-0.05;2.12;0.0;7.512;2.86;65.64
1980-01-26;0.72;5.54;10.36;0.0;7.371;2.09;52.9
1980-01-27;-2.25;4.01;10.28;3.36;6.414;2.95;57.26
1980-01-28;-4.55;-3.07;-1.59;0.0;8.407;3.3;47.49
1980-01-29;-4.4;-0.77;2.87;4.62;7.31;1.24;56.94
1980-01-30;-7.51;-4.55;-1.59;5.2;6.53;1.45;81.36
1980-01-31;-8.73;-5.54;-2.35;1.24;8.24;1.98;73.57
1980-02-01;-8.64;-5.86;-3.08;0.0;7.542;3.18;73.25
1980-02-02;-8.16;-6.2;-4.23;0.0;7.982;4.69;72.68
1980-02-03;-7.55;-5.45;-3.34;0.0;8.485;3.51;59.08
1980-02-04;-7.83;-5.42;-3.0;0.0;8.804;2.74;66.93
1980-02-05;-6.98;-5.21;-3.43;0.0;8.071;3.1;66.55
1980-02-06;-6.87;-4.83;-2.8;0.92;6.411;3.0;75.45
1980-02-07;-6.45;-4.29;-2.14;0.0;9.409;3.0;62.52
1980-02-08;-4.99;-2.39;0.21;0.51;6.269;3.71;72.94
1980-02-09;-1.41;-0.02;1.36;1.44;6.425;3.13;81.67
1980-02-10;-9.44;-5.28;-1.12;0.62;10.155;1.44;72.73
1980-02-11;-8.16;-4.51;-0.87;0.0;10.28;2.36;60.08
1980-02-12;-6.77;-3.05;0.66;0.0;8.174;1.95;71.17
1980-02-13;-8.37;-3.3;1.76;0.0;9.92;1.08;60.18
1980-02-14;-2.79;0.69;4.17;0.0;9.889;3.41;66.07
1980-02-15;-0.29;3.87;8.03;1.01;8.395;2.94;72.33
1980-02-16;-2.93;0.16;3.25;0.0;10.24;2.27;48.73
1980-02-17;-4.97;-2.82;-0.68;0.0;10.597;2.21;46.28
1980-02-18;-5.59;-2.99;-0.39;0.0;11.212;2.83;35.12
1980-02-19;-3.63;2.29;8.21;0.0;10.177;1.61;37.85
1980-02-20;0.13;4.19;8.25;0.0;10.396;3.32;49.06
1980-02-21;-0.73;4.47;9.67;2.4;6.7;2.76;67.32
1980-02-22;-1.28;3.08;7.45;0.0;10.981;1.33;54.24
1980-02-23;0.58;4.51;8.44;2.71;7.452;3.81;71.88
1980-02-24;1.35;3.95;6.54;0.0;11.034;3.86;57.69
1980-02-25;1.07;3.94;6.81;0.0;10.952;3.73;46.63
1980-02-26;-0.41;2.87;6.15;0.0;11.016;2.46;42.93
1980-02-27;-1.65;3.42;8.5;3.33;9.695;2.23;57.67
1980-02-28;1.25;5.99;10.73;4.62;7.814;2.6;71.53
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-1.56;0.89;3.34;0.63;11.188;4.63;45.82
1980-03-02;-1.56;2.25;6.07;0.0;11.009;2.39;50.78
1980-03-03;-0.45;4.19;8.83;0.0;11.618;1.63;52.09
1980-03-04;-0.12;5.51;11.14;0.0;11.554;1.48;48.16
1980-03-05;-0.02;5.29;10.61;1.47;10.383;1.44;59.83
1980-03-06;-1.74;3.19;8.12;1.67;10.676;0.59;63.07
1980-03-07;-2.08;4.18;10.45;0.0;12.237;0.41;48.38
1980-03-08;-0.92;6.53;13.98;0.0;12.387;0.87;39.27
1980-03-09;0.95;7.13;13.31;1.33;10.441;2.3;51.56
1980-03-10;1.74;7.13;12.52;0.0;12.927;2.4;41.1
1980-03-11;2.71;9.88;17.06;0.0;12.512;2.18;39.67
1980-03-12;1.99;8.46;14.94;0.0;13.355;2.75;43.54
1980-03-13;1.98;10.82;19.66;0.0;12.088;1.78;38.37
1980-03-14;4.84;11.75;18.66;0.0;11.991;1.63;51.29
1980-03-15;4.14;12.81;21.49;0.0;12.691;1.39;41.79
1980-03-16;5.63;10.77;15.91;0.54;8.8;2.3;68.38
1980-03-17;1.81;9.13;16.46;0.0;12.23;0.7;56.26
1980-03-18;3.54;10.61;17.67;0.0;12.966;0.86;51.71
1980-03-19;1.42;8.46;15.49;1.21;12.054;1.0;61.14
1980-03-20;0.11;5.23;10.36;0.0;16.37;1.99;45.73
1980-03-21;-2.65;4.01;10.68;0.0;15.828;0.55;34.88
1980-03-22;-1.53;5.67;12.86;0.0;15.513;0.93;31.11
1980-03-23;0.12;6.0;11.89;0.0;11.604;1.26;49.5
1980-03-24;-1.86;5.95;13.75;0.0;15.663;0.42;37.8
1980-03-25;0.59;9.9;19.22;0.0;14.601;0.33;42.68
1980-03-26;5.94;11.52;17.09;2.99;6.758;1.05;66.25
1980-03-27;3.89;7.75;11.6;8.67;7.236;2.06;61.62
1980-03-28;2.05;5.39;8.73;5.29;5.769;2.01;68.29
1980-03-29;4.65;6.28;7.9;15.03;5.429;3.02;84.06
1980-03-30;3.27;7.74;12.21;0.0;15.17;1.97;51.79
1980-03-31;3.43;7.91;12.38;0.53;9.411;1.94;58.71
1980-04-01;2.54;8.97;15.41;0.0;14.52;0.47;54.1
1980-04-02;3.61;10.53;17.45;0.0;14.004;1.06;50.97
1980-04-03;6.75;12.87;18.99;0.0;15.322;3.03;45.6
1980-04-04;6.76;13.6;20.44;0.0;17.671;1.56;39.96
1980-04-05;8.48;14.97;21.46;0.74;12.14;2.38;49.04
1980-04-06;5.26;10.49;15.72;3.38;14.094;3.31;52.42
1980-04-07;3.15;7.42;11.68;0.0;18.018;2.89;37.24
1980-04-08;2.42;7.78;13.13;1.31;8.095;2.09;57.71
1980-04-09;1.17;7.32;13.47;3.9;5.768;1.15;68.12
1980-04-10;5.5;10.32;15.13;6.06;2.913;1.26;67.93
1980-04-11;2.76;7.65;12.54;0.0;16.076;1.33;57.84
1980-04-12;2.1;8.48;14.87;0.0;16.786;0.42;52.79
1980-04-13;3.03;9.83;16.63;0.0;17.391;0.65;46.82
1980-04-14;4.77;11.76;18.75;0.0;15.43;0.88;51.48
1980-04-15;7.45;13.71;19.98;0.0;9.198;2.62;53.54
1980-04-16;9.31;15.89;22.48;0.0;16.723;2.15;40.72
1980-04-17;8.8;14.13;19.46;0.6;9.834;1.84;48.19
1980-04-18;5.5;10.88;16.26;4.04;12.245;1.33;67.58
1980-04-19;4.55;11.78;19.01;0.0;18.152;0.54;45.25
1980-04-20;7.55;14.29;21.03;0.0;17.944;1.36;43.31
1980-04-21;5.69;13.53;21.37;0.0;12.969;0.76;39.79
1980-04-22;8.27;13.27;18.27;0.37;13.121;2.42;54.02
1980-04-23;4.51;9.88;15.26;0.6;12.132;3.16;50.48
1980-04-24;2.12;7.57;13.02;0.0;20.491;1.59;32.1
1980-04-25;1.49;7.8;14.11;0.0;18.802;0.67;37.34
1980-04-26;3.09;10.62;18.14;0.0;18.573;1.64;37.75
1980-04-27;5.07;8.82;12.57;5.38;2.743;0.78;69.57
1980-04-28;2.95;8.18;13.4;0.17;18.338;0.85;55.11
1980-04-29;3.79;9.61;15.43;0.14;17.419;0.63;60.34
1980-04-30;4.44;9.01;13.58;0.46;14.161;1.93;63.66
1980-05-01;5.25;9.81;14.37;0.0;20.661;3.33;44.5
1980-05-02;5.28;9.21;13.15;0.0;21.527;3.24;43.92
1980-05-03;4.34;9.09;13.85;0.0;21.261;1.78;45.02
1980-05-04;3.54;10.55;17.57;0.0;21.533;0.39;39.68
1980-05-05;3.81;11.63;19.46;0.0;17.393;0.11;40.75
1980-05-06;5.29;12.32;19.35;0.0;20.894;0.6;43.01
1980-05-07;8.49;15.09;21.69;0.0;18.42;2.2;35.26
1980-05-08;9.86;15.64;21.42;1.46;15.27;2.38;47.77
1980-05-09;7.79;13.31;18.83;0.0;17.782;1.71;55.02
1980-05-10;6.35;12.59;18.82;4.18;18.058;0.88;48.45
1980-05-11;7.49;12.86;18.24;0.26;23.083;1.61;50.84
1980-05-12;7.66;13.71;19.76;0.0;22.963;1.89;46.16
