iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.49;3.99;8.46;2.89;7.991;1.39;66.33
1980-01-02;-1.82;2.69;7.19;0.0;8.377;1.71;64.25
1980-01-03;-4.12;-0.47;3.19;2.63;3.382;3.38;59.15
1980-01-04;-6.8;-4.66;-2.52;0.0;4.429;4.22;72.49
1980-01-05;-8.03;-5.09;-2.15;0.0;8.453;3.96;59.52
1980-01-06;-8.99;-6.26;-3.53;0.0;4.767;4.12;65.51
1980-01-07;-10.56;-6.31;-2.06;0.0;8.704;3.0;52.36
1980-01-08;-4.55;-2.31;-0.08;0.0;4.485;2.07;73.25
1980-01-09;-4.96;-2.54;-0.11;0.0;5.358;1.08;68.51
1980-01-10;-3.9;-2.56;-1.23;3.14;2.923;1.88;90.2
1980-01-11;-7.67;-4.49;-1.3;18.46;4.169;3.84;76.21
1980-01-12;-7.72;-4.81;-1.9;2.79;5.967;1.88;70.79
1980-01-13;-9.32;-5.88;-2.44;0.0;6.585;2.23;68.1
1980-01-14;-11.04;-7.1;-3.16;0.0;9.015;2.79;66.16
1980-01-15;-13.61;-9.63;-5.66;0.0;9.606;2.43;63.37
1980-01-16;-11.31;-8.45;-5.58;0.0;8.705;2.96;68.74
1980-01-17;-12.65;-9.14;-5.63;0.0;9.691;2.78;65.98
1980-01-18;-12.56;-8.14;-3.73;5.79;7.788;1.53;61.54
1980-01-19;-17.18;-11.61;-6.03;8.8;6.335;4.24;47.89
1980-01-20;-22.87;-18.2;-13.52;0.0;10.569;3.38;58.56
1980-01-21;-21.18;-16.23;-11.28;0.0;10.721;2.37;47.13
1980-01-22;-21.95;-16.0;-10.06;0.0;10.81;3.09;52.45
1980-01-23;-14.41;-10.75;-7.09;2.97;9.621;1.52;62.05
1980-01-24;-11.46;-8.36;-5.25;13.11;6.019;1.17;75.37
1980-01-25;-13.17;-9.25;-5.34;0.0;10.822;3.89;67.58
1980-01-26;-13.43;-8.94;-4.44;0.0;11.305;2.71;50.81
1980-01-27;-12.74;-8.39;-4.04;0.0;7.711;1.33;58.29
1980-01-28;-5.5;-3.78;-2.06;2.0;3.432;2.34;83.66
1980-01-29;-4.09;-2.61;-1.14;0.0;3.32;1.91;89.03
