iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;0.27;5.52;10.77;0.0;9.124;1.81;52.32
1980-01-02;-3.45;0.52;4.49;0.0;8.046;1.25;62.97
1980-01-03;-4.5;0.44;5.39;3.72;4.431;2.67;56.95
1980-01-04;-4.82;-3.67;-2.52;0.0;6.946;3.5;51.75
1980-01-05;-5.29;-4.0;-2.72;0.0;8.105;3.87;42.49
1980-01-06;-5.95;-4.13;-2.32;0.0;7.908;3.4;39.35
1980-01-07;-7.59;-5.17;-2.76;0.0;9.032;2.83;38.64
1980-01-08;-4.76;-3.25;-1.74;0.0;3.051;2.05;78.79
1980-01-09;-5.27;-3.03;-0.8;0.0;7.869;1.31;70.51
1980-01-10;-5.42;-3.19;-0.95;5.96;4.291;1.22;79.59
1980-01-11;-8.74;-5.91;-3.07;0.0;6.384;3.13;65.08
1980-01-12;-11.2;-7.77;-4.34;0.0;7.95;1.4;48.11
1980-01-13;-12.13;-8.04;-3.95;0.0;9.648;0.53;64.79
1980-01-14;-12.27;-8.78;-5.28;0.0;8.738;1.85;57.98
1980-01-15;-15.92;-12.07;-8.21;0.0;9.005;1.57;54.71
1980-01-16;-17.23;-11.81;-6.39;11.82;6.312;2.76;61.22
1980-01-17;-11.69;-9.77;-7.84;10.93;6.208;6.11;75.71
1980-01-18;-28.98;-19.23;-9.48;0.0;9.342;3.26;59.07
1980-01-19;-30.46;-22.22;-13.98;0.0;10.367;1.43;42.2
1980-01-20;-25.88;-19.84;-13.81;0.0;8.807;0.72;65.27
1980-01-21;-21.34;-17.07;-12.8;0.0;10.133;1.75;63.09
1980-01-22;-21.6;-16.12;-10.63;0.0;10.067;2.2;55.16
1980-01-23;-22.06;-14.19;-6.32;12.01;7.062;2.27;61.8
1980-01-24;-9.34;-7.78;-6.21;1.47;10.342;5.04;74.34
1980-01-25;-10.57;-7.79;-5.02;0.0;10.055;4.22;65.86
1980-01-26;-20.19;-12.57;-4.94;0.0;9.731;2.37;66.83
1980-01-27;-22.61;-12.13;-1.64;0.0;9.491;1.4;45.72
1980-01-28;-4.46;-3.04;-1.63;1.77;3.615;3.39;94.58
1980-01-29;-4.8;-3.25;-1.7;0.0;4.304;3.74;87.16
1980-01-30;-7.81;-4.83;-1.86;0.0;5.73;3.48;77.18
1980-01-31;-10.47;-6.93;-3.39;0.0;6.891;1.91;66.21
1980-02-01;-13.37;-8.97;-4.58;0.0;10.007;2.09;56.74
1980-02-02;-10.33;-6.33;-2.33;0.0;8.692;3.05;64.38
1980-02-03;-11.29;-6.83;-2.38;0.0;9.42;2.01;67.61
1980-02-04;-17.93;-11.32;-4.71;0.0;11.251;0.71;46.2
1980-02-05;-18.61;-11.4;-4.19;0.0;11.281;0.47;32.77
1980-02-06;-19.4;-11.28;-3.16;0.0;11.353;0.22;29.96
1980-02-07;-17.15;-9.67;-2.19;0.0;9.202;0.36;52.6
1980-02-08;-15.34;-8.74;-2.14;0.0;9.815;0.34;65.05
1980-02-09;-15.47;-8.76;-2.05;0.0;10.411;0.64;50.28
1980-02-10;-16.22;-9.12;-2.02;0.0;11.91;0.73;42.83
1980-02-11;-14.61;-7.54;-0.48;0.0;12.085;1.46;59.19
1980-02-12;-4.16;-1.9;0.36;0.0;11.993;2.58;71.19
1980-02-13;-2.64;-0.59;1.46;0.0;12.978;2.5;81.15
1980-02-14;-4.58;-1.99;0.61;0.0;10.603;3.04;66.08
1980-02-15;-4.87;-2.15;0.58;0.0;12.305;2.56;62.12
1980-02-16;-3.01;-0.44;2.12;0.0;12.96;2.55;74.48
1980-02-17;-1.13;1.2;3.52;0.0;12.667;2.42;75.16
1980-02-18;-2.15;1.09;4.34;0.0;13.338;1.29;73.75
1980-02-19;-3.04;1.0;5.05;1.14;10.774;1.39;71.41
1980-02-20;0.71;3.57;6.43;4.61;4.239;2.41;82.18
1980-02-21;-0.46;3.78;8.03;5.18;4.272;1.36;67.15
1980-02-22;-1.05;3.46;7.97;0.0;12.225;2.01;56.48
1980-02-23;-1.36;0.88;3.13;3.79;4.614;2.72;74.73
1980-02-24;-2.24;1.0;4.25;0.33;7.457;2.31;65.36
1980-02-25;-2.14;0.43;3.0;0.0;10.003;1.78;61.05
1980-02-26;-4.3;-2.13;0.05;0.0;14.05;1.9;34.69
1980-02-27;-4.75;-2.33;0.09;0.0;9.73;2.35;41.64
1980-02-28;-5.72;-2.33;1.06;0.0;15.088;2.25;22.74
1980-02-29;-4.95;0.48;5.92;0.0;14.583;1.63;32.85
1980-03-01;-2.62;3.1;8.81;0.0;15.873;1.16;50.29
1980-03-02;-3.74;1.59;6.93;4.18;12.494;1.89;61.92
1980-03-03;1.37;4.61;7.84;11.19;6.217;3.16;77.43
1980-03-04;-1.72;2.77;7.27;3.48;11.578;2.14;61.19
1980-03-05;-1.64;3.37;8.38;0.0;15.95;2.19;44.91
1980-03-06;-0.22;4.79;9.81;3.95;9.676;1.94;54.99
1980-03-07;1.25;4.38;7.52;8.51;7.941;2.88;71.95
1980-03-08;1.32;3.17;5.01;3.38;3.973;3.62;74.79
1980-03-09;-2.36;1.53;5.42;0.0;13.827;2.33;51.44
1980-03-10;-4.38;-0.44;3.5;0.0;15.275;0.93;49.2
1980-03-11;-2.21;1.04;4.29;0.0;9.228;2.66;58.85
1980-03-12;-1.07;0.77;2.6;0.67;5.368;3.52;70.12
1980-03-13;-2.45;0.25;2.96;0.0;7.392;3.38;55.3
1980-03-14;-3.77;-2.23;-0.7;8.99;6.241;3.17;73.72
1980-03-15;-0.59;2.14;4.87;7.87;9.489;2.59;71.58
1980-03-16;-0.62;3.39;7.4;1.77;7.567;1.45;67.43
1980-03-17;0.51;2.75;4.98;8.05;5.784;1.23;77.39
1980-03-18;0.08;3.66;7.23;5.78;8.433;0.11;68.76
1980-03-19;0.57;4.69;8.81;1.57;14.227;0.87;58.02
1980-03-20;0.13;4.77;9.4;0.0;17.744;1.51;45.18
1980-03-21;-1.56;2.96;7.49;11.06;7.465;1.9;70.57
1980-03-22;1.52;4.29;7.05;1.11;18.069;3.28;46.98
1980-03-23;0.48;4.63;8.79;0.0;12.696;2.2;43.42
1980-03-24;-1.22;4.04;9.31;0.0;13.005;1.18;47.39
1980-03-25;0.89;7.05;13.21;0.0;8.905;1.99;50.08
1980-03-26;3.97;10.23;16.5;0.0;14.944;2.99;40.56
1980-03-27;4.21;9.73;15.25;0.0;18.815;1.87;44.41
1980-03-28;2.34;8.1;13.86;4.24;10.264;2.3;51.08
1980-03-29;-0.84;5.76;12.37;2.4;13.984;1.12;48.76
1980-03-30;0.66;5.76;10.87;0.0;12.688;1.03;50.65
1980-03-31;1.3;6.74;12.17;0.0;18.662;0.72;43.63
1980-04-01;0.16;5.17;10.19;2.01;9.536;1.05;63.86
1980-04-02;3.02;8.58;14.13;1.52;11.245;2.1;51.52
1980-04-03;6.28;9.01;11.73;9.73;4.633;2.66;72.74
1980-04-04;4.72;9.54;14.35;0.0;11.918;1.08;58.05
1980-04-05;3.93;9.88;15.84;0.0;17.893;0.29;45.6
1980-04-06;4.93;9.43;13.92;1.72;14.704;1.27;52.39
1980-04-07;3.88;8.62;13.35;0.92;18.318;1.68;46.45
1980-04-08;2.47;8.52;14.57;0.97;19.917;1.38;39.6
1980-04-09;0.03;4.75;9.48;2.18;8.611;0.79;58.84
1980-04-10;-0.7;5.19;11.08;1.42;14.713;0.45;50.89
1980-04-11;0.84;6.05;11.27;0.0;17.541;0.62;46.78
1980-04-12;1.79;5.46;9.12;0.0;10.695;2.56;45.52
1980-04-13;-0.04;3.56;7.17;0.0;21.683;2.99;34.03
1980-04-14;3.63;6.2;8.77;1.17;8.01;1.7;59.28
1980-04-15;-0.64;3.79;8.22;0.0;23.778;1.8;30.56
1980-04-16;1.8;8.31;14.82;0.46;12.986;2.61;42.77
1980-04-17;5.56;11.46;17.36;0.0;22.243;1.53;41.42
1980-04-18;4.88;10.58;16.28;0.0;23.571;2.68;44.47
1980-04-19;7.83;11.21;14.6;5.35;7.959;2.96;63.21
1980-04-20;6.22;12.27;18.33;3.01;19.056;1.28;47.04
1980-04-21;3.58;11.57;19.55;0.0;24.206;1.23;35.04
1980-04-22;4.22;10.63;17.04;0.0;25.13;2.87;34.35
1980-04-23;8.06;11.39;14.71;0.82;8.555;2.66;45.69
1980-04-24;6.96;11.92;16.87;1.59;12.642;2.38;45.59
1980-04-25;6.38;12.34;18.3;0.0;21.571;2.55;43.06
1980-04-26;6.36;11.46;16.57;1.34;9.867;2.84;50.48
1980-04-27;4.45;11.94;19.43;0.0;23.166;0.73;36.03
1980-04-28;5.19;13.02;20.85;0.0;24.359;2.55;29.08
1980-04-29;4.56;9.82;15.09;0.0;19.474;1.82;45.05
1980-04-30;1.82;6.93;12.04;0.36;12.313;1.23;47.1
1980-05-01;1.63;7.0;12.37;0.0;22.654;0.65;43.64
1980-05-02;-0.53;6.05;12.63;2.14;18.398;0.63;47.73
1980-05-03;6.66;9.47;12.28;3.43;14.452;1.66;62.61
1980-05-04;8.9;9.0;9.1;13.22;7.876;3.24;82.69
1980-05-05;8.13;10.7;13.27;2.83;12.15;2.08;73.21
1980-05-06;6.99;10.42;13.85;1.76;10.115;1.3;64.09
1980-05-07;8.92;13.66;18.4;1.02;21.078;0.4;50.37
1980-05-08;9.26;14.72;20.18;0.0;19.038;1.46;46.9
1980-05-09;9.99;16.74;23.49;0.0;25.776;0.98;39.71
1980-05-10;11.83;17.63;23.42;0.0;21.752;2.6;38.56
1980-05-11;7.91;14.98;22.06;0.0;27.067;1.44;35.63
1980-05-12;4.75;11.96;19.18;0.0;26.089;1.21;32.48
1980-05-13;5.46;13.08;20.69;0.0;26.463;0.93;31.97
1980-05-14;7.42;15.39;23.36;0.0;25.931;0.61;28.05
1980-05-15;5.52;15.69;25.86;0.0;24.719;0.38;29.65
1980-05-16;9.06;18.61;28.15;0.0;20.576;0.27;31.83
