iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;6.93;9.56;12.19;13.58;1.404;2.33;75.95
1980-01-02;6.4;9.76;13.12;0.0;8.138;2.94;57.5
1980-01-03;7.73;10.02;12.3;0.0;7.992;6.23;57.68
1980-01-04;6.87;8.55;10.23;0.0;8.251;7.15;52.97
1980-01-05;6.45;8.4;10.35;0.0;8.309;6.43;55.45
1980-01-06;6.76;8.46;10.17;0.0;8.11;6.53;61.73
1980-01-07;6.56;8.91;11.27;0.0;4.215;5.56;67.55
1980-01-08;7.03;8.98;10.93;0.0;5.135;5.03;70.48
1980-01-09;5.82;7.39;8.96;7.25;1.889;0.81;86.16
1980-01-10;5.28;7.91;10.54;0.0;4.336;3.41;67.84
1980-01-11;5.64;7.32;9.01;9.07;5.4;7.13;74.72
1980-01-12;5.1;6.97;8.84;2.27;7.49;4.64;54.76
1980-01-13;5.18;7.42;9.65;1.29;7.901;4.62;50.93
1980-01-14;4.24;6.04;7.83;1.3;8.935;4.58;44.68
1980-01-15;3.13;4.67;6.21;4.19;6.876;5.28;42.66
1980-01-16;2.35;4.1;5.85;0.0;5.848;5.21;47.82
1980-01-17;1.57;3.83;6.09;6.71;8.309;7.13;54.38
1980-01-18;-0.11;1.68;3.47;0.0;6.693;2.06;50.0
1980-01-19;0.52;2.73;4.94;0.0;7.127;2.99;48.99
1980-01-20;0.47;2.39;4.31;6.16;2.263;3.46;75.97
1980-01-21;0.52;2.93;5.35;0.0;4.881;3.51;73.89
1980-01-22;-0.44;2.49;5.43;2.75;7.698;4.48;52.49
1980-01-23;0.25;1.68;3.1;4.4;5.176;2.61;80.6
1980-01-24;2.77;6.68;10.6;10.54;6.622;5.73;60.98
1980-01-25;4.74;6.92;9.1;0.0;10.126;4.32;46.26
1980-01-26;3.77;5.96;8.14;0.0;8.141;2.94;48.24
1980-01-27;3.93;8.01;12.08;6.44;2.446;4.1;60.68
1980-01-28;9.3;11.21;13.11;5.36;2.9;5.5;95.65
1980-01-29;9.18;10.97;12.76;10.98;2.897;3.03;93.43
1980-01-30;7.93;10.63;13.33;6.19;6.64;5.45;75.99
1980-01-31;7.16;8.44;9.71;3.92;3.009;3.06;77.47
1980-02-01;5.85;9.88;13.9;0.0;10.432;1.48;60.51
1980-02-02;8.47;11.57;14.66;0.98;7.117;2.04;63.37
1980-02-03;7.54;9.28;11.01;2.92;5.081;2.19;75.42
1980-02-04;7.44;10.12;12.8;3.81;2.923;2.82;71.66
1980-02-05;8.24;10.33;12.42;0.0;4.366;1.78;74.01
1980-02-06;6.8;10.57;14.34;0.0;6.997;0.71;57.61
1980-02-07;6.07;10.24;14.41;0.0;11.26;1.39;53.3
1980-02-08;7.23;9.45;11.67;0.0;4.293;2.4;83.31
1980-02-09;8.23;11.21;14.2;0.0;7.271;1.81;69.4
1980-02-10;8.13;11.23;14.34;0.81;7.257;2.75;56.98
1980-02-11;7.53;10.14;12.75;1.4;12.372;4.8;40.66
1980-02-12;6.14;10.4;14.67;0.0;12.376;2.47;37.57
1980-02-13;8.01;12.05;16.09;0.0;10.367;3.91;39.56
1980-02-14;7.65;10.38;13.12;0.0;12.222;4.75;35.68
1980-02-15;7.53;10.96;14.39;0.0;8.271;3.86;46.89
1980-02-16;9.4;12.31;15.22;0.42;6.475;2.0;63.13
1980-02-17;7.48;10.98;14.49;2.19;7.718;3.34;55.34
1980-02-18;7.51;8.89;10.28;2.32;3.419;1.51;78.05
1980-02-19;7.45;9.39;11.34;1.58;4.742;0.29;73.38
1980-02-20;4.62;6.35;8.08;7.24;3.617;3.71;75.7
1980-02-21;4.4;7.14;9.88;0.0;9.26;4.6;42.36
1980-02-22;3.27;6.92;10.58;0.0;12.055;3.2;42.44
1980-02-23;6.4;10.23;14.06;0.0;14.391;2.98;31.56
1980-02-24;6.8;8.14;9.49;7.54;5.974;4.07;76.44
1980-02-25;6.02;8.27;10.53;0.0;14.11;4.96;51.31
1980-02-26;4.67;8.63;12.59;0.0;12.856;3.8;47.22
1980-02-27;7.11;9.96;12.8;0.0;11.525;4.36;49.61
1980-02-28;6.02;11.27;16.51;0.0;14.899;1.12;37.91
1980-02-29;6.22;11.7;17.17;0.0;15.192;0.89;42.6
1980-03-01;6.29;9.35;12.4;0.0;8.652;3.25;63.7
1980-03-02;8.91;11.38;13.84;4.03;7.256;4.98;69.91
1980-03-03;5.18;8.58;11.98;1.58;8.0;0.88;49.56
1980-03-04;3.92;8.66;13.4;0.6;15.165;1.83;42.45
1980-03-05;5.79;10.57;15.36;0.0;8.777;2.68;44.15
1980-03-06;5.66;9.14;12.62;7.87;6.916;2.52;68.02
1980-03-07;7.21;8.61;10.01;6.21;3.716;3.1;80.81
1980-03-08;8.55;11.02;13.48;0.0;9.644;6.04;62.74
1980-03-09;8.48;11.9;15.32;0.0;12.842;4.75;51.87
1980-03-10;7.33;11.5;15.66;0.0;16.222;3.3;52.34
1980-03-11;6.42;9.47;12.52;5.67;6.075;2.17;58.55
1980-03-12;5.82;7.74;9.65;2.49;5.078;5.36;72.26
1980-03-13;5.22;8.04;10.85;0.0;16.19;4.82;36.46
1980-03-14;4.49;8.3;12.12;1.31;11.579;1.94;51.56
1980-03-15;9.1;10.29;11.47;12.34;3.831;4.03;86.16
1980-03-16;9.22;10.99;12.76;5.42;4.764;1.15;78.96
1980-03-17;9.1;10.54;11.98;1.27;5.004;2.51;79.04
1980-03-18;8.39;11.39;14.39;0.0;8.53;3.23;54.58
1980-03-19;6.93;12.39;17.85;0.0;19.085;2.3;29.94
1980-03-20;8.19;10.43;12.68;0.0;4.793;3.01;58.25
1980-03-21;6.65;10.53;14.41;1.86;18.325;2.29;47.66
1980-03-22;6.33;10.29;14.25;0.9;11.7;2.88;43.17
1980-03-23;8.26;13.2;18.14;0.0;18.32;3.15;35.45
1980-03-24;7.36;13.32;19.28;0.0;16.943;2.65;38.98
1980-03-25;11.4;14.08;16.76;0.0;6.775;3.12;53.06
1980-03-26;11.39;14.17;16.94;0.0;10.719;3.69;61.03
1980-03-27;9.03;12.11;15.2;0.0;8.838;2.51;49.27
1980-03-28;8.49;12.98;17.47;0.0;19.127;2.73;38.57
1980-03-29;8.47;11.85;15.22;0.0;13.517;3.36;44.55
1980-03-30;8.42;13.32;18.23;0.0;20.061;1.67;36.9
1980-03-31;6.3;11.83;17.35;0.0;20.354;1.32;43.03
1980-04-01;8.92;12.38;15.84;5.44;12.914;4.61;54.91
1980-04-02;10.22;11.04;11.86;12.35;4.64;4.11;80.94
1980-04-03;10.05;12.57;15.1;16.33;13.478;3.7;54.51
1980-04-04;9.65;13.63;17.6;3.36;17.634;1.65;45.56
1980-04-05;9.18;12.66;16.14;0.0;14.231;1.57;52.79
1980-04-06;8.88;12.59;16.29;0.0;14.491;2.34;49.68
1980-04-07;9.5;14.28;19.06;0.0;20.879;2.42;32.43
1980-04-08;9.19;14.25;19.31;0.0;17.309;2.19;38.32
1980-04-09;9.76;13.64;17.52;0.0;17.796;1.69;44.07
1980-04-10;9.91;12.54;15.17;3.4;11.396;3.29;57.03
1980-04-11;9.27;12.77;16.26;0.0;18.847;4.25;43.47
1980-04-12;9.41;14.29;19.16;0.0;21.659;4.03;33.54
1980-04-13;9.18;13.97;18.76;0.0;22.436;3.37;27.01
1980-04-14;11.57;15.73;19.89;0.0;22.327;2.52;33.5
1980-04-15;12.0;16.52;21.03;0.0;22.442;3.37;36.43
1980-04-16;11.55;16.62;21.69;0.0;22.592;1.56;36.55
1980-04-17;10.39;16.52;22.66;0.0;22.54;1.38;39.9
1980-04-18;10.99;16.18;21.37;0.0;22.678;2.34;43.43
1980-04-19;11.27;12.79;14.3;1.58;8.235;1.98;62.83
1980-04-20;10.48;14.79;19.11;0.54;22.026;0.98;47.81
1980-04-21;10.41;15.71;21.0;0.0;22.613;2.38;42.19
1980-04-22;11.17;16.05;20.93;0.0;23.637;2.72;37.44
1980-04-23;12.86;17.41;21.95;0.0;23.1;3.03;40.38
1980-04-24;12.13;16.73;21.33;0.0;24.068;1.47;36.03
1980-04-25;10.27;15.78;21.29;0.0;24.245;1.08;29.13
1980-04-26;9.55;15.8;22.05;0.0;24.182;0.94;29.01
1980-04-27;11.5;13.68;15.87;3.6;7.145;3.42;50.59
