iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;13.8;20.13;26.47;0.0;14.328;4.02;12.67
1980-01-02;11.32;16.17;21.02;0.0;15.862;4.2;18.46
1980-01-03;8.37;14.91;21.44;0.0;14.595;3.21;21.01
1980-01-04;8.46;14.91;21.35;0.0;13.259;2.94;27.94
1980-01-05;9.37;14.82;20.28;0.0;13.519;3.81;23.24
1980-01-06;8.95;14.37;19.79;0.0;13.981;3.64;18.95
1980-01-07;8.81;13.59;18.38;0.0;14.51;4.32;16.2
1980-01-08;7.55;12.3;17.06;0.0;14.473;4.27;22.12
1980-01-09;6.51;12.04;17.56;0.0;14.213;3.99;23.55
1980-01-10;5.51;11.68;17.86;0.0;14.236;4.07;23.38
1980-01-11;6.13;11.96;17.78;0.0;14.792;4.13;18.32
1980-01-12;5.31;11.5;17.7;0.0;15.257;3.71;19.5
1980-01-13;4.55;12.89;21.24;0.0;16.778;3.64;14.27
1980-01-14;4.89;14.17;23.44;0.0;14.91;1.86;13.53
1980-01-15;4.98;14.72;24.47;0.0;14.774;1.53;15.02
1980-01-16;7.4;16.61;25.83;0.0;14.097;2.63;18.59
1980-01-17;9.26;17.09;24.93;0.0;15.463;3.14;10.14
1980-01-18;8.96;15.87;22.78;0.0;15.244;3.15;12.63
1980-01-19;7.4;15.77;24.13;0.0;15.186;2.04;19.17
1980-01-20;7.25;16.49;25.74;0.0;15.657;2.26;12.88
1980-01-21;7.58;16.28;24.98;0.0;15.403;3.21;11.41
1980-01-22;7.21;15.2;23.19;0.0;15.67;3.56;16.64
1980-01-23;8.77;16.42;24.07;0.0;15.454;3.49;25.0
1980-01-24;9.55;16.32;23.09;0.0;15.858;3.71;23.66
1980-01-25;11.08;16.18;21.27;0.0;15.69;4.24;25.72
1980-01-26;11.37;16.1;20.83;0.0;15.887;3.93;32.09
1980-01-27;7.39;14.94;22.49;0.0;18.495;2.52;19.26
1980-01-28;6.67;15.31;23.95;0.0;17.648;1.92;13.92
1980-01-29;7.47;16.25;25.04;0.0;17.463;2.84;13.79
1980-01-30;12.73;17.83;22.93;0.0;17.406;4.82;15.89
1980-01-31;10.5;15.64;20.79;0.0;17.526;4.77;12.93
1980-02-01;8.03;15.43;22.83;0.0;16.368;3.61;19.4
1980-02-02;7.99;15.91;23.82;0.0;16.834;3.63;14.83
1980-02-03;10.32;16.77;23.22;0.0;18.758;4.7;10.68
1980-02-04;10.19;14.43;18.67;0.0;19.06;5.6;17.9
1980-02-05;7.73;12.34;16.94;0.0;19.862;4.53;16.91
1980-02-06;5.4;12.03;18.66;0.0;18.316;2.13;18.26
1980-02-07;4.5;13.04;21.59;0.0;19.629;1.26;14.38
1980-02-08;5.07;14.0;22.93;0.0;17.726;1.88;11.48
1980-02-09;5.09;14.11;23.13;0.0;19.655;2.02;11.53
1980-02-10;6.31;15.12;23.93;0.0;19.481;0.69;13.56
1980-02-11;7.63;16.8;25.96;0.0;19.979;0.95;9.66
1980-02-12;8.68;18.02;27.35;0.0;19.401;0.86;8.82
1980-02-13;10.97;20.71;30.45;0.0;20.034;1.43;7.48
1980-02-14;13.02;23.0;32.98;0.0;18.145;3.17;5.21
1980-02-15;11.97;19.82;27.67;0.0;18.431;4.21;8.8
1980-02-16;12.42;17.77;23.12;0.0;19.067;4.64;5.12
1980-02-17;9.12;16.75;24.38;0.0;19.126;3.17;10.99
1980-02-18;8.07;17.48;26.89;0.0;21.197;1.79;8.16
1980-02-19;9.74;19.05;28.37;0.0;18.802;1.83;9.04
1980-02-20;10.7;18.37;26.04;0.0;19.488;3.59;7.36
1980-02-21;10.88;17.55;24.21;0.0;19.517;3.66;9.98
1980-02-22;8.69;16.72;24.75;0.0;20.589;2.93;11.44
1980-02-23;8.82;17.81;26.81;0.0;20.985;2.18;10.09
1980-02-24;11.88;21.45;31.01;0.0;21.427;2.58;7.24
1980-02-25;14.22;24.45;34.69;0.0;21.895;3.31;4.08
1980-02-26;15.29;25.57;35.84;0.0;20.649;3.66;4.37
1980-02-27;17.5;27.32;37.14;0.0;20.681;3.84;5.74
1980-02-28;20.12;29.48;38.83;0.0;21.281;4.76;8.06
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;20.83;30.68;40.54;0.0;20.772;4.68;7.86
1980-03-02;17.65;26.95;36.24;0.0;22.031;3.19;3.47
1980-03-03;18.68;24.63;30.58;0.0;21.736;4.41;5.12
1980-03-04;14.99;20.38;25.76;0.0;20.606;4.27;12.93
1980-03-05;11.13;16.48;21.82;0.0;21.076;3.79;12.18
1980-03-06;7.47;15.83;24.2;0.0;23.071;2.38;9.43
1980-03-07;11.69;20.02;28.36;0.0;22.219;2.11;8.52
1980-03-08;17.31;26.35;35.39;0.0;22.843;4.21;5.9
1980-03-09;16.83;25.24;33.65;0.0;22.439;3.3;5.01
1980-03-10;17.57;25.52;33.47;0.0;21.808;3.35;9.57
1980-03-11;20.1;28.11;36.12;0.0;22.552;4.35;6.73
1980-03-12;21.56;29.24;36.93;0.0;22.023;4.47;3.44
1980-03-13;21.12;29.16;37.19;0.0;21.621;4.94;3.65
1980-03-14;20.65;28.52;36.38;0.0;21.813;4.86;8.05
1980-03-15;19.88;27.62;35.36;0.0;22.23;4.92;9.19
1980-03-16;19.35;26.84;34.33;0.0;21.804;4.95;7.55
1980-03-17;19.7;27.08;34.46;0.0;22.727;4.66;7.02
1980-03-18;19.26;26.7;34.15;0.0;23.884;3.95;7.97
1980-03-19;19.28;26.58;33.88;0.0;24.385;3.96;9.52
1980-03-20;19.87;28.02;36.16;0.0;23.845;4.52;7.44
1980-03-21;22.16;27.66;33.17;0.89;5.284;2.38;17.46
1980-03-22;20.47;26.91;33.36;0.56;10.67;2.2;40.23
1980-03-23;20.62;25.63;30.65;0.0;22.657;4.01;100.0
1980-03-24;19.82;24.01;28.2;0.0;23.776;4.27;100.0
1980-03-25;18.28;25.07;31.86;0.0;21.337;3.06;100.0
1980-03-26;18.27;25.55;32.83;0.0;21.441;2.49;36.95
1980-03-27;17.35;25.1;32.84;0.0;22.655;2.88;16.85
1980-03-28;17.78;24.8;31.83;0.0;23.254;3.18;11.15
1980-03-29;14.98;23.81;32.64;0.0;23.538;2.49;7.65
1980-03-30;14.68;24.21;33.75;0.0;23.681;1.55;5.74
1980-03-31;18.79;28.19;37.59;0.0;23.651;3.55;5.01
1980-04-01;17.63;27.86;38.09;0.0;23.225;3.06;5.22
1980-04-02;23.75;29.64;35.52;0.0;12.905;4.09;10.91
1980-04-03;19.69;25.66;31.63;0.0;25.507;4.55;7.74
1980-04-04;16.61;23.24;29.87;0.0;24.812;3.31;8.16
1980-04-05;13.01;21.94;30.87;0.0;25.432;1.66;6.81
1980-04-06;12.35;22.39;32.43;0.0;25.391;2.02;4.96
1980-04-07;13.08;22.95;32.82;0.0;25.026;1.83;5.57
1980-04-08;13.12;24.36;35.61;0.0;25.699;0.11;6.75
1980-04-09;14.93;26.72;38.51;0.0;27.636;0.95;3.47
1980-04-10;17.75;28.39;39.04;0.0;25.075;2.83;5.35
1980-04-11;19.95;30.12;40.29;0.0;25.567;4.08;6.46
1980-04-12;22.43;30.79;39.14;0.0;24.505;3.93;8.38
1980-04-13;21.7;28.03;34.37;0.0;25.459;4.35;4.24
1980-04-14;17.92;25.6;33.27;0.0;25.922;3.55;5.06
1980-04-15;17.17;24.68;32.18;0.0;25.544;3.59;7.32
1980-04-16;16.52;23.99;31.46;0.0;27.428;3.2;8.91
1980-04-17;14.4;23.65;32.91;0.0;26.56;1.91;6.44
1980-04-18;16.12;26.07;36.02;0.0;27.247;1.8;6.45
1980-04-19;21.78;31.21;40.63;0.0;23.597;3.34;8.86
1980-04-20;23.69;31.66;39.63;0.32;21.931;2.06;13.04
1980-04-21;20.86;30.01;39.16;0.0;26.794;4.04;5.56
1980-04-22;19.27;28.1;36.94;0.0;27.052;1.52;6.28
1980-04-23;22.13;32.02;41.91;0.0;23.208;5.74;6.6
1980-04-24;19.92;25.62;31.32;0.0;27.556;4.69;5.87
1980-04-25;16.4;23.5;30.6;0.0;26.276;2.78;7.95
1980-04-26;16.78;24.82;32.87;0.0;26.312;1.79;8.67
1980-04-27;19.2;28.27;37.33;0.0;26.379;3.3;5.83
1980-04-28;18.31;28.74;39.17;0.0;26.283;1.98;4.7
1980-04-29;21.01;29.98;38.96;0.0;25.525;2.57;6.69
1980-04-30;20.79;29.54;38.29;0.0;26.121;3.03;6.1
1980-05-01;19.47;27.82;36.17;0.0;26.583;2.63;6.52
1980-05-02;18.89;28.27;37.66;0.0;28.342;1.79;4.61
1980-05-03;20.39;30.05;39.7;0.0;26.755;2.76;3.66
1980-05-04;21.86;31.61;41.35;0.0;28.439;2.88;3.69
1980-05-05;22.44;31.55;40.65;0.0;27.307;3.74;6.29
1980-05-06;22.34;30.6;38.87;0.14;25.555;3.15;11.99
1980-05-07;23.11;30.3;37.5;0.0;25.307;3.23;12.04
1980-05-08;23.08;30.48;37.88;0.0;25.006;2.93;10.79
1980-05-09;23.34;30.34;37.34;0.0;25.539;2.43;10.22
1980-05-10;23.16;29.4;35.63;0.7;23.328;3.59;13.2
1980-05-11;21.81;29.58;37.35;0.0;26.91;1.94;13.58
1980-05-12;24.61;32.59;40.58;0.0;26.385;3.16;8.4
1980-05-13;26.06;33.97;41.88;0.0;26.029;3.17;6.41
1980-05-14;25.3;33.94;42.58;0.0;26.285;3.39;6.17
1980-05-15;26.69;34.85;43.01;0.0;26.525;4.03;5.35
1980-05-16;27.57;35.98;44.4;0.0;28.16;4.07;4.48
