iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-16.41;-12.99;-9.57;0.0;3.2;1.37;59.22
1980-01-02;-11.56;-6.61;-1.65;0.85;5.198;3.97;44.66
1980-01-03;-2.96;-0.64;1.68;5.15;1.882;7.4;84.46
1980-01-04;-6.24;-2.32;1.6;6.49;1.382;4.49;84.99
1980-01-05;-7.91;-4.56;-1.21;0.61;3.269;2.7;62.48
1980-01-06;-7.18;-3.5;0.17;5.73;2.102;0.7;76.77
1980-01-07;-2.18;0.41;2.99;12.23;1.152;3.88;77.31
1980-01-08;-13.13;-5.8;1.53;1.33;5.555;2.84;47.33
1980-01-09;-14.05;-8.25;-2.44;0.0;4.313;1.53;45.59
1980-01-10;-5.83;-1.87;2.09;1.98;3.597;3.31;50.45
1980-01-11;1.16;2.26;3.36;3.19;1.621;5.15;89.88
1980-01-12;2.07;3.26;4.45;0.0;3.552;4.32;87.47
1980-01-13;3.62;5.28;6.94;0.75;3.084;4.33;76.39
1980-01-14;2.44;4.26;6.09;2.53;1.718;2.01;80.92
1980-01-15;-2.41;0.52;3.45;1.63;2.139;3.46;60.41
1980-01-16;-3.62;-1.54;0.53;0.0;3.094;1.6;55.32
1980-01-17;-3.98;-1.48;1.02;0.0;3.739;1.21;68.38
1980-01-18;-4.82;-1.72;1.38;0.0;4.938;1.53;59.55
1980-01-19;-3.23;-0.56;2.11;0.0;4.767;1.94;69.09
1980-01-20;-2.59;-0.22;2.14;0.0;3.792;0.34;78.3
1980-01-21;-1.62;0.61;2.84;1.04;2.392;1.41;79.04
1980-01-22;-3.56;-1.25;1.05;0.0;4.805;1.92;77.44
1980-01-23;-4.03;-0.94;2.16;3.99;5.374;4.02;63.23
1980-01-24;-1.78;0.23;2.25;1.35;4.021;4.81;75.31
1980-01-25;-0.21;1.2;2.6;0.65;2.91;2.28;83.09
1980-01-26;0.34;1.4;2.46;1.07;2.368;1.34;87.1
1980-01-27;-1.11;0.72;2.56;2.85;4.539;4.05;81.2
1980-01-28;-3.17;-0.38;2.42;0.0;4.775;2.75;79.59
1980-01-29;-5.59;-2.47;0.65;1.0;4.044;3.44;62.39
1980-01-30;-5.96;-3.88;-1.81;0.0;5.753;4.62;53.59
1980-01-31;-9.24;-4.86;-0.47;3.54;6.262;3.61;54.01
1980-02-01;-8.26;-4.55;-0.84;0.0;6.135;1.51;76.21
1980-02-02;-9.54;-5.8;-2.06;2.91;5.139;6.37;61.65
1980-02-03;-9.96;-7.89;-5.82;0.0;7.336;4.1;70.65
1980-02-04;-12.79;-8.9;-5.02;3.89;7.361;3.12;58.05
1980-02-05;-9.28;-4.29;0.69;7.93;2.236;7.08;65.6
1980-02-06;-15.89;-11.87;-7.85;0.0;7.295;3.73;47.77
1980-02-07;-14.0;-8.42;-2.84;1.25;7.931;4.45;36.49
1980-02-08;-9.53;-4.72;0.08;0.0;4.111;5.34;71.51
1980-02-09;-11.64;-6.06;-0.48;0.0;6.906;2.71;59.26
1980-02-10;-10.26;-5.43;-0.6;0.0;5.543;2.5;71.17
1980-02-11;-11.89;-6.21;-0.54;1.0;5.234;3.22;58.08
1980-02-12;-6.9;-5.3;-3.7;2.46;5.335;4.71;76.68
1980-02-13;-14.38;-10.86;-7.34;0.0;7.111;4.12;63.78
1980-02-14;-16.82;-14.18;-11.53;0.0;8.046;5.1;67.06
1980-02-15;-18.69;-16.35;-14.01;0.0;8.374;5.37;70.53
1980-02-16;-20.15;-17.97;-15.79;0.0;7.693;5.24;75.56
1980-02-17;-22.01;-19.54;-17.07;0.0;8.533;4.78;75.77
1980-02-18;-24.8;-22.12;-19.43;0.0;9.105;4.08;80.77
1980-02-19;-26.92;-22.87;-18.82;0.0;9.293;3.28;62.64
1980-02-20;-21.3;-13.53;-5.75;0.0;10.853;6.91;40.46
1980-02-21;-5.11;-3.03;-0.95;7.37;4.021;7.14;75.51
1980-02-22;-6.52;-4.14;-1.77;0.7;8.656;3.2;78.5
1980-02-23;-6.23;-4.11;-1.99;0.0;9.156;1.57;79.93
1980-02-24;-5.05;-3.38;-1.7;0.0;8.952;3.19;80.61
1980-02-25;-7.14;-5.34;-3.54;0.0;9.274;5.98;63.73
1980-02-26;-8.13;-5.97;-3.81;0.0;9.348;7.84;52.55
1980-02-27;-8.57;-6.13;-3.7;0.0;10.324;7.93;54.04
1980-02-28;-8.76;-6.25;-3.74;2.14;10.798;8.0;65.42
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-10.94;-7.62;-4.3;1.45;6.343;6.08;68.43
1980-03-02;-15.26;-12.47;-9.69;0.0;11.09;3.31;72.68
1980-03-03;-20.89;-16.19;-11.49;0.0;11.17;1.85;68.98
1980-03-04;-21.17;-16.94;-12.7;0.0;11.305;2.27;67.44
1980-03-05;-24.51;-20.13;-15.74;0.0;12.674;2.72;70.84
1980-03-06;-24.17;-19.67;-15.17;0.0;12.806;3.4;56.07
1980-03-07;-21.61;-17.36;-13.12;0.0;13.498;4.24;56.93
1980-03-08;-15.9;-11.99;-8.08;0.0;15.129;4.93;63.5
1980-03-09;-20.62;-15.47;-10.32;0.0;15.927;4.46;66.18
1980-03-10;-22.6;-16.8;-10.99;0.0;12.747;2.6;56.07
1980-03-11;-13.98;-10.77;-7.56;0.0;12.144;2.8;71.59
1980-03-12;-11.34;-6.5;-1.67;1.08;11.048;3.11;64.09
1980-03-13;-10.96;-6.29;-1.61;1.1;15.297;1.82;72.45
1980-03-14;-5.02;-3.35;-1.68;0.99;7.086;5.2;79.57
1980-03-15;-10.58;-7.26;-3.94;0.0;9.468;7.36;68.81
1980-03-16;-15.37;-11.98;-8.6;0.0;15.391;5.6;55.08
1980-03-17;-18.23;-11.51;-4.79;0.0;16.775;2.57;39.08
1980-03-18;-4.4;-2.52;-0.63;0.0;14.249;4.83;79.82
1980-03-19;-1.27;-0.22;0.84;0.0;13.356;3.88;83.06
1980-03-20;-1.65;1.03;3.7;0.0;7.17;4.2;75.98
1980-03-21;-5.01;-2.07;0.87;0.0;14.321;4.21;57.03
1980-03-22;-6.55;-3.78;-1.01;0.0;16.392;2.99;28.96
1980-03-23;-2.21;-0.18;1.84;3.97;7.798;5.03;72.74
1980-03-24;0.71;4.19;7.67;0.0;10.349;2.76;64.82
1980-03-25;1.38;6.33;11.29;3.14;7.693;3.82;66.67
1980-03-26;-0.41;2.25;4.91;3.34;7.284;2.7;75.73
1980-03-27;-1.21;2.15;5.5;0.0;9.564;1.17;61.2
1980-03-28;-1.7;2.43;6.56;0.0;8.373;1.02;56.71
1980-03-29;0.77;6.89;13.02;3.79;6.181;4.46;58.32
1980-03-30;-0.71;3.64;7.99;0.0;8.632;4.03;62.51
1980-03-31;-1.44;1.45;4.33;0.0;14.627;2.69;39.05
1980-04-01;-1.28;3.01;7.31;8.62;10.959;2.55;62.37
1980-04-02;-1.56;2.05;5.66;0.0;16.925;2.19;34.14
1980-04-03;-1.45;2.5;6.45;2.91;17.153;1.56;39.26
1980-04-04;1.68;5.57;9.46;5.87;6.653;3.59;69.62
1980-04-05;-0.46;3.21;6.87;0.0;17.182;2.75;35.48
1980-04-06;-1.15;4.31;9.78;0.0;17.412;1.68;30.95
1980-04-07;0.28;7.35;14.42;0.0;16.295;1.76;41.51
1980-04-08;4.12;9.12;14.11;0.0;7.096;2.69;51.62
1980-04-09;3.55;10.88;18.2;0.0;17.76;3.23;46.36
1980-04-10;7.04;12.09;17.14;0.0;11.325;3.27;55.54
1980-04-11;4.22;9.35;14.48;4.36;6.014;2.4;67.41
1980-04-12;2.52;9.13;15.73;0.0;15.094;1.71;36.86
1980-04-13;2.13;7.41;12.69;0.0;18.903;1.05;41.23
1980-04-14;5.09;11.08;17.07;0.0;17.252;4.86;35.8
1980-04-15;8.6;14.09;19.59;0.0;19.619;5.1;36.59
1980-04-16;7.24;13.7;20.16;0.0;19.589;3.6;29.33
1980-04-17;5.74;12.95;20.16;0.0;20.219;2.9;30.61
1980-04-18;5.01;12.16;19.31;0.0;19.266;1.83;37.32
1980-04-19;4.27;11.05;17.84;0.0;8.338;1.83;45.57
1980-04-20;6.35;12.85;19.35;0.0;19.614;3.32;43.91
1980-04-21;9.31;12.48;15.65;1.97;7.658;4.29;68.45
1980-04-22;9.38;13.96;18.55;0.96;19.176;4.86;46.6
1980-04-23;7.8;14.17;20.54;6.75;17.694;2.7;49.84
1980-04-24;10.49;15.91;21.34;1.3;12.994;4.59;51.76
1980-04-25;7.61;10.94;14.26;0.0;11.257;4.33;62.08
1980-04-26;5.07;9.94;14.81;0.0;17.561;2.4;42.55
1980-04-27;2.97;9.65;16.34;0.0;23.839;1.14;31.91
1980-04-28;2.75;10.34;17.93;0.0;25.045;2.09;32.98
1980-04-29;7.84;9.86;11.87;1.54;3.618;2.26;75.74
1980-04-30;7.87;12.08;16.29;0.0;9.362;1.22;70.65
1980-05-01;6.95;15.55;24.15;0.0;24.006;3.48;38.14
1980-05-02;10.8;17.83;24.85;0.0;25.276;3.64;39.58
1980-05-03;9.21;16.59;23.97;0.0;22.626;3.47;43.82
1980-05-04;8.46;11.86;15.25;0.86;8.558;5.91;52.55
1980-05-05;7.59;9.96;12.32;0.0;7.453;4.44;48.68
1980-05-06;6.81;9.42;12.03;0.0;11.475;3.24;56.73
1980-05-07;8.63;13.3;17.97;0.0;11.746;1.99;65.17
1980-05-08;10.12;15.1;20.08;0.0;13.212;1.8;66.06
1980-05-09;11.69;16.05;20.41;0.0;27.571;4.48;39.8
1980-05-10;11.59;15.23;18.87;0.0;10.058;5.06;55.07
1980-05-11;13.17;16.17;19.17;1.99;7.847;3.77;70.26
1980-05-12;13.8;16.56;19.33;4.12;8.094;4.23;74.49
1980-05-13;8.66;14.63;20.61;0.0;19.37;3.43;43.97
1980-05-14;4.9;11.9;18.9;0.0;29.047;1.81;26.2
1980-05-15;3.17;12.2;21.23;0.0;27.171;0.23;26.3
1980-05-16;5.1;13.4;21.7;0.0;19.94;0.64;30.47
1980-05-17;8.57;15.53;22.48;0.0;21.142;2.02;36.99
1980-05-18;10.76;16.45;22.13;3.9;10.924;2.03;50.97
1980-05-19;11.79;17.73;23.68;5.94;15.397;1.65;53.14
1980-05-20;11.14;18.05;24.97;0.0;26.577;2.4;41.35
1980-05-21;13.52;19.52;25.51;0.0;26.928;4.27;37.14
