iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;16.77;24.19;31.61;0.0;12.95;4.01;20.44
1980-01-02;11.04;17.46;23.89;0.0;15.611;4.4;4.97
1980-01-03;8.44;16.11;23.79;0.0;15.741;3.71;9.24
1980-01-04;8.57;16.53;24.49;0.0;15.941;3.23;15.87
1980-01-05;7.51;16.29;25.07;0.0;15.589;2.43;14.81
1980-01-06;9.96;18.12;26.27;0.0;14.821;2.27;17.84
1980-01-07;11.69;19.39;27.09;0.0;15.348;2.55;18.22
1980-01-08;10.38;18.67;26.96;0.0;16.013;2.44;13.88
1980-01-09;10.51;19.14;27.78;0.0;15.09;2.29;9.4
1980-01-10;11.94;20.21;28.48;0.0;14.824;1.67;12.05
1980-01-11;12.27;20.65;29.03;0.0;14.239;0.91;13.53
1980-01-12;13.12;20.55;27.99;0.0;15.909;2.2;19.47
1980-01-13;13.31;20.12;26.92;0.0;6.12;4.45;24.36
1980-01-14;8.12;13.72;19.33;0.0;16.35;4.26;16.78
1980-01-15;6.47;14.09;21.71;0.0;15.965;3.1;17.04
1980-01-16;10.64;18.78;26.92;0.0;17.403;3.2;14.36
1980-01-17;12.2;20.15;28.1;0.0;15.419;2.83;14.5
1980-01-18;11.81;20.2;28.59;0.0;17.388;2.9;12.72
1980-01-19;13.14;19.04;24.93;0.0;16.094;4.4;18.01
1980-01-20;10.19;17.09;23.99;0.0;15.409;4.09;17.4
1980-01-21;10.61;17.63;24.65;0.0;15.231;3.82;19.13
1980-01-22;11.82;18.89;25.96;0.0;15.616;3.52;17.84
1980-01-23;10.99;19.25;27.51;0.0;15.29;2.76;21.04
1980-01-24;15.76;23.18;30.59;0.0;17.124;3.56;24.39
1980-01-25;17.07;24.09;31.12;0.0;18.052;3.8;23.14
1980-01-26;15.53;22.55;29.58;0.0;15.828;3.64;20.06
1980-01-27;12.76;20.6;28.44;0.0;16.152;2.91;13.08
1980-01-28;12.43;20.39;28.35;0.0;16.504;2.91;9.84
1980-01-29;11.93;20.08;28.23;0.0;16.114;3.23;9.97
1980-01-30;13.06;19.64;26.23;0.0;15.609;3.99;16.85
1980-01-31;10.48;17.71;24.95;0.0;16.235;3.29;18.76
1980-02-01;8.55;17.08;25.6;0.0;17.542;2.5;17.31
1980-02-02;9.38;17.88;26.38;0.0;19.303;1.37;14.77
1980-02-03;9.9;18.48;27.05;0.0;16.532;0.79;12.99
1980-02-04;11.16;18.95;26.74;0.0;16.371;1.83;14.75
1980-02-05;11.63;19.84;28.04;0.0;18.686;2.43;15.21
1980-02-06;13.77;19.81;25.86;0.0;18.447;3.88;18.29
1980-02-07;10.05;16.78;23.51;0.0;17.977;4.57;12.31
1980-02-08;6.47;11.92;17.38;0.0;19.278;4.64;15.21
1980-02-09;4.28;11.21;18.14;0.0;19.088;3.29;14.88
1980-02-10;3.52;11.11;18.7;0.0;18.781;3.15;17.14
1980-02-11;6.52;12.71;18.91;0.0;18.094;4.04;18.9
1980-02-12;5.56;12.12;18.67;0.0;19.317;4.11;12.77
1980-02-13;4.7;11.65;18.6;0.0;19.635;3.76;13.27
1980-02-14;5.26;12.98;20.71;0.0;18.147;3.4;13.41
1980-02-15;6.96;15.3;23.64;0.0;18.929;2.24;16.09
1980-02-16;9.43;17.41;25.39;0.0;16.509;2.72;18.03
1980-02-17;11.0;18.59;26.18;0.0;16.953;2.71;18.19
1980-02-18;10.69;18.23;25.78;0.0;17.792;2.65;17.23
1980-02-19;9.78;18.13;26.48;0.0;19.371;0.36;13.28
1980-02-20;10.44;19.32;28.2;0.0;18.851;3.5;8.85
1980-02-21;11.67;18.41;25.15;0.0;19.999;4.03;10.67
1980-02-22;10.32;17.68;25.04;0.0;18.425;4.02;13.96
1980-02-23;12.83;20.41;27.98;0.0;18.365;4.4;12.76
1980-02-24;13.65;21.45;29.24;0.0;18.06;4.48;12.53
1980-02-25;12.83;21.31;29.79;0.0;16.777;3.29;10.81
1980-02-26;13.01;21.11;29.22;0.0;17.644;3.72;10.5
