iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.36;7.08;10.81;3.0;1.227;6.71;65.46
1980-01-02;3.48;5.19;6.9;0.0;3.703;5.96;57.43
1980-01-03;0.52;3.42;6.31;0.0;4.246;4.44;56.69
1980-01-04;3.42;7.24;11.05;0.18;5.086;5.79;53.7
1980-01-05;5.03;7.66;10.29;0.0;4.463;4.94;67.03
1980-01-06;5.95;8.76;11.57;0.0;4.877;4.96;55.59
1980-01-07;4.68;7.58;10.48;0.0;5.542;3.61;57.55
1980-01-08;4.69;7.35;10.01;0.0;3.928;3.35;65.97
1980-01-09;3.59;6.13;8.68;0.0;2.216;2.21;82.7
1980-01-10;1.76;5.02;8.29;0.0;4.553;1.73;84.5
1980-01-11;5.87;7.31;8.76;2.96;2.251;3.22;86.83
1980-01-12;8.78;9.8;10.82;1.1;1.736;5.09;88.38
1980-01-13;4.89;8.13;11.38;0.69;1.634;5.95;83.99
1980-01-14;-0.81;1.8;4.42;0.0;4.31;3.51;53.91
1980-01-15;-2.62;-0.33;1.96;0.0;4.689;1.86;69.86
1980-01-16;-2.61;-0.53;1.54;0.0;4.588;3.34;53.02
1980-01-17;0.52;5.71;10.9;0.43;2.777;4.2;74.07
1980-01-18;9.53;10.79;12.05;0.0;2.716;6.6;65.43
1980-01-19;8.99;10.03;11.07;0.0;1.636;5.85;78.72
1980-01-20;6.59;8.45;10.31;0.0;4.799;6.41;62.73
1980-01-21;1.37;4.39;7.41;6.04;2.549;5.9;78.62
1980-01-22;0.13;1.95;3.78;0.61;4.163;5.1;63.58
1980-01-23;-1.66;0.42;2.49;0.8;2.703;1.65;81.38
1980-01-24;-2.31;1.5;5.31;2.46;4.807;3.04;57.8
1980-01-25;2.09;4.77;7.45;4.35;2.803;6.02;69.51
1980-01-26;-0.38;1.79;3.96;0.52;2.841;4.48;72.56
1980-01-27;0.04;4.3;8.57;1.13;2.568;5.78;59.32
1980-01-28;4.7;5.88;7.05;0.0;3.669;6.84;57.97
1980-01-29;2.67;4.33;5.98;0.3;2.559;5.76;67.28
1980-01-30;1.03;3.83;6.64;0.0;3.103;3.25;66.85
1980-01-31;1.05;3.38;5.72;3.74;3.43;5.25;68.31
1980-02-01;2.25;3.75;5.24;2.31;2.249;6.22;69.33
1980-02-02;1.0;2.65;4.3;0.0;4.412;4.54;56.71
1980-02-03;1.09;5.43;9.77;1.18;2.861;5.41;53.73
1980-02-04;5.38;8.46;11.55;24.82;1.305;7.69;84.5
1980-02-05;5.88;8.06;10.25;2.2;4.503;4.82;64.66
1980-02-06;6.66;8.12;9.58;2.17;3.67;7.73;70.87
1980-02-07;1.92;4.36;6.8;0.93;4.37;7.19;57.56
1980-02-08;0.38;3.31;6.23;0.81;7.525;5.3;53.9
1980-02-09;2.08;4.95;7.81;0.0;4.92;4.78;71.1
1980-02-10;3.57;6.55;9.54;0.45;5.394;4.44;66.19
1980-02-11;1.08;5.04;9.0;0.0;6.766;4.35;50.97
1980-02-12;3.68;5.8;7.93;2.33;3.06;5.39;68.65
1980-02-13;2.09;3.87;5.65;1.11;4.767;4.52;75.01
1980-02-14;2.86;6.42;9.98;5.53;5.323;3.28;54.44
1980-02-15;9.28;10.96;12.65;5.99;2.532;6.73;83.18
1980-02-16;9.73;10.63;11.54;7.02;2.392;6.32;87.3
1980-02-17;9.29;10.96;12.64;0.0;3.802;3.39;80.22
1980-02-18;7.34;11.38;15.42;0.0;8.11;3.9;58.68
1980-02-19;4.99;9.26;13.53;0.0;8.722;3.95;57.38
1980-02-20;3.74;8.68;13.62;0.0;8.518;2.2;57.56
1980-02-21;1.73;7.34;12.95;0.0;9.431;1.93;56.67
1980-02-22;3.94;9.17;14.39;6.89;10.945;2.1;64.15
1980-02-23;4.53;8.12;11.7;7.44;6.693;3.46;74.78
1980-02-24;-1.19;2.11;5.41;3.12;10.379;5.91;53.77
1980-02-25;-1.37;1.2;3.77;0.0;11.019;3.88;43.76
1980-02-26;-0.36;3.61;7.59;3.59;5.742;4.29;50.63
1980-02-27;6.78;11.26;15.74;1.07;6.845;5.82;60.81
