iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-2.05;0.43;2.9;4.05;1.536;3.73;70.3
1980-01-02;-2.98;-0.83;1.32;0.0;3.887;3.39;56.17
1980-01-03;-0.12;2.31;4.73;7.47;0.915;2.21;76.44
1980-01-04;3.42;7.08;10.75;0.49;1.826;4.22;87.11
1980-01-05;7.41;10.21;13.0;1.03;2.1;4.47;87.53
1980-01-06;6.5;8.34;10.19;0.39;2.853;2.74;87.22
1980-01-07;8.51;11.05;13.59;0.11;2.627;5.07;87.76
1980-01-08;10.38;11.85;13.31;0.0;1.988;5.47;87.42
1980-01-09;9.44;11.78;14.12;3.1;1.012;5.13;88.51
1980-01-10;4.24;7.21;10.18;5.19;2.411;2.59;86.84
1980-01-11;6.96;9.43;11.9;3.89;2.044;3.92;88.51
1980-01-12;7.2;9.27;11.34;1.03;1.135;3.88;87.09
1980-01-13;6.37;9.01;11.64;1.88;1.834;3.99;87.12
1980-01-14;5.58;8.34;11.11;0.0;2.855;1.42;86.83
1980-01-15;5.44;7.45;9.45;2.78;0.382;2.69;86.64
1980-01-16;5.66;8.21;10.75;0.0;3.772;1.61;87.53
1980-01-17;3.38;6.89;10.41;0.0;2.307;4.82;86.46
1980-01-18;1.47;3.74;6.01;0.0;3.675;3.34;81.04
1980-01-19;-0.66;2.54;5.74;0.0;2.536;4.0;72.67
1980-01-20;-1.54;0.66;2.85;0.3;2.741;1.77;61.18
1980-01-21;-2.58;-0.63;1.33;0.79;2.729;3.52;59.97
1980-01-22;-3.02;-1.51;0.01;0.0;3.363;3.08;53.02
1980-01-23;-5.09;-2.57;-0.05;0.0;4.585;2.48;48.26
1980-01-24;-4.41;-1.69;1.03;0.37;3.911;2.61;60.44
1980-01-25;-4.48;-2.18;0.13;0.0;2.361;2.25;55.84
1980-01-26;-2.71;-0.77;1.17;0.0;3.624;3.02;60.0
1980-01-27;-1.29;0.28;1.85;2.16;2.922;3.28;67.82
1980-01-28;-1.64;-0.59;0.46;3.72;2.687;3.13;63.26
1980-01-29;-3.15;-0.93;1.29;0.44;4.326;3.58;61.15
1980-01-30;-2.49;0.85;4.2;3.03;3.831;2.95;73.58
1980-01-31;1.17;3.52;5.86;0.0;4.505;2.54;77.2
1980-02-01;0.7;2.45;4.2;3.72;2.323;4.24;55.86
1980-02-02;1.43;3.32;5.22;1.35;2.225;1.36;65.24
1980-02-03;2.47;5.33;8.19;0.0;5.505;1.45;72.18
1980-02-04;3.11;4.93;6.76;0.0;3.402;5.9;71.89
1980-02-05;1.07;2.78;4.49;0.0;3.659;3.23;52.77
1980-02-06;3.31;6.3;9.29;2.28;5.128;4.92;74.49
1980-02-07;4.89;7.23;9.57;6.13;3.639;4.6;79.17
1980-02-08;4.37;7.14;9.92;6.24;2.639;6.71;80.3
