iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-3.03;-1.19;0.65;0.0;2.441;3.71;75.22
1980-01-02;-3.09;-1.34;0.4;8.03;1.051;4.16;75.59
1980-01-03;-3.36;-0.97;1.42;0.0;1.964;2.86;76.48
1980-01-04;-3.71;0.57;4.85;5.07;2.438;2.98;75.2
1980-01-05;6.19;7.55;8.92;2.89;0.959;4.96;89.03
1980-01-06;6.02;7.49;8.96;6.87;1.895;6.37;88.01
1980-01-07;6.14;8.5;10.87;7.26;1.114;6.06;89.07
1980-01-08;7.8;8.65;9.51;24.71;1.273;3.51;84.11
1980-01-09;4.73;6.56;8.39;3.97;1.403;5.52;87.36
1980-01-10;1.92;3.73;5.55;3.03;1.242;5.26;84.77
1980-01-11;-1.79;1.02;3.84;4.41;2.663;3.06;79.77
1980-01-12;1.2;2.66;4.11;10.59;1.537;5.42;82.26
1980-01-13;-4.31;-1.65;1.01;0.0;2.834;2.69;68.71
1980-01-14;-6.26;-3.82;-1.39;0.0;3.537;0.4;68.75
1980-01-15;-4.62;-3.82;-3.02;0.0;2.864;3.55;63.01
1980-01-16;-4.74;-3.31;-1.89;0.0;2.279;2.92;66.03
1980-01-17;-6.13;-3.98;-1.82;0.0;2.503;2.08;67.95
1980-01-18;-5.75;-3.63;-1.51;0.0;2.964;2.8;70.13
1980-01-19;-6.12;-4.42;-2.72;0.0;2.436;2.51;61.69
1980-01-20;-4.65;-3.47;-2.29;0.4;2.633;4.06;66.57
1980-01-21;-2.68;-1.71;-0.73;0.96;1.973;4.28;71.79
1980-01-22;-4.34;-3.36;-2.38;0.0;2.957;3.0;69.23
1980-01-23;-3.67;-2.36;-1.05;0.92;2.072;3.97;69.98
1980-01-24;-4.03;-2.38;-0.72;0.44;2.39;2.82;71.33
1980-01-25;-2.99;-1.95;-0.91;0.32;3.815;2.79;74.0
1980-01-26;-3.11;-1.77;-0.43;0.0;3.726;3.29;72.19
1980-01-27;-3.48;-2.68;-1.88;0.0;4.4;6.59;66.98
1980-01-28;-3.26;-1.35;0.56;6.74;2.346;8.41;70.08
1980-01-29;0.87;2.8;4.73;1.32;2.405;5.52;83.43
1980-01-30;-0.78;2.63;6.04;0.0;2.743;2.29;84.36
1980-01-31;-1.09;1.48;4.06;1.21;2.159;5.46;80.42
1980-02-01;2.75;4.33;5.92;0.0;4.589;5.34;82.04
1980-02-02;2.26;4.55;6.85;0.0;4.931;5.52;77.03
1980-02-03;3.31;5.02;6.73;5.47;1.558;5.85;80.88
1980-02-04;3.46;5.74;8.02;0.0;4.679;5.33;78.64
1980-02-05;3.81;5.99;8.17;2.31;1.812;6.41;85.44
1980-02-06;2.55;4.73;6.91;0.0;3.23;5.7;72.52
1980-02-07;7.15;9.29;11.43;0.54;6.677;5.83;84.54
1980-02-08;5.78;8.13;10.48;1.59;4.485;4.14;85.97
1980-02-09;4.92;7.16;9.39;7.98;2.784;5.17;85.97
1980-02-10;2.71;5.02;7.33;2.31;6.575;5.29;81.26
1980-02-11;2.23;3.83;5.42;0.22;5.259;6.71;65.39
1980-02-12;2.12;5.08;8.04;13.13;3.561;6.66;73.23
1980-02-13;1.36;3.11;4.86;8.94;2.804;6.29;68.77
1980-02-14;1.56;4.08;6.61;1.84;4.424;5.14;75.45
1980-02-15;2.9;5.17;7.44;38.42;1.636;6.31;83.19
1980-02-16;0.89;3.57;6.25;3.94;4.0;8.5;66.0
1980-02-17;-1.32;1.36;4.05;3.78;2.295;2.52;67.41
1980-02-18;-2.7;0.14;2.98;0.0;6.289;3.03;61.91
1980-02-19;-5.04;-1.84;1.36;0.0;8.752;1.13;59.42
1980-02-20;-3.85;-1.41;1.03;0.0;7.204;2.43;55.92
1980-02-21;-3.16;-0.99;1.18;0.0;7.646;4.12;55.55
1980-02-22;-2.65;-0.11;2.43;5.85;2.838;4.19;61.96
1980-02-23;2.5;4.31;6.12;2.02;5.513;4.75;74.93
1980-02-24;0.56;3.33;6.11;3.81;3.888;5.61;76.65
1980-02-25;4.09;6.52;8.95;18.16;3.525;6.0;85.66
1980-02-26;4.18;5.85;7.52;7.32;8.344;5.82;76.73
1980-02-27;5.37;7.81;10.25;5.62;4.588;6.56;85.99
