iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.56;3.23;7.02;0.0;4.101;1.81;73.28
1980-01-02;-3.13;1.15;5.43;0.35;4.193;1.36;77.2
1980-01-03;-4.54;-0.59;3.36;0.0;4.695;1.39;75.8
1980-01-04;-4.29;-1.13;2.03;8.67;1.947;3.21;72.15
1980-01-05;-6.26;-2.87;0.52;0.0;8.202;2.4;33.37
1980-01-06;-7.41;-4.84;-2.27;0.0;6.382;1.62;33.59
1980-01-07;-8.34;-6.22;-4.11;0.0;4.326;1.79;56.48
1980-01-08;-7.93;-5.71;-3.48;0.0;5.086;0.94;65.51
1980-01-09;-7.83;-5.52;-3.2;0.0;5.682;2.2;60.4
1980-01-10;-8.8;-6.53;-4.26;0.0;8.086;1.88;40.73
1980-01-11;-12.69;-9.13;-5.58;0.0;8.192;2.28;36.46
1980-01-12;-12.42;-9.24;-6.06;0.0;5.327;1.71;34.38
1980-01-13;-8.86;-7.57;-6.29;0.0;4.031;2.13;35.73
1980-01-14;-13.8;-9.41;-5.02;0.0;8.484;1.27;23.64
1980-01-15;-13.54;-9.64;-5.74;0.0;5.503;2.21;31.93
1980-01-16;-10.34;-7.7;-5.06;0.0;6.524;2.85;44.29
1980-01-17;-14.1;-10.18;-6.26;0.24;5.268;1.39;54.49
1980-01-18;-15.34;-10.86;-6.38;0.0;8.661;0.95;40.12
1980-01-19;-13.87;-9.97;-6.07;0.0;5.63;0.52;48.34
1980-01-20;-13.5;-9.29;-5.09;0.0;8.426;0.96;52.44
1980-01-21;-9.5;-8.28;-7.06;0.81;3.478;3.46;49.17
1980-01-22;-12.7;-9.01;-5.32;0.0;6.873;2.36;54.34
1980-01-23;-13.83;-9.89;-5.96;0.0;8.654;1.96;52.96
1980-01-24;-15.38;-10.35;-5.32;0.0;8.863;2.87;47.08
1980-01-25;-8.29;-6.16;-4.04;12.24;3.641;5.06;62.67
1980-01-26;-10.08;-6.48;-2.88;1.2;4.716;2.43;66.61
1980-01-27;-15.76;-10.14;-4.52;0.0;7.991;1.48;46.08
1980-01-28;-16.16;-10.91;-5.65;1.08;7.589;3.74;47.56
