iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.76;4.01;8.78;3.93;3.498;2.25;80.27
1980-01-02;-1.65;3.9;9.45;0.0;7.485;1.16;73.62
1980-01-03;3.15;6.11;9.07;5.98;2.507;3.07;87.06
1980-01-04;1.35;6.64;11.93;2.06;4.16;1.17;84.97
1980-01-05;-0.14;5.93;12.0;0.0;4.361;0.33;78.7
1980-01-06;-0.95;5.04;11.02;0.0;6.782;0.73;72.62
1980-01-07;-1.19;4.69;10.56;0.0;7.655;0.7;69.14
1980-01-08;-0.49;4.89;10.27;0.0;6.593;1.33;71.56
1980-01-09;-0.78;4.31;9.39;0.0;5.408;1.59;74.27
1980-01-10;-2.12;3.73;9.59;0.0;6.904;0.42;68.67
1980-01-11;-1.46;3.96;9.38;0.0;6.61;0.66;68.89
1980-01-12;-1.32;3.88;9.09;0.0;5.022;0.79;70.39
1980-01-13;-1.58;3.6;8.78;0.0;4.115;1.43;70.43
1980-01-14;-1.63;2.06;5.74;6.72;4.228;1.94;70.4
1980-01-15;-2.19;0.86;3.92;0.0;4.427;2.03;65.25
1980-01-16;-3.3;0.7;4.7;0.0;6.316;0.71;62.4
1980-01-17;-2.8;2.29;7.38;2.15;4.459;0.54;68.98
1980-01-18;-1.59;3.25;8.09;3.45;5.309;2.37;66.69
1980-01-19;-1.63;2.46;6.55;0.0;7.843;1.57;61.55
1980-01-20;0.39;5.73;11.07;0.0;5.035;3.3;69.98
1980-01-21;4.6;9.67;14.74;0.0;5.358;2.03;81.66
1980-01-22;2.57;8.09;13.61;0.0;5.708;1.84;80.3
1980-01-23;1.0;6.66;12.32;0.0;6.857;1.34;72.98
1980-01-24;0.02;5.38;10.74;0.0;6.904;1.4;70.59
1980-01-25;2.51;7.56;12.61;0.0;4.666;2.56;75.28
1980-01-26;2.39;8.4;14.41;0.0;5.266;3.05;78.94
1980-01-27;-2.71;0.68;4.07;0.0;9.695;2.45;46.42
1980-01-28;-3.4;0.43;4.27;0.0;9.271;1.32;45.02
1980-01-29;-4.94;-1.75;1.44;0.0;10.833;2.94;39.85
1980-01-30;0.06;4.35;8.63;0.0;7.843;3.3;61.98
1980-01-31;2.7;7.54;12.37;0.0;7.982;3.82;66.03
1980-02-01;-2.04;3.73;9.51;0.0;7.078;3.59;47.69
1980-02-02;-5.01;-2.76;-0.51;0.0;9.664;2.42;27.14
1980-02-03;-6.02;-5.24;-4.47;0.0;11.501;2.59;20.14
1980-02-04;-6.44;-2.46;1.53;0.0;8.897;0.94;35.11
1980-02-05;-4.53;0.22;4.97;2.21;6.646;1.28;52.24
1980-02-06;-0.46;2.15;4.76;1.86;4.771;3.1;58.45
1980-02-07;-3.33;-1.59;0.15;0.0;5.858;4.16;36.88
1980-02-08;-4.65;-2.29;0.07;0.0;11.148;2.68;26.95
1980-02-09;-4.48;1.13;6.74;0.93;7.801;3.21;45.8
1980-02-10;1.0;3.77;6.55;0.65;10.512;3.43;40.53
1980-02-11;-2.36;2.2;6.76;0.0;10.174;3.63;41.32
1980-02-12;-4.93;-2.65;-0.36;0.0;12.318;2.48;25.58
1980-02-13;-6.16;-5.13;-4.09;0.0;13.488;2.41;26.55
1980-02-14;-7.25;-5.93;-4.61;0.0;9.413;2.39;22.61
1980-02-15;-6.91;-4.31;-1.71;0.0;12.597;1.5;22.86
1980-02-16;-3.29;1.58;6.44;1.89;4.872;2.77;49.53
1980-02-17;-0.75;4.65;10.05;3.86;5.209;2.14;75.06
1980-02-18;-1.78;3.5;8.78;18.73;5.317;2.16;68.92
1980-02-19;3.48;7.84;12.2;6.17;4.955;2.63;78.33
1980-02-20;2.18;4.87;7.55;0.89;6.238;2.72;69.24
1980-02-21;-1.0;3.72;8.45;0.47;9.316;1.77;62.76
1980-02-22;-2.05;4.23;10.52;0.0;11.906;0.38;55.4
1980-02-23;-1.3;4.67;10.63;0.0;7.999;1.5;59.35
1980-02-24;-0.98;3.56;8.1;1.24;5.492;1.92;64.6
1980-02-25;-1.07;3.07;7.22;0.0;6.277;1.54;54.97
1980-02-26;-2.56;2.66;7.88;0.0;14.298;1.27;48.11
1980-02-27;-3.6;2.45;8.49;0.0;15.31;0.76;46.13
1980-02-28;-3.67;3.29;10.25;0.0;15.705;0.68;47.1
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;-2.58;2.87;8.32;0.0;6.712;2.08;37.48
1980-03-02;-4.59;-0.88;2.84;0.0;14.551;1.5;23.14
1980-03-03;-6.36;-2.43;1.51;0.0;15.663;0.89;21.47
1980-03-04;-3.77;1.68;7.12;2.34;9.323;1.59;37.65
1980-03-05;-2.92;2.84;8.61;2.81;8.38;0.57;43.84
1980-03-06;-3.32;1.13;5.58;1.41;7.999;1.52;50.86
1980-03-07;1.39;8.54;15.69;1.52;4.115;1.92;51.0
1980-03-08;1.7;6.02;10.35;0.0;10.006;2.44;44.74
1980-03-09;2.92;8.05;13.19;0.64;7.292;2.41;53.48
1980-03-10;3.72;9.29;14.87;0.76;9.7;4.48;66.58
1980-03-11;4.07;9.8;15.54;0.0;14.67;2.31;45.56
1980-03-12;4.38;9.58;14.79;0.0;12.236;3.11;43.16
1980-03-13;7.13;13.13;19.12;0.0;16.119;3.76;59.13
1980-03-14;7.09;12.9;18.71;0.0;14.375;3.25;54.68
1980-03-15;4.31;10.23;16.16;0.0;14.384;2.08;63.25
1980-03-16;4.63;11.5;18.37;0.0;14.866;3.05;55.99
1980-03-17;1.95;6.63;11.32;0.0;16.376;2.58;43.53
1980-03-18;-0.28;4.46;9.2;0.0;16.788;1.81;43.4
1980-03-19;1.36;7.5;13.64;0.0;12.982;1.92;48.5
1980-03-20;-0.53;3.9;8.32;0.23;12.669;1.5;48.26
1980-03-21;-0.26;6.13;12.53;0.0;17.436;1.46;45.19
1980-03-22;3.82;10.52;17.21;0.38;15.575;2.51;50.21
1980-03-23;2.53;7.25;11.98;0.0;12.042;1.82;48.62
1980-03-24;3.72;9.43;15.13;0.0;9.318;3.94;53.21
1980-03-25;5.9;12.25;18.61;0.0;19.36;3.07;54.1
1980-03-26;3.61;10.06;16.51;0.0;19.745;3.77;37.05
1980-03-27;1.48;6.21;10.95;0.0;21.888;2.92;23.12
1980-03-28;2.43;7.56;12.7;2.79;8.677;3.38;61.78
1980-03-29;3.88;9.71;15.53;8.37;10.892;1.87;54.0
1980-03-30;1.54;4.97;8.41;3.42;8.032;1.44;47.88
1980-03-31;-1.58;2.43;6.44;0.0;4.724;1.5;46.73
1980-04-01;-1.19;4.4;9.99;0.0;14.915;0.25;36.87
1980-04-02;1.68;8.47;15.27;0.54;12.013;2.23;39.76
1980-04-03;5.51;11.44;17.37;0.0;14.974;1.61;41.04
1980-04-04;6.33;12.25;18.16;0.0;14.13;2.05;39.86
1980-04-05;8.35;15.26;22.17;0.0;14.107;3.15;44.12
1980-04-06;7.46;13.39;19.32;0.0;17.721;3.5;37.05
1980-04-07;3.25;9.16;15.07;0.67;11.513;2.02;42.67
1980-04-08;11.39;18.83;26.27;1.88;6.109;1.77;67.38
1980-04-09;11.42;13.93;16.45;4.99;8.869;2.61;69.1
1980-04-10;9.03;14.65;20.27;0.0;16.171;2.53;63.05
1980-04-11;7.58;14.52;21.47;0.0;16.286;1.35;57.6
1980-04-12;7.09;13.62;20.15;7.97;10.035;2.9;70.56
1980-04-13;7.89;13.84;19.78;0.41;18.147;1.86;60.72
1980-04-14;6.36;11.34;16.33;0.97;7.19;1.72;60.13
1980-04-15;7.77;11.96;16.15;11.95;5.851;2.91;70.24
1980-04-16;7.19;8.69;10.19;2.12;11.604;2.11;57.5
1980-04-17;3.9;6.96;10.02;0.0;16.719;1.4;40.27
1980-04-18;2.14;8.22;14.31;0.0;14.402;1.12;40.13
1980-04-19;3.58;10.84;18.1;0.0;13.016;1.44;40.27
1980-04-20;4.42;10.34;16.27;0.5;8.581;1.04;42.68
1980-04-21;3.81;9.7;15.58;0.0;15.775;0.88;44.91
1980-04-22;5.11;10.96;16.82;0.0;19.457;1.0;40.82
1980-04-23;2.91;8.89;14.88;0.0;17.46;1.78;39.95
1980-04-24;2.15;7.84;13.53;0.0;23.722;1.32;32.75
1980-04-25;5.01;11.79;18.56;0.0;22.264;1.33;40.95
1980-04-26;10.57;17.77;24.96;7.35;6.028;3.62;72.28
1980-04-27;7.46;10.06;12.66;0.0;21.527;2.05;46.63
