iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.54;3.51;7.56;0.0;4.615;2.68;57.82
1980-01-02;1.88;5.29;8.7;1.16;4.222;5.38;58.3
1980-01-03;-2.75;0.45;3.65;0.0;3.205;4.8;60.49
1980-01-04;-6.06;-2.08;1.9;0.0;5.108;1.12;64.19
1980-01-05;-5.95;-3.78;-1.61;0.0;2.366;0.37;67.48
1980-01-06;-0.54;3.35;7.23;1.38;4.744;0.88;52.84
1980-01-07;-1.81;0.11;2.04;0.23;2.978;3.01;80.67
1980-01-08;1.48;3.36;5.24;0.0;3.609;1.67;76.96
1980-01-09;-4.18;-1.45;1.28;9.46;4.133;1.03;76.75
1980-01-10;-6.61;-2.84;0.93;0.0;1.354;5.41;72.22
1980-01-11;-6.26;-3.21;-0.17;0.0;4.379;2.3;70.17
1980-01-12;-5.32;-3.03;-0.73;0.78;4.415;1.21;71.53
1980-01-13;-8.94;-5.68;-2.43;0.0;3.556;2.92;68.12
1980-01-14;-7.71;-5.16;-2.6;0.0;3.283;5.29;44.37
1980-01-15;-9.33;-7.42;-5.51;0.0;5.749;4.1;37.68
1980-01-16;-12.34;-8.34;-4.35;0.0;5.391;3.7;60.99
1980-01-17;-4.28;-2.7;-1.12;0.0;4.779;4.28;57.63
1980-01-18;-9.67;-7.0;-4.33;0.0;7.066;2.47;61.76
1980-01-19;-7.95;-6.56;-5.17;0.0;4.602;4.64;36.48
1980-01-20;-11.17;-7.65;-4.13;0.0;5.055;3.49;26.7
1980-01-21;-10.41;-6.82;-3.22;0.0;4.405;3.2;51.12
1980-01-22;-9.33;-6.49;-3.65;0.22;5.19;3.09;50.67
1980-01-23;-9.28;-5.59;-1.91;0.0;4.999;1.76;57.75
1980-01-24;-9.25;-5.65;-2.05;0.0;5.039;2.02;58.03
1980-01-25;-9.61;-6.58;-3.56;1.41;4.517;2.06;59.01
1980-01-26;-9.65;-6.42;-3.18;0.0;4.182;2.32;66.31
1980-01-27;-7.94;-4.03;-0.12;0.0;8.519;3.15;39.06
1980-01-28;-6.02;-4.86;-3.7;9.34;2.648;4.23;67.64
1980-01-29;-1.76;-0.75;0.26;5.99;2.335;4.91;70.48
1980-01-30;-6.38;-3.04;0.3;0.0;7.392;4.51;58.11
1980-01-31;-7.46;-3.63;0.19;0.0;9.657;2.74;44.67
1980-02-01;-4.6;-0.76;3.07;0.0;7.35;1.57;59.28
1980-02-02;-12.12;-7.78;-3.44;0.0;9.866;1.12;24.91
1980-02-03;-15.01;-7.7;-0.38;0.0;7.881;1.61;53.15
1980-02-04;-14.25;-7.79;-1.33;0.0;8.713;1.88;55.68
1980-02-05;-12.8;-6.69;-0.57;0.0;8.071;1.71;53.84
1980-02-06;-7.77;-2.28;3.21;0.0;10.613;2.31;56.38
1980-02-07;-5.66;-0.65;4.37;0.0;10.843;1.62;64.22
1980-02-08;-5.1;-1.19;2.72;0.0;7.718;2.16;58.9
