iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-7.72;-3.33;1.06;0.0;8.381;1.57;66.02
1980-01-02;-1.18;2.69;6.55;0.0;7.872;0.6;50.94
1980-01-03;-4.77;-0.56;3.64;0.0;7.522;0.75;55.79
1980-01-04;-4.18;-0.05;4.08;0.0;6.067;0.87;58.76
1980-01-05;-3.86;0.72;5.3;3.0;7.955;0.75;45.86
1980-01-06;-6.23;-1.51;3.22;0.0;9.387;0.72;61.57
1980-01-07;-8.44;-4.27;-0.11;0.0;7.69;0.75;60.36
1980-01-08;-6.96;-3.47;0.02;0.0;7.946;0.63;50.24
1980-01-09;-3.58;0.42;4.41;0.0;5.927;0.78;50.95
1980-01-10;-0.05;4.31;8.67;0.0;7.381;1.04;41.25
1980-01-11;-12.43;-12.07;-11.72;0.0;6.583;0.66;55.85
1980-01-12;-5.12;-0.59;3.94;0.0;9.929;1.41;58.58
1980-01-13;-5.71;-1.12;3.47;0.0;9.126;1.57;47.61
1980-01-14;-3.38;0.17;3.72;0.0;6.809;1.77;56.35
1980-01-15;-0.46;3.33;7.13;0.0;7.526;1.7;55.76
1980-01-16;-1.99;2.99;7.97;0.0;7.703;1.16;41.43
1980-01-17;-4.38;-0.11;4.16;0.0;6.898;0.53;65.19
1980-01-18;-7.22;-2.97;1.28;0.0;7.519;1.27;65.42
1980-01-19;-6.73;-2.28;2.17;0.0;10.665;3.51;59.92
1980-01-20;-0.87;2.92;6.72;0.0;7.244;1.85;56.26
1980-01-21;-10.52;-6.41;-2.3;2.38;5.338;2.82;76.32
1980-01-22;1.1;4.51;7.92;1.6;7.237;1.96;62.96
1980-01-23;-3.94;0.64;5.21;0.0;9.374;0.86;68.72
1980-01-24;-6.57;-1.87;2.84;0.0;7.605;1.24;63.36
1980-01-25;-6.48;-1.72;3.04;0.0;8.781;2.49;53.94
1980-01-26;-10.11;-6.26;-2.41;3.1;5.08;3.95;75.34
1980-01-27;-9.04;-3.39;2.25;6.29;6.293;4.91;67.98
1980-01-28;-1.4;3.29;7.97;0.0;11.22;1.71;44.48
1980-01-29;-4.27;-0.24;3.79;1.21;8.145;1.66;49.88
1980-01-30;-10.1;-5.13;-0.17;0.0;5.634;2.94;46.86
1980-01-31;-8.12;-4.33;-0.54;0.28;8.236;3.84;75.05
1980-02-01;1.91;5.33;8.74;8.07;5.379;4.84;63.02
1980-02-02;-3.43;0.86;5.16;2.59;7.785;2.73;24.4
1980-02-03;-3.29;0.86;5.01;0.0;10.603;2.1;24.15
1980-02-04;-4.25;0.43;5.11;0.0;9.328;2.97;30.91
1980-02-05;-9.47;-4.26;0.96;0.0;12.585;2.25;25.72
1980-02-06;-3.64;0.17;3.98;15.64;4.58;3.15;56.11
1980-02-07;-1.72;0.89;3.51;0.65;7.085;2.25;60.06
1980-02-08;-7.16;-2.02;3.12;0.0;8.965;3.07;44.63
1980-02-09;-8.08;-2.92;2.23;0.0;9.918;3.45;25.46
1980-02-10;-3.32;1.4;6.12;7.05;8.471;4.51;52.89
1980-02-11;-4.14;-0.42;3.3;0.0;4.418;4.31;45.08
1980-02-12;-1.43;3.22;7.87;3.62;5.205;3.82;53.91
1980-02-13;-2.63;1.92;6.47;0.86;7.516;3.67;43.53
1980-02-14;-6.21;-1.53;3.15;2.63;10.218;1.56;34.04
1980-02-15;-9.1;-6.04;-2.99;0.0;10.492;3.34;26.82
