iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;2.69;7.22;11.75;0.0;10.093;1.41;47.54
1980-01-02;-0.61;4.3;9.21;5.02;10.441;4.81;83.15
1980-01-03;1.94;5.63;9.32;0.0;7.507;3.7;39.94
1980-01-04;2.43;7.58;12.74;0.0;8.662;2.69;58.58
1980-01-05;3.75;7.74;11.73;5.83;4.908;2.48;68.88
1980-01-06;0.85;5.0;9.14;1.09;7.243;0.73;54.28
1980-01-07;3.98;7.31;10.63;1.15;7.707;4.78;39.79
1980-01-08;4.36;7.73;11.11;5.71;7.447;3.57;50.45
1980-01-09;2.76;7.24;11.71;0.0;7.881;1.19;55.0
1980-01-10;5.71;9.38;13.06;0.0;9.92;3.85;41.39
1980-01-11;4.03;8.17;12.3;0.61;7.261;2.58;50.73
1980-01-12;2.21;7.43;12.64;5.02;11.743;1.28;38.48
1980-01-13;-1.95;0.32;2.59;7.31;5.499;2.92;63.52
1980-01-14;-0.43;3.89;8.21;8.48;3.237;1.17;69.59
1980-01-15;4.63;8.52;12.4;0.0;10.934;0.94;47.18
1980-01-16;3.54;7.64;11.74;0.0;8.417;2.86;56.41
1980-01-17;5.84;7.31;8.78;13.03;7.645;1.61;74.93
1980-01-18;5.74;6.12;6.5;17.16;3.853;3.62;86.21
1980-01-19;3.84;6.08;8.31;0.0;10.015;4.32;50.96
1980-01-20;3.68;6.87;10.05;0.0;8.275;2.22;48.33
1980-01-21;3.75;6.11;8.47;0.0;8.866;1.38;56.57
1980-01-22;4.18;7.93;11.68;0.0;9.092;1.28;55.2
1980-01-23;4.71;7.68;10.65;0.48;4.152;2.63;56.0
1980-01-24;2.07;6.57;11.06;0.0;11.699;1.81;42.97
1980-01-25;4.49;6.91;9.32;0.0;5.962;1.12;59.21
1980-01-26;4.56;5.21;5.85;4.8;5.525;2.23;77.74
1980-01-27;4.24;5.78;7.31;0.51;6.354;3.85;75.28
1980-01-28;2.72;7.61;12.49;0.0;7.816;3.53;39.13
1980-01-29;0.05;3.44;6.84;4.53;8.127;3.34;40.95
1980-01-30;0.21;4.41;8.61;0.86;12.056;2.35;37.85
1980-01-31;-1.01;0.49;1.99;1.55;8.019;3.4;34.3
1980-02-01;-1.27;2.68;6.63;0.0;8.097;3.98;27.13
1980-02-02;1.41;8.15;14.9;0.0;8.266;3.34;28.84
1980-02-03;1.3;6.97;12.63;0.64;12.057;4.61;29.98
1980-02-04;1.24;6.98;12.72;1.51;13.833;3.0;28.56
1980-02-05;4.35;8.22;12.1;4.83;7.729;5.31;44.8
1980-02-06;0.81;8.21;15.6;0.0;13.755;2.22;26.68
1980-02-07;0.48;6.71;12.93;0.0;14.767;1.77;29.31
1980-02-08;-1.65;3.46;8.56;0.0;14.73;1.84;28.86
1980-02-09;2.85;8.04;13.24;0.0;12.576;1.15;27.57
1980-02-10;2.7;9.38;16.07;0.0;14.802;1.28;28.11
1980-02-11;3.24;9.37;15.5;0.0;15.507;2.15;27.63
1980-02-12;1.35;7.89;14.43;0.0;14.933;2.63;29.38
1980-02-13;2.78;6.42;10.06;8.81;10.898;3.88;50.71
1980-02-14;5.86;9.54;13.22;11.39;8.38;1.68;47.88
1980-02-15;0.92;6.58;12.24;2.08;10.117;3.05;31.71
1980-02-16;-5.65;2.27;10.19;0.0;15.298;2.69;32.05
1980-02-17;-4.65;0.2;5.06;0.0;15.02;2.94;30.64
1980-02-18;-5.48;-1.86;1.77;0.0;11.754;2.99;29.41
1980-02-19;6.23;12.78;19.33;10.67;16.989;3.5;16.15
1980-02-20;0.64;8.05;15.47;0.0;13.862;2.88;26.85
1980-02-21;4.66;8.88;13.1;2.22;7.354;4.15;38.57
1980-02-22;3.96;11.13;18.31;0.0;16.228;2.03;29.3
1980-02-23;5.63;9.39;13.15;1.71;9.607;2.87;39.36
1980-02-24;2.85;5.47;8.09;54.71;9.26;3.47;64.13
1980-02-25;4.96;6.36;7.76;21.89;6.041;4.99;33.92
1980-02-26;3.04;7.78;12.51;0.0;16.368;2.57;28.52
1980-02-27;2.35;4.91;7.46;0.0;16.645;3.49;30.33
1980-02-28;2.81;6.42;10.04;2.61;4.436;3.02;39.36
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;6.69;10.33;13.97;34.7;1.691;1.88;51.72
1980-03-02;2.73;4.75;6.78;16.49;6.167;3.13;68.29
1980-03-03;2.81;3.83;4.86;0.0;11.546;2.96;39.15
1980-03-04;0.28;3.66;7.03;1.9;11.591;1.79;48.43
1980-03-05;4.04;7.97;11.9;0.57;17.734;0.99;27.74
1980-03-06;5.25;9.95;14.65;19.82;2.873;3.25;77.44
1980-03-07;5.06;5.49;5.93;4.98;8.541;2.77;43.37
1980-03-08;0.94;3.93;6.92;0.0;16.003;2.06;34.61
1980-03-09;5.46;9.72;13.99;0.0;16.777;3.97;17.69
1980-03-10;5.31;9.83;14.35;0.5;18.351;3.53;34.44
1980-03-11;3.72;8.25;12.78;1.42;17.671;1.69;35.32
1980-03-12;6.11;11.01;15.9;0.0;13.271;3.18;41.8
1980-03-13;5.73;8.62;11.51;0.31;8.352;2.04;55.82
1980-03-14;5.65;8.34;11.04;0.0;19.807;0.66;35.32
1980-03-15;6.81;11.35;15.88;0.35;13.795;0.72;54.69
1980-03-16;6.22;8.79;11.36;0.0;13.775;1.75;50.63
1980-03-17;8.25;11.56;14.87;0.0;18.108;2.74;35.93
1980-03-18;8.1;12.95;17.79;0.0;16.595;4.68;29.4
1980-03-19;8.34;12.51;16.68;0.0;10.134;3.02;38.21
1980-03-20;8.37;12.3;16.23;0.0;14.285;2.44;35.06
1980-03-21;6.39;10.58;14.77;0.0;21.204;2.0;31.81
1980-03-22;7.13;11.51;15.88;2.31;15.615;1.77;42.54
1980-03-23;6.31;9.67;13.03;0.0;19.251;0.55;30.0
1980-03-24;6.22;10.72;15.23;0.0;23.244;0.23;31.82
1980-03-25;5.57;10.92;16.26;0.0;14.539;1.76;45.99
1980-03-26;8.87;13.42;17.97;0.59;14.222;1.95;45.93
1980-03-27;7.87;10.36;12.84;1.92;10.778;3.9;61.73
1980-03-28;7.32;10.25;13.19;0.89;15.37;3.69;31.37
1980-03-29;7.79;12.28;16.76;7.94;7.105;4.22;53.54
1980-03-30;7.61;8.81;10.01;0.0;13.653;1.98;34.64
1980-03-31;9.54;13.17;16.8;15.83;10.079;1.77;44.23
1980-04-01;8.56;11.03;13.5;1.9;9.955;1.57;33.98
1980-04-02;8.82;13.14;17.47;15.73;12.677;2.78;40.41
1980-04-03;6.43;9.73;13.03;2.59;14.31;4.1;35.18
1980-04-04;11.51;15.6;19.69;0.33;3.662;4.09;64.46
1980-04-05;8.86;9.33;9.8;0.0;15.993;2.57;25.0
1980-04-06;7.75;12.18;16.61;0.0;24.3;2.36;25.03
1980-04-07;7.96;13.66;19.35;0.0;14.248;3.28;27.82
1980-04-08;5.31;10.79;16.27;0.0;14.6;2.18;27.87
1980-04-09;7.29;12.08;16.88;0.0;19.304;2.96;24.9
1980-04-10;8.61;13.72;18.83;0.0;20.904;2.2;20.92
1980-04-11;8.15;12.25;16.36;0.0;25.139;2.98;25.64
1980-04-12;7.43;12.07;16.72;8.26;9.517;4.07;62.13
1980-04-13;7.68;9.38;11.07;0.0;15.199;4.25;52.05
1980-04-14;9.43;12.48;15.54;0.0;21.716;5.19;19.47
1980-04-15;9.64;12.92;16.2;0.26;20.177;4.24;47.31
1980-04-16;7.58;10.71;13.85;0.0;21.405;4.11;45.43
1980-04-17;10.93;14.21;17.5;1.41;5.842;3.84;86.48
1980-04-18;10.04;10.5;10.97;1.39;23.56;2.63;32.17
1980-04-19;8.27;12.68;17.09;0.0;16.889;2.61;17.52
1980-04-20;5.61;11.0;16.4;0.0;26.197;1.74;18.5
1980-04-21;5.46;11.36;17.25;0.0;27.317;1.63;19.38
1980-04-22;10.78;16.95;23.12;0.0;10.578;1.22;25.16
1980-04-23;6.99;10.74;14.49;0.0;26.196;0.76;20.22
1980-04-24;11.61;17.35;23.09;0.0;26.814;0.91;21.46
1980-04-25;11.28;17.21;23.14;1.81;6.789;4.11;36.21
1980-04-26;7.36;9.45;11.54;7.26;4.987;3.08;76.93
1980-04-27;9.39;11.23;13.06;0.0;18.196;3.23;42.93
1980-04-28;9.94;12.32;14.7;0.0;20.568;1.48;25.11
1980-04-29;7.74;13.7;19.65;0.0;24.608;2.53;40.46
1980-04-30;9.65;15.29;20.92;0.0;26.975;3.08;36.54
1980-05-01;8.25;12.09;15.93;0.0;23.347;2.21;34.74
1980-05-02;9.23;13.69;18.15;0.0;26.21;2.31;30.9
1980-05-03;12.85;18.0;23.14;1.97;15.727;1.04;36.19
1980-05-04;10.66;12.93;15.19;0.0;26.99;1.77;30.61
1980-05-05;9.0;13.88;18.77;0.0;20.614;3.3;43.07
1980-05-06;12.2;14.4;16.6;0.0;15.522;1.71;30.01
1980-05-07;8.4;11.63;14.85;0.35;25.862;2.04;44.56
1980-05-08;12.68;15.38;18.07;0.0;10.333;2.14;34.96
1980-05-09;11.86;14.22;16.58;0.0;21.188;3.21;33.49
1980-05-10;11.47;14.67;17.87;0.0;27.45;3.34;28.62
1980-05-11;11.46;15.81;20.16;0.0;27.262;1.28;18.19
1980-05-12;11.17;16.38;21.59;0.0;23.49;1.22;21.42
1980-05-13;12.04;16.98;21.91;0.0;26.315;1.04;29.69
1980-05-14;13.38;17.0;20.63;0.0;26.082;1.53;16.52
1980-05-15;11.87;17.95;24.03;0.0;23.769;1.63;28.29
1980-05-16;12.3;17.06;21.82;0.0;19.016;2.72;32.78
1980-05-17;13.18;17.09;21.0;0.0;25.32;0.71;20.91
1980-05-18;11.59;16.57;21.56;5.23;23.887;0.94;17.2
1980-05-19;11.84;17.82;23.81;0.0;28.814;1.78;18.64
1980-05-20;12.67;18.2;23.72;0.0;26.573;4.8;32.15
1980-05-21;14.63;18.2;21.76;10.23;7.936;3.38;41.1
1980-05-22;12.72;14.82;16.91;0.0;24.272;2.62;43.89
1980-05-23;11.43;15.25;19.08;0.0;27.152;0.71;23.97
