iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;14.5;22.25;30.0;0.0;11.4;3.6;20.3
1980-01-02;11.7;17.2;22.7;0.0;14.7;4.2;8.0
1980-01-03;8.1;15.9;23.7;0.0;14.8;3.3;11.4
1980-01-04;7.9;16.25;24.6;0.0;15.0;2.9;16.6
1980-01-05;6.8;16.05;25.3;0.0;14.8;2.1;15.6
1980-01-06;8.9;17.55;26.2;0.0;14.4;1.9;18.1
1980-01-07;10.4;18.55;26.7;0.0;14.8;2.2;18.3
1980-01-08;9.1;17.9;26.7;0.0;15.2;2.1;14.7
1980-01-09;9.1;18.3;27.5;0.0;14.8;1.9;11.4
1980-01-10;10.3;19.15;28.0;0.0;14.7;1.4;13.5
1980-01-11;10.5;19.45;28.4;0.0;14.7;0.6;14.4
1980-01-12;11.8;19.45;27.1;0.0;15.3;1.8;19.7
1980-01-13;12.8;19.05;25.3;0.0;13.533;4.0;25.0
1980-01-14;9.0;14.15;19.3;0.0;15.6;4.3;17.2
1980-01-15;6.5;14.3;22.1;0.0;15.6;2.8;17.4
1980-01-16;9.31;18.0;26.7;0.0;16.4;2.9;15.1
1980-01-17;10.9;19.35;27.8;0.0;15.4;2.5;15.3
1980-01-18;10.2;19.15;28.1;0.0;16.3;2.5;13.9
1980-01-19;13.1;18.1;23.1;0.0;15.8;3.9;18.27
1980-01-20;10.3;16.59;22.89;0.0;15.6;3.7;17.6
1980-01-21;10.6;17.05;23.5;0.0;15.698;3.4;19.31
1980-01-22;11.4;18.23;25.06;0.0;15.764;3.1;18.0
1980-01-23;9.5;18.26;27.02;0.0;15.8;2.4;21.0
1980-01-24;13.6;21.25;28.9;0.0;16.4;3.2;26.0
1980-01-25;15.2;21.95;28.7;0.0;17.0;3.4;22.9
1980-01-26;13.9;20.9;27.9;0.0;16.1;3.3;20.1
1980-01-27;11.2;19.55;27.9;0.0;16.3;2.6;14.2
1980-01-28;10.8;19.35;27.9;0.0;16.4;2.6;11.8
1980-01-29;10.3;19.0;27.7;0.0;16.4;2.9;12.0
1980-01-30;12.8;18.65;24.5;0.0;16.4;3.6;17.2
1980-01-31;9.9;17.15;24.4;0.0;16.7;2.9;18.9
1980-02-01;8.9;17.85;26.8;0.0;16.714;2.4;17.4
1980-02-02;9.6;18.55;27.51;0.0;17.872;1.4;15.0
1980-02-03;10.0;19.05;28.1;0.0;16.8;0.9;13.7
1980-02-04;11.4;19.55;27.7;0.0;16.9;1.7;15.0
1980-02-05;11.7;20.25;28.8;0.0;17.5;2.3;15.3
1980-02-06;14.4;20.2;26.0;0.0;17.4;3.5;18.4
1980-02-07;11.49;17.59;23.7;0.0;17.4;4.1;13.1
1980-02-08;8.8;13.65;18.5;0.0;18.0;4.2;15.3
1980-02-09;6.3;12.95;19.6;0.0;18.0;3.0;15.1
1980-02-10;4.8;12.65;20.5;0.0;17.9;2.9;17.3
1980-02-11;8.6;14.28;19.96;0.0;17.9;3.7;19.5
1980-02-12;7.6;13.7;19.8;0.0;18.3;3.7;13.5
1980-02-13;6.6;13.27;19.93;0.0;18.582;3.4;13.9
1980-02-14;6.3;14.2;22.1;0.0;18.2;3.1;14.0
1980-02-15;7.6;16.25;24.9;0.0;18.5;2.1;16.5
1980-02-16;9.8;18.1;26.4;0.0;18.2;2.6;18.2
1980-02-17;11.3;19.2;27.1;0.0;18.417;2.6;18.4
1980-02-18;11.2;18.95;26.7;0.0;18.7;2.6;17.3
1980-02-19;10.1;18.85;27.6;0.0;19.0;0.9;13.9
1980-02-20;10.3;19.6;28.9;0.0;19.1;3.1;10.7
1980-02-21;12.78;19.09;25.4;0.0;19.4;3.6;11.7
1980-02-22;11.0;18.4;25.8;0.0;19.282;3.6;14.3
1980-02-23;13.0;20.75;28.5;0.0;19.4;4.0;13.4
1980-02-24;13.4;21.55;29.7;0.0;19.5;4.0;13.3
1980-02-25;12.5;21.35;30.2;0.0;19.5;3.0;11.8
1980-02-26;12.7;21.1;29.5;0.0;19.6;3.4;11.64
1980-02-27;13.2;19.95;26.7;0.0;20.0;3.8;12.3
1980-02-28;11.0;18.45;25.9;0.0;20.3;3.1;12.5
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;8.9;17.7;26.5;0.0;20.7;2.0;13.2
1980-03-02;11.8;19.9;28.0;0.0;20.712;1.6;15.1
1980-03-03;13.0;22.15;31.3;0.0;20.9;3.6;9.1
1980-03-04;14.3;21.2;28.1;0.0;21.0;3.8;10.8
1980-03-05;11.8;19.2;26.6;0.0;21.1;3.5;11.9
1980-03-06;12.5;19.8;27.1;0.0;21.2;3.4;11.5
1980-03-07;11.2;20.0;28.8;0.0;21.4;2.7;13.3
1980-03-08;14.4;22.6;30.8;0.0;22.8;2.6;11.73
1980-03-09;15.44;24.47;33.5;0.0;21.6;3.9;7.6
1980-03-10;15.5;23.1;30.7;0.0;21.5;3.0;10.3
1980-03-11;13.6;23.29;32.98;0.0;21.6;3.0;9.6
1980-03-12;16.9;23.65;30.4;0.0;21.8;4.1;10.3
1980-03-13;13.8;22.15;30.5;0.0;21.8;1.5;11.0
1980-03-14;19.28;28.29;37.3;0.0;22.2;4.2;8.1
1980-03-15;23.9;29.0;34.1;0.0;21.9;4.4;12.46
1980-03-16;19.1;24.5;29.9;0.0;22.1;4.6;12.0
1980-03-17;15.5;21.15;26.8;0.0;22.8;4.4;11.23
1980-03-18;12.5;20.45;28.4;0.0;23.5;2.9;9.6
1980-03-19;14.69;23.89;33.1;0.0;24.7;2.4;8.7
1980-03-20;19.5;28.5;37.5;0.0;24.1;4.6;5.0
1980-03-21;17.1;24.9;32.7;0.0;23.1;3.8;6.9
1980-03-22;18.1;24.05;30.0;0.0;23.1;4.3;9.5
1980-03-23;15.9;22.05;28.2;0.0;24.1;4.1;7.6
1980-03-24;13.6;21.65;29.7;0.0;24.1;2.8;11.7
1980-03-25;16.5;24.65;32.8;0.0;23.9;2.6;11.2
1980-03-26;19.69;29.3;38.9;0.0;24.014;4.9;6.2
1980-03-27;20.4;25.87;31.34;0.0;23.2;4.6;11.8
1980-03-28;16.0;21.35;26.7;0.0;23.8;4.8;10.1
1980-03-29;13.0;19.25;25.5;0.0;24.4;3.8;10.1
1980-03-30;10.3;19.2;28.1;0.0;24.6;1.7;9.3
1980-03-31;14.4;23.4;32.4;0.0;24.769;2.1;10.3
1980-04-01;18.4;28.6;38.8;0.0;24.8;4.1;5.31
1980-04-02;23.6;27.55;31.5;0.0;21.7;4.8;12.5
1980-04-03;22.1;26.15;30.2;0.0;20.7;4.7;10.3
1980-04-04;17.1;23.5;29.9;0.0;25.5;3.6;8.8
1980-04-05;14.6;23.4;32.2;0.0;25.0;2.3;7.0
1980-04-06;19.4;29.05;38.7;0.0;23.4;4.27;8.6
1980-04-07;25.4;32.75;40.1;0.0;20.9;4.6;5.6
1980-04-08;24.4;29.15;33.9;0.0;24.7;4.4;7.2
1980-04-09;21.2;28.15;35.1;0.0;27.0;3.5;7.6
1980-04-10;21.1;28.65;36.2;0.0;21.8;3.5;9.5
1980-04-11;23.9;32.95;42.0;0.0;26.8;3.9;5.1
1980-04-12;22.4;32.05;41.7;0.0;26.4;4.1;6.6
1980-04-13;24.2;29.4;34.6;0.0;21.3;5.1;6.9
1980-04-14;19.1;25.75;32.4;0.0;26.4;3.8;7.4
1980-04-15;15.4;24.45;33.5;0.0;25.6;3.4;7.3
1980-04-16;18.2;24.3;30.4;0.0;25.7;3.8;8.6
1980-04-17;14.3;22.9;31.5;0.0;26.2;2.3;7.9
1980-04-18;14.7;25.25;35.8;0.0;25.6;1.3;7.5
1980-04-19;18.06;28.88;39.7;0.0;26.3;3.2;4.63
1980-04-20;21.3;29.45;37.6;0.0;25.2;3.6;10.1
1980-04-21;22.3;29.25;36.2;0.0;25.1;3.7;10.4
1980-04-22;22.4;30.4;38.4;0.0;25.6;3.3;7.1
1980-04-23;25.2;34.0;42.8;0.0;27.6;5.1;4.9
1980-04-24;25.6;31.05;36.5;0.0;19.2;5.3;12.6
1980-04-25;21.4;27.2;33.0;0.0;26.2;4.2;6.8
1980-04-26;17.4;25.35;33.3;0.0;26.3;2.7;8.5
1980-04-27;19.4;29.3;39.2;0.0;27.8;3.3;7.3
1980-04-28;24.9;33.6;42.3;0.0;28.6;3.9;5.0
1980-04-29;26.8;33.6;40.4;0.0;22.8;4.5;9.6
1980-04-30;22.53;27.52;32.5;0.0;24.6;5.4;8.1
1980-05-01;18.8;24.95;31.1;0.0;27.1;4.1;7.6
1980-05-02;18.8;25.0;31.2;0.0;28.6;4.2;7.9
1980-05-03;18.3;25.1;31.9;0.0;26.3;3.4;9.52
1980-05-04;19.0;27.35;35.7;0.0;27.5;1.9;11.6
1980-05-05;23.4;31.75;40.1;0.0;26.4;3.5;7.0
1980-05-06;23.9;31.9;39.9;0.0;24.2;2.9;10.4
1980-05-07;25.1;32.75;40.4;0.0;25.3;3.0;10.3
1980-05-08;27.9;34.95;42.0;0.0;25.8;3.9;7.3
1980-05-09;27.63;33.31;39.0;0.0;20.1;4.4;14.5
1980-05-10;26.0;29.9;33.8;0.0;9.089;3.7;24.1
1980-05-11;24.8;31.85;38.9;0.0;25.3;2.0;16.0
1980-05-12;26.4;34.25;42.1;0.0;26.4;3.6;11.1
1980-05-13;28.5;36.3;44.1;0.0;25.3;5.4;10.3
1980-05-14;28.3;33.2;38.1;0.0;25.5;5.7;21.9
1980-05-15;26.5;31.9;37.3;0.0;28.3;4.6;16.4
1980-05-16;23.8;30.6;37.4;0.0;27.7;4.1;7.3
1980-05-17;19.9;29.0;38.1;0.0;27.9;3.4;7.7
1980-05-18;18.9;28.8;38.7;0.0;27.6;1.6;8.3
1980-05-19;20.1;30.15;40.2;0.0;27.3;1.9;8.2
1980-05-20;23.7;32.25;40.8;0.0;27.1;2.8;10.2
1980-05-21;25.2;33.55;41.9;0.0;28.9;3.3;9.2
1980-05-22;25.8;33.75;41.7;0.0;26.9;3.5;8.1
1980-05-23;25.4;33.35;41.3;0.0;26.4;3.5;7.2
1980-05-24;24.2;32.9;41.6;0.0;27.6;2.9;7.4
1980-05-25;24.12;32.86;41.6;0.0;27.4;2.3;6.7
1980-05-26;25.3;34.6;43.9;0.0;29.2;3.3;6.0
1980-05-27;28.5;33.9;39.3;0.0;14.0;4.9;13.0
1980-05-28;25.9;32.0;38.1;1.2;22.1;3.6;20.3
1980-05-29;24.1;30.6;37.1;0.0;26.0;3.8;11.0
1980-05-30;23.42;30.03;36.63;0.0;26.8;3.9;7.1
1980-05-31;23.1;29.73;36.36;0.0;21.7;3.5;7.2
1980-06-01;21.2;29.0;36.8;0.0;28.1;3.7;8.2
1980-06-02;22.7;30.2;37.7;0.0;26.8;3.6;10.2
1980-06-03;22.1;30.35;38.6;0.0;27.3;2.4;9.4
1980-06-04;20.0;29.7;39.4;0.0;28.9;2.4;7.0
1980-06-05;20.6;29.85;39.1;0.0;27.6;3.0;7.8
1980-06-06;22.3;30.5;38.7;0.0;27.6;3.1;7.7
1980-06-07;20.3;29.85;39.4;0.0;28.787;2.3;8.1
1980-06-08;21.9;31.15;40.4;0.0;29.5;2.2;7.8
1980-06-09;25.1;33.35;41.6;0.0;28.7;3.0;6.7
1980-06-10;25.5;34.55;43.6;0.0;29.4;2.5;4.8
1980-06-11;24.9;34.15;43.4;0.0;27.2;3.0;5.6
1980-06-12;25.6;33.85;42.1;0.0;26.8;3.4;7.7
1980-06-13;25.1;33.7;42.3;0.0;27.0;2.3;7.7
1980-06-14;27.5;36.25;45.0;0.0;26.9;4.5;6.3
1980-06-15;28.1;35.7;43.3;0.0;26.47;4.6;7.9
1980-06-16;27.8;34.55;41.3;0.0;26.0;4.9;10.6
1980-06-17;27.8;34.1;40.4;0.0;26.2;4.7;8.7
1980-06-18;27.1;33.5;39.9;0.0;26.4;4.4;8.5
1980-06-19;26.5;33.05;39.6;0.0;26.7;4.4;7.1
1980-06-20;26.2;33.2;40.2;0.0;26.7;4.4;6.1
1980-06-21;26.1;33.45;40.8;0.0;27.286;4.5;5.5
1980-06-22;26.2;33.7;41.2;0.0;27.9;4.7;5.1
1980-06-23;25.8;33.3;40.79;0.0;28.3;4.6;5.3
1980-06-24;25.7;32.95;40.2;0.0;28.0;4.3;7.5
1980-06-25;24.9;32.85;40.8;0.0;27.3;4.0;8.0
1980-06-26;24.6;32.95;41.3;0.0;28.0;3.6;5.9
1980-06-27;21.6;31.5;41.4;0.0;28.6;2.3;5.6
1980-06-28;24.1;32.45;40.8;0.0;27.1;2.7;8.8
1980-06-29;23.7;32.35;41.0;0.0;27.3;2.6;8.2
1980-06-30;22.8;32.0;41.2;0.0;27.6;2.61;7.8
1980-07-01;24.9;33.3;41.7;0.0;27.5;3.4;6.9
1980-07-02;26.7;34.35;42.0;0.0;26.7;3.8;7.7
1980-07-03;27.2;34.7;42.2;0.0;26.9;3.8;6.9
1980-07-04;26.3;34.25;42.2;0.0;27.7;3.8;5.0
1980-07-05;25.4;33.7;42.0;0.0;28.8;3.5;4.8
1980-07-06;25.0;33.55;42.1;0.0;29.1;3.9;6.7
1980-07-07;27.0;33.7;40.4;0.0;27.5;4.4;7.6
1980-07-08;25.9;32.95;40.0;0.0;29.0;4.2;6.8
1980-07-09;25.4;32.65;39.9;0.0;28.4;4.1;6.1
1980-07-10;22.9;31.8;40.7;0.0;28.9;3.6;6.3
1980-07-11;23.4;32.7;42.0;0.0;28.1;2.6;7.8
1980-07-12;24.49;32.99;41.5;0.0;27.286;3.4;7.4
1980-07-13;23.6;31.95;40.3;0.0;27.8;3.4;6.6
1980-07-14;22.3;31.55;40.8;0.0;27.0;2.1;7.5
1980-07-15;23.6;32.7;41.8;0.0;26.5;1.8;8.1
1980-07-16;23.6;33.0;42.4;0.0;27.0;2.1;7.8
1980-07-17;24.4;33.5;42.6;0.0;26.9;3.0;6.7
1980-07-18;23.8;33.0;42.2;0.0;27.5;3.0;5.7
1980-07-19;23.4;32.65;41.9;0.0;27.1;2.9;7.0
1980-07-20;23.6;33.0;42.4;0.0;26.7;2.4;7.6
1980-07-21;23.9;33.6;43.3;0.0;27.1;2.9;6.6
1980-07-22;25.4;34.75;44.1;0.0;28.0;3.8;5.4
1980-07-23;26.8;35.75;44.7;0.0;26.4;4.1;4.3
