iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;4.1;8.7;13.3;0.0;3.8;2.2;51.83
1980-01-02;1.8;7.02;12.24;0.0;3.9;0.9;54.6
1980-01-03;1.0;5.55;10.1;0.0;3.9;0.9;57.6
1980-01-04;1.1;4.35;7.6;0.74;3.8;1.8;71.8
1980-01-05;-2.31;1.49;5.29;0.0;5.0;0.9;63.4
1980-01-06;-2.8;1.9;6.6;0.0;5.6;1.6;40.9
1980-01-07;2.7;5.82;8.94;0.0;4.4;3.4;61.9
1980-01-08;4.2;6.85;9.5;0.0;4.6;4.1;60.3
1980-01-09;1.9;4.55;7.2;0.0;3.8;2.1;69.0
1980-01-10;-0.6;2.7;6.0;0.0;4.2;1.3;71.7
1980-01-11;-2.3;1.45;5.2;0.0;4.6;0.5;72.2
1980-01-12;-2.8;1.7;6.2;0.0;5.189;0.8;62.9
1980-01-13;2.8;5.5;8.2;0.0;4.9;2.7;61.5
1980-01-14;2.1;6.55;11.0;1.5;5.0;3.0;55.1
1980-01-15;-5.8;-2.27;1.25;0.0;5.7;4.7;40.8
1980-01-16;-6.25;-3.13;0.0;1.19;5.1;5.0;46.6
1980-01-17;-0.8;1.4;3.6;0.0;4.6;4.7;61.2
1980-01-18;2.8;5.3;7.8;0.0;5.7;3.9;62.6
1980-01-19;5.0;7.4;9.8;0.0;5.7;3.5;60.3
1980-01-20;0.3;5.45;10.6;0.0;6.2;1.1;60.9
1980-01-21;-0.8;4.5;9.8;1.26;5.1;0.3;67.3
1980-01-22;2.1;6.45;10.8;0.0;6.1;1.4;53.2
1980-01-23;2.7;6.2;9.7;1.2;5.3;2.5;68.5
1980-01-24;-1.5;1.85;5.2;0.0;6.5;2.1;50.8
1980-01-25;-2.9;0.4;3.7;0.0;6.6;0.8;44.2
1980-01-26;-1.5;2.9;7.3;1.1;6.7;2.2;57.6
1980-01-27;3.9;7.84;11.79;2.0;5.9;3.5;68.0
1980-01-28;3.6;5.7;7.8;0.0;6.9;2.4;54.4
1980-01-29;3.3;6.75;10.2;0.0;7.0;2.4;44.0
1980-01-30;1.9;5.04;8.19;9.0;2.2;1.7;66.1
1980-01-31;-0.1;2.45;5.0;0.0;7.3;2.9;47.0
1980-02-01;-2.0;2.85;7.7;0.0;7.4;2.9;38.8
1980-02-02;3.4;6.1;8.8;4.5;6.1;3.8;67.3
1980-02-03;1.5;3.3;5.1;0.82;7.5;3.2;54.2
1980-02-04;2.4;7.32;12.23;0.0;7.438;3.7;41.1
1980-02-05;9.5;13.4;17.3;0.0;7.7;4.5;42.9
1980-02-06;8.5;12.85;17.2;0.0;7.7;3.6;41.1
1980-02-07;8.6;12.45;16.3;0.0;7.8;4.8;44.2
1980-02-08;9.9;13.85;17.8;0.78;7.8;5.1;52.4
1980-02-09;6.3;10.6;14.9;3.27;6.3;1.9;73.11
1980-02-10;10.41;16.66;22.9;0.0;8.012;2.9;42.9
1980-02-11;8.0;15.9;23.8;0.0;8.5;2.0;29.2
1980-02-12;6.1;14.4;22.7;0.0;8.2;1.2;34.4
1980-02-13;5.0;13.15;21.3;0.0;8.2;0.8;39.9
1980-02-14;5.0;13.69;22.37;0.0;8.4;0.9;37.7
1980-02-15;1.6;5.6;9.6;0.0;8.4;3.5;46.4
1980-02-16;-1.3;4.8;10.9;0.0;8.7;0.6;36.8
1980-02-17;2.1;9.2;16.3;0.0;8.8;1.6;38.9
1980-02-18;3.2;7.55;11.9;0.0;8.5;3.4;55.7
1980-02-19;0.9;6.4;11.9;0.0;9.0;1.8;43.6
1980-02-20;4.6;9.6;14.6;0.0;9.1;2.5;48.4
1980-02-21;3.3;9.3;15.3;0.0;9.2;2.4;41.6
1980-02-22;1.4;10.05;18.7;0.0;9.7;1.1;33.8
1980-02-23;3.6;10.95;18.3;0.0;9.7;1.8;35.8
1980-02-24;9.2;12.85;16.5;5.61;8.2;4.4;61.4
1980-02-25;5.2;9.65;14.1;0.0;9.4;3.3;54.23
1980-02-26;-2.6;1.0;4.6;2.2;8.6;4.3;62.0
1980-02-27;-2.6;2.1;6.8;0.0;10.378;2.8;33.1
1980-02-28;-0.4;7.5;15.4;0.0;10.1;0.6;42.2
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;6.5;15.8;25.1;0.0;10.9;1.0;35.0
1980-03-02;9.4;17.95;26.5;0.0;10.6;2.4;32.5
1980-03-03;6.0;11.6;17.2;0.0;10.9;2.8;41.68
1980-03-04;2.1;6.64;11.18;0.0;11.305;2.5;37.7
1980-03-05;-0.2;7.4;15.0;0.0;11.4;0.7;28.8
1980-03-06;-0.3;8.95;18.2;0.0;11.5;0.5;30.8
1980-03-07;2.4;11.35;20.3;0.0;11.3;0.7;33.8
1980-03-08;1.0;10.51;20.02;0.0;11.7;0.8;33.6
1980-03-09;1.2;10.1;19.0;0.0;11.9;1.1;34.28
1980-03-10;3.3;10.9;18.5;0.0;11.9;1.5;39.5
1980-03-11;4.3;12.05;19.8;0.0;12.1;0.8;42.7
1980-03-12;6.3;13.25;20.2;0.0;11.9;1.7;39.1
1980-03-13;5.7;13.1;20.5;0.0;11.9;2.0;42.4
1980-03-14;7.1;13.25;19.4;1.1;10.1;2.2;48.8
1980-03-15;1.9;7.05;12.2;0.0;12.7;2.1;36.0
1980-03-16;1.9;9.45;17.0;0.0;12.6;2.6;38.6
1980-03-17;6.9;15.6;24.3;0.0;12.4;2.5;32.2
1980-03-18;12.2;20.05;27.9;0.0;12.909;2.5;24.8
1980-03-19;11.0;18.36;25.71;0.0;13.313;1.1;31.7
1980-03-20;8.8;17.2;25.6;0.0;13.3;0.5;32.7
1980-03-21;11.79;17.24;22.7;0.0;13.123;1.7;41.1
1980-03-22;11.1;15.8;20.5;0.0;11.3;2.3;52.2
1980-03-23;10.2;16.2;22.2;0.0;14.053;1.7;41.3
1980-03-24;8.0;15.4;22.8;0.0;14.0;1.0;34.4
1980-03-25;8.53;15.08;21.63;0.0;14.068;1.8;37.6
