iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;3.3;8.9;14.5;0.0;12.9;1.1;36.6
1980-01-02;3.1;10.05;17.0;0.0;14.018;1.2;27.0
1980-01-03;2.9;10.25;17.6;0.0;14.7;0.8;28.4
1980-01-04;3.3;10.35;17.4;0.0;14.6;0.8;28.7
1980-01-05;2.9;10.15;17.4;0.0;13.8;0.7;27.5
1980-01-06;3.4;10.8;18.2;0.0;13.2;0.9;29.6
1980-01-07;3.7;10.95;18.2;0.0;13.294;0.7;29.1
1980-01-08;2.6;10.15;17.7;0.0;13.4;0.8;29.3
1980-01-09;4.7;12.2;19.7;0.0;13.2;1.6;31.3
1980-01-10;5.2;12.8;20.4;0.0;13.6;1.4;29.0
1980-01-11;3.8;11.25;18.7;0.0;14.0;0.9;29.4
1980-01-12;3.25;10.72;18.2;0.0;13.7;1.7;28.2
1980-01-13;3.1;10.3;17.5;0.0;13.8;1.0;27.7
1980-01-14;2.7;9.7;16.7;0.0;13.8;0.5;32.8
1980-01-15;2.1;9.35;16.6;0.0;14.2;0.8;31.5
1980-01-16;1.9;9.3;16.7;0.0;14.1;0.6;28.2
1980-01-17;3.6;10.45;17.3;0.0;14.1;1.4;27.2
1980-01-18;3.1;9.4;15.7;0.0;14.9;1.1;31.2
1980-01-19;1.9;8.25;14.6;0.0;14.6;0.8;31.2
1980-01-20;3.2;10.85;18.5;0.0;16.1;2.2;22.1
1980-01-21;5.1;11.7;18.3;0.0;14.7;1.7;25.0
1980-01-22;3.6;11.06;18.51;0.0;14.8;1.4;27.0
1980-01-23;4.5;11.95;19.4;0.0;14.8;1.5;27.8
1980-01-24;3.9;11.2;18.5;0.0;15.1;1.5;30.77
1980-01-25;4.3;11.7;19.1;0.0;16.0;1.2;31.6
1980-01-26;6.2;9.9;13.6;8.2;5.4;3.3;67.4
1980-01-27;3.4;4.91;6.41;12.1;2.616;3.5;78.2
1980-01-28;3.1;5.67;8.24;0.0;12.4;1.8;37.5
1980-01-29;4.9;9.65;14.4;0.0;7.6;3.0;42.5
1980-01-30;9.5;11.85;14.2;0.0;3.7;0.3;74.2
1980-01-31;7.8;12.8;17.8;0.0;16.8;1.4;39.6
1980-02-01;4.3;10.9;17.5;0.0;16.1;1.2;36.3
1980-02-02;4.6;11.85;19.1;0.0;16.7;0.8;32.9
1980-02-03;6.4;13.05;19.7;0.0;16.2;1.3;35.0
1980-02-04;11.0;13.95;16.9;12.41;8.2;5.1;60.81
1980-02-05;8.0;11.4;14.8;0.0;7.8;3.0;47.7
1980-02-06;5.5;11.8;18.1;0.0;17.5;1.8;34.2
1980-02-07;7.9;11.05;14.2;2.0;9.4;3.4;59.87
1980-02-08;4.2;9.85;15.5;0.0;17.5;0.3;38.1
1980-02-09;2.6;10.1;17.6;0.0;17.0;0.3;32.9
1980-02-10;5.0;11.5;18.0;0.0;16.8;0.5;37.8
1980-02-11;6.6;14.15;21.7;0.0;17.8;0.5;30.7
1980-02-12;6.4;13.05;19.7;0.0;17.4;0.9;35.8
1980-02-13;6.1;13.45;20.8;0.0;17.55;1.7;32.2
1980-02-14;9.6;16.5;23.4;0.0;18.7;3.0;22.8
1980-02-15;12.9;16.8;20.7;0.0;17.8;3.7;29.4
1980-02-16;6.7;12.0;17.3;0.0;16.8;1.4;40.5
1980-02-17;3.3;10.35;17.4;0.0;18.7;1.6;32.7
1980-02-18;2.6;8.6;14.6;0.0;11.0;1.9;45.51
1980-02-19;0.9;7.36;13.81;0.0;18.3;0.5;31.7
1980-02-20;2.8;9.95;17.1;0.0;16.8;1.3;29.3
1980-02-21;9.1;11.25;13.4;5.14;4.7;1.9;73.57
1980-02-22;7.1;9.7;12.3;1.1;7.2;1.5;59.59
1980-02-23;8.0;10.5;13.0;0.0;7.8;0.9;57.6
1980-02-24;4.6;10.3;16.0;0.0;13.7;1.8;40.9
1980-02-25;9.1;14.4;19.7;0.0;18.5;3.2;34.1
1980-02-26;6.0;13.25;20.5;0.0;19.3;2.5;23.0
1980-02-27;4.6;11.95;19.3;0.0;19.5;1.3;21.4
1980-02-28;5.5;11.95;18.4;0.0;19.5;2.3;24.6
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;4.6;9.6;14.6;1.5;9.7;1.38;47.0
1980-03-02;3.0;8.1;13.2;0.0;11.9;3.1;45.4
1980-03-03;1.3;8.15;15.0;0.0;20.3;0.4;32.0
1980-03-04;4.2;8.15;12.1;4.89;6.8;1.9;46.2
1980-03-05;7.09;9.39;11.7;0.0;9.1;0.6;63.28
1980-03-06;6.2;10.5;14.8;0.0;10.6;0.5;44.8
1980-03-07;3.19;11.1;19.0;0.0;20.9;0.8;30.1
1980-03-08;5.5;13.1;20.7;0.0;21.8;1.6;25.4
1980-03-09;5.1;13.65;22.2;0.0;21.4;1.1;25.1
1980-03-10;8.3;16.25;24.2;0.0;22.0;1.8;22.1
1980-03-11;13.0;18.55;24.1;0.0;20.8;3.4;15.89
1980-03-12;11.1;17.5;23.9;0.0;22.189;2.3;17.6
1980-03-13;9.1;16.6;24.1;0.0;22.6;1.4;20.1
1980-03-14;9.9;15.3;20.7;1.1;14.6;0.7;35.9
1980-03-15;7.8;12.25;16.7;0.0;11.3;0.9;43.6
1980-03-16;5.5;12.65;19.8;0.0;22.5;1.5;31.8
1980-03-17;6.5;12.15;17.8;0.0;14.1;1.5;38.7
1980-03-18;3.9;11.8;19.7;0.0;22.7;2.1;28.95
1980-03-19;4.7;13.25;21.8;0.0;24.0;1.7;24.9
1980-03-20;5.5;13.85;22.2;0.0;24.2;1.5;23.3
1980-03-21;6.3;14.55;22.8;0.0;24.1;2.1;22.2
1980-03-22;6.7;15.1;23.5;0.0;23.3;1.5;21.9
1980-03-23;8.4;15.2;22.0;0.0;23.2;2.6;26.2
1980-03-24;11.2;14.7;18.2;0.0;13.4;1.9;36.6
1980-03-25;7.7;12.9;18.1;0.0;9.9;1.9;43.7
1980-03-26;8.8;13.55;18.3;0.0;9.1;1.5;54.4
1980-03-27;7.0;13.9;20.8;0.0;23.3;1.0;32.4
1980-03-28;7.6;14.37;21.14;0.0;19.2;1.5;33.9
1980-03-29;6.9;14.15;21.4;0.0;23.7;2.5;31.0
1980-03-30;8.5;15.25;22.0;0.0;23.8;3.2;28.5
1980-03-31;8.2;16.65;25.1;0.0;25.1;3.1;15.2
1980-04-01;6.2;15.4;24.6;0.0;24.6;1.8;15.6
1980-04-02;4.3;13.55;22.8;0.0;24.4;2.2;18.1
1980-04-03;6.0;14.6;23.2;0.0;24.675;3.3;16.3
1980-04-04;5.5;14.1;22.7;0.0;24.5;3.1;17.8
1980-04-05;7.3;15.65;24.0;0.0;24.6;1.5;16.0
1980-04-06;9.5;17.45;25.4;0.0;24.6;1.8;13.3
1980-04-07;12.1;19.15;26.2;0.0;24.7;2.0;12.4
1980-04-08;10.2;18.0;25.8;0.0;24.9;1.9;14.1
1980-04-09;7.3;16.5;25.7;0.0;25.1;2.3;14.2
1980-04-10;9.26;18.33;27.4;0.0;25.0;2.3;13.4
1980-04-11;13.8;20.6;27.4;0.0;25.1;2.4;10.0
1980-04-12;14.3;20.7;27.1;0.0;25.1;2.4;9.6
1980-04-13;13.8;20.35;26.9;0.0;25.3;1.6;9.8
1980-04-14;14.0;20.65;27.3;0.0;25.4;1.9;9.0
1980-04-15;13.8;20.75;27.7;0.0;25.2;2.1;7.6
1980-04-16;9.0;17.65;26.3;0.0;21.1;2.0;16.1
1980-04-17;8.2;13.3;18.4;0.0;15.1;2.7;39.4
1980-04-18;4.9;12.7;20.5;0.0;20.4;1.8;27.0
1980-04-19;4.1;10.45;16.8;0.0;10.3;1.3;39.9
1980-04-20;7.5;13.05;18.6;0.0;17.1;2.5;33.5
1980-04-21;3.2;11.55;19.9;0.0;21.7;1.9;26.9
1980-04-22;9.9;12.45;15.0;2.4;10.9;3.5;47.9
1980-04-23;8.6;11.8;15.0;0.0;11.291;1.5;48.3
1980-04-24;4.7;11.45;18.2;0.0;15.5;1.3;36.1
1980-04-25;7.8;13.45;19.1;0.0;12.3;1.5;36.0
1980-04-26;11.1;13.2;15.3;1.1;8.211;2.9;57.2
1980-04-27;9.4;12.35;15.3;0.0;11.6;3.4;44.3
1980-04-28;9.4;12.95;16.5;0.0;11.1;2.2;40.7
1980-04-29;8.3;13.6;18.9;0.0;14.018;1.1;34.32
1980-04-30;6.4;13.9;21.4;0.0;27.0;1.4;26.5
1980-05-01;8.0;14.7;21.4;0.0;24.4;1.6;28.9
1980-05-02;9.6;15.2;20.8;0.0;23.2;1.8;30.1
1980-05-03;4.7;13.55;22.4;0.0;26.0;1.6;24.2
1980-05-04;6.8;15.65;24.5;0.0;27.1;2.4;20.3
1980-05-05;7.4;15.75;24.1;0.0;27.0;1.9;25.0
1980-05-06;12.6;18.3;24.0;0.0;28.2;2.0;24.7
1980-05-07;14.7;17.65;20.6;8.0;11.3;1.9;44.0
1980-05-08;14.7;19.0;23.3;0.0;23.7;3.6;33.4
1980-05-09;12.6;17.15;21.7;0.0;13.8;1.8;36.7
1980-05-10;8.8;17.3;25.8;0.0;29.7;2.4;19.7
1980-05-11;9.0;17.3;25.6;0.0;27.8;1.6;22.9
1980-05-12;8.3;16.53;24.76;0.0;26.6;1.1;23.9
1980-05-13;8.9;16.75;24.6;0.0;29.1;1.9;24.7
1980-05-14;11.9;16.45;21.0;0.0;11.3;1.9;37.73
