iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;7.4;9.95;12.5;14.4;0.363;2.5;67.9
1980-01-02;6.6;10.1;13.6;0.0;8.4;3.1;44.9
1980-01-03;8.7;10.75;12.8;0.0;8.2;6.0;45.8
1980-01-04;7.6;9.1;10.6;0.0;8.4;6.8;39.4
1980-01-05;6.9;8.8;10.7;0.0;8.5;6.24;43.0
1980-01-06;7.7;9.15;10.6;0.0;8.4;6.3;51.3
1980-01-07;7.5;9.75;12.0;0.0;4.9;5.4;58.6
1980-01-08;8.4;9.95;11.5;0.0;5.8;5.0;61.7
1980-01-09;6.34;7.77;9.2;7.2;0.8;1.2;80.81
1980-01-10;5.5;8.2;10.9;0.0;4.6;3.6;59.5
1980-01-11;6.0;7.51;9.03;8.7;5.8;6.6;67.5
1980-01-12;5.0;6.95;8.9;2.0;7.7;4.6;44.5
1980-01-13;5.2;7.55;9.9;1.2;8.3;4.6;39.95
1980-01-14;3.6;5.43;7.26;1.2;9.277;4.6;31.5
1980-01-15;2.08;3.79;5.5;3.9;7.0;5.3;28.5
1980-01-16;0.9;3.13;5.35;0.0;6.1;5.2;36.5
1980-01-17;-0.04;2.69;5.43;6.8;8.604;6.6;45.5
1980-01-18;-1.32;0.86;3.05;0.0;6.8;2.4;40.1
1980-01-19;-0.69;1.87;4.43;0.0;7.2;3.3;39.0
1980-01-20;-0.6;1.76;4.11;6.8;1.7;3.7;70.31
1980-01-21;-0.6;2.1;4.81;0.0;4.8;3.7;68.33
1980-01-22;-1.44;1.73;4.9;2.9;8.0;4.5;44.8
1980-01-23;-0.8;1.02;2.85;5.3;5.1;2.9;76.0
1980-01-24;1.8;6.15;10.5;14.4;6.6;5.5;56.0
1980-01-25;4.2;6.55;8.9;0.0;10.4;4.4;37.9
1980-01-26;3.1;5.35;7.6;0.0;8.5;3.3;41.6
1980-01-27;3.3;7.6;11.9;8.7;1.2;4.3;57.6
1980-01-28;11.5;12.25;13.0;7.1;2.3;5.4;90.1
1980-01-29;11.1;11.8;12.5;15.93;2.3;3.4;88.68
1980-01-30;8.8;10.95;13.1;8.8;6.5;5.4;72.9
1980-01-31;7.6;8.6;9.6;5.6;2.3;3.4;74.01
1980-02-01;5.7;9.65;13.6;0.0;10.9;1.7;58.3
1980-02-02;9.2;11.8;14.4;1.5;6.9;2.3;61.2
1980-02-03;7.7;9.3;10.9;4.4;4.6;2.4;72.6
1980-02-04;7.6;10.15;12.7;6.21;1.8;3.0;69.5
1980-02-05;8.7;10.5;12.3;0.0;3.9;1.9;72.28
1980-02-06;6.9;10.55;14.2;0.0;6.8;0.5;56.2
1980-02-07;6.2;10.25;14.3;0.0;11.9;1.4;51.2
1980-02-08;7.6;9.7;11.8;0.0;4.0;2.5;81.9
1980-02-09;8.9;11.5;14.1;0.0;7.2;1.8;68.3
1980-02-10;8.8;11.5;14.2;1.4;7.0;2.8;56.7
1980-02-11;8.2;10.5;12.8;2.4;12.7;4.9;36.2
1980-02-12;6.5;10.45;14.4;0.0;12.7;2.6;31.5
1980-02-13;8.8;12.55;16.3;0.0;11.1;4.1;34.6
1980-02-14;8.3;10.65;13.0;0.0;12.7;4.8;28.99
1980-02-15;8.1;11.1;14.1;0.0;8.4;4.0;46.3
1980-02-16;10.58;12.74;14.9;0.0;5.6;2.1;65.01
1980-02-17;8.0;11.05;14.1;4.1;7.3;3.5;57.05
1980-02-18;8.0;9.2;10.4;4.1;1.999;1.5;80.8
1980-02-19;7.9;9.6;11.3;2.8;3.8;0.3;75.95
1980-02-20;4.8;6.75;8.7;14.9;2.2;3.8;79.1
1980-02-21;4.5;7.3;10.1;0.0;9.9;4.59;41.5
1980-02-22;3.3;6.95;10.6;0.0;12.7;3.3;41.63
1980-02-23;6.4;10.0;13.6;0.0;14.5;3.1;25.2
1980-02-24;6.9;8.3;9.7;13.77;5.0;4.0;79.53
1980-02-25;6.1;8.4;10.7;0.0;14.5;4.8;52.1
1980-02-26;5.0;8.75;12.5;0.0;13.7;3.7;47.5
1980-02-27;7.3;10.0;12.7;0.0;12.7;4.2;50.4
1980-02-28;6.1;10.95;15.8;0.0;14.986;1.2;34.49
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;6.3;9.25;12.2;0.0;8.6;3.3;67.5
1980-03-02;9.6;11.5;13.4;6.6;6.1;4.9;73.7
1980-03-03;5.2;8.55;11.9;2.4;7.4;1.0;51.5
1980-03-04;3.7;8.3;12.9;0.0;15.4;2.0;42.36
1980-03-05;5.8;10.1;14.4;0.0;9.0;2.8;44.8
1980-03-06;5.7;9.0;12.3;13.1;5.8;2.7;73.0
1980-03-07;7.4;8.65;9.9;9.3;2.7;3.1;84.2
1980-03-08;9.1;11.0;12.9;0.0;10.3;6.0;68.8
1980-03-09;9.0;11.65;14.3;0.0;13.8;4.6;56.9
1980-03-10;7.5;11.0;14.5;0.0;16.2;3.3;58.0
1980-03-11;6.3;9.2;12.1;8.0;4.6;2.3;66.01
1980-03-12;5.6;7.55;9.5;3.4;3.9;5.2;78.8
1980-03-13;4.9;7.75;10.6;0.0;16.3;4.6;33.0
1980-03-14;3.9;7.85;11.8;1.8;12.3;2.1;56.9
1980-03-15;9.2;10.15;11.1;18.0;3.0;3.9;86.6
1980-03-16;9.3;10.8;12.3;7.25;4.0;1.3;82.7
1980-03-17;9.2;10.35;11.5;1.8;4.0;2.7;83.0
1980-03-18;8.4;10.95;13.5;0.0;6.7;3.3;62.0
