iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;-0.6;0.15;0.9;0.0;1.7;3.4;90.1
1980-01-02;0.7;1.2;1.7;0.0;2.2;3.5;88.6
1980-01-03;1.1;1.65;2.2;0.0;2.1;4.9;87.7
1980-01-04;2.3;3.55;4.8;6.8;1.1;7.7;83.7
1980-01-05;0.9;2.3;3.7;0.0;3.0;3.4;85.5
1980-01-06;0.5;3.75;7.0;4.8;1.0;2.9;78.7
1980-01-07;5.0;6.45;7.9;0.0;1.9;4.7;81.6
1980-01-08;-1.4;1.25;3.9;0.0;2.6;1.3;81.2
1980-01-09;-0.4;0.8;2.0;0.0;2.6;0.8;89.52
1980-01-10;0.6;3.95;7.3;0.0;1.6;2.6;83.8
1980-01-11;2.3;3.55;4.8;2.5;3.1;4.7;85.4
1980-01-12;1.1;2.1;3.1;0.0;2.2;4.4;77.6
1980-01-13;-0.4;0.45;1.3;0.0;3.1;3.4;79.6
1980-01-14;1.5;3.0;4.5;0.0;1.6;4.9;81.4
1980-01-15;2.5;3.95;5.4;7.2;1.1;5.7;84.3
1980-01-16;3.2;3.68;4.16;1.8;2.1;5.9;82.4
1980-01-17;3.5;4.55;5.6;3.4;2.2;7.5;64.2
1980-01-18;1.6;2.2;2.8;6.8;2.1;4.0;84.3
1980-01-19;3.0;3.45;3.9;1.5;2.2;4.2;87.5
1980-01-20;4.0;4.7;5.4;1.2;2.6;5.4;80.8
1980-01-21;4.6;5.75;6.9;0.0;2.4;4.3;86.2
1980-01-22;4.2;5.5;6.8;0.0;4.2;4.3;81.2
1980-01-23;2.3;5.3;8.3;8.82;2.4;5.8;68.9
1980-01-24;6.16;6.63;7.1;7.49;1.1;8.7;87.0
1980-01-25;2.4;3.75;5.1;0.0;2.3;7.2;54.5
1980-01-26;0.0;1.1;2.2;0.0;3.8;6.5;46.4
1980-01-27;-0.9;0.35;1.6;0.0;4.4;4.9;44.9
1980-01-28;-1.2;1.65;4.5;2.0;3.6;4.0;66.4
1980-01-29;0.7;2.3;3.9;6.1;2.2;6.5;71.4
1980-01-30;0.18;1.14;2.1;0.0;3.7;5.6;46.2
1980-01-31;-2.6;-0.9;0.8;0.0;2.6;4.8;47.79
1980-02-01;-4.7;-3.63;-2.55;0.0;4.0;4.8;37.01
1980-02-02;-5.5;-2.55;0.4;0.0;4.985;2.3;53.9
1980-02-03;-0.1;2.35;4.8;3.39;1.5;3.8;85.4
1980-02-04;-0.3;3.35;7.0;15.45;1.1;3.4;75.7
1980-02-05;-1.3;0.82;2.94;0.0;4.5;3.3;83.2
1980-02-06;-3.6;-1.15;1.3;0.0;5.5;1.1;78.7
1980-02-07;-4.0;-2.6;-1.2;0.0;4.5;2.4;56.2
1980-02-08;-3.5;-2.72;-1.94;14.88;4.5;6.0;67.4
1980-02-09;-5.47;-3.79;-2.1;1.49;5.6;7.6;80.5
1980-02-10;-8.86;-6.03;-3.2;0.0;6.5;3.9;71.5
1980-02-11;-9.8;-7.0;-4.2;0.0;6.5;3.1;61.2
1980-02-12;-8.5;-6.0;-3.5;0.0;6.5;4.1;69.2
1980-02-13;-12.04;-7.89;-3.75;0.0;6.7;2.5;65.4
1980-02-14;-12.05;-8.07;-4.1;0.0;8.4;3.4;50.2
1980-02-15;-8.23;-3.77;0.7;2.3;2.8;6.2;62.7
1980-02-16;-0.3;0.1;0.5;0.0;7.5;3.8;90.75
1980-02-17;-5.1;-1.85;1.4;0.0;7.6;3.3;81.6
1980-02-18;-2.3;2.05;6.4;0.0;2.7;5.1;60.2
1980-02-19;5.9;7.4;8.9;4.6;3.1;3.6;86.1
1980-02-20;-1.9;1.75;5.4;0.0;7.2;2.2;64.87
1980-02-21;-4.1;-0.85;2.4;0.0;7.6;0.8;66.7
1980-02-22;-2.5;-0.3;1.9;0.0;5.8;3.6;77.0
1980-02-23;0.28;2.64;5.0;0.0;8.6;3.8;58.3
1980-02-24;-1.0;3.21;7.41;0.0;8.5;2.2;54.6
1980-02-25;1.5;2.99;4.48;5.6;1.6;4.6;83.5
1980-02-26;-0.6;2.95;6.5;0.0;7.5;1.6;75.1
1980-02-27;-1.7;1.9;5.5;0.0;6.4;2.3;62.1
1980-02-28;-1.0;2.85;6.7;0.0;10.0;2.9;52.1
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;1.1;4.25;7.4;0.0;10.4;2.7;48.8
1980-03-02;0.6;2.45;4.3;0.0;7.6;2.8;67.3
1980-03-03;1.2;4.15;7.1;1.9;6.876;4.8;72.4
1980-03-04;2.2;4.8;7.4;5.0;5.4;5.0;85.3
1980-03-05;-1.7;1.55;4.8;0.0;10.0;2.19;51.8
1980-03-06;-2.0;0.3;2.6;0.0;6.6;4.0;64.6
1980-03-07;-0.8;1.7;4.2;0.0;10.4;3.1;55.5
1980-03-08;-0.9;1.1;3.1;0.0;8.0;3.2;69.8
1980-03-09;-1.8;0.8;3.4;0.0;11.5;2.3;53.2
1980-03-10;0.2;2.6;5.0;1.2;11.8;3.4;51.8
1980-03-11;0.1;2.05;4.0;3.0;4.6;4.7;55.9
1980-03-12;1.7;3.41;5.11;0.0;6.7;5.5;59.6
1980-03-13;-1.9;1.9;5.7;0.0;12.7;2.7;51.4
1980-03-14;-2.1;1.4;4.9;0.0;11.7;2.2;47.9
1980-03-15;-2.7;1.25;5.2;0.0;15.0;2.8;39.7
1980-03-16;-1.7;2.09;5.89;0.0;14.1;2.1;45.8
1980-03-17;-3.4;0.85;5.1;0.0;14.6;1.5;50.2
1980-03-18;-2.4;1.5;5.4;0.0;15.1;0.8;46.5
1980-03-19;-2.0;3.3;8.6;2.5;13.1;3.6;48.1
1980-03-20;5.9;8.04;10.17;5.1;7.5;3.7;82.49
1980-03-21;0.0;2.45;4.9;0.0;11.9;4.91;58.5
1980-03-22;-1.7;1.15;4.0;0.0;13.0;2.5;43.5
1980-03-23;-1.6;0.85;3.3;5.1;8.3;4.8;71.4
1980-03-24;0.1;1.84;3.59;1.2;11.9;6.3;57.09
1980-03-25;-0.3;1.5;3.3;0.0;13.4;6.0;42.0
1980-03-26;0.9;2.9;4.9;0.0;8.6;4.3;68.5
1980-03-27;0.5;3.2;5.9;0.0;8.8;1.4;71.1
1980-03-28;-2.3;1.95;6.2;0.0;17.1;1.3;43.3
1980-03-29;-3.7;1.95;7.6;0.0;18.0;1.4;37.32
1980-03-30;-0.9;4.35;9.6;0.0;17.8;3.4;34.6
1980-03-31;6.1;8.95;11.8;0.0;13.6;3.8;37.0
1980-04-01;6.5;9.4;12.3;0.0;10.2;2.2;63.2
1980-04-02;8.4;8.7;9.0;6.4;2.0;1.2;90.6
1980-04-03;6.7;12.65;18.6;11.38;16.5;3.9;51.9
1980-04-04;4.2;7.6;11.0;0.0;8.7;6.0;76.1
1980-04-05;-0.8;1.4;3.6;8.3;9.2;3.5;73.3
1980-04-06;-2.9;-0.05;2.8;0.0;15.6;2.3;36.4
1980-04-07;-1.0;1.0;3.0;0.0;6.9;4.0;53.7
1980-04-08;-0.2;2.82;5.84;1.9;5.8;5.4;57.3
1980-04-09;0.8;3.45;6.1;0.0;16.5;4.0;45.9
1980-04-10;-1.0;1.9;4.79;0.0;15.7;4.2;44.3
1980-04-11;-2.8;2.05;6.9;0.0;20.6;2.3;39.9
1980-04-12;-0.8;4.35;9.5;0.0;20.5;2.6;35.6
1980-04-13;-0.3;6.69;13.69;0.0;18.9;2.3;46.6
1980-04-14;9.3;14.8;20.3;0.0;14.6;4.0;53.7
1980-04-15;11.0;17.05;23.1;0.0;21.5;3.7;47.9
1980-04-16;10.5;15.45;20.4;0.0;7.7;1.8;54.9
1980-04-17;10.0;14.85;19.7;0.0;9.7;1.1;59.45
1980-04-18;8.3;14.55;20.8;0.0;21.2;2.8;45.8
1980-04-19;6.4;12.7;19.0;0.0;19.7;3.4;46.4
1980-04-20;3.5;7.95;12.4;0.0;21.9;4.1;43.6
1980-04-21;3.0;8.75;14.5;0.0;22.4;4.1;41.9
1980-04-22;2.2;6.35;10.5;0.0;22.1;4.2;42.4
1980-04-23;1.1;7.5;13.9;0.0;22.7;2.1;34.9
1980-04-24;0.1;7.45;14.8;0.0;22.514;2.2;41.1
1980-04-25;1.0;4.5;8.0;0.0;22.7;5.3;44.7
1980-04-26;-0.3;2.5;5.3;0.0;23.3;5.8;31.1
1980-04-27;-0.2;3.85;7.9;0.0;23.4;5.3;29.04
1980-04-28;4.3;9.25;14.2;0.0;13.3;2.5;55.1
1980-04-29;4.89;7.89;10.9;0.0;7.4;2.6;85.9
1980-04-30;10.1;12.5;14.9;0.0;13.933;2.1;72.8
1980-05-01;5.5;8.9;12.3;0.0;13.4;2.2;66.9
1980-05-02;2.1;4.45;6.8;0.0;19.3;4.6;50.7
1980-05-03;2.89;5.04;7.2;0.0;11.2;3.0;65.6
1980-05-04;-1.01;4.5;10.0;0.0;22.1;1.5;40.98
1980-05-05;2.6;9.2;15.8;1.6;13.9;1.7;48.1
1980-05-06;1.0;9.3;17.6;0.0;22.7;1.3;44.4
1980-05-07;5.6;9.18;12.76;4.8;4.6;4.7;80.1
1980-05-08;3.9;7.7;11.5;0.0;20.3;4.3;50.1
1980-05-09;3.8;7.25;10.7;0.0;9.7;3.2;59.0
1980-05-10;6.1;8.75;11.4;3.5;14.3;3.1;70.8
1980-05-11;6.5;9.0;11.5;0.0;20.4;3.6;55.8
1980-05-12;5.2;6.5;7.8;0.0;8.1;3.8;85.4
1980-05-13;5.53;8.64;11.76;0.0;22.0;6.6;51.3
1980-05-14;5.6;10.2;14.8;0.0;25.3;6.3;45.2
1980-05-15;6.2;10.4;14.6;0.0;25.5;5.1;43.3
1980-05-16;3.9;9.0;14.1;0.0;25.841;3.3;42.0
1980-05-17;1.7;8.05;14.4;0.0;26.1;2.3;39.1
1980-05-18;2.1;9.45;16.8;0.0;26.0;2.5;37.47
1980-05-19;5.9;11.1;16.3;0.0;24.5;4.1;42.16
1980-05-20;5.6;10.5;15.4;0.0;25.5;3.9;42.8
1980-05-21;4.3;10.1;15.9;0.0;24.7;2.6;45.7
1980-05-22;3.6;12.0;20.4;2.0;23.1;2.7;43.2
1980-05-23;8.0;12.9;17.8;0.0;15.8;3.3;59.1
1980-05-24;6.8;11.58;16.35;0.0;23.4;3.6;48.0
1980-05-25;7.9;11.15;14.4;3.5;5.8;3.9;73.86
