iso-date;tmin;tavg;tmax;precip;globrad;wind;relhumid
1980-01-01;7.2;10.6;14.0;5.9;8.808;3.3;46.4
1980-01-02;9.1;11.9;14.7;4.86;6.2;6.6;51.6
1980-01-03;8.3;10.35;12.4;0.0;8.4;5.7;30.6
1980-01-04;8.5;13.35;18.2;0.0;9.5;4.0;37.4
1980-01-05;5.8;9.6;13.4;4.1;4.4;1.7;75.05
1980-01-06;5.9;8.35;10.8;11.3;3.5;5.5;65.1
1980-01-07;5.8;8.95;12.1;0.0;6.7;5.8;34.0
1980-01-08;8.6;11.4;14.2;5.4;7.4;3.0;68.6
1980-01-09;7.98;11.39;14.8;0.0;9.4;2.9;53.2
1980-01-10;8.3;12.1;15.9;0.0;10.7;4.2;22.6
1980-01-11;6.7;10.5;14.3;0.0;9.9;3.4;32.7
1980-01-12;5.4;8.75;12.1;4.43;5.917;4.7;52.98
1980-01-13;5.1;8.06;11.03;0.0;7.1;5.4;29.36
1980-01-14;8.0;11.3;14.6;0.0;6.9;4.8;34.1
1980-01-15;4.4;9.35;14.3;0.0;9.9;2.5;46.3
1980-01-16;9.7;12.25;14.8;0.0;7.4;4.3;49.72
1980-01-17;8.4;11.55;14.7;0.0;8.0;4.2;50.3
1980-01-18;9.9;12.15;14.4;0.0;5.6;5.7;55.2
1980-01-19;7.8;11.15;14.5;0.0;10.1;4.0;49.2
1980-01-20;7.9;11.95;16.0;2.9;3.4;3.0;70.8
1980-01-21;12.96;14.38;15.8;0.0;3.017;3.6;76.51
1980-01-22;8.0;12.7;17.4;0.0;7.7;1.5;64.4
1980-01-23;8.4;11.35;14.3;1.1;8.3;4.7;59.6
1980-01-24;8.4;11.2;14.0;0.0;11.0;4.8;46.5
1980-01-25;11.7;13.3;14.9;0.0;3.6;5.8;66.6
1980-01-26;11.9;14.45;17.0;0.0;10.5;5.6;66.3
1980-01-27;10.6;13.2;15.8;0.0;8.929;6.0;64.1
1980-01-28;6.44;9.62;12.8;0.0;6.4;6.8;30.95
1980-01-29;6.3;8.56;10.83;2.0;6.5;5.6;38.7
1980-01-30;4.1;6.75;9.41;3.3;7.7;5.8;47.2
1980-01-31;4.2;6.5;8.8;0.0;8.5;5.9;25.6
1980-02-01;5.8;8.48;11.17;0.0;7.4;4.3;28.33
1980-02-02;7.5;10.4;13.3;0.0;7.5;4.8;45.8
1980-02-03;6.7;9.3;11.9;1.7;5.7;6.8;44.5
1980-02-04;6.5;9.2;11.9;3.49;5.8;6.5;51.6
1980-02-05;9.2;11.7;14.2;0.0;6.4;6.8;56.4
1980-02-06;9.6;11.65;13.7;0.0;4.1;4.3;57.0
1980-02-07;8.1;10.05;12.0;7.3;4.5;2.4;68.8
1980-02-08;4.4;8.2;12.0;0.0;10.8;2.3;30.2
1980-02-09;3.5;7.7;11.9;0.0;12.9;1.9;29.8
1980-02-10;5.8;9.45;13.1;0.0;10.7;3.6;30.9
1980-02-11;8.4;10.8;13.2;0.0;11.4;4.9;39.7
1980-02-12;9.4;11.65;13.9;0.0;6.2;3.9;54.8
1980-02-13;6.6;11.65;16.7;7.3;11.4;2.3;55.3
1980-02-14;6.4;10.4;14.4;3.6;12.5;1.9;43.05
1980-02-15;6.4;9.95;13.5;0.0;13.6;4.6;36.9
1980-02-16;5.6;8.6;11.6;4.6;6.9;3.6;62.86
1980-02-17;4.1;6.35;8.6;0.0;11.2;4.8;34.9
1980-02-18;3.9;6.08;8.25;0.0;8.808;4.3;30.0
1980-02-19;1.2;5.25;9.3;0.0;10.9;1.3;21.5
1980-02-20;1.2;6.5;11.8;0.0;13.4;1.2;20.9
1980-02-21;4.7;9.75;14.8;0.0;14.6;2.0;27.7
1980-02-22;6.4;11.25;16.1;0.0;15.0;3.5;25.3
1980-02-23;5.2;10.8;16.4;0.0;14.8;2.4;46.7
1980-02-24;5.1;9.35;13.6;6.7;9.5;3.7;48.4
1980-02-25;6.0;9.15;12.3;3.71;11.2;5.1;33.2
1980-02-26;5.8;8.82;11.85;9.7;10.4;2.3;42.7
1980-02-27;5.5;8.57;11.65;2.2;12.5;5.3;35.48
1980-02-28;6.3;9.45;12.6;0.0;13.6;4.2;42.7
1980-02-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1980-03-01;7.5;11.45;15.4;2.2;14.877;3.2;45.8
1980-03-02;7.4;9.9;12.4;10.0;6.3;4.3;66.64
1980-03-03;7.3;10.65;14.0;0.0;13.6;3.8;40.2
1980-03-04;4.8;9.9;15.0;0.0;16.3;2.1;42.9
1980-03-05;7.4;9.95;12.5;0.0;10.6;7.3;50.0
1980-03-06;6.8;9.53;12.25;6.1;10.7;6.3;37.0
1980-03-07;6.7;8.93;11.15;23.49;1.7;7.54;73.75
1980-03-08;7.6;10.15;12.7;12.0;11.8;7.0;57.4
1980-03-09;7.5;10.45;13.4;0.0;17.9;5.4;23.7
1980-03-10;5.6;10.6;15.6;0.0;17.41;2.9;47.5
1980-03-11;6.3;11.55;16.8;0.0;17.9;2.8;49.4
1980-03-12;6.4;11.7;17.0;0.0;13.3;2.0;51.3
1980-03-13;7.4;13.0;18.6;0.0;17.7;1.4;53.8
1980-03-14;6.6;12.55;18.5;0.0;17.8;2.2;58.3
1980-03-15;10.8;16.0;21.2;0.0;18.4;3.9;51.4
1980-03-16;11.4;15.7;20.0;0.0;18.6;4.3;59.4
1980-03-17;12.6;15.95;19.3;0.0;18.4;6.2;61.61
